H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
15959.185,0.0018431623,21420.992,493.71774,464.20132,13.712297,4638.4795,32.924812,0.0,0.0,524.6055,0.083942726,1.1350503,0.0,351.83948,7.8427156e-08,5364.255,0.20965458,451.7335,0.07398163,2966.862,1.6261685,0.0,0.0,206.40723,1.1952299e-05,0.4143127,0.0,92.914734,0.0,2.6967316,0.0,46.92162,0.0,0.0,0.0,0.0,0.0,0.016388899,0.0,0.0,0.0,411.91852,0.0,0.0,0.0,0.27669019,0.0,0.059747644,0.0,0.046121947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.839949,0.0,0.0,0.0,86.81182,0.0,0.0,0.0,0.0,0.0,1373.0703,0.0
16025.348,0.0018606462,21496.889,493.74734,465.0133,13.711783,4662.729,32.92603,0.0,0.0,523.8435,0.083896525,1.642952,0.0,347.07083,1.0195531e-07,5380.4956,0.21095315,452.9094,0.074225485,2975.6946,1.6229259,0.0,0.0,206.04286,1.2493451e-05,0.6765843,0.0,91.15768,0.0,2.6461613,0.0,46.586643,0.0,0.0,0.0,0.0063814525,0.0,0.025811473,0.0,0.0,0.0,416.41016,0.0,0.0,0.0,0.29859328,0.0,0.17083997,0.0,0.04589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.007797,0.0,0.0,0.0,86.60421,0.0,0.0,0.0,0.0,0.0,1374.7795,0.0
16066.477,0.0019015433,21532.758,493.6959,465.21646,13.708056,4702.3735,32.921257,0.0,0.0,523.5039,0.08391099,2.8443453,0.0,348.89856,1.7253976e-07,5394.6675,0.21296643,452.58176,0.071068935,2995.3994,1.5899968,0.0,0.0,206.38028,1.3489471e-05,1.2099307,0.0,92.598724,0.0,2.888451,0.0,46.873566,0.0,0.0,0.0,0.0,0.0,0.024723586,0.0,0.0,0.0,417.9604,0.0,0.0,0.0,0.3700277,0.0,0.14390303,0.0,0.12377243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.49539,0.0,0.0,0.0,87.39978,0.0,0.018860782,0.0,0.0,0.0,1374.0394,0.0
16146.333,0.0017925941,21597.287,493.6711,466.106,13.716646,4698.3853,32.91363,0.0,0.0,527.58887,0.083940804,1.2807548,0.0,354.09534,7.842716e-08,5403.573,0.21222632,452.43875,0.07348667,2993.2114,1.6443659,0.0,0.0,207.62776,1.3199292e-05,0.46822563,0.0,94.003044,0.0,2.5431535,0.0,47.94928,0.0,0.0,0.0,0.0,0.0,0.018190535,0.0,0.0,0.0,416.61902,0.0,0.0,0.0,0.40650946,0.0,0.10756348,0.0,0.15216894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.960653,0.0,0.0,0.0,87.28862,0.0,0.019323526,0.0,0.0,0.0,1374.9861,0.0
16132.601,0.00183594,21596.479,493.68054,468.11624,13.70946,4698.2207,32.912125,0.0,0.0,525.011,0.08388597,1.2091676,0.0,354.07037,9.411259e-08,5410.195,0.21010353,454.0367,0.074090794,2993.3135,1.6136357,0.0,0.0,207.05344,1.3089497e-05,0.40494725,0.0,93.2149,0.0,2.5591414,0.0,48.04643,0.0,0.0,0.0,0.0,0.0,0.02116432,0.0,0.0,0.0,413.27405,0.0,0.0,0.0,0.32559153,0.0,0.08793635,0.0,0.039180618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.903128,0.0,0.0,0.0,86.74088,0.0,0.0,0.0,0.0,0.0,1374.4957,0.0
16108.72,0.0018053945,21575.69,493.73615,467.9342,13.71755,4681.4673,32.923573,0.0,0.0,522.2809,0.08392455,1.3517303,0.0,350.44763,5.489901e-08,5406.355,0.21561863,454.73727,0.07266117,2985.9487,1.6330386,0.0,0.0,205.50937,1.2901264e-05,0.53698057,0.0,92.00739,0.0,2.6962404,0.0,48.503906,0.0,0.0,0.0,0.0,0.0,0.0069905114,0.0,0.0,0.0,411.22537,0.0,0.0,0.0,0.40884477,0.0,0.08488005,0.0,0.09021946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.803005,0.0,0.0,0.0,87.37,0.0,0.010864828,0.0,0.0,0.0,1375.0397,0.0
16168.814,0.0019304993,21628.54,493.7251,470.32144,13.7064085,4718.2197,32.92643,0.0,0.0,526.35974,0.083924994,1.3648355,0.0,349.8039,1.5685433e-08,5413.8247,0.21022423,453.943,0.07381199,3001.7205,1.6160796,0.0,0.0,207.0962,1.2579716e-05,0.5050277,0.0,92.30238,0.0,2.6465049,0.0,47.88883,0.0,0.0,0.0,0.0,0.0,0.031731773,0.0,0.0,0.0,416.48,0.0,0.0,0.0,0.36313403,0.0,0.19482143,0.0,0.08460002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.721733,0.0,0.0,0.0,86.982414,0.0,0.0,0.0,0.0,0.0,1375.5914,0.0
16159.871,0.001815819,21634.883,493.69998,471.02374,13.716403,4703.208,32.90812,0.0,0.0,525.2388,0.08388935,0.86415297,0.0,351.35458,1.0979803e-07,5422.1626,0.21196994,455.77896,0.073859595,2993.1868,1.6321144,0.0,0.0,206.9039,1.2775781e-05,0.30658033,0.0,93.16812,0.0,2.641622,0.0,46.804493,0.0,0.0,0.0,0.0,0.0,0.026944552,0.0,0.0,0.0,414.83023,0.0,0.0,0.0,0.28485534,0.0,0.14385659,0.0,0.008298441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.678255,0.0,0.0,0.0,87.45763,0.0,0.0,0.0,0.0,0.0,1374.7167,0.0
16210.65,0.0018346726,21678.18,493.74905,470.15482,13.707492,4732.0303,32.92333,0.0,0.0,524.028,0.08392226,1.326344,0.0,352.23083,3.921358e-08,5430.9434,0.21211642,454.5176,0.074228294,3008.3313,1.6123997,0.0,0.0,206.211,1.3207135e-05,0.58129746,0.0,92.57197,0.0,2.5802753,0.0,48.415863,0.0,0.0,0.0,0.0,0.0,0.045094326,0.0,0.0,0.0,416.08328,0.0,0.0,0.0,0.43749467,0.0,0.15902108,0.0,0.051567785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695421,0.0,0.0,0.0,88.334404,0.0,0.014144986,0.0,0.0,0.0,1375.2206,0.0
16219.665,0.0018655942,21670.482,493.75815,472.5399,13.71075,4729.306,32.9211,0.0,0.0,526.1459,0.083985284,0.72220767,0.0,353.9006,3.921358e-08,5422.9336,0.20541283,456.56046,0.077321835,3005.9111,1.6021951,0.0,0.0,207.42365,1.330125e-05,0.30847007,0.0,92.570724,0.0,2.644079,0.0,48.96701,0.0,0.0,0.0,0.0,0.0,0.009750877,0.0,0.0,0.0,414.63925,0.0,0.0,0.0,0.44562715,0.0,0.0060652336,0.0,0.05052419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.839485,0.0,0.0,0.0,87.84182,0.0,0.024863323,0.0,0.0,0.0,1372.4891,0.0
