H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13091.136,0.0014871546,16455.176,393.67993,649.87024,5.485742,3399.5095,17.550762,96.33737,0.0,526.81805,0.08395893,0.0,0.0,348.46802,7.842717e-09,3591.2415,0.051125836,551.8575,0.09541435,2254.771,2.213073,111.41584,0.037248705,207.61034,1.3207136e-05,0.0,0.0,93.27867,0.0,22.589125,0.0,130.3187,0.0,16.271029,0.0,0.08303056,0.0,0.0,0.0,0.0,0.0,257.44086,0.0,34.680885,0.0,0.37695825,0.0,0.0,0.0,0.0,0.0,9.517334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.548292,0.0,0.0,0.0,86.0979,0.0,0.0,0.0,0.0,0.0,1376.0453,0.0
13018.848,0.0014850826,16401.535,393.72733,649.5224,5.4881883,3391.4749,17.560543,103.639824,0.0,523.5809,0.08392374,0.0,0.0,347.26535,1.1764074e-07,3582.6494,0.050477643,552.5171,0.09571274,2255.0122,2.2671394,114.47956,0.03358356,206.14954,1.2218956e-05,0.0,0.0,90.86641,0.0,22.707245,0.0,131.24606,0.0,16.4575,0.0,0.08158626,0.0,0.0,0.0,0.0,0.0,257.82498,0.0,35.503555,0.0,0.46882713,0.0,0.0,0.0,0.0,0.0,9.637656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.821098,0.0,0.0,0.0,85.57887,0.0,0.0,0.0,0.0,0.0,1376.2168,0.0
13056.859,0.001626626,16427.941,393.68948,649.9832,5.4863315,3384.654,17.565868,102.226585,0.0,523.3064,0.08394597,0.0,0.0,338.61737,1.5685433e-08,3586.2112,0.05117541,551.4212,0.09650822,2251.0256,2.2015157,114.22281,0.037311915,205.65173,1.3269879e-05,0.0,0.0,89.85331,0.0,22.676458,0.0,130.54501,0.0,16.39931,0.0,0.046308145,0.0,0.0,0.0,0.0,0.0,256.94247,0.0,36.444584,0.0,0.5222093,0.0,0.0,0.0,0.018959343,0.0,9.339411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.87141,0.0,0.0,0.0,85.82394,0.0,0.0,0.0,0.0,0.0,1374.5118,0.0
13024.216,0.0015734667,16405.043,393.72473,650.97516,5.486775,3384.763,17.554008,106.66053,0.0,523.9049,0.083982795,0.0,0.0,349.8871,8.6269885e-08,3583.002,0.050807737,552.3755,0.09623792,2251.5999,2.2778444,116.63432,0.037606005,206.6877,1.2822846e-05,0.0,0.0,92.88717,0.0,22.606564,0.0,131.01723,0.0,16.760284,0.0,0.07976377,0.0,0.0,0.0,0.0,0.0,257.08026,0.0,36.941162,0.0,0.40239245,0.0,0.0,0.0,0.0,0.0,9.4705515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.931692,0.0,0.0,0.0,85.86577,0.0,0.0,0.0,0.0,0.0,1373.3811,0.0
13061.224,0.0017580728,16438.559,393.70477,650.522,5.4874325,3394.9985,17.566418,104.62423,0.0,525.98315,0.08394567,0.0,0.0,349.89084,2.352815e-08,3590.7065,0.050371826,552.54785,0.09540228,2256.2,2.2368085,115.54423,0.03446003,207.2291,1.3167923e-05,0.0,0.0,92.6828,0.0,22.487637,0.0,131.52588,0.0,16.69678,0.0,0.07329648,0.0,0.0,0.0,0.0,0.0,257.84732,0.0,36.865337,0.0,0.52598464,0.0,0.0,0.0,0.005471482,0.0,9.471573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.00669,0.0,0.0,0.0,85.667076,0.0,0.0,0.0,0.0,0.0,1373.9366,0.0
13070.941,0.0014639967,16439.957,393.71466,648.0398,5.4823427,3391.669,17.56219,101.90697,0.0,525.3662,0.08393044,0.0,0.0,347.49414,6.2741734e-08,3588.3914,0.051049907,550.40765,0.09938009,2253.746,2.2526062,114.0051,0.032496173,207.04385,1.2948325e-05,0.0,0.0,92.78702,0.0,22.513203,0.0,130.14738,0.0,16.259975,0.0,0.07667373,0.0,0.0,0.0,0.0,0.0,256.70187,0.0,36.633762,0.0,0.44144854,0.0,0.0,0.0,0.0,0.0,9.445092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.854557,0.0,0.0,0.0,85.020874,0.0,0.0,0.0,0.0,0.0,1374.5886,0.0
13089.035,0.0014600864,16457.123,393.7097,652.87933,5.4829044,3394.507,17.569403,103.454895,0.0,529.71906,0.08393022,0.0,0.0,351.66324,7.842716e-08,3593.525,0.051427,553.34235,0.09989753,2254.5977,2.2715316,115.286575,0.039625492,208.66025,1.2367963e-05,0.0,0.0,93.33367,0.0,22.867802,0.0,130.99689,0.0,16.502234,0.0,0.069085695,0.0,0.0,0.0,0.0,0.0,258.17224,0.0,36.923553,0.0,0.5257664,0.0,0.0,0.0,0.0,0.0,9.510975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.890244,0.0,0.0,0.0,85.331,0.0,0.0,0.0,0.0,0.0,1372.0374,0.0
13093.368,0.0014991048,16470.174,393.71237,651.7134,5.485394,3404.8376,17.559996,105.3247,1.5685433e-08,525.294,0.08397132,0.0,0.0,345.33145,5.489901e-08,3597.0518,0.05060029,554.0334,0.097342715,2259.564,2.2650492,116.556564,0.034384433,206.86368,1.3238502e-05,0.0,0.0,91.03055,0.0,23.084995,0.0,131.86125,0.0,16.974312,0.0,0.053395756,0.0,0.0,0.0,0.0,0.0,258.7123,0.0,36.622498,0.0,0.62091887,0.0,0.0,0.0,0.0,0.0,9.657236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.616348,0.0,0.0,0.0,85.215164,0.0,0.0,0.0,0.0,0.0,1373.2096,0.0
13128.096,0.0015043223,16503.713,393.75162,653.2561,5.4857492,3426.176,17.566565,107.18182,0.0,528.0548,0.08395515,0.0,0.0,351.79382,6.2741734e-08,3605.7783,0.051611207,555.2056,0.09692011,2269.3179,2.2618682,117.487915,0.033189293,207.23642,1.2422863e-05,0.0,0.0,93.30895,0.0,23.309376,0.0,131.59772,0.0,17.202364,0.0,0.07012155,0.0,0.0,0.0,0.0,0.0,261.01547,0.0,37.750187,0.0,0.5973636,0.0,0.0,0.0,0.0,0.0,9.4524355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97981,0.0,0.0,0.0,86.83354,0.0,0.0,0.0,0.0,0.0,1373.246,0.0
13103.793,0.00148724,16486.393,393.72208,656.6331,5.481367,3429.5554,17.56613,105.859726,0.0,521.76135,0.08390581,0.0,0.0,348.7994,9.41126e-08,3603.019,0.05026463,557.0353,0.1004323,2272.2695,2.2392032,116.667915,0.034022395,205.28055,1.2446394e-05,0.0,0.0,91.19644,0.0,23.377987,0.0,132.82143,0.0,16.889683,0.0,0.066428885,0.0,0.0,0.0,0.0,0.0,262.43268,0.0,37.166794,0.0,0.44455627,0.0,0.0,0.0,0.0,0.0,9.580089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.840689,0.0,0.0,0.0,86.159004,0.0,0.0,0.0,0.0,0.0,1375.4226,0.0
