H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12927.76,0.0014823019,16946.496,396.48633,604.9168,9.142613,3461.8804,1.4116886e-06,0.0,0.0,524.9053,0.083911985,180.8309,0.0,350.60602,1.5685433e-08,4224.7227,0.1547345,526.51276,0.037823126,2432.316,1.9114277,0.0,0.0,207.1195,1.28698875e-05,191.9071,3.6672536e-05,93.956184,0.0,4.5251083,0.0,166.21228,0.5729463,0.0,0.0,0.11885089,0.0,14.228456,0.0,0.0,0.0,274.49182,0.0,0.0,0.0,0.543642,0.0,39.247353,0.0,0.03370128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.166903,0.0,0.07481745,0.0,87.567635,0.0,2.6197176,0.0,0.0,0.0,1374.5613,0.0
12917.299,0.0014408552,16952.682,396.4859,606.17487,9.148445,3465.491,8.6269944e-07,0.0,0.0,522.7249,0.083881155,180.76584,0.0,349.88687,1.01955315e-07,4229.875,0.15569153,528.2344,0.037605297,2433.5012,1.9147733,0.0,0.0,206.12253,1.3026758e-05,192.95479,3.5417714e-05,92.82549,0.0,4.657427,0.0,166.44423,0.5826243,0.0,0.0,0.105087675,0.0,14.299845,0.0,0.0,0.0,273.92773,0.0,0.0,0.0,0.46799126,0.0,39.141113,0.0,0.0058609033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.921234,0.0,0.0490544,0.0,86.00836,0.0,2.9387448,0.0,0.0,0.0,1373.3628,0.0
12963.881,0.0014856887,16986.043,396.4539,607.85425,9.146072,3473.3162,8.3132886e-07,0.0,0.0,525.01746,0.08392809,178.61125,0.0,358.36923,3.921358e-08,4235.0024,0.15819918,528.50104,0.03645075,2433.68,1.9096849,0.0,0.0,206.71973,1.2305221e-05,191.62001,3.774698e-05,95.653946,0.0,4.4870577,0.0,165.82997,0.58326185,0.0,0.0,0.12962666,0.0,14.430221,0.0,0.0,0.0,274.41638,0.0,0.0,0.0,0.66795915,0.0,38.705124,0.0,0.0242535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.988249,0.0,0.043095715,0.0,89.19659,0.0,2.7626355,0.0,0.0,0.0,1373.4315,0.0
12924.546,0.0014811617,16957.516,396.52548,608.29846,9.1338,3472.9263,1.7175547e-06,0.0,0.0,522.21655,0.08393378,182.57246,0.0,352.9484,3.921358e-08,4228.835,0.15746932,527.80914,0.03566738,2434.0889,1.8858293,0.0,0.0,205.98894,1.3614964e-05,193.17494,4.093896e-05,93.40534,0.0,4.5807786,0.0,166.30496,0.5678688,0.0,0.0,0.114824705,0.0,14.353116,0.0,0.0,0.0,274.42194,0.0,0.0,0.0,0.62890863,0.0,38.698856,0.0,0.014955004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.913246,0.0,0.06430834,0.0,87.01401,0.0,2.6347828,0.0,0.0,0.0,1374.405,0.0
12901.726,0.0014178094,16927.143,396.4946,606.0192,9.141174,3453.6956,8.313286e-07,0.0,0.0,522.7438,0.08392151,183.13316,0.0,351.67456,2.352815e-08,4216.8325,0.1530956,527.128,0.03930656,2422.8071,1.8888146,0.0,0.0,205.89484,1.2713048e-05,193.69385,3.9888055e-05,93.72157,0.0,4.5207815,0.0,164.38927,0.6122319,0.0,0.0,0.12585698,0.0,14.561287,0.0,0.0,0.0,270.59628,0.0,0.0,0.0,0.5399238,0.0,39.01929,0.0,0.019906124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.979023,0.0,0.07193233,0.0,87.70523,0.0,2.5836935,0.0,0.0,0.0,1375.3325,0.0
12985.792,0.0014453363,17004.598,396.5243,607.4665,9.146571,3481.1985,9.803404e-07,0.0,0.0,525.23566,0.08392044,183.41899,0.0,353.19296,1.2548345e-07,4241.084,0.15549731,528.94275,0.03719679,2437.635,1.925408,0.0,0.0,206.8947,1.3183606e-05,194.53664,3.871166e-05,93.08109,0.0,4.694887,0.0,166.15752,0.5910065,0.0,0.0,0.10280208,0.0,14.474875,0.0,0.0,0.0,274.07907,0.0,0.0,0.0,0.6013278,0.0,39.237675,0.0,0.017177835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.900343,0.0,0.07188538,0.0,87.08721,0.0,2.7485216,0.0,0.0,0.0,1377.7178,0.0
12955.465,0.0016034503,16983.62,396.4838,607.72955,9.137272,3465.1924,9.646549e-07,0.0,0.0,522.5484,0.083939955,184.55765,0.0,347.83835,7.058445e-08,4238.963,0.15450585,529.13153,0.038452987,2434.5752,1.8849213,0.0,0.0,205.73148,1.2854217e-05,195.154,3.8946946e-05,92.20535,0.0,4.519146,0.0,165.97647,0.60343486,0.0,0.0,0.14065596,0.0,14.403597,0.0,0.0,0.0,273.80417,0.0,0.0,0.0,0.68343496,0.0,39.424187,0.0,0.042925112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.862732,0.0,0.0700835,0.0,87.015755,0.0,2.9022572,0.0,0.0,0.0,1374.7146,0.0
13000.726,0.0014723847,17023.209,396.48984,604.5014,9.150859,3467.0588,7.450588e-07,0.0,0.0,526.27264,0.083918646,187.06511,0.0,348.806,3.1370867e-08,4243.653,0.15511282,527.33777,0.037166607,2435.182,1.8930845,0.0,0.0,207.6068,1.3465948e-05,195.45486,3.9229264e-05,92.88811,0.0,4.6758604,0.0,165.38925,0.5653728,0.0,0.0,0.13167816,0.0,14.373298,0.0,0.0,0.0,273.19537,0.0,0.0,0.0,0.6707239,0.0,39.984997,0.0,0.094435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.935202,0.0,0.051868103,0.0,87.40984,0.0,2.7880414,0.0,0.0,0.0,1374.3813,0.0
12953.62,0.001423874,16985.031,396.46793,607.4673,9.137622,3489.9146,1.1215081e-06,0.0,0.0,524.1215,0.08392592,184.73055,0.0,348.22922,9.411259e-08,4235.0093,0.15628982,529.2533,0.0370375,2441.379,1.9023337,0.0,0.0,206.149,1.25640345e-05,193.7241,3.877438e-05,92.17721,0.0,4.660939,0.0,166.46341,0.57767814,0.0,0.0,0.12863123,0.0,14.21147,0.0,0.0,0.0,274.51532,0.0,0.0,0.0,0.66611946,0.0,39.02446,0.0,0.066562824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.072912,0.0,0.064567015,0.0,87.11076,0.0,2.4427829,0.0,0.011170927,0.0,1374.8865,0.0
13006.4375,0.0014796895,17022.463,396.4912,606.3114,9.1424885,3473.7224,1.0587667e-06,0.0,0.0,528.3613,0.08401861,185.15872,0.0,350.03674,1.5685433e-08,4243.989,0.15287748,527.8969,0.036084536,2437.0845,1.8980204,0.0,0.0,208.47534,1.3065968e-05,194.65102,4.122916e-05,93.13979,0.0,4.642523,0.0,166.37811,0.5916324,0.0,0.0,0.13351104,0.0,14.245201,0.0,0.0,0.0,273.4929,0.0,0.0,0.0,0.707981,0.0,39.44589,0.0,0.06664305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.758558,0.0,0.036147475,0.0,86.218956,0.0,2.9149528,0.0,0.0,0.0,1374.9382,0.0
