H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13012.03,0.0015181362,16405.467,389.20792,617.1535,4.5691643,3179.716,7.3161626,0.0,0.0,523.70654,0.08390207,0.0,0.0,349.42603,7.842716e-08,3671.6626,0.08061475,479.4031,0.051191434,2084.9268,2.0614674,0.0,0.0,206.14618,1.2101309e-05,0.0,0.0,93.22956,0.0,3.3050144,0.0,94.28241,0.0,0.0,0.0,0.095117435,0.0,0.0,0.0,0.0,0.0,225.84851,0.0,0.0,0.0,0.6596846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.925787,0.0,0.0,0.0,87.08578,0.0,0.0,0.0,0.0,0.0,1375.6016,0.0
13010.096,0.001459127,16417.758,389.21,620.1812,4.5715895,3198.42,7.31364,0.0,0.0,526.1413,0.083893724,0.0,0.0,352.6325,1.0195531e-07,3675.5776,0.079078324,480.29788,0.04991936,2094.9282,2.1156132,0.0,0.0,206.50322,1.220327e-05,0.0,0.0,93.516,0.0,3.196125,0.0,95.62669,0.0,0.0,0.0,0.1952679,0.0,0.0,0.0,0.0,0.0,229.89507,0.0,0.0,0.0,0.7513989,0.0,0.0,0.0,0.007379252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.864489,0.0,0.0,0.0,87.298645,0.0,0.0,0.0,0.0,0.0,1376.1354,0.0
13076.315,0.0015367536,16467.707,389.21097,619.31445,4.5702453,3202.516,7.3068843,0.0,0.0,525.5348,0.08387685,0.0,0.0,349.69736,0.0,3686.0261,0.08014981,479.5015,0.05200618,2093.5571,2.0741212,0.0,0.0,206.42758,1.3434571e-05,0.0,0.0,94.36385,0.0,3.187247,0.0,94.56376,0.0,0.0,0.0,0.15699019,0.0,0.0,0.0,0.0,0.0,228.0583,0.0,0.0,0.0,0.80451626,0.0,0.0,0.0,0.011348002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.070171,0.0,0.0,0.0,86.54696,0.0,0.0,0.0,0.0,0.0,1376.525,0.0
13022.002,0.0014907852,16426.102,389.227,615.6055,4.569848,3205.0383,7.319462,0.0,0.0,523.1597,0.083937734,0.0,0.0,349.13242,6.2741734e-08,3678.751,0.080851346,478.2529,0.05235367,2099.1748,2.110419,0.0,0.0,205.52127,1.209347e-05,0.0,0.0,92.582504,0.0,3.1064384,0.0,94.75867,0.0,0.0,0.0,0.07623643,0.0,0.0,0.0,0.0,0.0,229.73935,0.0,0.0,0.0,0.638843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.915302,0.0,0.0,0.0,87.01003,0.0,0.0,0.0,0.0,0.0,1372.9564,0.0
13040.161,0.0014778142,16455.945,389.21487,620.42194,4.5693693,3191.8154,7.31078,0.0,0.0,524.17804,0.08391334,0.0,0.0,352.08585,7.842717e-09,3688.0906,0.08022362,480.1606,0.04989004,2092.2952,2.067398,0.0,0.0,205.98753,1.2901275e-05,0.0,0.0,93.639244,0.0,3.2100284,0.0,94.438,0.0,0.0,0.0,0.115371056,0.0,0.0,0.0,0.0,0.0,228.81921,0.0,0.0,0.0,0.7616483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.257544,0.0,0.0,0.0,87.14313,0.0,0.0,0.0,0.0,0.0,1376.9055,0.0
13038.494,0.0014682009,16453.428,389.21454,619.5591,4.566852,3181.097,7.3168635,0.0,0.0,525.1833,0.08386609,0.0,0.0,353.78134,3.921358e-08,3683.0989,0.07946855,479.01013,0.052651003,2085.138,2.064245,0.0,0.0,206.71646,1.3152246e-05,0.0,0.0,94.602066,0.0,3.0524118,0.0,94.59191,0.0,0.0,0.0,0.05424881,0.0,0.0,0.0,0.0,0.0,226.24281,0.0,0.0,0.0,0.5952419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.074387,0.0,0.0,0.0,87.34633,0.0,0.0,0.0,0.0,0.0,1375.5305,0.0
13064.546,0.0015147763,16472.654,389.21176,617.90533,4.569069,3185.637,7.3184056,0.0,0.0,528.0821,0.08394506,0.0,0.0,352.5351,3.921358e-08,3691.04,0.08073896,478.5887,0.05084838,2087.694,2.0837035,0.0,0.0,207.85188,1.3207136e-05,0.0,0.0,93.779854,0.0,3.0561574,0.0,94.237274,0.0,0.0,0.0,0.08583556,0.0,0.0,0.0,0.0,0.0,226.3435,0.0,0.0,0.0,0.59137046,0.0,0.0,0.0,0.013080605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.052458,0.0,0.0,0.0,86.66478,0.0,0.0,0.0,0.0,0.0,1374.7615,0.0
13039.322,0.0014750119,16458.475,389.20395,621.02264,4.5727973,3202.3457,7.3187194,0.0,0.0,521.9132,0.08393785,0.0,0.0,346.00925,0.0,3688.0305,0.08120899,479.76205,0.053345636,2094.4683,2.0788338,0.0,0.0,204.97673,1.25404995e-05,0.0,0.0,91.4097,0.0,3.1357539,0.0,94.291664,0.0,0.0,0.0,0.115532465,0.0,0.0,0.0,0.0,0.0,228.99345,0.0,0.0,0.0,0.64082235,0.0,0.0,0.0,0.0053870836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.223885,0.0,0.0,0.0,86.781105,0.0,0.0,0.0,0.0,0.0,1375.4811,0.0
13067.943,0.0014533243,16486.412,389.21652,623.732,4.5713673,3199.515,7.320746,0.0,0.0,522.6048,0.08392351,0.0,0.0,355.0704,8.626988e-08,3694.8804,0.08101468,481.86948,0.05405829,2095.1802,2.0855772,0.0,0.0,205.83127,1.2360122e-05,0.0,0.0,94.028786,0.0,3.192357,0.0,95.188965,0.0,0.0,0.0,0.09215724,0.0,0.0,0.0,0.0,0.0,228.96597,0.0,0.0,0.0,0.51826555,0.0,0.0,0.0,0.008321675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.095123,0.0,0.0,0.0,87.375305,0.0,0.0,0.0,0.0,0.0,1374.4127,0.0
13131.853,0.0015335208,16544.607,389.19547,627.2149,4.565531,3227.8398,7.314325,0.0,0.0,522.4162,0.083955646,0.0,0.0,350.7988,1.4901161e-07,3709.5515,0.079796486,483.79477,0.05319438,2107.992,2.1002223,0.0,0.0,205.25015,1.2336595e-05,0.0,0.0,92.40911,0.0,3.118328,0.0,97.04418,0.0,0.0,0.0,0.08404084,0.0,0.0,0.0,0.0,0.0,230.98822,0.0,0.0,0.0,0.5144724,0.0,0.0,0.0,0.012253214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.832829,0.0,0.0,0.0,87.5238,0.0,0.0,0.0,0.0,0.0,1376.0386,0.0
