H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13134.345,0.0014154587,16936.232,396.3525,508.96606,7.842717e-09,3187.5784,3.6076491e-07,0.0,0.0,522.09326,0.08387806,0.0,0.0,345.47623,3.921358e-08,4011.0928,0.1267234,419.5929,0.06932317,2116.203,1.5656512,0.0,0.0,205.9905,1.2838527e-05,0.0,0.0,91.81606,0.0,1.480536,0.0,72.32582,0.0,0.0,0.0,0.075830854,0.0,0.0,0.0,0.0,0.0,219.32986,0.0,0.0,0.0,0.3442092,0.0,0.0,0.0,0.2863782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.772331,0.0,0.0,0.0,86.04145,0.0,0.0,0.0,0.0,0.0,1375.969,0.0
13077.209,0.0014261227,16889.357,396.32736,513.19226,4.70563e-08,3176.2024,2.8233777e-07,0.0,0.0,521.96735,0.08390419,0.0,0.0,348.42963,4.7056297e-08,3998.4773,0.1254485,420.9895,0.06558157,2112.6726,1.5359033,0.0,0.0,205.643,1.35443715e-05,0.0,0.0,90.88163,0.0,1.6830337,0.0,73.22518,0.0,0.0,0.0,0.02727504,0.0,0.0,0.0,0.0,0.0,219.95473,0.0,0.0,0.0,0.348048,0.0,0.0,0.0,0.35851672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.754938,0.0,0.0,0.0,87.0848,0.0,0.0,0.0,0.0,0.0,1374.5876,0.0
13130.554,0.0014520239,16943.502,396.34485,514.1773,7.842717e-09,3204.077,3.6076491e-07,0.0,0.0,523.4563,0.08390436,0.0,0.0,350.78253,1.0979803e-07,4013.9634,0.12575084,421.83994,0.06555671,2124.3882,1.5799434,0.0,0.0,205.9353,1.2689519e-05,0.0,0.0,92.70727,0.0,1.6551301,0.0,73.52797,0.0,0.0,0.0,0.029177397,0.0,0.0,0.0,0.0,0.0,221.15282,0.0,0.0,0.0,0.37014842,0.0,0.0,0.0,0.32648563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.812138,0.0,0.0,0.0,87.54614,0.0,0.0,0.0,0.0,0.0,1372.1395,0.0
13098.139,0.0014416216,16922.322,396.33768,514.4685,1.5685433e-08,3180.724,3.8429306e-07,0.0,0.0,519.1513,0.08391779,0.0,0.0,340.40897,5.489901e-08,4010.647,0.12552266,422.35748,0.06928818,2112.731,1.581487,0.0,0.0,204.12494,1.25953975e-05,0.0,0.0,89.86998,0.0,1.7075442,0.0,72.57038,0.0,0.0,0.0,0.04482285,0.0,0.0,0.0,0.0,0.0,219.34491,0.0,0.0,0.0,0.46530828,0.0,0.0,0.0,0.22598422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98214,0.0,0.0,0.0,86.18759,0.0,0.0,0.0,0.0,0.0,1374.6517,0.0
13107.852,0.0015073322,16931.932,396.32883,515.7433,3.1370867e-08,3184.7195,3.9213577e-07,0.0,0.0,524.32837,0.08392575,0.0,0.0,347.16434,1.0195532e-07,4006.0007,0.1272013,420.8475,0.06614892,2114.629,1.6145339,0.0,0.0,206.72076,1.313655e-05,0.0,0.0,92.4151,0.0,1.5588572,0.0,72.87041,0.0,0.0,0.0,0.048600122,0.0,0.0,0.0,0.0,0.0,219.16681,0.0,0.0,0.0,0.45350754,0.0,0.0,0.0,0.26741815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.887539,0.0,0.0,0.0,86.30367,0.0,0.0,0.0,0.0,0.0,1375.5609,0.0
13112.219,0.0016019762,16925.75,396.37836,509.46872,1.5685433e-08,3177.1643,3.6860763e-07,0.0,0.0,524.8348,0.08391929,0.0,0.0,352.5607,6.2741734e-08,4008.7024,0.12727933,419.48465,0.065972835,2111.2166,1.5746084,0.0,0.0,206.8468,1.2540501e-05,0.0,0.0,94.697815,0.0,1.5211635,0.0,72.20952,0.0,0.0,0.0,0.04442859,0.0,0.0,0.0,0.0,0.0,220.62564,0.0,0.0,0.0,0.4274835,0.0,0.0,0.0,0.32747445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.20003,0.0,0.0,0.0,86.89991,0.0,0.0,0.0,0.0,0.0,1374.9857,0.0
13063.4375,0.0015563348,16891.703,396.35345,512.475,5.489901e-08,3183.4019,3.6076491e-07,0.0,0.0,526.45465,0.083896026,0.0,0.0,353.20355,6.2741734e-08,4000.1738,0.12935394,420.14273,0.068339445,2114.7366,1.6226299,0.0,0.0,208.09863,1.2995383e-05,0.0,0.0,93.770996,0.0,1.5717082,0.0,73.47948,0.0,0.0,0.0,0.07785679,0.0,0.0,0.0,0.0,0.0,219.9305,0.0,0.0,0.0,0.40400225,0.0,0.0,0.0,0.25405967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.908018,0.0,0.0,0.0,86.62842,0.0,0.0,0.0,0.0,0.0,1375.7065,0.0
13136.164,0.0015271689,16969.547,396.35773,516.45416,5.489901e-08,3199.0847,3.6076491e-07,0.0,0.0,524.912,0.08394245,0.0,0.0,346.03384,3.921358e-08,4018.2634,0.1242551,421.97137,0.06885956,2123.8984,1.5700511,0.0,0.0,206.60988,1.2799307e-05,0.0,0.0,92.27839,0.0,1.5890707,0.0,73.37884,0.0,0.0,0.0,0.059164885,0.0,0.0,0.0,0.0,0.0,222.08109,0.0,0.0,0.0,0.36154252,0.0,0.0,0.0,0.248916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.026228,0.0,0.0,0.0,87.04833,0.0,0.0,0.0,0.0,0.0,1376.2081,0.0
13153.138,0.0014436916,16985.775,396.3347,515.40265,2.352815e-08,3199.2676,3.058659e-07,0.0,0.0,523.2873,0.08396394,0.0,0.0,353.24747,2.1959605e-07,4021.8872,0.12537141,421.1101,0.06640818,2123.5977,1.5755413,0.0,0.0,206.79453,1.3152238e-05,0.0,0.0,93.81726,0.0,1.6281587,0.0,73.19851,0.0,0.0,0.0,0.07079808,0.0,0.0,0.0,0.0,0.0,221.21101,0.0,0.0,0.0,0.35033947,0.0,0.0,0.0,0.25088212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.777645,0.0,0.0,0.0,87.80667,0.0,0.0,0.0,0.0,0.0,1374.5953,0.0
13121.792,0.0014273551,16942.166,396.33826,515.36334,5.489902e-08,3180.8896,3.9213577e-07,0.0,0.0,524.53217,0.0839636,0.0,0.0,345.5364,2.352815e-08,4009.044,0.124923445,419.9358,0.06656537,2114.128,1.5860878,0.0,0.0,207.07166,1.3105184e-05,0.0,0.0,92.40299,0.0,1.4632949,0.0,73.405556,0.0,0.0,0.0,0.08400061,0.0,0.0,0.0,0.0,0.0,220.0822,0.0,0.0,0.0,0.37469423,0.0,0.0,0.0,0.29290217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88038,0.0,0.0,0.0,85.75558,0.0,0.0,0.0,0.0,0.0,1373.8684,0.0
