H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12883.9375,0.001437394,16465.182,392.23526,527.2277,4.7056297e-08,3072.3496,2.8233777e-07,0.0,0.0,521.8769,0.08395372,0.0,0.0,346.40274,1.0979804e-07,3789.8967,0.10444316,411.92776,0.054288235,2032.372,1.7579322,0.0,0.0,205.98672,1.3175766e-05,0.0,0.0,91.214485,0.0,1.2427593,0.0,73.99248,0.0,0.0,0.0,0.08643699,0.0,0.0,0.0,0.0,0.0,212.96994,0.0,0.0,0.0,0.15780982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.595684,0.0,0.0,0.0,86.29059,0.0,0.0,0.0,0.0,0.0,1375.2307,0.0
12885.459,0.0014512778,16461.518,392.2135,524.7432,2.352815e-08,3067.9958,3.4507948e-07,0.0,0.0,524.3099,0.083894275,0.0,0.0,350.73987,4.7056297e-08,3785.3933,0.10412651,409.58908,0.052394632,2030.9261,1.7631516,0.0,0.0,207.30717,1.322282e-05,0.0,0.0,93.82684,0.0,1.185046,0.0,73.31985,0.0,0.0,0.0,0.083442345,0.0,0.0,0.0,0.0,0.0,214.31592,0.0,0.0,0.0,0.100818254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.491266,0.0,0.0,0.0,87.0187,0.0,0.0,0.0,0.0,0.0,1373.0563,0.0
12880.562,0.001498324,16463.738,392.2323,527.9776,0.0,3071.7732,3.9213577e-07,0.0,0.0,524.1105,0.083890185,0.0,0.0,347.0522,8.6269885e-08,3784.9412,0.10252057,411.23135,0.05132296,2027.721,1.6856478,0.0,0.0,207.66782,1.3097337e-05,0.0,0.0,92.56688,0.0,1.2982525,0.0,74.38119,0.0,0.0,0.0,0.0647042,0.0,0.0,0.0,0.0,0.0,213.6138,0.0,0.0,0.0,0.08186382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.373232,0.0,0.0,0.0,85.87052,0.0,0.0,0.0,0.0,0.0,1374.5356,0.0
12935.777,0.0014492647,16524.879,392.2054,530.5688,4.7056297e-08,3079.2466,3.3723677e-07,0.0,0.0,523.58563,0.083927654,0.0,0.0,347.64548,2.352815e-08,3798.2358,0.10405569,411.61188,0.054269258,2035.1534,1.7148291,0.0,0.0,206.87302,1.2744417e-05,0.0,0.0,92.27271,0.0,1.2365063,0.0,74.610695,0.0,0.0,0.0,0.020105312,0.0,0.0,0.0,0.0,0.0,213.89348,0.0,0.0,0.0,0.0553758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.709724,0.0,0.0,0.0,86.86945,0.0,0.0,0.0,0.0,0.0,1375.2458,0.0
12966.837,0.0014613834,16550.916,392.25406,531.16205,3.921358e-08,3094.7036,2.7449505e-07,0.0,0.0,523.9569,0.08390997,0.0,0.0,350.47192,4.70563e-08,3806.346,0.10337288,413.10907,0.055790946,2039.9034,1.7732166,0.0,0.0,207.23906,1.3348302e-05,0.0,0.0,92.73856,0.0,1.430662,0.0,74.69221,0.0,0.0,0.0,0.06399615,0.0,0.0,0.0,0.0,0.0,216.65874,0.0,0.0,0.0,0.060012884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.767092,0.0,0.0,0.0,85.814125,0.0,0.0,0.0,0.0,0.0,1373.552,0.0
12943.6,0.0014622394,16540.44,392.24744,530.0201,2.352815e-08,3101.5938,3.058659e-07,0.0,0.0,520.6538,0.08391911,0.0,0.0,345.50504,2.352815e-08,3805.6797,0.1054367,412.73685,0.05661478,2042.5967,1.6868316,0.0,0.0,205.1846,1.2869895e-05,0.0,0.0,91.29928,0.0,1.3112444,0.0,74.51053,0.0,0.0,0.0,0.061038777,0.0,0.0,0.0,0.0,0.0,217.82967,0.0,0.0,0.0,0.10710615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97096,0.0,0.0,0.0,86.60393,0.0,0.0,0.0,0.0,0.0,1374.0872,0.0
12937.857,0.0014688608,16540.719,392.2308,533.53546,7.842717e-09,3101.8398,4.1566392e-07,0.0,0.0,518.5951,0.083927624,0.0,0.0,347.2042,6.274173e-08,3808.375,0.103173025,414.5026,0.05415112,2041.4332,1.7356594,0.0,0.0,204.08562,1.2744415e-05,0.0,0.0,91.503975,0.0,1.3406154,0.0,75.6323,0.0,0.0,0.0,0.042322822,0.0,0.0,0.0,0.0,0.0,215.91257,0.0,0.0,0.0,0.028384738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.184551,0.0,0.0,0.0,87.24754,0.0,0.0,0.0,0.0,0.0,1375.9867,0.0
12838.014,0.0014377069,16453.18,392.2377,527.53766,7.842717e-09,3053.924,4.548775e-07,0.0,0.0,524.7274,0.083905466,0.0,0.0,349.77966,4.7056297e-08,3786.7544,0.100817434,410.5413,0.056121603,2022.9951,1.7202157,0.0,0.0,207.01028,1.2454235e-05,0.0,0.0,92.73867,0.0,1.1589773,0.0,73.36488,0.0,0.0,0.0,0.01207505,0.0,0.0,0.0,0.0,0.0,214.8054,0.0,0.0,0.0,0.07573204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.855295,0.0,0.0,0.0,87.14416,0.0,0.0,0.0,0.0,0.0,1372.6198,0.0
12921.167,0.0014528981,16533.875,392.23962,530.44727,6.2741734e-08,3091.2458,2.3528146e-07,0.0,0.0,524.36584,0.083973005,0.0,0.0,354.34366,6.274173e-08,3806.5662,0.10273608,411.84537,0.054406933,2036.7351,1.7457772,0.0,0.0,207.72536,1.3316927e-05,0.0,0.0,94.630684,0.0,1.3085225,0.0,73.77321,0.0,0.0,0.0,0.033453185,0.0,0.0,0.0,0.0,0.0,216.36867,0.0,0.0,0.0,0.09693575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.720358,0.0,0.0,0.0,86.98614,0.0,0.0,0.0,0.0,0.0,1373.8462,0.0
12908.201,0.0014966116,16525.596,392.2396,533.8583,1.5685433e-08,3090.903,3.529222e-07,0.0,0.0,520.9848,0.083880164,0.0,0.0,347.23965,8.626988e-08,3802.3162,0.102459624,413.51413,0.054671496,2037.4932,1.7594225,0.0,0.0,205.67285,1.3214976e-05,0.0,0.0,92.16182,0.0,1.3668082,0.0,74.78117,0.0,0.0,0.0,0.04343894,0.0,0.0,0.0,0.0,0.0,216.35907,0.0,0.0,0.0,0.13223173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.905394,0.0,0.0,0.0,86.2295,0.0,0.0,0.0,0.0,0.0,1375.9291,0.0
