H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13443.126,0.0013560103,18040.367,412.75696,418.79712,3.1370867e-08,3458.6511,3.058659e-07,0.0,0.0,522.1237,0.08392178,0.0,0.0,342.64792,1.0195531e-07,4711.7095,0.215976,442.5275,0.116941705,2368.119,0.89393085,0.0,0.0,205.71628,1.3144393e-05,0.0,0.0,89.13397,0.0,1.9997258,0.0,65.47337,0.0,0.0,0.0,0.026391141,0.0,0.0,0.0,0.0,0.0,234.77814,0.0,0.0,0.0,0.5471655,0.0,0.0,0.0,0.013233161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.751099,0.0,0.0,0.0,86.60296,0.0,0.0,0.0,0.0,0.0,1376.4233,0.0
13460.901,0.0013742256,18070.688,412.7501,422.68503,7.842717e-09,3466.7363,5.1761936e-07,0.0,0.0,524.5611,0.08390753,0.0,0.0,351.73535,3.921358e-08,4720.4727,0.21677758,444.74252,0.12318218,2372.6157,0.86471826,0.0,0.0,206.83858,1.3560059e-05,0.0,0.0,93.03362,0.0,1.9846529,0.0,66.033646,0.0,0.0,0.0,0.039994467,0.0,0.0,0.0,0.0,0.0,234.76297,0.0,0.0,0.0,0.519701,0.0,0.0,0.0,0.006870297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.943956,0.0,0.0,0.0,87.95792,0.0,0.0,0.0,0.0,0.0,1374.0309,0.0
13531.375,0.0015496367,18148.959,412.77612,425.50827,7.842717e-09,3470.3933,4.3134935e-07,0.0,0.0,524.9601,0.083919026,0.0,0.0,349.8296,3.1370867e-08,4745.7515,0.21562733,446.4876,0.11863946,2376.9634,0.8835943,0.0,0.0,206.51715,1.2587564e-05,0.0,0.0,93.12712,0.0,2.105883,0.0,66.529854,0.0,0.0,0.0,0.039975975,0.0,0.0,0.0,0.0,0.0,234.90611,0.0,0.0,0.0,0.56686574,0.0,0.0,0.0,0.011661752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19267,0.0,0.0,0.0,87.477646,0.0,0.0,0.0,0.0,0.0,1373.8518,0.0
13498.048,0.001958395,18108.533,412.73663,423.6235,1.5685433e-08,3473.4868,3.6860763e-07,0.0,0.0,524.87646,0.08398932,0.0,0.0,348.0102,1.5685433e-08,4737.416,0.21482615,446.48688,0.115848266,2377.0217,0.8909583,0.0,0.0,206.35483,1.2266006e-05,0.0,0.0,91.87847,0.0,2.1529515,0.0,66.22561,0.0,0.0,0.0,0.048834696,0.0,0.0,0.0,0.0,0.0,236.41891,0.0,0.0,0.0,0.49867865,0.0,0.0,0.0,0.00559676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.999872,0.0,0.0,0.0,87.08842,0.0,0.0,0.0,0.0,0.0,1373.4114,0.0
13513.418,0.001402389,18131.42,412.7699,422.31073,1.5685433e-08,3475.823,3.1370863e-07,0.0,0.0,525.0393,0.083921604,0.0,0.0,351.23422,1.17640745e-07,4749.71,0.21796942,446.58923,0.11940073,2377.486,0.8700759,0.0,0.0,206.39165,1.199935e-05,0.0,0.0,93.63895,0.0,2.23589,0.0,65.77226,0.0,0.0,0.0,0.03974372,0.0,0.0,0.0,0.0,0.0,236.11275,0.0,0.0,0.0,0.45717716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.040516,0.0,0.0,0.0,86.79683,0.0,0.0,0.0,0.0,0.0,1374.977,0.0
13499.485,0.0015111936,18139.213,412.78403,424.17737,3.921358e-08,3460.776,3.2155134e-07,0.0,0.0,525.4443,0.08398429,0.0,0.0,345.1552,1.5685433e-08,4749.4155,0.21803118,446.96878,0.11645102,2373.2307,0.90784043,0.0,0.0,206.92369,1.2775784e-05,0.0,0.0,92.53726,0.0,2.4041479,0.0,65.99496,0.0,0.0,0.0,0.03431514,0.0,0.0,0.0,0.0,0.0,235.3727,0.0,0.0,0.0,0.59414005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.839575,0.0,0.0,0.0,85.32331,0.0,0.0,0.0,0.0,0.0,1372.4023,0.0
13454.219,0.0013670139,18083.354,412.7698,420.32825,1.5685433e-08,3456.2168,3.058659e-07,0.0,0.0,523.3817,0.0839237,0.0,0.0,352.05685,7.842716e-08,4739.1655,0.21907005,446.3648,0.121112235,2369.7957,0.9203884,0.0,0.0,206.32784,1.2932642e-05,0.0,0.0,92.5313,0.0,2.2565448,0.0,65.14259,0.0,0.0,0.0,0.036492605,0.0,0.0,0.0,0.0,0.0,234.12744,0.0,0.0,0.0,0.4323837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.131433,0.0,0.0,0.0,86.012886,0.0,0.0,0.0,0.0,0.0,1370.7964,0.0
13458.073,0.0014200818,18094.809,412.77658,421.63617,7.842717e-09,3464.941,3.4507948e-07,0.0,0.0,524.2388,0.08391637,0.0,0.0,347.7504,7.058445e-08,4746.5894,0.21638198,447.8844,0.117279306,2372.7092,0.8822483,0.0,0.0,206.33247,1.293264e-05,0.0,0.0,92.26926,0.0,2.3764613,0.0,65.76111,0.0,0.0,0.0,0.033476487,0.0,0.0,0.0,0.0,0.0,235.70152,0.0,0.0,0.0,0.54765224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.907974,0.0,0.0,0.0,86.31421,0.0,0.0,0.0,0.0,0.0,1373.0955,0.0
13468.493,0.0014349896,18075.635,412.73236,418.84286,2.352815e-08,3459.395,4.940911e-07,0.0,0.0,526.6835,0.08394428,0.0,0.0,349.32278,5.489902e-08,4732.9204,0.21662906,446.2375,0.11751516,2369.2488,0.9177905,0.0,0.0,207.6156,1.2924799e-05,0.0,0.0,93.54393,0.0,2.3583462,0.0,65.29688,0.0,0.0,0.0,0.026288986,0.0,0.0,0.0,0.0,0.0,235.83183,0.0,0.0,0.0,0.40178156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98538,0.0,0.0,0.0,86.843994,0.0,0.0,0.0,0.0,0.0,1374.5585,0.0
13496.281,0.0014063738,18122.0,412.76486,421.49203,1.5685433e-08,3467.4187,3.7645034e-07,0.0,0.0,523.8668,0.08397491,0.0,0.0,351.79892,7.842716e-08,4741.6484,0.21708836,445.4099,0.120461,2371.9824,0.8842651,0.0,0.0,206.85239,1.292479e-05,0.0,0.0,92.133736,0.0,2.2558913,0.0,65.89552,0.0,0.0,0.0,0.040623043,0.0,0.0,0.0,0.0,0.0,235.82506,0.0,0.0,0.0,0.45380038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.79951,0.0,0.0,0.0,86.55134,0.0,0.0,0.0,0.0,0.0,1375.1837,0.0
