H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13442.741,0.0014040659,18235.9,416.85898,383.92828,0.0,3501.8945,3.6076491e-07,0.0,0.0,519.52686,0.083898865,0.0,0.0,339.73355,3.921358e-08,4883.459,0.23928817,446.2988,0.13171281,2415.6465,0.73024344,0.0,0.0,204.86736,1.2579715e-05,0.0,0.0,89.41038,0.0,2.4185092,0.0,60.993805,0.0,0.0,0.0,0.020095006,0.0,0.0,0.0,0.0,0.0,239.38992,0.0,0.0,0.0,0.17452212,0.0,0.0,0.0,0.012660358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.657583,0.0,0.0,0.0,86.87752,0.0,0.0,0.0,0.0,0.0,1374.331,0.0
13454.336,0.0014084376,18238.533,416.8779,383.2059,1.5685433e-08,3503.5723,4.2350663e-07,0.0,0.0,523.42255,0.083919525,0.0,0.0,347.33746,1.0979803e-07,4883.116,0.23513456,446.58154,0.13593987,2417.478,0.7315607,0.0,0.0,206.54214,1.2281694e-05,0.0,0.0,91.04738,0.0,2.2345405,0.0,61.67125,0.0,0.0,0.0,0.012456624,0.0,0.0,0.0,0.0,0.0,240.70612,0.0,0.0,0.0,0.28536588,0.0,0.0,0.0,0.009977275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.70405,0.0,0.0,0.0,87.31567,0.0,0.0,0.0,0.0,0.0,1372.6217,0.0
13431.026,0.001421698,18224.514,416.87778,384.33627,4.7056297e-08,3498.158,3.8429306e-07,0.0,0.0,519.4051,0.083987884,0.0,0.0,345.92697,1.3332618e-07,4878.9043,0.23698062,447.6498,0.1346343,2416.604,0.74643517,0.0,0.0,204.5838,1.2462079e-05,0.0,0.0,89.81503,0.0,2.5378973,0.0,61.88523,0.0,0.0,0.0,0.030679218,0.0,0.0,0.0,0.0,0.0,240.16437,0.0,0.0,0.0,0.2576429,0.0,0.0,0.0,0.02400459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.097982,0.0,0.0,0.0,87.42197,0.0,0.0,0.0,0.0,0.0,1374.7452,0.0
13469.766,0.0014310031,18258.648,416.8503,383.0741,1.5685433e-08,3491.7695,3.7645034e-07,0.0,0.0,525.087,0.08389356,0.0,0.0,344.02368,3.1370867e-08,4885.7686,0.23939359,446.85657,0.13405219,2412.5642,0.74005306,0.0,0.0,206.73946,1.3481629e-05,0.0,0.0,91.49398,0.0,2.5334203,0.0,60.95779,0.0,0.0,0.0,0.010266539,0.0,0.0,0.0,0.0,0.0,239.94186,0.0,0.0,0.0,0.3710091,0.0,0.0,0.0,0.016892638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.960133,0.0,0.0,0.0,87.31455,0.0,0.0,0.0,0.0,0.0,1371.4016,0.0
13418.656,0.0014075874,18223.582,416.86478,384.19333,2.352815e-08,3482.5603,4.627202e-07,0.0,0.0,523.56757,0.08391155,0.0,0.0,349.27386,1.5685433e-08,4880.826,0.23990366,445.71713,0.137915,2408.3667,0.74868923,0.0,0.0,207.02829,1.3379671e-05,0.0,0.0,92.89016,0.0,2.176948,0.0,60.941,0.0,0.0,0.0,0.027600389,0.0,0.0,0.0,0.0,0.0,239.2035,0.0,0.0,0.0,0.2911711,0.0,0.0,0.0,0.014417313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.959131,0.0,0.0,0.0,87.587265,0.0,0.0,0.0,0.0,0.0,1374.4417,0.0
13524.242,0.0013826429,18341.291,416.8554,389.0129,7.842717e-09,3523.5916,4.7840564e-07,0.0,0.0,526.6167,0.0839149,0.0,0.0,347.06833,6.2741734e-08,4910.2524,0.23845086,448.07123,0.13378266,2429.1426,0.74507064,0.0,0.0,208.48088,1.29247965e-05,0.0,0.0,92.409096,0.0,2.3095515,0.0,61.789356,0.0,0.0,0.0,0.04186998,0.0,0.0,0.0,0.0,0.0,242.29407,0.0,0.0,0.0,0.349958,0.0,0.0,0.0,0.0058293636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.488966,0.0,0.0,0.0,86.78434,0.0,0.0,0.0,0.0,0.0,1377.8986,0.0
13567.707,0.0014021539,18370.705,416.83688,392.7813,7.842717e-09,3539.4214,4.940911e-07,0.0,0.0,522.4529,0.08395475,0.0,0.0,343.8955,2.352815e-08,4921.1675,0.24016838,451.22675,0.13094914,2429.9514,0.7348076,0.0,0.0,205.7745,1.2148368e-05,0.0,0.0,90.044876,0.0,2.5394168,0.0,61.510094,0.0,0.0,0.0,0.048139364,0.0,0.0,0.0,0.0,0.0,242.36913,0.0,0.0,0.0,0.40721902,0.0,0.0,0.0,0.01364606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.887316,0.0,0.0,0.0,87.092224,0.0,0.0,0.0,0.0,0.0,1372.6156,0.0
13534.973,0.0013363493,18341.506,416.87027,386.89526,3.921358e-08,3532.2947,3.9213577e-07,0.0,0.0,524.43616,0.083868936,0.0,0.0,348.5427,1.3332617e-07,4911.5205,0.23892722,447.84152,0.13075271,2429.4277,0.744277,0.0,0.0,207.17574,1.2603248e-05,0.0,0.0,91.080635,0.0,2.4576142,0.0,60.984917,0.0,0.0,0.0,0.07681825,0.0,0.0,0.0,0.0,0.0,243.06715,0.0,0.0,0.0,0.34979963,0.0,0.0,0.0,0.0336241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.779917,0.0,0.0,0.0,86.71165,0.0,0.0,0.0,0.0,0.0,1373.6813,0.0
13571.244,0.0014531602,18387.377,416.88565,391.4193,1.5685433e-08,3532.2222,4.1566392e-07,0.0,0.0,524.58136,0.083990276,0.0,0.0,346.47794,3.921358e-08,4925.3115,0.23908196,450.46658,0.13263844,2434.813,0.7574445,0.0,0.0,207.43318,1.3936513e-05,0.0,0.0,91.94029,0.0,2.608492,0.0,62.50396,0.0,0.0,0.0,0.15123609,0.0,0.0,0.0,0.08255945,0.0,242.35184,0.0,0.0,0.0,0.43274686,0.0,0.0,0.0,0.038951874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.957447,0.0,0.0,0.0,86.883644,0.0,0.0,0.0,0.0,0.0,1372.1537,0.0
13548.01,0.001870254,18383.473,416.86743,391.20038,0.0,3521.152,4.3919206e-07,0.0,0.0,523.15466,0.08390743,0.0,0.0,345.56088,1.411689e-07,4916.844,0.23847674,447.09412,0.13451552,2428.6716,0.7400769,0.0,0.0,206.97157,1.2281694e-05,0.0,0.0,91.68231,0.0,2.2378285,0.0,61.335564,0.0,0.0,0.0,0.1077703,0.0,0.0,0.0,0.082020916,0.0,239.80208,0.0,0.0,0.0,0.37638533,0.0,0.0,0.0,0.048579637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.641708,0.0,0.0,0.0,86.230835,0.0,0.0,0.0,0.0,0.0,1372.7424,0.0
