H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14896.422,0.0016958476,20747.459,468.13013,886.1066,27.935791,3829.559,21.949692,0.0,0.0,517.5461,0.08392955,0.0,0.0,348.37045,7.842716e-08,5754.115,0.3119623,802.08014,0.10390292,2572.1538,2.2040982,0.0,0.0,204.06409,1.2869893e-05,0.0,0.0,91.44339,0.0,9.171971,0.0,159.66603,0.008973994,0.0,0.0,0.03450718,0.0,0.0,0.0,0.0,0.0,274.80887,0.0,0.0,0.0,0.3819015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.56656,0.0,0.0,0.0,86.8152,0.0,0.0,0.0,0.0,0.0,1375.0978,0.0
15021.186,0.001719294,20850.318,468.14587,890.7192,27.936432,3846.9626,21.955744,0.0,0.0,524.01495,0.08395107,0.0,0.0,348.55527,7.842716e-08,5773.6743,0.31367952,803.66486,0.10336665,2577.6377,2.3195336,0.0,0.0,206.51308,1.2799313e-05,0.0,0.0,93.258865,0.0,9.120179,0.0,161.22795,0.009059279,0.0,0.0,0.032556232,0.0,0.0,0.0,0.0,0.0,276.16635,0.0,0.0,0.0,0.49227685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78608,0.0,0.0,0.0,85.64873,0.0,0.0,0.0,0.0,0.0,1376.0942,0.0
14973.387,0.001677255,20814.873,468.1374,890.0009,27.934168,3845.2498,21.953228,0.0,0.0,520.0364,0.083916724,0.0,0.0,339.94266,7.842716e-08,5767.152,0.31491128,802.58453,0.099821724,2577.744,2.2263427,0.0,0.0,204.87694,1.2485599e-05,0.0,0.0,90.07755,0.0,9.430907,0.0,160.48357,0.010123552,0.0,0.0,0.03950582,0.0,0.0,0.0,0.0,0.0,275.28787,0.0,0.0,0.0,0.37557417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.759,0.0,0.0,0.0,84.98084,0.0,0.0,0.0,0.0,0.0,1374.4744,0.0
14994.697,0.0016947056,20841.473,468.12637,894.61633,27.938698,3845.1614,21.947004,0.0,0.0,521.42377,0.08390759,0.0,0.0,351.56995,4.70563e-08,5775.5034,0.31517857,804.07056,0.10477246,2577.4053,2.2782052,0.0,0.0,205.73352,1.3089495e-05,0.0,0.0,93.332466,0.0,9.250841,0.0,161.17436,0.010378348,0.0,0.0,0.044750493,0.0,0.0,0.0,0.0,0.0,275.83975,0.0,0.0,0.0,0.4667265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.695208,0.0,0.0,0.0,86.445076,0.0,0.0,0.0,0.0,0.0,1375.1509,0.0
14997.611,0.0016602633,20846.719,468.1243,889.54156,27.934883,3839.285,21.942469,0.0,0.0,520.214,0.08390789,0.0,0.0,350.20404,4.70563e-08,5782.748,0.3175798,803.1069,0.10362452,2571.708,2.2059805,0.0,0.0,204.19281,1.2454235e-05,0.0,0.0,92.62047,0.0,8.879113,0.0,160.64044,0.009273269,0.0,0.0,0.039333846,0.0,0.0,0.0,0.0,0.0,275.0123,0.0,0.0,0.0,0.42687926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.12606,0.0,0.0,0.0,87.17017,0.0,0.0,0.0,0.0,0.0,1374.8888,0.0
14995.855,0.0016439335,20836.832,468.10107,889.4684,27.934795,3847.082,21.952862,0.0,0.0,522.7034,0.08395279,0.0,0.0,353.6089,1.1764075e-07,5769.8647,0.3169591,801.4651,0.10547663,2577.3398,2.2422936,0.0,0.0,206.04759,1.2524818e-05,0.0,0.0,93.30361,0.0,8.727443,0.0,159.56801,0.009862106,0.0,0.0,0.027702723,0.0,0.0,0.0,0.0,0.0,275.55072,0.0,0.0,0.0,0.44635978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.802647,0.0,0.0,0.0,87.47188,0.0,0.0,0.0,0.0,0.0,1374.0221,0.0
15022.221,0.0016297653,20868.092,468.12485,896.2179,27.935913,3854.9438,21.956993,0.0,0.0,523.22076,0.08391774,0.0,0.0,347.2956,4.7056297e-08,5782.9644,0.3144929,804.3389,0.101733126,2580.823,2.1966798,0.0,0.0,206.53609,1.1967984e-05,0.0,0.0,91.80109,0.0,9.181053,0.0,161.96954,0.010061828,0.0,0.0,0.036841225,0.0,0.0,0.0,0.0,0.0,276.48962,0.0,0.0,0.0,0.43121633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.415277,0.0,0.0,0.0,87.03115,0.0,0.0,0.0,0.0,0.0,1374.5009,0.0
15051.699,0.0016679863,20895.977,468.10825,893.73456,27.935959,3853.3184,21.946987,0.0,0.0,522.2823,0.08390719,0.0,0.0,342.3271,1.7253976e-07,5786.9844,0.31730127,803.847,0.10202006,2584.1714,2.247605,0.0,0.0,206.0435,1.2877743e-05,0.0,0.0,91.168785,0.0,8.893675,0.0,161.76859,0.009527962,0.0,0.0,0.0603109,0.0,0.0,0.0,0.0,0.0,276.24298,0.0,0.0,0.0,0.6918423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43154,0.0,0.0,0.0,84.77499,0.0,0.0,0.0,0.0,0.0,1373.0381,0.0
15010.107,0.0020523502,20855.258,468.13742,894.6318,27.941675,3844.6235,21.946054,0.0,0.0,523.66815,0.08389383,0.0,0.0,350.96243,2.352815e-08,5778.2915,0.31457582,802.99774,0.10154382,2575.3743,2.1998432,0.0,0.0,206.48465,1.3183607e-05,0.0,0.0,92.55803,0.0,9.264596,0.0,162.1748,0.009774235,0.0,0.0,0.028254988,0.0,0.0,0.0,0.0,0.0,275.7034,0.0,0.0,0.0,0.57402426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.554163,0.0,0.0,0.0,87.47114,0.0,0.0,0.0,0.0,0.0,1372.7715,0.0
15066.829,0.0016765556,20910.955,468.1105,895.83844,27.930185,3863.6514,21.93541,0.0,0.0,522.29224,0.08389613,0.0,0.0,349.76257,7.842717e-09,5787.4253,0.31392515,802.98425,0.10453439,2588.2224,2.2569757,0.0,0.0,205.90778,1.214052e-05,0.0,0.0,92.75552,0.0,9.079604,0.0,163.35855,0.009676844,0.0,0.0,0.06270788,0.0,0.0,0.0,0.0,0.0,277.66766,0.0,0.0,0.0,0.5822249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62789,0.0,0.0,0.0,87.061584,0.0,0.0,0.0,0.0,0.0,1373.4277,0.0
