H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14933.313,0.0016843386,20760.775,468.13882,892.01636,27.94327,3839.5295,21.944757,0.0,0.0,521.6483,0.083956406,0.0,0.0,345.30774,7.058445e-08,5760.218,0.31337,808.462,0.10286591,2571.16,2.1892142,0.0,0.0,205.36928,1.3513004e-05,0.0,0.0,90.72441,0.0,9.46325,0.0,162.41689,0.010200442,0.0,0.0,0.027305758,0.0,0.0,0.0,0.0,0.0,277.74463,0.0,0.0,0.0,0.31370756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.773468,0.0,0.0,0.0,86.293755,0.0,0.0,0.0,0.0,0.0,1371.6245,0.0
14928.551,0.0016826588,20765.084,468.13852,892.4624,27.94828,3836.7273,21.946247,0.0,0.0,520.7838,0.08395764,0.0,0.0,343.25024,7.058444e-08,5760.794,0.315847,806.61163,0.10233263,2572.3052,2.2354145,0.0,0.0,204.65666,1.2650296e-05,0.0,0.0,90.129364,0.0,8.919619,0.0,161.73146,0.009727662,0.0,0.0,0.025385298,0.0,0.0,0.0,0.0,0.0,275.65363,0.0,0.0,0.0,0.34347278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.850405,0.0,0.0,0.0,86.64275,0.0,0.0,0.0,0.0,0.0,1376.165,0.0
14954.179,0.0016541877,20789.361,468.12506,890.55865,27.948856,3845.752,21.946672,0.0,0.0,522.3113,0.08394196,0.0,0.0,349.17783,1.5685433e-08,5765.6514,0.31504017,808.5498,0.10301407,2572.2034,2.2341828,0.0,0.0,205.69759,1.217974e-05,0.0,0.0,93.09357,0.0,9.374573,0.0,161.81024,0.009300584,0.0,0.0,0.0062750326,0.0,0.0,0.0,0.0,0.0,277.43607,0.0,0.0,0.0,0.30361015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.858807,0.0,0.0,0.0,86.23776,0.0,0.0,0.0,0.0,0.0,1374.0317,0.0
14954.981,0.001624366,20795.541,468.12448,888.05035,27.946568,3831.6843,21.95399,0.0,0.0,523.6798,0.08389233,0.0,0.0,348.05377,4.7056297e-08,5770.125,0.31712788,805.59186,0.10423818,2571.0398,2.2368133,0.0,0.0,205.68822,1.2650299e-05,0.0,0.0,91.75444,0.0,8.841088,0.0,160.07922,0.009674806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0932,0.0,0.0,0.0,0.34949884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.90502,0.0,0.0,0.0,86.672745,0.0,0.0,0.0,0.0,0.0,1377.3239,0.0
14990.888,0.0017245695,20825.867,468.11078,885.82623,27.949482,3847.489,21.954937,0.0,0.0,524.50684,0.083969116,0.0,0.0,351.78687,5.489901e-08,5778.4707,0.31249118,804.87335,0.10221573,2576.5505,2.2348585,0.0,0.0,206.6181,1.355222e-05,0.0,0.0,92.87996,0.0,8.87952,0.0,160.28983,0.009625911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.09088,0.0,0.0,0.0,0.29271615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.811369,0.0,0.0,0.0,87.18162,0.0,0.0,0.0,0.0,0.0,1375.7086,0.0
15013.88,0.0016984673,20836.549,468.1178,888.9356,27.96184,3853.5425,21.953766,0.0,0.0,525.60046,0.083932064,0.0,0.0,346.0019,2.2743876e-07,5778.645,0.31679243,804.91125,0.10069641,2579.5461,2.2479289,0.0,0.0,206.61116,1.29796945e-05,0.0,0.0,91.963295,0.0,9.09916,0.0,161.07507,0.010239799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.41302,0.0,0.0,0.0,0.36997765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.816036,0.0,0.0,0.0,86.79244,0.0,0.0,0.0,0.0,0.0,1375.4535,0.0
14964.008,0.0016256995,20803.982,468.13904,892.37384,27.950563,3841.2986,21.952852,0.0,0.0,524.7351,0.083894,0.0,0.0,350.70682,7.842716e-08,5772.78,0.31342122,807.1036,0.1034412,2574.7947,2.1900785,0.0,0.0,206.87627,1.2791474e-05,0.0,0.0,92.597916,0.0,9.279892,0.0,161.78957,0.0096131,0.0,0.0,0.016174303,0.0,0.0,0.0,0.0,0.0,277.41257,0.0,0.0,0.0,0.3996057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88907,0.0,0.0,0.0,86.46856,0.0,0.0,0.0,0.0,0.0,1373.8171,0.0
15051.894,0.0017343572,20875.256,468.1294,892.58936,27.94167,3863.8228,21.953682,0.0,0.0,526.0901,0.08393645,0.0,0.0,348.83087,4.7056297e-08,5785.609,0.31858078,806.6612,0.10404831,2583.4338,2.216486,0.0,0.0,206.92604,1.2618928e-05,0.0,0.0,92.53287,0.0,8.919788,0.0,162.44841,0.00990494,0.0,0.0,0.007486036,0.0,0.0,0.0,0.0,0.0,276.9174,0.0,0.0,0.0,0.35136887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.890284,0.0,0.0,0.0,86.83411,0.0,0.0,0.0,0.0,0.0,1374.2749,0.0
14998.394,0.0016246056,20838.479,468.11874,892.43164,27.942553,3852.4958,21.945118,0.0,0.0,526.8952,0.08391925,0.0,0.0,353.3374,5.4899015e-08,5781.732,0.31922266,806.7798,0.104156815,2580.8264,2.237455,0.0,0.0,207.83063,1.3011066e-05,0.0,0.0,94.521645,0.0,9.08683,0.0,161.25543,0.009919328,0.0,0.0,0.0479223,0.0,0.0,0.0,0.0,0.0,277.81628,0.0,0.0,0.0,0.33472213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.719017,0.0,0.0,0.0,86.720146,0.0,0.0,0.0,0.0,0.0,1373.678,0.0
15015.006,0.0016979298,20848.889,468.13498,890.0921,27.94547,3854.8496,21.94563,0.0,0.0,527.60516,0.08387047,0.0,0.0,350.49045,1.01955315e-07,5786.05,0.31169096,805.23303,0.10044393,2580.259,2.2510936,0.0,0.0,208.23466,1.2195428e-05,0.0,0.0,93.5334,0.0,9.167587,0.0,160.73828,0.009404359,0.0,0.0,0.030327022,0.0,0.0,0.0,0.0,0.0,278.43063,0.0,0.0,0.0,0.2652636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.79449,0.0,0.0,0.0,86.92348,0.0,0.0,0.0,0.0,0.0,1374.5874,0.0
