H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13848.288,0.0016082932,18221.516,424.04385,743.3496,13.961823,3378.0876,10.973106,0.0,0.0,525.1069,0.0839302,0.0,0.0,347.17255,3.921358e-08,4503.31,0.17384912,595.7668,0.05899838,2217.0981,2.2033534,0.0,0.0,207.5012,1.1936617e-05,0.0,0.0,92.707565,0.0,4.5423675,0.0,122.32099,0.005044215,0.0,0.0,0.15096723,0.0,0.0,0.0,0.087751426,0.0,240.482,0.0,0.0,0.0,0.33592144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.326014,0.0,0.0,0.0,85.54527,0.0,0.0,0.0,0.0,0.0,1374.5298,0.0
13844.822,0.0015685062,18230.342,424.0171,747.7766,13.9706955,3394.9136,10.978349,0.0,0.0,525.70776,0.08397274,0.0,0.0,351.55972,8.626988e-08,4508.8896,0.17656153,597.9665,0.05959082,2226.4797,2.208471,0.0,0.0,208.23877,1.3309091e-05,0.0,0.0,92.86093,0.0,4.663015,0.0,122.03824,0.0049967044,0.0,0.0,0.123822704,0.0,0.0,0.0,0.017822964,0.0,242.49437,0.0,0.0,0.0,0.3540474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.550014,0.0,0.0,0.0,87.331474,0.0,0.0,0.0,0.0,0.0,1375.3235,0.0
13880.034,0.0016591204,18266.664,424.02414,747.7369,13.96924,3400.2644,10.973887,0.0,0.0,522.6905,0.08398853,0.0,0.0,348.41257,2.352815e-08,4514.8296,0.17160657,598.0661,0.058078613,2225.5833,2.1796792,0.0,0.0,206.55045,1.1826817e-05,0.0,0.0,92.171524,0.0,4.6670613,0.0,122.66442,0.005118362,0.0,0.0,0.11903765,0.0,0.0,0.0,0.021693675,0.0,241.63928,0.0,0.0,0.0,0.27485296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34755,0.0,0.0,0.0,86.92424,0.0,0.0,0.0,0.0,0.0,1374.6764,0.0
13839.013,0.0015580636,18236.754,424.0214,749.4407,13.970079,3387.1887,10.967806,0.0,0.0,528.0893,0.08395549,0.0,0.0,353.93146,3.921358e-08,4509.193,0.17544892,599.9264,0.05827476,2224.9333,2.2027621,0.0,0.0,208.78218,1.4014933e-05,0.0,0.0,95.15649,0.0,4.7482724,0.0,122.64778,0.004958714,0.0,0.0,0.112777434,0.0,0.0,0.0,0.021334976,0.0,242.35321,0.0,0.0,0.0,0.36317736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.76374,0.0,0.0,0.0,86.58702,0.0,0.0,0.0,0.0,0.0,1374.5609,0.0
13886.731,0.0016092374,18266.904,424.00714,744.61804,13.966787,3383.0837,10.974546,0.0,0.0,530.08374,0.08391826,0.0,0.0,355.60703,1.0979804e-07,4513.0977,0.17130235,596.85266,0.05839514,2221.454,2.2111022,0.0,0.0,209.18593,1.2940484e-05,0.0,0.0,95.53287,0.0,4.7042055,0.0,121.66794,0.004635752,0.0,0.0,0.17398758,0.0,0.0,0.0,0.0160223,0.0,241.28104,0.0,0.0,0.0,0.47601646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.772743,0.0,0.0,0.0,86.88922,0.0,0.0,0.0,0.0,0.0,1375.7981,0.0
13851.457,0.0016281039,18235.338,424.00128,746.33545,13.974568,3390.498,10.967266,0.0,0.0,525.08734,0.08390671,0.0,0.0,351.51306,2.352815e-08,4505.4355,0.1765688,596.5307,0.058133397,2223.1797,2.2729428,0.0,0.0,207.45744,1.2830686e-05,0.0,0.0,94.21909,0.0,4.5706134,0.0,122.591675,0.00469385,0.0,0.0,0.17849688,0.0,0.0,0.0,0.0084360475,0.0,240.70337,0.0,0.0,0.0,0.48377243,0.0,0.0,0.0,0.03873649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.61078,0.0,0.0,0.0,86.6413,0.0,0.0,0.0,0.0,0.0,1373.7194,0.0
13842.645,0.0015939141,18236.348,424.02826,747.6534,13.962578,3392.213,10.974701,0.0,0.0,525.0411,0.0839121,0.0,0.0,354.21524,9.41126e-08,4508.057,0.17258498,597.6454,0.059522014,2227.478,2.2462487,0.0,0.0,207.26726,1.2932641e-05,0.0,0.0,94.62106,0.0,4.5961137,0.0,122.561005,0.004520197,0.0,0.0,0.15966049,0.0,0.0,0.0,0.0,0.0,241.04347,0.0,0.0,0.0,0.37213567,0.0,0.0,0.0,0.015165285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.850626,0.0,0.0,0.0,86.42862,0.0,0.0,0.0,0.0,0.0,1374.5687,0.0
13885.366,0.0015838529,18290.207,424.01132,750.9969,13.967584,3398.4846,10.969451,0.0,0.0,525.0031,0.083910815,0.0,0.0,355.56656,5.489902e-08,4525.613,0.17639026,600.1995,0.060427874,2228.7402,2.235711,0.0,0.0,206.22551,1.227385e-05,0.0,0.0,95.56095,0.0,4.7495418,0.0,122.9469,0.005013975,0.0,0.0,0.17397177,0.0,0.0,0.0,0.0,0.0,240.66937,0.0,0.0,0.0,0.32357517,0.0,0.0,0.0,0.0070475056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.007761,0.0,0.0,0.0,86.662186,0.0,0.0,0.0,0.0,0.0,1372.5841,0.0
13896.066,0.0016061568,18290.168,424.03915,750.08673,13.971162,3386.0024,10.975406,0.0,0.0,526.7854,0.08391819,0.0,0.0,347.0023,4.70563e-08,4522.213,0.17605896,598.41254,0.058630258,2224.976,2.2102215,0.0,0.0,207.72688,1.3567896e-05,0.0,0.0,93.05263,0.0,4.558333,0.0,121.60013,0.0050061005,0.0,0.0,0.18411976,0.0,0.0,0.0,0.0,0.0,240.8161,0.0,0.0,0.0,0.4221524,0.0,0.0,0.0,0.014024382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.76627,0.0,0.0,0.0,87.00784,0.0,0.0,0.0,0.0,0.0,1374.423,0.0
13931.101,0.0016214201,18328.182,423.9998,748.8746,13.978867,3396.6438,10.970175,0.0,0.0,523.93176,0.08393439,0.0,0.0,354.4082,5.489902e-08,4534.7866,0.1768583,599.177,0.05891348,2230.4275,2.2387235,0.0,0.0,206.9552,1.2909112e-05,0.0,0.0,93.52997,0.0,4.474311,0.0,123.16973,0.0046273456,0.0,0.0,0.17244898,0.0,0.0,0.0,0.007244524,0.0,241.35838,0.0,0.0,0.0,0.39091825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.685728,0.0,0.0,0.0,87.67724,0.0,0.0,0.0,0.0,0.0,1376.0763,0.0
