H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
16275.18,0.0017891631,23849.273,521.06903,1044.2435,44.72067,4340.332,35.110886,0.0,0.0,527.20154,0.08389899,0.0,0.0,354.89658,1.5685433e-07,7284.1484,0.47683424,1043.7954,0.15710574,2967.9568,2.1897657,0.0,0.0,207.96951,1.3136552e-05,0.0,0.0,94.45939,0.0,14.41091,0.0,200.0458,0.0155582875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.52927,0.0,0.0,0.0,0.3399076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.762882,0.0,0.0,0.0,87.533035,0.0,0.0,0.0,0.0,0.0,1375.6471,0.0
16342.392,0.001783151,23921.826,521.0568,1047.9932,44.720634,4350.9263,35.12086,0.0,0.0,524.572,0.08390436,0.0,0.0,348.96304,1.411689e-07,7308.91,0.48897716,1046.9994,0.1566042,2972.7222,2.2246194,0.0,0.0,206.16685,1.2618925e-05,0.0,0.0,91.79446,0.0,14.788622,0.0,200.57642,0.014680103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.52496,0.0,0.0,0.0,0.253983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.996449,0.0,0.0,0.0,87.671974,0.0,0.0,0.0,0.0,0.0,1372.8633,0.0
16327.598,0.0017535182,23908.148,521.045,1044.9432,44.71034,4357.4136,35.12079,0.0,0.0,523.9878,0.08391277,0.0,0.0,349.8317,2.352815e-08,7304.886,0.48513576,1044.7573,0.15873289,2974.8357,2.1839142,0.0,0.0,206.23668,1.3356147e-05,0.0,0.0,92.104935,0.0,14.1254635,0.0,200.22565,0.0152502265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.69354,0.0,0.0,0.0,0.25743783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.075254,0.0,0.0,0.0,87.57762,0.0,0.0,0.0,0.0,0.0,1372.2782,0.0
16336.974,0.0017516954,23907.975,521.06555,1046.2383,44.70722,4360.887,35.118164,0.0,0.0,526.644,0.08393179,0.0,0.0,349.13333,9.411259e-08,7297.5264,0.48507747,1046.1324,0.15487018,2973.8618,2.1622972,0.0,0.0,208.04683,1.2242485e-05,0.0,0.0,92.85979,0.0,14.591356,0.0,200.93027,0.015200517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0193,0.0,0.0,0.0,0.38035566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.684647,0.0,0.0,0.0,86.36283,0.0,0.0,0.0,0.0,0.0,1374.101,0.0
16325.67,0.0017358902,23905.072,521.05206,1047.0043,44.714928,4356.177,35.118145,0.0,0.0,526.10657,0.08392247,0.0,0.0,354.0049,3.921358e-08,7295.9688,0.48260188,1046.6216,0.15809694,2967.0261,2.2211778,0.0,0.0,207.39227,1.31365505e-05,0.0,0.0,93.45031,0.0,14.915578,0.0,201.31088,0.015517164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.9322,0.0,0.0,0.0,0.3472966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84869,0.0,0.0,0.0,87.22367,0.0,0.0,0.0,0.0,0.0,1377.1768,0.0
16400.012,0.0018447508,23973.924,521.02686,1047.1539,44.70236,4376.952,35.108273,0.0,0.0,526.4946,0.08393149,0.0,0.0,349.46375,7.058445e-08,7313.5312,0.4852566,1046.9034,0.16010201,2979.4712,2.2247944,0.0,0.0,207.58434,1.240718e-05,0.0,0.0,92.39861,0.0,14.534118,0.0,201.28497,0.015281838,0.0,0.0,0.024209052,0.0,0.0,0.0,0.0,0.0,320.78278,0.0,0.0,0.0,0.4725379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.82609,0.0,0.0,0.0,86.99074,0.0,0.0,0.0,0.0,0.0,1374.8107,0.0
16346.618,0.001790197,23924.729,521.0738,1048.7925,44.69251,4378.886,35.125298,0.0,0.0,525.0699,0.08393151,0.0,0.0,349.57224,4.7056297e-08,7301.4854,0.4833988,1047.8196,0.15540919,2984.292,2.2258306,0.0,0.0,206.48198,1.3097338e-05,0.0,0.0,92.99139,0.0,14.533687,0.0,200.86931,0.01505353,0.0,0.0,0.05320437,0.0,0.0,0.0,0.0,0.0,320.31546,0.0,0.0,0.0,0.4159285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.138582,0.0,0.0,0.0,87.25451,0.0,0.0,0.0,0.0,0.0,1373.7579,0.0
16395.428,0.0027168826,23978.648,521.06696,1053.7123,44.71524,4377.8257,35.102695,0.0,0.0,528.8213,0.08391958,0.0,0.0,351.49615,7.842716e-08,7320.117,0.49263453,1048.0898,0.15679473,2985.1306,2.2594182,0.0,0.0,208.8469,1.2564034e-05,0.0,0.0,93.96102,0.0,14.644278,0.0,202.40036,0.014672184,0.0,0.0,0.039472662,0.0,0.0,0.0,0.0,0.0,320.82874,0.0,0.0,0.0,0.4403938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.747486,0.0,0.0,0.0,86.62794,0.0,0.0,0.0,0.0,0.0,1374.3253,0.0
16372.134,0.0017997327,23972.863,521.0645,1054.8008,44.70944,4364.9165,35.120716,0.0,0.0,524.84357,0.083949775,0.0,0.0,353.51697,4.70563e-08,7322.6543,0.48593456,1051.2605,0.15402557,2981.684,2.236546,0.0,0.0,206.75388,1.27914645e-05,0.0,0.0,93.36373,0.0,14.632593,0.0,200.75871,0.01448457,0.0,0.0,0.02700537,0.0,0.0,0.0,0.0,0.0,319.1999,0.0,0.0,0.0,0.4268163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.813711,0.0,0.0,0.0,87.73828,0.0,0.0,0.0,0.0,0.0,1373.6909,0.0
16401.178,0.00175793,23986.281,521.0411,1052.7238,44.712135,4383.1357,35.124146,0.0,0.0,527.3553,0.08396217,0.0,0.0,348.05344,9.411259e-08,7318.578,0.48149407,1048.1008,0.15640755,2988.13,2.1787975,0.0,0.0,208.0263,1.3662014e-05,0.0,0.0,92.638885,0.0,14.209248,0.0,202.15852,0.015657458,0.0,0.0,0.049834356,0.0,0.0,0.0,0.0,0.0,319.75424,0.0,0.0,0.0,0.39969784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.776293,0.0,0.0,0.0,87.190636,0.0,0.0,0.0,0.0,0.0,1374.6002,0.0
16487.047,0.0017413062,24065.662,521.0365,1056.2115,44.7036,4395.225,35.115242,0.0,0.0,529.43835,0.08392893,0.0,0.0,349.00006,6.2741734e-08,7335.909,0.4828385,1048.8004,0.1572026,2990.8098,2.203395,0.0,0.0,208.15007,1.2375812e-05,0.0,0.0,92.24853,0.0,14.636138,0.0,203.87149,0.0154232215,0.0,0.0,0.07283838,0.0,0.0,0.0,0.0,0.0,320.06906,0.0,0.0,0.0,0.47527537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.08698,0.0,0.0,0.0,87.39512,0.0,0.0,0.0,0.0,0.0,1376.4532,0.0
16451.504,0.0017898718,24050.678,521.0575,1055.2081,44.70782,4405.1196,35.112522,0.0,0.0,523.2743,0.0839489,0.0,0.0,354.5356,3.1370867e-08,7340.3247,0.4825525,1050.4117,0.1558079,2993.8577,2.248308,0.0,0.0,206.05759,1.3356144e-05,0.0,0.0,93.44917,0.0,14.393804,0.0,202.88109,0.0152461305,0.0,0.0,0.045079507,0.0,0.0,0.0,0.0,0.0,322.02383,0.0,0.0,0.0,0.40329233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.964724,0.0,0.0,0.0,87.87486,0.0,0.0,0.0,0.0,0.0,1372.378,0.0
16490.71,0.0018030707,24090.654,521.06683,1057.5005,44.693058,4415.778,35.119053,0.0,0.0,522.3239,0.08385365,0.0,0.0,346.16333,7.058445e-08,7352.6333,0.47964472,1051.6755,0.15595157,3001.8013,2.196163,0.0,0.0,205.68256,1.2556193e-05,0.0,0.0,90.58482,0.0,14.776714,0.0,204.42953,0.0151105635,0.0,0.0,0.06085988,0.0,0.0,0.0,0.0,0.0,321.84012,0.0,0.0,0.0,0.31795314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.906248,0.0,0.0,0.0,86.7744,0.0,0.0,0.0,0.0,0.0,1374.8513,0.0
16451.377,0.0017707463,24047.69,521.0564,1059.8783,44.71984,4407.658,35.126553,0.0,0.0,524.96204,0.083944365,0.0,0.0,347.4392,5.489901e-08,7332.8564,0.48909056,1050.351,0.15725523,2996.3286,2.212578,0.0,0.0,206.35777,1.2595408e-05,0.0,0.0,91.41603,0.0,14.563829,0.0,203.34775,0.015027286,0.0,0.0,0.056477677,0.0,0.0,0.0,0.0,0.0,322.71686,0.0,0.0,0.0,0.3805883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.051947,0.0,0.0,0.0,87.76989,0.0,0.0,0.0,0.0,0.0,1374.1088,0.0
