H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13140.647,0.0014300329,17272.965,404.4955,442.68506,2.352815e-08,3283.1772,3.8429306e-07,0.0,0.0,527.1256,0.08392854,0.0,0.0,347.93738,3.921358e-08,4324.557,0.17224985,426.27936,0.09171085,2218.426,1.2700807,0.0,0.0,207.86899,1.3081649e-05,0.0,0.0,92.12003,0.0,1.6000645,0.0,65.85975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.89334,0.0,0.0,0.0,0.30575836,0.0,0.0,0.0,0.09327425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.838615,0.0,0.0,0.0,86.6888,0.0,0.0,0.0,0.0,0.0,1373.4199,0.0
13182.553,0.0014039326,17304.219,404.53488,442.9951,3.921358e-08,3297.3247,2.7449505e-07,0.0,0.0,522.9149,0.08387059,0.0,0.0,344.23892,7.058445e-08,4325.8027,0.16974436,426.3345,0.09451668,2221.045,1.2780541,0.0,0.0,206.34901,1.3536531e-05,0.0,0.0,90.9506,0.0,1.6983261,0.0,66.34731,0.0,0.0,0.0,0.016863007,0.0,0.0,0.0,0.0,0.0,229.45293,0.0,0.0,0.0,0.37847838,0.0,0.0,0.0,0.13247296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.629498,0.0,0.0,0.0,87.19748,0.0,0.0,0.0,0.0,0.0,1374.3673,0.0
13152.729,0.0014200382,17287.453,404.58124,444.57196,7.842717e-09,3291.5564,3.2939406e-07,0.0,0.0,521.7943,0.08392362,0.0,0.0,349.77264,1.3332618e-07,4327.7896,0.17104866,426.7606,0.09435967,2223.1577,1.1813011,0.0,0.0,206.19705,1.3301254e-05,0.0,0.0,91.74962,0.0,1.642376,0.0,66.51181,0.0,0.0,0.0,0.01538281,0.0,0.0,0.0,0.0,0.0,229.2457,0.0,0.0,0.0,0.43799704,0.0,0.0,0.0,0.12860613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.460289,0.0,0.0,0.0,87.68307,0.0,0.0,0.0,0.0,0.0,1374.3516,0.0
13239.543,0.0014018983,17378.215,404.5485,449.53586,0.0,3309.9653,2.980232e-07,0.0,0.0,522.84686,0.083949715,0.0,0.0,347.48245,1.1764074e-07,4354.6807,0.17387943,429.42145,0.09645253,2232.4153,1.226179,0.0,0.0,205.927,1.30502885e-05,0.0,0.0,91.46205,0.0,1.7797099,0.0,67.316864,0.0,0.0,0.0,0.025813244,0.0,0.0,0.0,0.0,0.0,229.32715,0.0,0.0,0.0,0.27969077,0.0,0.0,0.0,0.0063773585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66738,0.0,0.0,0.0,87.086334,0.0,0.0,0.0,0.0,0.0,1375.9474,0.0
13264.746,0.0014608039,17398.469,404.54385,445.53342,2.352815e-08,3310.2268,3.6076491e-07,0.0,0.0,523.4105,0.083888344,0.0,0.0,346.5704,7.842716e-08,4349.944,0.17137471,425.49704,0.09169948,2229.0583,1.2534478,0.0,0.0,206.87816,1.3371835e-05,0.0,0.0,90.39301,0.0,1.6124442,0.0,66.40057,0.0,0.0,0.0,0.065446936,0.0,0.0,0.0,0.0,0.0,229.62955,0.0,0.0,0.0,0.36921892,0.0,0.0,0.0,0.0067388555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.80975,0.0,0.0,0.0,87.5486,0.0,0.0,0.0,0.0,0.0,1373.3097,0.0
13250.572,0.0014916823,17392.416,404.54575,447.82028,3.1370867e-08,3308.6526,4.548775e-07,0.0,0.0,525.69574,0.083932705,0.0,0.0,350.9439,6.2741734e-08,4352.657,0.17204627,428.1963,0.09472195,2229.3767,1.2787155,0.0,0.0,208.16742,1.3536532e-05,0.0,0.0,92.382,0.0,1.7032048,0.0,66.96362,0.0,0.0,0.0,0.04775822,0.0,0.0,0.0,0.0,0.0,229.88667,0.0,0.0,0.0,0.3953,0.0,0.0,0.0,0.006452487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.494368,0.0,0.0,0.0,87.147964,0.0,0.0,0.0,0.0,0.0,1378.8868,0.0
13247.872,0.0014239473,17388.75,404.54703,448.35773,7.058444e-08,3321.6797,3.9213577e-07,0.0,0.0,522.71783,0.08394798,0.0,0.0,344.48038,8.626988e-08,4353.505,0.17178512,429.08905,0.094662234,2237.757,1.2457013,0.0,0.0,206.4001,1.3136548e-05,0.0,0.0,90.37869,0.0,1.9219065,0.0,66.23186,0.0,0.0,0.0,0.03321191,0.0,0.0,0.0,0.0,0.0,231.96916,0.0,0.0,0.0,0.33701628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.552105,0.0,0.0,0.0,86.20346,0.0,0.0,0.0,0.0,0.0,1378.1354,0.0
13259.293,0.0014640184,17407.697,404.57108,447.63632,1.5685433e-08,3315.865,4.627202e-07,0.0,0.0,525.4716,0.08390025,0.0,0.0,348.2455,3.921358e-08,4364.2783,0.17211773,429.33255,0.095261365,2234.4878,1.2439122,0.0,0.0,208.66302,1.3646321e-05,0.0,0.0,91.32876,0.0,1.7930131,0.0,66.84097,0.0,0.0,0.0,0.022832995,0.0,0.0,0.0,0.0,0.0,229.45125,0.0,0.0,0.0,0.3888684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.169859,0.0,0.0,0.0,87.55894,0.0,0.0,0.0,0.0,0.0,1374.4264,0.0
13237.159,0.0013900205,17362.244,404.51794,445.44907,2.352815e-08,3304.7568,4.7840564e-07,0.0,0.0,525.0395,0.08386455,0.0,0.0,344.49075,3.921358e-08,4344.728,0.17386867,427.14664,0.09556505,2227.8035,1.2364337,0.0,0.0,208.46933,1.2665991e-05,0.0,0.0,90.52294,0.0,1.7563077,0.0,66.116806,0.0,0.0,0.0,0.061048795,0.0,0.0,0.0,0.0,0.0,229.64986,0.0,0.0,0.0,0.3385274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.12069,0.0,0.0,0.0,86.71187,0.0,0.0,0.0,0.0,0.0,1376.824,0.0
13235.769,0.0014150692,17385.82,404.5277,447.26385,3.1370867e-08,3315.2415,2.9018048e-07,0.0,0.0,524.14264,0.08397831,0.0,0.0,345.6766,3.921358e-08,4354.6,0.17474474,427.77103,0.09696574,2235.077,1.2462306,0.0,0.0,207.9228,1.32385085e-05,0.0,0.0,90.86728,0.0,1.6891294,0.0,66.53036,0.0,0.0,0.0,0.025599983,0.0,0.0,0.0,0.0,0.0,229.81331,0.0,0.0,0.0,0.28075644,0.0,0.0,0.0,0.021193702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.328402,0.0,0.0,0.0,86.60695,0.0,0.0,0.0,0.0,0.0,1375.5757,0.0
