H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13280.631,0.0013790493,17472.822,404.5473,467.29474,1.5685433e-08,3325.9314,4.2350663e-07,0.0,0.0,525.01196,0.083927184,0.0,0.0,346.20782,5.489902e-08,4360.3813,0.17122607,434.13687,0.09250477,2243.7783,1.249194,0.0,0.0,207.06935,1.2979703e-05,0.0,0.0,91.977806,0.0,2.2712793,0.0,69.92303,0.0,0.0,0.0,0.065221064,0.0,0.0,0.0,0.0,0.0,228.2844,0.0,0.0,0.0,0.4438185,0.0,0.0,0.0,0.1496777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.772919,0.0,0.0,0.0,85.27508,0.0,0.0,0.0,0.0,0.0,1375.5693,0.0
13294.82,0.0013946207,17504.508,404.5209,462.63138,3.921358e-08,3319.9133,3.4507948e-07,0.0,0.0,523.3497,0.083964355,0.0,0.0,348.58502,3.1370867e-08,4370.989,0.17339347,433.01004,0.09401714,2237.4639,1.2353554,0.0,0.0,206.81828,1.3646329e-05,0.0,0.0,91.69682,0.0,2.3239863,0.0,68.04972,0.0,0.0,0.0,0.078724444,0.0,0.0,0.0,0.0,0.0,228.37897,0.0,0.0,0.0,0.49041766,0.0,0.0,0.0,0.17913112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.637228,0.0,0.0,0.0,85.87253,0.0,0.0,0.0,0.0,0.0,1374.0067,0.0
13348.316,0.0014359293,17561.889,404.56488,467.9913,7.842717e-09,3342.4412,3.6076491e-07,0.0,0.0,523.0604,0.08398654,0.0,0.0,341.65234,1.5685433e-08,4385.3594,0.17076217,434.23914,0.09261151,2246.84,1.2235343,0.0,0.0,206.99037,1.3614956e-05,0.0,0.0,90.70557,0.0,2.2361238,0.0,69.209595,0.0,0.0,0.0,0.118124865,0.0,0.0,0.0,0.0,0.0,230.77554,0.0,0.0,0.0,0.35957408,0.0,0.0,0.0,0.12806548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.525902,0.0,0.0,0.0,86.59314,0.0,0.0,0.0,0.0,0.0,1373.6925,0.0
13333.361,0.0067624557,17535.271,404.54752,466.31677,1.5685433e-08,3334.5566,3.999785e-07,0.0,0.0,526.11304,0.083877556,0.0,0.0,349.24515,9.41126e-08,4376.838,0.17070144,434.39014,0.09510506,2245.2104,1.1954323,0.0,0.0,207.99292,1.2909108e-05,0.0,0.0,92.650116,0.0,2.2623103,0.0,69.50516,0.0,0.0,0.0,0.12817927,0.0,0.0,0.0,0.0,0.0,231.07648,0.0,0.0,0.0,0.4220389,0.0,0.0,0.0,0.16623694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.76629,0.0,0.0,0.0,86.3781,0.0,0.0,0.0,0.0,0.0,1373.3423,0.0
13307.832,0.0016496402,17510.816,404.5625,465.92648,5.489901e-08,3324.005,3.8429306e-07,0.0,0.0,526.1002,0.08390058,0.0,0.0,349.1346,1.5685433e-08,4366.8096,0.17327413,432.5201,0.09492753,2239.7773,1.2555255,0.0,0.0,207.4268,1.2713046e-05,0.0,0.0,93.08208,0.0,2.1448944,0.0,68.730286,0.0,0.0,0.0,0.084589496,0.0,0.0,0.0,0.0,0.0,229.7637,0.0,0.0,0.0,0.42399177,0.0,0.0,0.0,0.1146809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.07724,0.0,0.0,0.0,85.91343,0.0,0.0,0.0,0.0,0.0,1374.0181,0.0
13320.835,0.001451384,17549.799,404.55173,470.39117,1.5685433e-08,3340.2026,4.078212e-07,0.0,0.0,519.49896,0.08394389,0.0,0.0,343.53467,9.411259e-08,4387.8496,0.1726674,436.95435,0.093539365,2251.121,1.2414421,0.0,0.0,205.0057,1.3379676e-05,0.0,0.0,88.84162,0.0,2.3006399,0.0,70.41198,0.0,0.0,0.0,0.0821156,0.0,0.0,0.0,0.0,0.0,228.59659,0.0,0.0,0.0,0.46436208,0.0,0.0,0.0,0.13834001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97947,0.0,0.0,0.0,86.45114,0.0,0.0,0.0,0.0,0.0,1376.1665,0.0
13268.733,0.0014172667,17482.824,404.55408,465.48788,0.0,3314.953,3.529222e-07,0.0,0.0,520.4505,0.0839043,0.0,0.0,343.2361,5.489902e-08,4359.7573,0.17334905,432.759,0.09338566,2238.272,1.2634676,0.0,0.0,204.95311,1.27051935e-05,0.0,0.0,90.49724,0.0,2.0816429,0.0,69.72221,0.0,0.0,0.0,0.026747845,0.0,0.0,0.0,0.0,0.0,228.58748,0.0,0.0,0.0,0.55899,0.0,0.0,0.0,0.14668903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.91657,0.0,0.0,0.0,86.33885,0.0,0.0,0.0,0.0,0.0,1374.2863,0.0
13367.957,0.0014080778,17569.895,404.51746,464.49176,1.5685433e-08,3328.1758,3.999785e-07,0.0,0.0,523.8236,0.08398445,0.0,0.0,342.5506,7.842716e-08,4383.9673,0.17287074,432.7467,0.093679994,2242.4875,1.251635,0.0,0.0,206.37608,1.29953805e-05,0.0,0.0,89.84576,0.0,2.1895685,0.0,68.959,0.0,0.0,0.0,0.07582153,0.0,0.0,0.0,0.0,0.0,228.70493,0.0,0.0,0.0,0.5500619,0.0,0.0,0.0,0.10874439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.858654,0.0,0.0,0.0,85.79838,0.0,0.0,0.0,0.0,0.0,1374.4205,0.0
13344.332,0.001416011,17562.592,404.55927,469.23367,1.5685433e-08,3337.003,4.4703478e-07,0.0,0.0,527.358,0.083885334,0.0,0.0,347.40842,8.626988e-08,4385.4526,0.17402288,434.45795,0.09420364,2248.8455,1.2217087,0.0,0.0,207.96179,1.307381e-05,0.0,0.0,93.45647,0.0,2.1308732,0.0,69.3139,0.0,0.0,0.0,0.094496705,0.0,0.0,0.0,0.0,0.0,229.23486,0.0,0.0,0.0,0.61259866,0.0,0.0,0.0,0.12150272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.794779,0.0,0.0,0.0,85.96994,0.0,0.0,0.0,0.0,0.0,1374.5631,0.0
13364.967,0.0015830275,17586.12,404.55328,470.80063,1.5685433e-08,3343.2566,3.9213577e-07,0.0,0.0,524.35736,0.08392527,0.0,0.0,346.35468,3.1370867e-08,4384.851,0.17297219,435.34424,0.09623859,2249.0237,1.2314777,0.0,0.0,207.34119,1.2501291e-05,0.0,0.0,92.03151,0.0,2.0945842,0.0,69.734566,0.0,0.0,0.0,0.045838345,0.0,0.0,0.0,0.0,0.0,229.8076,0.0,0.0,0.0,0.3660966,0.0,0.0,0.0,0.12166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.477968,0.0,0.0,0.0,85.57692,0.0,0.0,0.0,0.0,0.0,1374.3846,0.0
