H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13615.12,0.0013705562,18519.445,419.34204,369.3451,3.1370867e-08,3579.6052,4.7056292e-07,0.0,0.0,524.01483,0.083947845,0.0,0.0,349.9415,2.352815e-08,5011.3096,0.25341707,447.2197,0.1406236,2469.632,0.6529867,0.0,0.0,206.33269,1.234443e-05,0.0,0.0,91.90509,0.0,2.2355888,0.0,59.497868,0.0,0.0,0.0,0.1233962,0.0,0.0,0.0,0.0065285647,0.0,246.06596,0.0,0.0,0.0,0.384032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.841604,0.0,0.0,0.0,87.23339,0.0,0.0,0.0,0.0,0.0,1376.7817,0.0
13652.42,0.001371334,18565.355,419.3354,377.61542,1.5685433e-08,3589.8452,4.078212e-07,0.0,0.0,521.0316,0.08387893,0.0,0.0,340.44717,3.921358e-08,5015.87,0.25343242,449.8884,0.13888842,2473.7,0.6423082,0.0,0.0,205.81532,1.2767942e-05,0.0,0.0,89.18549,0.0,2.2426856,0.0,60.827763,0.0,0.0,0.0,0.18946388,0.0,0.0,0.0,0.009353116,0.0,245.9815,0.0,0.0,0.0,0.41317138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.80149,0.0,0.0,0.0,87.166916,0.0,0.0,0.0,0.0,0.0,1375.2992,0.0
13622.144,0.001357947,18543.766,419.34354,376.58237,1.5685433e-08,3578.6934,4.862484e-07,0.0,0.0,521.9194,0.083938986,0.0,0.0,348.09225,1.4901161e-07,5024.9175,0.2547366,452.49362,0.14412527,2471.127,0.6494638,0.0,0.0,206.1476,1.2697364e-05,0.0,0.0,91.71694,0.0,2.4982705,0.0,60.332603,0.0,0.0,0.0,0.09667019,0.0,0.0,0.0,0.0,0.0,245.6382,0.0,0.0,0.0,0.2831983,0.0,0.0,0.0,0.0054914383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.883701,0.0,0.0,0.0,87.54108,0.0,0.0,0.0,0.0,0.0,1376.2018,0.0
13614.836,0.0014139365,18523.06,419.32303,375.91013,7.842717e-09,3590.19,3.999785e-07,0.0,0.0,519.4255,0.08395243,0.0,0.0,340.94,7.058445e-08,5013.0376,0.2535219,452.94022,0.13958988,2474.9106,0.65829563,0.0,0.0,204.94391,1.2069944e-05,0.0,0.0,89.662186,0.0,2.6489613,0.0,60.431217,0.0,0.0,0.0,0.13386539,0.0,0.0,0.0,0.0,0.0,247.22931,0.0,0.0,0.0,0.3762934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.938225,0.0,0.0,0.0,87.3548,0.0,0.0,0.0,0.0,0.0,1374.1055,0.0
13687.598,0.0013894989,18595.51,419.29764,376.61664,2.352815e-08,3604.0857,4.7056292e-07,0.0,0.0,526.56604,0.083925806,0.0,0.0,350.19,5.489902e-08,5034.422,0.25395054,453.12073,0.14456758,2483.2866,0.61856633,0.0,0.0,207.82497,1.1920922e-05,0.0,0.0,93.277794,0.0,2.5318565,0.0,61.368404,0.0,0.0,0.0,0.1821643,0.0,0.0,0.0,0.008396353,0.0,248.47723,0.0,0.0,0.0,0.3699505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.137058,0.0,0.0,0.0,86.75585,0.0,0.0,0.0,0.0,0.0,1376.6752,0.0
13678.358,0.0013807799,18585.865,419.31818,378.53717,1.5685433e-08,3599.9084,4.078212e-07,0.0,0.0,523.4504,0.08393107,0.0,0.0,347.7088,9.41126e-08,5029.423,0.25271013,453.8235,0.14086042,2477.5486,0.6326077,0.0,0.0,206.80968,1.2862059e-05,0.0,0.0,91.33031,0.0,2.6876936,0.0,60.454174,0.0,0.0,0.0,0.18196662,0.0,0.0,0.0,0.008165451,0.0,247.42262,0.0,0.0,0.0,0.2999748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.866304,0.0,0.0,0.0,87.52284,0.0,0.0,0.0,0.0,0.0,1375.3346,0.0
13691.766,0.0014107254,18598.566,419.3457,375.58078,2.352815e-08,3601.595,6.431031e-07,0.0,0.0,524.99097,0.08399225,0.0,0.0,345.9511,4.7056297e-08,5028.97,0.25486073,454.00266,0.13730559,2478.7427,0.6562437,0.0,0.0,207.60931,1.3199287e-05,0.0,0.0,93.33449,0.0,2.7340047,0.0,60.52773,0.0,0.0,0.0,0.16048934,0.0,0.0,0.0,0.005941977,0.0,247.68448,0.0,0.0,0.0,0.28338847,0.0,0.0,0.0,0.0058130533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.81056,0.0,0.0,0.0,86.46877,0.0,0.0,0.0,0.0,0.0,1373.8114,0.0
13722.022,0.0014081543,18639.836,419.30862,375.93167,7.842717e-09,3604.241,5.0193387e-07,0.0,0.0,524.20746,0.08393638,0.0,0.0,347.57925,1.01955315e-07,5042.991,0.25738576,451.7628,0.14007547,2482.8232,0.6672339,0.0,0.0,206.70859,1.3262037e-05,0.0,0.0,92.243355,0.0,2.6094112,0.0,59.545708,0.0,0.0,0.0,0.11730162,0.0,0.0,0.0,0.0,0.0,247.46318,0.0,0.0,0.0,0.2105756,0.0,0.0,0.0,0.0052892854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.994574,0.0,0.0,0.0,86.53553,0.0,0.0,0.0,0.0,0.0,1376.7095,0.0
13651.684,0.0013670116,18574.068,419.324,374.1237,7.842717e-09,3591.5398,4.078212e-07,0.0,0.0,523.46185,0.08387466,0.0,0.0,344.5322,3.1370867e-08,5029.47,0.25387383,451.45557,0.13936996,2478.0684,0.637954,0.0,0.0,206.48944,1.316008e-05,0.0,0.0,91.81517,0.0,2.5732262,0.0,60.5396,0.0,0.0,0.0,0.12915629,0.0,0.0,0.0,0.005488391,0.0,245.62358,0.0,0.0,0.0,0.34741825,0.0,0.0,0.0,0.0283327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.745224,0.0,0.0,0.0,86.09626,0.0,0.0,0.0,0.0,0.0,1373.5275,0.0
13696.078,0.0014420896,18623.488,419.32434,377.455,3.1370867e-08,3600.2053,4.7056292e-07,0.0,0.0,525.3192,0.08386258,0.0,0.0,348.2335,2.352815e-08,5042.886,0.2539839,453.29257,0.14071876,2481.2708,0.6595346,0.0,0.0,207.67357,1.2367965e-05,0.0,0.0,92.848236,0.0,2.5642443,0.0,60.639126,0.0,0.0,0.0,0.13561767,0.0,0.0,0.0,0.008194592,0.0,246.17235,0.0,0.0,0.0,0.3235261,0.0,0.0,0.0,0.025003098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.680511,0.0,0.0,0.0,87.241554,0.0,0.0,0.0,0.0,0.0,1374.048,0.0
