H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13009.175,0.0015491397,16492.543,394.50708,616.95807,5.4854894,3246.6472,8.771236,0.0,0.0,585.0225,0.08394443,0.0,0.0,350.0077,4.7056297e-08,3709.101,0.08827998,449.9679,0.046115804,2132.2463,2.2320447,0.0,0.0,282.0922,2.9253286e-05,0.0,0.0,93.37603,0.0,10.164351,0.0,139.06796,0.0046769883,0.0,0.0,5.315509,0.0,0.0,0.0,0.05447617,0.0,256.48596,0.0,0.0,0.0,10.736252,0.0,0.0,0.0,0.09467874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.12099,0.0,0.0,0.0,85.593704,0.0,0.0,0.0,0.0,0.0,1372.5481,0.0
13022.012,0.0015029716,16496.207,394.46704,617.10974,5.483277,3250.4302,8.775385,0.0,0.0,583.55774,0.08393286,0.0,0.0,347.8046,2.352815e-08,3707.705,0.08823388,449.55493,0.047921177,2132.0408,2.271294,0.0,0.0,281.28937,2.8045504e-05,0.0,0.0,92.03927,0.0,10.14575,0.0,138.44902,0.0041197157,0.0,0.0,5.2894945,0.0,0.0,0.0,0.05752968,0.0,258.47528,0.0,0.0,0.0,10.459825,0.0,0.0,0.0,0.07040329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96861,0.0,0.0,0.0,86.69867,0.0,0.0,0.0,0.0,0.0,1373.5137,0.0
13031.225,0.0015026256,16515.037,394.4872,616.10266,5.487837,3251.1526,8.77913,0.0,0.0,581.972,0.08394223,0.0,0.0,349.31857,3.921358e-08,3715.5454,0.088015854,449.50574,0.04734534,2133.2659,2.276919,0.0,0.0,280.5051,2.8210188e-05,0.0,0.0,91.96968,0.0,10.295783,0.0,139.48936,0.004782818,0.0,0.0,5.22865,0.0,0.0,0.0,0.08774265,0.0,255.81435,0.0,0.0,0.0,10.629233,0.0,0.0,0.0,0.06831709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.158398,0.0,0.0,0.0,86.662735,0.0,0.0,0.0,0.0,0.0,1372.98,0.0
13050.041,0.0015365399,16533.107,394.4546,615.49365,5.4799953,3254.8127,8.779271,0.0,0.0,583.865,0.08390613,0.0,0.0,350.0268,5.489901e-08,3717.688,0.08841432,448.74408,0.049667377,2134.9136,2.2526915,0.0,0.0,280.93777,2.8061182e-05,0.0,0.0,93.24286,0.0,10.076975,0.0,139.02888,0.0043462613,0.0,0.0,5.0557847,0.0,0.0,0.0,0.06181389,0.0,258.35715,0.0,0.0,0.0,10.423869,0.0,0.0,0.0,0.030855274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09539,0.0,0.0,0.0,86.20252,0.0,0.0,0.0,0.0,0.0,1372.8064,0.0
13049.209,0.0015286847,16538.693,394.44193,614.5852,5.4815173,3247.348,8.77532,0.0,0.0,589.1664,0.08391143,0.0,0.0,346.93216,6.2741734e-08,3721.465,0.08987612,448.80093,0.0489062,2132.7766,2.2907715,0.0,0.0,282.51392,2.7292588e-05,0.0,0.0,92.38166,0.0,10.061917,0.0,138.46318,0.0045295935,0.0,0.0,5.4534483,0.0,0.0,0.0,0.07884179,0.0,257.88428,0.0,0.0,0.0,10.790804,0.0,0.0,0.0,0.17120764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.307768,0.0,0.0,0.0,85.17627,0.0,0.0,0.0,0.0,0.0,1375.117,0.0
13015.367,0.0014906718,16505.963,394.47684,614.6498,5.4877954,3252.269,8.780119,0.0,0.0,584.7626,0.08388768,0.0,0.0,347.30386,1.2548345e-07,3713.5447,0.08896598,448.78885,0.050142705,2133.1162,2.2016697,0.0,0.0,281.52725,2.8061175e-05,0.0,0.0,92.03063,0.0,10.186031,0.0,137.8456,0.003857267,0.0,0.0,5.280298,0.0,0.0,0.0,0.08456748,0.0,257.572,0.0,0.0,0.0,10.617719,0.0,0.0,0.0,0.1640946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.081562,0.0,0.0,0.0,85.35902,0.0,0.0,0.0,0.0,0.0,1375.1895,0.0
13020.518,0.0014964659,16510.518,394.4739,614.47614,5.4819736,3251.097,8.785796,0.0,0.0,584.9658,0.08388692,0.0,0.0,351.05508,3.921358e-08,3714.449,0.0889552,447.81763,0.049166795,2133.203,2.2904785,0.0,0.0,281.90875,2.7598458e-05,0.0,0.0,93.178116,0.0,10.157211,0.0,138.69609,0.004098792,0.0,0.0,5.2303762,0.0,0.0,0.0,0.063883066,0.0,256.4586,0.0,0.0,0.0,10.834551,0.0,0.0,0.0,0.03290113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.998396,0.0,0.0,0.0,86.36679,0.0,0.0,0.0,0.0,0.0,1374.019,0.0
13032.442,0.0015170794,16516.693,394.503,617.0813,5.4844084,3255.5383,8.784904,0.0,0.0,588.1565,0.083942994,0.0,0.0,348.99466,3.921358e-08,3716.731,0.08954387,448.7556,0.047370438,2136.511,2.276199,0.0,0.0,282.7792,2.8876808e-05,0.0,0.0,93.81614,0.0,10.319815,0.0,139.56642,0.004346104,0.0,0.0,5.0839863,0.0,0.0,0.0,0.053327736,0.0,259.1689,0.0,0.0,0.0,10.603937,0.0,0.0,0.0,0.012777894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.35977,0.0,0.0,0.0,85.604614,0.0,0.0,0.0,0.0,0.0,1374.6877,0.0
13072.586,0.0015248193,16570.424,394.48022,614.0418,5.481179,3256.755,8.777773,0.0,0.0,586.6734,0.08390187,0.0,0.0,348.9448,2.352815e-08,3729.6465,0.08810045,446.51456,0.048697673,2136.0562,2.2189696,0.0,0.0,281.46695,2.8547429e-05,0.0,0.0,93.34558,0.0,9.994202,0.0,137.2376,0.0046500564,0.0,0.0,5.11619,0.0,0.0,0.0,0.063036755,0.0,257.97903,0.0,0.0,0.0,10.585389,0.0,0.0,0.0,0.02988761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32673,0.0,0.0,0.0,86.34879,0.0,0.0,0.0,0.0,0.0,1375.2804,0.0
13026.574,0.0016011503,16528.553,394.48425,618.17566,5.4837966,3239.642,8.7724,0.0,0.0,588.46106,0.08392411,0.0,0.0,346.74054,7.842716e-08,3719.7231,0.08715642,449.27383,0.047666058,2129.0984,2.190351,0.0,0.0,283.3693,2.8335691e-05,0.0,0.0,92.7596,0.0,10.361101,0.0,137.70044,0.0040154713,0.0,0.0,5.351869,0.0,0.0,0.0,0.08546042,0.0,255.62453,0.0,0.0,0.0,10.873197,0.0,0.0,0.0,0.014034144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.282263,0.0,0.0,0.0,85.68629,0.0,0.0,0.0,0.0,0.0,1373.2305,0.0
13128.397,0.0016144349,16623.201,394.46542,622.0939,5.4818397,3274.7366,8.784407,0.0,0.0,589.4638,0.083932005,0.0,0.0,348.2225,7.842717e-09,3740.6123,0.08867921,451.74286,0.050354443,2143.7378,2.2562172,0.0,0.0,283.24878,2.5590745e-05,0.0,0.0,92.87758,0.0,10.341102,0.0,139.28476,0.004302875,0.0,0.0,5.307676,0.0,0.0,0.0,0.058015574,0.0,257.56516,0.0,0.0,0.0,11.244692,0.0,0.0,0.0,0.007853502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32684,0.0,0.0,0.0,85.306076,0.0,0.0,0.0,0.0,0.0,1374.7888,0.0
13077.138,0.0014741793,16578.408,394.48526,616.80566,5.4808784,3257.356,8.787469,0.0,0.0,590.92896,0.08396802,0.0,0.0,352.96237,2.823378e-07,3731.73,0.088277675,449.1335,0.04878052,2137.0076,2.205131,0.0,0.0,284.47607,2.9143486e-05,0.0,0.0,94.206955,0.0,10.357694,0.0,139.21948,0.003950705,0.0,0.0,5.3657575,0.0,0.0,0.0,0.081037104,0.0,257.11047,0.0,0.0,0.0,10.82803,0.0,0.0,0.0,0.018039703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.396631,0.0,0.0,0.0,86.5643,0.0,0.0,0.0,0.0,0.0,1373.7178,0.0
