H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13558.029,0.0014540866,17588.709,414.426,721.4762,13.721034,4108.91,43.88939,246.52985,0.0,523.7167,0.08392501,0.0,0.0,349.98282,7.058445e-08,4072.2268,0.074366905,793.58655,0.2246655,2851.1738,2.2913637,289.98447,0.0892549,206.51355,1.2658143e-05,0.0,0.0,93.4039,0.0,58.05311,0.0,209.21129,0.0,43.500557,0.0,0.0061088935,0.0,0.0,0.0,0.0,0.0,338.28665,0.0,92.99271,0.0,0.3993511,0.0,0.0,0.0,0.0,0.0,26.24548,0.0,0.007797155,0.0,0.0,0.0,0.0,0.0,21.87013,0.0,0.0,0.0,86.929115,0.0,0.0,0.0,0.0,0.0,1373.1536,0.0
13581.766,0.0014778209,17617.346,414.417,723.47894,13.711414,4111.6772,43.90699,247.10905,0.0,525.16547,0.083963536,0.0,0.0,346.06036,1.01955315e-07,4079.1042,0.073461086,793.9295,0.22013167,2851.5767,2.2877326,289.07678,0.091661744,206.90144,1.2524816e-05,0.0,0.0,91.879555,0.0,57.850994,0.0,210.06262,0.0,42.22599,0.0,0.00560292,0.0,0.0,0.0,0.0,0.0,339.6235,0.0,92.72159,0.0,0.4282333,0.0,0.0,0.0,0.0,0.0,25.824846,0.0,0.034282852,0.0,0.0,0.0,0.0,0.0,21.807457,0.0,0.0,0.0,87.48321,0.0,0.0,0.0,0.0,0.0,1373.25,0.0
13589.548,0.001541407,17628.871,414.41333,731.3294,13.707264,4134.151,43.90298,247.93887,0.0,523.4249,0.083974406,0.0,0.0,345.9885,4.70563e-08,4087.197,0.07458577,799.5471,0.22220324,2865.3884,2.2366893,290.2443,0.08478728,205.67279,1.2234645e-05,0.0,0.0,91.776955,0.0,58.350563,0.0,213.5083,0.0,42.5984,0.0,0.01430488,0.0,0.0,0.0,0.0,0.0,341.32242,0.0,93.44901,0.0,0.48433807,0.0,0.0,0.0,0.0,0.0,26.297718,0.0,0.028933134,0.0,0.0,0.0,0.0,0.0,21.820774,0.0,0.0,0.0,87.35884,0.0,0.0,0.0,0.0,0.0,1371.6019,0.0
13582.409,0.001783946,17625.953,414.41254,728.3401,13.710797,4127.032,43.8959,249.32182,0.0,525.77075,0.08393997,0.0,0.0,350.25314,6.2741734e-08,4086.6987,0.074628085,798.1255,0.22329219,2862.9653,2.2342587,289.78098,0.09251602,207.01003,1.2877739e-05,0.0,0.0,93.13634,0.0,58.19434,0.0,212.40569,0.0,42.395718,0.0,0.01619267,0.0,0.0,0.0,0.0,0.0,341.78433,0.0,93.09256,0.0,0.6087875,0.0,0.0,0.0,0.0,0.0,25.85776,0.0,0.01717584,0.0,0.0,0.0,0.0,0.0,21.861235,0.0,0.0,0.0,86.74038,0.0,0.0,0.0,0.0,0.0,1373.6973,0.0
13631.08,0.0014930267,17671.975,414.42303,728.91864,13.720215,4127.7993,43.893627,243.11317,0.0,524.1006,0.08394824,0.0,0.0,351.6375,6.274173e-08,4096.047,0.07292555,797.85,0.22088082,2863.313,2.3010223,288.8629,0.091487326,206.37967,1.30816525e-05,0.0,0.0,92.59218,0.0,58.19073,0.0,212.43921,0.0,42.722977,0.0,0.007657378,0.0,0.0,0.0,0.0,0.0,341.91986,0.0,93.02693,0.0,0.51530033,0.0,0.0,0.0,0.013659602,0.0,26.666643,0.0,0.017326768,0.0,0.0,0.0,0.0,0.0,21.846344,0.0,0.0,0.0,87.876114,0.0,0.0,0.0,0.0,0.0,1374.5964,0.0
13615.191,0.0015046411,17649.732,414.38116,724.93463,13.713595,4136.0293,43.898617,246.13599,7.842717e-09,522.264,0.08386746,0.0,0.0,349.6945,7.058445e-08,4090.8281,0.073596165,796.3143,0.2236306,2866.27,2.2310376,288.87686,0.08739086,205.62218,1.2665988e-05,0.0,0.0,90.74486,0.0,58.69485,0.0,210.31647,0.0,42.69756,0.0,0.014797704,0.0,0.0,0.0,0.0,0.0,342.03165,0.0,92.67989,0.0,0.61025757,0.0,0.0,0.0,0.0,0.0,26.302044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.776913,0.0,0.0,0.0,87.03034,0.0,0.0,0.0,0.0,0.0,1372.8708,0.0
13641.948,0.0016335435,17672.46,414.4073,731.7914,13.719764,4148.6865,43.905598,251.37141,0.0,524.6141,0.08392165,0.0,0.0,350.16064,1.0195531e-07,4093.861,0.07398077,800.15753,0.22032526,2869.6172,2.279771,290.57437,0.09093783,206.62447,1.2720882e-05,0.0,0.0,92.60761,0.0,58.758125,0.0,213.2627,0.0,42.862617,0.0,0.016263695,0.0,0.0,0.0,0.0,0.0,342.5791,0.0,92.55448,0.0,0.5529908,0.0,0.0,0.0,0.0,0.0,25.81318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.833773,0.0,0.0,0.0,87.23953,0.0,0.0,0.0,0.0,0.0,1374.858,0.0
13655.193,0.0014734492,17682.281,414.40488,726.0997,13.715036,4143.312,43.873905,245.01453,7.842717e-09,522.52985,0.08396848,0.0,0.0,347.38416,7.842716e-08,4095.5103,0.073415,797.8256,0.22258636,2867.9807,2.2365935,287.97955,0.086533524,205.69049,1.3175771e-05,0.0,0.0,91.40781,0.0,58.570164,0.0,212.20787,0.0,42.564606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.54523,0.0,91.589035,0.0,0.40870973,0.0,0.0,0.0,0.0,0.0,25.832312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.894892,0.0,0.0,0.0,87.10182,0.0,0.0,0.0,0.0,0.0,1374.7131,0.0
13617.879,0.0014590238,17658.275,414.41605,728.5401,13.717178,4137.7524,43.877693,249.92703,0.0,523.0455,0.0839125,0.0,0.0,347.4854,2.352815e-08,4094.069,0.073953666,800.6685,0.22330202,2870.0767,2.2894504,289.89868,0.093186945,206.57057,1.3238503e-05,0.0,0.0,91.93101,0.0,59.141716,0.0,213.65527,0.0,42.695957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.75858,0.0,92.173134,0.0,0.403393,0.0,0.0,0.0,0.0,0.0,26.20541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.745514,0.0,0.0,0.0,87.70922,0.0,0.0,0.0,0.0,0.0,1372.9592,0.0
13643.55,0.0014880403,17677.178,414.4062,729.39685,13.709253,4137.1196,43.91788,250.38129,1.3332618e-07,524.1642,0.08386735,0.0,0.0,347.78827,1.5685433e-08,4095.4595,0.07382867,797.5899,0.22210693,2866.006,2.299491,290.66263,0.088581495,206.0891,1.38659225e-05,0.0,0.0,91.05713,0.0,58.17662,0.0,213.00543,0.0,42.435013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0599,0.0,92.28023,0.0,0.41907164,0.0,0.0,0.0,0.0,0.0,26.24108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.659567,0.0,0.0,0.0,87.9471,0.0,0.0,0.0,0.0,0.0,1375.64,0.0
