H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
11438.1045,0.001376378,14369.282,341.94818,649.0622,5.4822726,2492.1335,17.573446,95.278435,0.0,520.9338,0.08397798,0.0,0.0,350.90668,4.70563e-08,3172.6284,0.04744434,554.7083,0.09924426,1699.6564,2.1950548,112.50483,0.03464045,204.92056,1.26189325e-05,0.0,0.0,92.21881,0.0,23.620039,0.0,132.47803,0.0,16.489086,0.0,0.049654,0.0,0.0,0.0,0.0839456,0.0,186.65257,0.0,35.69966,0.0,0.3665497,0.0,0.0,0.0,0.3954531,0.0,9.874808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.224707,0.0,0.0,0.0,87.623276,0.0,0.0,0.0,0.0,0.0,1374.6279,0.0
11454.091,0.0013201503,14382.204,341.97665,648.4129,5.482098,2491.242,17.551502,94.521286,7.842717e-09,527.97327,0.08390872,0.0,0.0,351.66125,8.626988e-08,3177.0159,0.048245843,556.1677,0.09871544,1699.5883,2.175178,112.37829,0.033334345,207.39812,1.3214974e-05,0.0,0.0,94.12789,0.0,23.941902,0.0,132.47522,0.0,17.209835,0.0,0.090353705,0.0,0.0,0.0,0.08220653,0.0,187.11821,0.0,35.412113,0.0,0.38479316,0.0,0.0,0.0,0.34000778,0.0,9.777124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.060184,0.0,0.0,0.0,86.201,0.0,0.0,0.0,0.0,0.0,1374.4,0.0
11402.871,0.0013298477,14331.084,341.94058,646.43805,5.4864426,2483.6047,17.553484,94.55641,0.0,526.02545,0.08398301,0.0,0.0,356.01245,1.0979803e-07,3163.0818,0.046356685,554.53107,0.09789581,1694.1376,2.1746585,112.82798,0.035092395,207.56949,1.274441e-05,0.0,0.0,96.32214,0.0,23.794529,0.0,132.27039,0.0,17.32866,0.0,0.08152768,0.0,0.0,0.0,0.084178604,0.0,184.694,0.0,35.21162,0.0,0.38668492,0.0,0.0,0.0,0.43381554,0.0,9.691856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.845346,0.0,0.0,0.0,86.322914,0.0,0.0,0.0,0.0,0.0,1372.9299,0.0
11396.224,0.0013233325,14333.754,341.9688,651.82996,5.4813256,2486.5085,17.558287,97.78404,0.0,525.59106,0.08399469,0.0,0.0,357.20538,1.490116e-07,3164.9514,0.046924442,557.5121,0.09702515,1697.352,2.1686234,113.87552,0.03544499,207.35133,1.3105174e-05,0.0,0.0,94.95244,0.0,24.278603,0.0,132.22675,0.0,17.121246,0.0,0.0735367,0.0,0.0,0.0,0.09805974,0.0,186.1088,0.0,35.511356,0.0,0.32107198,0.0,0.0,0.0,0.46091795,0.0,9.753377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.874353,0.0,0.0,0.0,86.91205,0.0,0.0,0.0,0.0,0.0,1373.3314,0.0
11437.39,0.0013647383,14367.888,341.9612,651.35767,5.4833927,2486.1133,17.561134,92.986984,0.0,529.23486,0.0839002,0.0,0.0,350.48666,9.41126e-08,3171.3281,0.047408637,556.9585,0.101313725,1694.4705,2.1591492,111.40527,0.03499146,208.2025,1.1999355e-05,0.0,0.0,94.802925,0.0,24.346464,0.0,131.96172,0.0,16.851877,0.0,0.09044205,0.0,0.0,0.0,0.090250574,0.0,185.12764,0.0,34.620438,0.0,0.43925983,0.0,0.0,0.0,0.408301,0.0,9.530321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.97291,0.0,0.0,0.0,85.66632,0.0,0.0,0.0,0.0,0.0,1375.1782,0.0
11452.862,0.0013838933,14390.605,341.98508,649.39984,5.485122,2511.8735,17.554193,96.77207,0.0,529.2851,0.0839341,0.0,0.0,357.1138,5.4899015e-08,3177.7847,0.04759932,556.5888,0.0991534,1707.7587,2.1632853,113.02908,0.036732174,208.15688,1.23052205e-05,0.0,0.0,96.84456,0.0,24.236797,0.0,133.17004,0.0,16.889816,0.0,0.102219805,0.0,0.0,0.0,0.0812596,0.0,186.90755,0.0,36.123028,0.0,0.52707046,0.0,0.0,0.0,0.34959918,0.0,9.741655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.074202,0.0,0.0,0.0,86.25305,0.0,0.0,0.0,0.0,0.0,1373.2295,0.0
11428.528,0.0013420114,14362.003,341.95456,648.27,5.4802103,2492.775,17.553055,96.152374,0.0,525.16235,0.0839069,0.0,0.0,352.13168,4.7056297e-08,3173.15,0.04516632,556.056,0.09439652,1700.5647,2.183719,113.06873,0.03585931,206.1667,1.2164053e-05,0.0,0.0,94.50434,0.0,24.162842,0.0,131.76784,0.0,17.122677,0.0,0.093851745,0.0,0.0,0.0,0.083256945,0.0,186.25424,0.0,35.32281,0.0,0.42487967,0.0,0.0,0.0,0.45646924,0.0,9.738596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.227303,0.0,0.0,0.0,86.43658,0.0,0.0,0.0,0.0,0.0,1374.2286,0.0
11394.021,0.0013825049,14330.206,341.9536,646.9699,5.4843054,2485.2236,17.55565,96.965706,0.0,529.1019,0.0838988,0.0,0.0,353.3729,1.5685433e-08,3163.5596,0.046531536,554.7943,0.09590038,1696.3525,2.2306073,113.51323,0.035178725,207.7404,1.3387516e-05,0.0,0.0,95.331245,0.0,23.858677,0.0,131.84784,0.0,16.747908,0.0,0.079646245,0.0,0.0,0.0,0.10665007,0.0,186.74133,0.0,35.618862,0.0,0.41263852,0.0,0.0,0.0,0.46002954,0.0,9.8817835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36617,0.0,0.0,0.0,86.060585,0.0,0.0,0.0,0.0,0.0,1372.9485,0.0
11504.453,0.0013231051,14436.069,341.96515,653.6218,5.4851627,2507.3691,17.57113,97.67956,0.0,525.6953,0.08396055,0.0,0.0,352.16376,3.1370867e-08,3189.36,0.04584398,557.83856,0.098608665,1707.4708,2.1856508,114.28146,0.036980163,206.44093,1.33404565e-05,0.0,0.0,93.94591,0.0,23.754599,0.0,134.04158,0.0,16.843851,0.0,0.072181724,0.0,0.0,0.0,0.0794775,0.0,186.97641,0.0,35.521446,0.0,0.2759603,0.0,0.0,0.0,0.35852608,0.0,9.8952875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.303358,0.0,0.0,0.0,86.24591,0.0,0.0,0.0,0.0,0.0,1375.2826,0.0
11428.582,0.0013066988,14365.315,341.95963,650.2877,5.4828978,2508.0183,17.563808,99.55039,0.0,522.1662,0.08397883,0.0,0.0,343.26486,8.626988e-08,3174.911,0.047074307,557.78674,0.09882943,1707.0732,2.177581,114.15587,0.035221264,205.0462,1.34345755e-05,0.0,0.0,91.40053,0.0,24.516136,0.0,133.89508,0.0,16.4049,0.0,0.061935537,0.0,0.0,0.0,0.04472515,0.0,187.58705,0.0,36.37735,0.0,0.26356703,0.0,0.0,0.0,0.27722698,0.0,9.585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.021107,0.0,0.0,0.0,86.30049,0.0,0.0,0.0,0.0,0.0,1376.0793,0.0
