H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14036.966,0.0016018829,19397.217,426.79703,551.8705,13.718973,4753.3174,109.73232,0.0,0.0,521.77606,0.08392002,0.0,0.0,348.78452,4.70563e-08,6069.341,0.22424138,390.91956,0.038831662,3994.505,3.3252687,0.0,0.0,205.27664,1.2509138e-05,0.0,0.0,92.935394,0.0,1.6598916,0.0,118.754845,0.0,0.0,0.0,0.05815434,0.0,0.0,0.0,0.0,0.0,510.3436,0.0,0.0,0.0,0.34609616,0.0,0.0,0.0,0.081648424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0879,0.0,0.0,0.0,86.15069,0.0,0.0,0.0,0.0,0.0,1373.7223,0.0
14107.453,0.0016661721,19476.734,426.7809,557.235,13.71219,4784.0996,109.735596,0.0,0.0,522.35645,0.083935276,0.0,0.0,343.60007,3.1370867e-08,6088.849,0.22325942,393.3947,0.038138334,4006.9104,3.2625043,0.0,0.0,205.02542,1.2736573e-05,0.0,0.0,91.99285,0.0,1.9268916,0.0,119.034836,0.0,0.0,0.0,0.03385795,0.0,0.0,0.0,0.0,0.0,510.43246,0.0,0.0,0.0,0.43461853,0.0,0.0,0.0,0.0148182195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.278282,0.0,0.0,0.0,84.539276,0.0,0.0,0.0,0.0,0.0,1373.1901,0.0
14103.879,0.0016482587,19479.266,426.75217,556.6085,13.71374,4788.8306,109.748505,0.0,0.0,524.4969,0.08394069,0.0,0.0,352.85812,1.5685433e-08,6091.3643,0.22182468,392.99753,0.037147596,4008.6797,3.2305462,0.0,0.0,206.24254,1.2454233e-05,0.0,0.0,94.40128,0.0,1.7143852,0.0,119.06245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.35306,0.0,0.0,0.0,0.45815614,0.0,0.0,0.0,0.023975419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.341696,0.0,0.0,0.0,86.63471,0.0,0.0,0.0,0.0,0.0,1373.1292,0.0
14090.046,0.0015976839,19469.59,426.78345,555.339,13.713158,4786.1655,109.732185,0.0,0.0,524.52966,0.08390984,0.0,0.0,347.46014,7.058445e-08,6092.043,0.22350699,391.95544,0.03602524,4012.251,3.3687167,0.0,0.0,206.22028,1.2430705e-05,0.0,0.0,93.549484,0.0,1.5177902,0.0,119.2592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.80084,0.0,0.0,0.0,0.37677863,0.0,0.0,0.0,0.022572713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.296772,0.0,0.0,0.0,85.09044,0.0,0.0,0.0,0.0,0.0,1373.0258,0.0
14161.433,0.00564018,19536.08,426.76712,559.47327,13.711723,4822.607,109.74268,0.0,0.0,524.203,0.083875366,0.0,0.0,352.13773,5.489902e-08,6104.6567,0.22350098,394.47086,0.038333926,4025.7744,3.3060646,0.0,0.0,206.69038,1.3724749e-05,0.0,0.0,94.71081,0.0,1.7360954,0.0,120.36306,0.0,0.0,0.0,0.009879467,0.0,0.0,0.0,0.0,0.0,515.1575,0.0,0.0,0.0,0.35753542,0.0,0.0,0.0,0.02926635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.019209,0.0,0.0,0.0,85.23276,0.0,0.0,0.0,0.0,0.0,1374.1122,0.0
14149.245,0.0016583959,19525.791,426.8104,558.1451,13.716493,4813.784,109.74474,0.0,0.0,525.54407,0.08392579,0.0,0.0,348.27112,4.7056297e-08,6103.724,0.22222562,393.8818,0.03749686,4023.2866,3.3157556,0.0,0.0,206.48785,1.312871e-05,0.0,0.0,93.81492,0.0,1.7544557,0.0,120.139786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.996,0.0,0.0,0.0,0.39020908,0.0,0.0,0.0,0.0146418195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.209438,0.0,0.0,0.0,84.727646,0.0,0.0,0.0,0.0,0.0,1372.385,0.0
14126.622,0.0016292635,19521.057,426.83212,555.961,13.714814,4821.668,109.75054,0.0,0.0,522.83154,0.08399594,0.0,0.0,347.50363,1.2548347e-07,6109.556,0.22320098,394.17484,0.03782672,4025.4268,3.2851377,0.0,0.0,205.88449,1.3105186e-05,0.0,0.0,92.0367,0.0,1.6757771,0.0,119.84867,0.0,0.0,0.0,0.017189454,0.0,0.0,0.0,0.0,0.0,513.5779,0.0,0.0,0.0,0.41643676,0.0,0.0,0.0,0.019082889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.631292,0.0,0.0,0.0,85.64884,0.0,0.0,0.0,0.0,0.0,1371.4397,0.0
14201.493,0.0016425384,19580.098,426.8209,559.3356,13.713071,4812.884,109.754524,0.0,0.0,525.96893,0.08392846,0.0,0.0,346.2691,0.0,6123.5967,0.22258562,395.18604,0.038202155,4027.6213,3.3077035,0.0,0.0,206.42375,1.29796945e-05,0.0,0.0,92.60314,0.0,1.767452,0.0,119.680855,0.0,0.0,0.0,0.008600986,0.0,0.0,0.0,0.0,0.0,514.25336,0.0,0.0,0.0,0.39950722,0.0,0.0,0.0,0.014456881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.177319,0.0,0.0,0.0,86.560776,0.0,0.0,0.0,0.0,0.0,1370.832,0.0
14160.096,0.0016545564,19543.932,426.82947,556.3246,13.721507,4811.0693,109.70858,0.0,0.0,522.88763,0.08393325,0.0,0.0,350.77008,1.1764075e-07,6114.1016,0.22267695,392.3596,0.035127904,4022.9075,3.2832048,0.0,0.0,205.3556,1.3120858e-05,0.0,0.0,92.54762,0.0,1.7817665,0.0,119.47538,0.0,0.0,0.0,0.028022757,0.0,0.0,0.0,0.0,0.0,513.0066,0.0,0.0,0.0,0.39927974,0.0,0.0,0.0,0.009303786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.116064,0.0,0.0,0.0,86.783424,0.0,0.0,0.0,0.0,0.0,1374.2051,0.0
14156.072,0.0016724495,19526.729,426.78653,553.6196,13.713117,4796.2314,109.72488,0.0,0.0,526.02563,0.083945625,0.0,0.0,346.75058,1.411689e-07,6102.249,0.22449617,391.64203,0.037011247,4012.6218,3.334227,0.0,0.0,206.70842,1.2846366e-05,0.0,0.0,93.737686,0.0,1.7783,0.0,118.58719,0.0,0.0,0.0,0.019287325,0.0,0.0,0.0,0.0,0.0,510.90744,0.0,0.0,0.0,0.45231232,0.0,0.0,0.0,0.013623695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.062197,0.0,0.0,0.0,86.12239,0.0,0.0,0.0,0.0,0.0,1373.8995,0.0
