H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
15060.143,0.0017656384,20769.467,459.13354,548.0557,13.706191,5353.413,109.72909,0.0,0.0,524.83234,0.083942965,0.0,0.0,350.86783,2.352815e-08,6324.0664,0.22624369,393.45593,0.0380433,4350.798,3.3331306,0.0,0.0,207.05942,1.3011074e-05,0.0,0.0,92.801956,0.0,1.1750314,0.0,118.7189,0.0,0.0,0.0,0.060812127,0.0,0.0,0.0,0.0,0.0,557.3751,0.0,0.0,0.0,0.3415287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.708822,0.0,0.0,0.0,87.60006,0.0,0.0,0.0,0.0,0.0,1373.5839,0.0
15049.7705,0.0018208581,20773.842,459.1084,546.5319,13.718662,5370.006,109.744156,0.0,0.0,519.93835,0.083952874,0.0,0.0,344.83542,1.6469704e-07,6329.864,0.22522649,393.66742,0.038497243,4362.0566,3.3062549,0.0,0.0,204.69691,1.26424575e-05,0.0,0.0,89.63525,0.0,1.0269829,0.0,118.469086,0.0,0.0,0.0,0.053013306,0.0,0.0,0.0,0.0,0.0,560.83386,0.0,0.0,0.0,0.2579043,0.0,0.0,0.0,0.008139336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.692068,0.0,0.0,0.0,86.91191,0.0,0.0,0.0,0.0,0.0,1375.1027,0.0
14988.744,0.0017580211,20710.16,459.1753,548.3488,13.7098,5362.1133,109.75001,0.0,0.0,522.03186,0.083975,0.0,0.0,343.26755,8.626988e-08,6300.761,0.22626506,393.71216,0.037347127,4350.9375,3.3229108,0.0,0.0,206.16356,1.2446399e-05,0.0,0.0,90.10306,0.0,1.1467243,0.0,118.62596,0.0,0.0,0.0,0.041843604,0.0,0.0,0.0,0.0,0.0,558.4089,0.0,0.0,0.0,0.18356371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.568438,0.0,0.0,0.0,87.00472,0.0,0.0,0.0,0.0,0.0,1375.1344,0.0
14953.402,0.0018668168,20677.896,459.13867,547.11523,13.715176,5338.305,109.75855,0.0,0.0,519.6798,0.08388557,0.0,0.0,344.11005,5.489901e-08,6302.354,0.2246378,392.29617,0.03838039,4345.7227,3.3214843,0.0,0.0,204.86761,1.2744411e-05,0.0,0.0,90.351295,0.0,1.1235375,0.0,118.086075,0.0,0.0,0.0,0.021412248,0.0,0.0,0.0,0.0,0.0,559.227,0.0,0.0,0.0,0.23489402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.807384,0.0,0.0,0.0,86.61079,0.0,0.0,0.0,0.0,0.0,1376.5507,0.0
15040.834,0.0018000765,20757.885,459.13428,549.7794,13.706273,5366.7686,109.732506,0.0,0.0,520.1802,0.08392809,0.0,0.0,345.10092,5.489902e-08,6318.289,0.22750452,393.20764,0.036210354,4349.85,3.2968898,0.0,0.0,204.55237,1.3246347e-05,0.0,0.0,89.868835,0.0,1.1661865,0.0,118.86888,0.0,0.0,0.0,0.066934444,0.0,0.0,0.0,0.0,0.0,558.6585,0.0,0.0,0.0,0.19633594,0.0,0.0,0.0,0.02470429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.748901,0.0,0.0,0.0,86.98163,0.0,0.0,0.0,0.0,0.0,1377.0803,0.0
15046.767,0.0017878317,20772.197,459.14255,549.68164,13.707185,5373.186,109.73755,0.0,0.0,521.0686,0.08392193,0.0,0.0,346.99606,2.0391062e-07,6320.5854,0.22450359,393.82996,0.037606247,4359.7793,3.3224666,0.0,0.0,205.343,1.2211112e-05,0.0,0.0,90.67622,0.0,1.2426846,0.0,118.83612,0.0,0.0,0.0,0.051549926,0.0,0.0,0.0,0.0,0.0,559.13074,0.0,0.0,0.0,0.21185489,0.0,0.0,0.0,0.06861792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.414768,0.0,0.0,0.0,87.33911,0.0,0.0,0.0,0.0,0.0,1371.687,0.0
15136.469,0.0017299018,20851.61,459.1217,549.7531,13.7115345,5380.5913,109.74439,0.0,0.0,526.55835,0.08395845,0.0,0.0,347.50284,6.2741734e-08,6342.07,0.22631678,394.14377,0.037821956,4363.6406,3.3945055,0.0,0.0,207.66164,1.2697358e-05,0.0,0.0,92.854805,0.0,1.1089687,0.0,118.717186,0.0,0.0,0.0,0.07097927,0.0,0.0,0.0,0.0,0.0,559.8329,0.0,0.0,0.0,0.3331137,0.0,0.0,0.0,0.053329293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.674078,0.0,0.0,0.0,86.12793,0.0,0.0,0.0,0.0,0.0,1374.5231,0.0
15117.651,0.0017579937,20836.877,459.14365,550.53217,13.709753,5391.5693,109.75426,0.0,0.0,522.5878,0.08390295,0.0,0.0,345.59766,2.352815e-08,6340.4385,0.22710371,394.2354,0.037159704,4366.6,3.344876,0.0,0.0,205.85693,1.2752258e-05,0.0,0.0,91.3878,0.0,1.2427958,0.0,119.01288,0.0,0.0,0.0,0.028832713,0.0,0.0,0.0,0.0,0.0,560.79785,0.0,0.0,0.0,0.26752537,0.0,0.0,0.0,0.05229281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.56512,0.0,0.0,0.0,86.436966,0.0,0.0,0.0,0.0,0.0,1374.4595,0.0
15168.96,0.0018220124,20899.725,459.15103,553.6749,13.712575,5424.505,109.74426,0.0,0.0,526.2401,0.08390092,0.0,0.0,352.08533,1.0195531e-07,6355.758,0.2242137,395.58887,0.036668573,4387.5195,3.34203,0.0,0.0,207.51183,1.2665987e-05,0.0,0.0,93.64493,0.0,1.1261727,0.0,119.996765,0.0,0.0,0.0,0.06318635,0.0,0.0,0.0,0.0,0.0,564.89276,0.0,0.0,0.0,0.3483099,0.0,0.0,0.0,0.051117126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.545767,0.0,0.0,0.0,86.09432,0.0,0.0,0.0,0.0,0.0,1372.9364,0.0
15138.862,0.0017376918,20873.0,459.11353,553.59247,13.713026,5425.311,109.772606,0.0,0.0,523.69336,0.08390911,0.0,0.0,349.34253,1.5685433e-08,6348.685,0.22404578,395.5201,0.038401898,4387.56,3.4210958,0.0,0.0,206.85104,1.32541945e-05,0.0,0.0,92.32061,0.0,1.2493676,0.0,120.44141,0.0,0.0,0.0,0.07381785,0.0,0.0,0.0,0.0,0.0,565.257,0.0,0.0,0.0,0.26703024,0.0,0.0,0.0,0.00560633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.634296,0.0,0.0,0.0,86.882484,0.0,0.0,0.0,0.0,0.0,1372.6904,0.0
