H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12579.716,0.0014188972,16353.898,382.1005,744.501,13.701154,3575.569,43.900616,235.57451,0.0,524.26404,0.083850466,0.0,0.0,348.07166,6.274173e-08,3830.9246,0.07124571,809.39514,0.2206834,2522.192,2.2654452,283.97528,0.08968455,207.06085,1.2791466e-05,0.0,0.0,92.974785,0.0,58.72278,0.0,220.06621,0.0,43.00601,0.0,0.012454324,0.0,0.0,0.0,0.0,0.0,294.0138,0.0,90.95576,0.0,0.32577112,0.0,0.0,0.0,0.0,0.0,25.077932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54465,0.0,0.0,0.0,86.18123,0.0,0.0,0.0,0.0,0.0,1372.5105,0.0
12622.794,0.0014139112,16382.753,382.05707,742.2474,13.71758,3583.843,43.909077,239.88068,0.0,524.48517,0.083934546,0.0,0.0,347.36212,2.2743878e-07,3837.7244,0.07241317,807.63885,0.23027156,2523.9866,2.2533724,287.81006,0.09150685,206.94785,1.2579721e-05,0.0,0.0,92.973564,0.0,58.572563,0.0,216.98659,0.0,43.87589,0.0,0.005608991,0.0,0.0,0.0,0.0,0.0,294.2073,0.0,93.402054,0.0,0.25786614,0.0,0.0,0.0,0.0,0.0,25.556532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.300632,0.0,0.0,0.0,86.07322,0.0,0.0,0.0,0.0,0.0,1372.0957,0.0
12585.814,0.0014204686,16348.162,382.07315,740.5108,13.713734,3561.1685,43.891697,239.19221,7.842717e-09,523.8439,0.08397293,0.0,0.0,349.9063,6.2741734e-08,3828.7986,0.0731219,806.9579,0.22267985,2514.3254,2.2435408,285.74646,0.08670823,206.49054,1.3834558e-05,0.0,0.0,92.02759,0.0,58.689995,0.0,218.1059,0.0,43.1431,0.0,0.02238647,0.0,0.0,0.0,0.0,0.0,293.24417,0.0,91.861984,0.0,0.2944673,0.0,0.0,0.0,0.0,0.0,25.21426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.495928,0.0,0.0,0.0,87.32185,0.0,0.0,0.0,0.0,0.0,1373.4161,0.0
12554.84,0.0014406315,16324.959,382.048,745.5582,13.70992,3572.6716,43.898182,243.0312,0.0,520.52167,0.083965406,0.0,0.0,348.74017,1.1764074e-07,3825.8308,0.07159244,809.528,0.2192419,2521.422,2.2636712,286.49704,0.09021246,204.76845,1.2524814e-05,0.0,0.0,92.871254,0.0,59.354614,0.0,218.56694,0.0,43.028046,0.0,0.027188292,0.0,0.0,0.0,0.0,0.0,294.83426,0.0,93.178314,0.0,0.29896283,0.0,0.0,0.0,0.0058381427,0.0,25.15322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.712074,0.0,0.0,0.0,87.121666,0.0,0.0,0.0,0.0,0.0,1374.0455,0.0
12584.557,0.0014028212,16352.566,382.08002,742.96967,13.716371,3580.66,43.900166,241.31905,0.0,524.07184,0.083908714,0.0,0.0,353.6278,6.2741734e-08,3829.177,0.073062435,807.42804,0.22076699,2522.723,2.214731,285.55252,0.08995806,206.39209,1.2422859e-05,0.0,0.0,93.67446,0.0,58.726543,0.0,218.28027,0.0,42.482418,0.0,0.017456459,0.0,0.0,0.0,0.0,0.0,294.8306,0.0,92.795105,0.0,0.25041756,0.0,0.0,0.0,0.0,0.0,25.684044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.920729,0.0,0.0,0.0,87.290764,0.0,0.0,0.0,0.0,0.0,1375.1377,0.0
12662.727,0.0013986712,16429.97,382.07004,745.6951,13.708504,3598.677,43.901936,244.18892,0.0,523.74194,0.08394657,0.0,0.0,341.9585,6.274173e-08,3848.855,0.0745704,809.4887,0.22481745,2533.8857,2.2727444,286.88528,0.090815686,206.95143,1.40384645e-05,0.0,0.0,90.57951,0.0,58.846455,0.0,218.92116,0.0,43.25306,0.0,0.039210528,0.0,0.0,0.0,0.0,0.0,297.15155,0.0,92.54672,0.0,0.387161,0.0,0.0,0.0,0.0,0.0,24.98224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43136,0.0,0.0,0.0,86.129166,0.0,0.0,0.0,0.0,0.0,1373.7456,0.0
12666.889,0.0014472752,16424.55,382.05957,741.217,13.708952,3605.513,43.88791,243.4567,2.352815e-08,522.64825,0.08393252,0.0,0.0,347.2333,1.5685433e-08,3847.5552,0.072718866,807.2221,0.22746715,2535.495,2.2424817,286.90936,0.09048028,206.63472,1.2595403e-05,0.0,0.0,91.42323,0.0,58.82123,0.0,218.67099,0.0,43.13187,0.0,0.017670294,0.0,0.0,0.0,0.0,0.0,297.9949,0.0,92.059845,0.0,0.32917112,0.0,0.0,0.0,0.0,0.0,24.798878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.373755,0.0,0.0,0.0,87.31537,0.0,0.0,0.0,0.0,0.0,1373.2386,0.0
12559.933,0.0014231635,16334.503,382.04956,741.1199,13.705061,3588.417,43.89836,249.62766,7.842717e-09,521.2167,0.083916344,0.0,0.0,343.63693,4.70563e-08,3830.3762,0.07129887,807.9133,0.22301185,2528.7354,2.2121227,291.61548,0.08653043,206.1736,1.3167919e-05,0.0,0.0,89.64668,0.0,58.923088,0.0,217.4491,0.0,44.317055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.74777,0.0,94.95172,0.0,0.25560552,0.0,0.0,0.0,0.0,0.0,25.225428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.042923,0.0,0.0,0.0,86.59027,0.0,0.0,0.0,0.0,0.0,1373.8705,0.0
12605.48,0.0016143536,16380.051,382.0701,745.4705,13.712179,3606.9917,43.900394,249.06633,7.842717e-09,520.68066,0.08392886,0.0,0.0,347.9689,3.1370867e-08,3841.5564,0.07045168,810.446,0.22220542,2538.8862,2.294079,291.37872,0.08632525,205.55891,1.3716906e-05,0.0,0.0,91.82619,0.0,59.351246,0.0,219.31459,0.0,43.927155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.70105,0.0,95.37112,0.0,0.2989775,0.0,0.0,0.0,0.0,0.0,25.326828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.415043,0.0,0.0,0.0,87.21661,0.0,0.0,0.0,0.0,0.0,1373.5247,0.0
12591.656,0.0013902498,16367.527,382.06598,742.7268,13.717548,3590.9573,43.895885,246.62793,1.2548347e-07,524.35333,0.083957635,0.0,0.0,351.24908,5.489902e-08,3837.671,0.0723095,810.382,0.22975151,2528.1772,2.2555387,290.17163,0.090171255,206.95184,1.2383653e-05,0.0,0.0,92.051346,0.0,59.512253,0.0,218.66994,0.0,43.417873,0.0,0.03091564,0.0,0.0,0.0,0.0,0.0,296.14114,0.0,92.86196,0.0,0.30682215,0.0,0.0,0.0,0.0078806775,0.0,25.32436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.629414,0.0,0.0,0.0,87.34223,0.0,0.0,0.0,0.0,0.0,1375.4391,0.0
