H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12518.27,0.0013889709,16293.653,382.06757,726.91284,13.710056,3560.4377,43.901363,239.9542,3.1370867e-08,522.6975,0.08390767,0.0,0.0,343.16974,7.842717e-09,3821.6304,0.07218967,802.0718,0.22123875,2522.1887,2.2372997,289.02087,0.09332247,206.37283,1.2932637e-05,0.0,0.0,90.73651,0.0,59.704548,0.0,214.05365,0.0,43.649742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.3732,0.0,95.11323,0.0,0.12890333,0.0,0.0,0.0,0.006589678,0.0,26.550081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.482302,0.0,0.0,0.0,85.70899,0.0,0.0,0.0,0.0,0.0,1372.2516,0.0
12494.568,0.0013925395,16264.382,382.06876,723.0342,13.712548,3545.071,43.889225,236.25916,7.842717e-09,520.0848,0.08393317,0.0,0.0,344.8841,7.058445e-08,3811.5051,0.07096908,798.7423,0.22009666,2514.2937,2.2596323,287.96613,0.09045552,204.98761,1.2705206e-05,0.0,0.0,91.040146,0.0,59.31545,0.0,213.63435,0.0,44.111065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0265,0.0,94.64106,0.0,0.25633672,0.0,0.0,0.0,0.0055524297,0.0,26.535147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.518326,0.0,0.0,0.0,86.61509,0.0,0.0,0.0,0.0,0.0,1372.9451,0.0
12510.507,0.0014224988,16279.654,382.05032,720.35205,13.723333,3544.7583,43.887917,231.90247,5.489902e-08,518.0742,0.08395105,0.0,0.0,345.73206,1.3332618e-07,3812.5076,0.072331965,796.1751,0.22420086,2510.3848,2.22187,286.72092,0.091429375,203.51508,1.3309094e-05,0.0,0.0,90.17472,0.0,58.71455,0.0,211.3545,0.0,44.87145,0.0,0.019032817,0.0,0.0,0.0,0.0,0.0,297.00058,0.0,94.08566,0.0,0.2128045,0.0,0.0,0.0,0.005423774,0.0,26.438011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.951958,0.0,0.0,0.0,86.73265,0.0,0.0,0.0,0.0,0.0,1376.1647,0.0
12513.673,0.0013962482,16298.23,382.05664,730.2552,13.716758,3565.5059,43.896442,235.88998,7.842717e-09,519.96155,0.08396133,0.0,0.0,345.99188,5.489901e-08,3824.113,0.07315917,803.92505,0.22784291,2525.4692,2.232498,288.87726,0.08365028,204.9913,1.29248e-05,0.0,0.0,89.95054,0.0,59.776314,0.0,215.50316,0.0,45.203587,0.0,0.06937818,0.0,0.0,0.0,0.0,0.0,300.3081,0.0,94.843544,0.0,0.130076,0.0,0.0,0.0,0.0,0.0,26.572218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.540783,0.0,0.0,0.0,86.867676,0.0,0.0,0.0,0.0,0.0,1373.0227,0.0
12526.602,0.0014337684,16302.896,382.06564,730.25934,13.713084,3567.2573,43.88952,237.81313,5.489902e-08,520.09485,0.083953,0.0,0.0,341.02936,7.058444e-08,3825.084,0.07206476,804.0188,0.21967958,2526.9077,2.2656052,289.10333,0.08566081,204.75029,1.2728734e-05,0.0,0.0,89.520325,0.0,59.764256,0.0,215.6791,0.0,44.776497,0.0,0.020021427,0.0,0.0,0.0,0.0,0.0,302.00217,0.0,94.67964,0.0,0.09157845,0.0,0.0,0.0,0.0,0.0,26.913427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77507,0.0,0.0,0.0,86.20023,0.0,0.0,0.0,0.0,0.0,1374.3066,0.0
12506.817,0.0013995017,16277.319,382.058,724.9381,13.707252,3558.639,43.887077,237.31773,3.921358e-08,520.2724,0.08396797,0.0,0.0,347.2438,6.2741734e-08,3817.3335,0.07397531,801.9102,0.22303091,2522.9482,2.2221303,288.47815,0.08675545,204.84344,1.2658141e-05,0.0,0.0,91.68227,0.0,59.742573,0.0,214.40373,0.0,44.580685,0.0,0.035069324,0.0,0.0,0.0,0.0,0.0,301.26218,0.0,96.077034,0.0,0.13403007,0.0,0.0,0.0,0.0,0.0,26.546087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.923077,0.0,0.0,0.0,87.03865,0.0,0.0,0.0,0.0,0.0,1375.2806,0.0
12451.551,0.0014241064,16233.383,382.09442,724.82446,13.707504,3550.0474,43.88972,235.60622,7.842717e-09,519.4894,0.083944224,0.0,0.0,347.0968,7.842717e-09,3809.1655,0.0717635,803.30664,0.22995982,2518.875,2.2406642,286.3256,0.08308366,204.55745,1.2422863e-05,0.0,0.0,91.27693,0.0,60.477207,0.0,214.01018,0.0,43.614,0.0,0.040454414,0.0,0.0,0.0,0.0,0.0,300.26852,0.0,94.260826,0.0,0.1472028,0.0,0.0,0.0,0.005686013,0.0,26.842329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.801691,0.0,0.0,0.0,86.58743,0.0,0.0,0.0,0.0,0.0,1371.8427,0.0
12450.264,0.0013992807,16221.836,382.05536,723.8307,13.71909,3542.2256,43.890503,237.12294,4.7056297e-08,522.7518,0.08388549,0.0,0.0,348.47336,2.352815e-08,3800.8289,0.07189005,798.60583,0.22770499,2512.678,2.2470825,286.1768,0.093574576,205.80063,1.2462081e-05,0.0,0.0,92.59553,0.0,59.34001,0.0,213.49313,0.0,43.730392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.7383,0.0,94.98059,0.0,0.09323347,0.0,0.0,0.0,0.0,0.0,26.121983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.965685,0.0,0.0,0.0,87.32996,0.0,0.0,0.0,0.0,0.0,1372.264,0.0
12532.413,0.0014741201,16304.169,382.0701,729.8314,13.710039,3573.4436,43.890007,238.61623,7.842717e-09,521.9438,0.08389097,0.0,0.0,348.8024,1.7253976e-07,3826.7646,0.07204033,806.509,0.2209966,2529.9258,2.1817174,288.65057,0.09097534,205.31543,1.2132688e-05,0.0,0.0,92.55263,0.0,60.729527,0.0,215.96762,0.0,44.13912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.80243,0.0,94.799095,0.0,0.14372277,0.0,0.0,0.0,0.009025281,0.0,26.604303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.807007,0.0,0.0,0.0,87.637054,0.0,0.0,0.0,0.0,0.0,1373.8849,0.0
12505.166,0.0014194779,16287.132,382.07196,730.5649,13.712103,3577.757,43.914543,237.51129,0.0,522.49457,0.0839506,0.0,0.0,349.76196,2.352815e-08,3823.3882,0.07242021,805.8109,0.22123674,2530.2485,2.2490923,287.21957,0.08489187,206.31262,1.29012715e-05,0.0,0.0,92.805435,0.0,60.358414,0.0,216.00288,0.0,43.524086,0.0,0.013383098,0.0,0.0,0.0,0.0,0.0,301.99457,0.0,94.97276,0.0,0.15229976,0.0,0.0,0.0,0.021190874,0.0,27.227175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.769081,0.0,0.0,0.0,86.37322,0.0,0.0,0.0,0.0,0.0,1372.2278,0.0
12555.333,0.0014316309,16336.858,382.054,735.0305,13.715386,3586.0166,43.90597,240.1977,2.901805e-07,519.1031,0.08390196,0.0,0.0,347.8589,1.01955315e-07,3834.728,0.07234142,809.0064,0.22170582,2536.6008,2.2403843,289.1897,0.0889193,203.8961,1.3395355e-05,0.0,0.0,91.91636,0.0,60.70764,0.0,217.9497,0.0,44.37007,0.0,0.04146398,0.0,0.0,0.0,0.0,0.0,302.2545,0.0,95.815865,0.0,0.20892075,0.0,0.0,0.0,0.016477885,0.0,26.98843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.034353,0.0,0.0,0.0,87.23692,0.0,0.0,0.0,0.0,0.0,1373.9966,0.0
12548.239,0.0014470336,16322.1,382.0618,733.57733,13.71244,3568.266,43.86921,239.35226,5.176193e-07,519.5117,0.08391572,0.0,0.0,346.27545,3.921358e-08,3827.8774,0.07254918,807.4698,0.22904426,2525.511,2.2391257,288.48477,0.08774227,204.21797,1.3614959e-05,0.0,0.0,91.3986,0.0,59.883034,0.0,216.8919,0.0,44.348934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0454,0.0,93.575165,0.0,0.24001278,0.0,0.0,0.0,0.020892877,0.0,26.97009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.13369,0.0,0.0,0.0,86.340485,0.0,0.0,0.0,0.0,0.0,1373.0955,0.0
12569.055,0.0014320035,16345.715,382.0597,732.46515,13.7167015,3582.457,43.89715,243.67105,7.842717e-09,524.0889,0.08389187,0.0,0.0,344.15732,6.2741734e-08,3835.0652,0.072102174,805.5347,0.22306308,2533.909,2.2306714,291.04852,0.08901024,206.08472,1.3544374e-05,0.0,0.0,92.20741,0.0,59.757504,0.0,216.45338,0.0,44.099144,0.0,0.026215682,0.0,0.0,0.0,0.0,0.0,301.43597,0.0,95.54423,0.0,0.39311507,0.0,0.0,0.0,0.02648683,0.0,27.043825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.724957,0.0,0.0,0.0,84.59035,0.0,0.0,0.0,0.0,0.0,1372.6195,0.0
12581.144,0.0014401583,16356.907,382.0395,732.8653,13.717274,3594.395,43.901028,241.76863,0.0,524.52075,0.08393657,0.0,0.0,348.96237,3.921358e-08,3836.5852,0.07408828,805.2628,0.21927096,2538.1536,2.275828,289.69815,0.09281144,206.04045,1.2015042e-05,0.0,0.0,93.78591,0.0,59.732914,0.0,215.86964,0.0,44.319443,0.0,0.031967644,0.0,0.0,0.0,0.0,0.0,303.3175,0.0,94.96028,0.0,0.2616398,0.0,0.0,0.0,0.022716345,0.0,26.874691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.11169,0.0,0.0,0.0,85.15371,0.0,0.0,0.0,0.0,0.0,1371.0796,0.0
12569.147,0.0015129276,16348.4375,382.08084,734.3951,13.713237,3587.785,43.90556,238.84927,0.0,526.4715,0.08394537,0.0,0.0,353.2066,5.4899015e-08,3837.985,0.07165578,807.9457,0.22645275,2536.9116,2.200218,289.54938,0.08952471,207.25713,1.3779653e-05,0.0,0.0,93.8568,0.0,60.097137,0.0,216.61057,0.0,44.729782,0.0,0.015029119,0.0,0.0,0.0,0.0,0.0,302.2943,0.0,94.71146,0.0,0.3158549,0.0,0.0,0.0,0.018542297,0.0,27.000624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.854956,0.0,0.0,0.0,85.48071,0.0,0.0,0.0,0.0,0.0,1373.5122,0.0
12545.399,0.0014074842,16327.456,382.07974,730.38153,13.708389,3575.9624,43.899334,237.68073,1.8822519e-07,523.6784,0.08389123,0.0,0.0,352.171,9.41126e-08,3830.422,0.07168567,805.79034,0.22411756,2529.0005,2.2347403,289.22174,0.089739725,206.16342,1.3144402e-05,0.0,0.0,93.227104,0.0,60.1531,0.0,216.22177,0.0,45.07189,0.0,0.00971284,0.0,0.0,0.0,0.0,0.0,301.4991,0.0,93.763054,0.0,0.21067037,0.0,0.0,0.0,0.0076606977,0.0,27.196638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.858511,0.0,0.0,0.0,86.13786,0.0,0.0,0.0,0.0,0.0,1372.3119,0.0
12510.864,0.0013808438,16293.883,382.07367,728.61115,13.716562,3559.4539,43.889297,236.5843,3.921358e-08,521.12054,0.08392019,0.0,0.0,345.73712,7.842716e-08,3825.2446,0.0716629,805.0965,0.22957261,2523.5898,2.2144601,288.1881,0.09125003,205.45927,1.3042433e-05,0.0,0.0,92.50631,0.0,59.900627,0.0,216.44981,0.0,44.61391,0.0,0.016287511,0.0,0.0,0.0,0.0,0.0,299.7594,0.0,94.392105,0.0,0.3314842,0.0,0.0,0.0,0.022031933,0.0,26.730669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.734364,0.0,0.0,0.0,86.3935,0.0,0.0,0.0,0.0,0.0,1372.5563,0.0
12552.072,0.0015460455,16342.935,382.09302,732.3135,13.709566,3587.8147,43.890503,241.08044,4.70563e-08,520.00433,0.08396381,0.0,0.0,346.78098,4.7056297e-08,3837.745,0.07296344,808.24133,0.22116542,2536.459,2.2177715,291.64703,0.09297279,204.98233,1.3920824e-05,0.0,0.0,90.9207,0.0,60.492203,0.0,217.03966,0.0,45.24498,0.0,0.041937634,0.0,0.0,0.0,0.0,0.0,302.79645,0.0,94.29174,0.0,0.24505179,0.0,0.0,0.0,0.01904076,0.0,27.555681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.610891,0.0,0.0,0.0,86.99642,0.0,0.0,0.0,0.0,0.0,1373.8127,0.0
12614.268,0.0014150951,16385.611,382.07947,734.7535,13.707738,3596.1638,43.904697,240.45978,0.0,526.04034,0.083944805,0.0,0.0,349.52625,8.626988e-08,3844.9333,0.07106445,808.2815,0.23069865,2541.4912,2.2694063,289.59872,0.086151704,207.71968,1.301107e-05,0.0,0.0,93.93158,0.0,60.377323,0.0,216.44727,0.0,44.49941,0.0,0.012532472,0.0,0.0,0.0,0.0,0.0,303.34613,0.0,95.54931,0.0,0.31006944,0.0,0.0,0.0,0.02188338,0.0,27.213415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.569546,0.0,0.0,0.0,85.60327,0.0,0.0,0.0,0.0,0.0,1373.051,0.0
12583.585,0.001430725,16360.759,382.0644,732.9027,13.721774,3597.9983,43.898163,245.48808,2.352815e-08,526.8236,0.08399899,0.0,0.0,347.80655,7.842716e-08,3840.25,0.071481764,807.84186,0.22279426,2542.0981,2.2428906,292.51038,0.091738924,207.60587,1.36306435e-05,0.0,0.0,93.05846,0.0,60.536625,0.0,217.72682,0.0,44.964848,0.0,0.011315705,0.0,0.0,0.0,0.0,0.0,303.93454,0.0,96.33939,0.0,0.2446032,0.0,0.0,0.0,0.015179424,0.0,27.298431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.927572,0.0,0.0,0.0,84.3295,0.0,0.0,0.0,0.0,0.0,1374.1863,0.0
12552.905,0.0013819882,16336.335,382.07727,730.8266,13.714924,3579.0515,43.901695,242.81575,7.842717e-09,521.2631,0.0839396,0.0,0.0,349.76758,6.2741734e-08,3834.1902,0.07260727,806.26715,0.21735032,2533.0479,2.26054,291.59442,0.08949054,204.99548,1.2634614e-05,0.0,0.0,93.52462,0.0,60.003223,0.0,216.4393,0.0,44.81275,0.0,0.01452022,0.0,0.0,0.0,0.0,0.0,302.16446,0.0,95.46313,0.0,0.29133153,0.0,0.0,0.0,0.0,0.0,27.46642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.915611,0.0,0.0,0.0,85.352,0.0,0.0,0.0,0.0,0.0,1373.0902,0.0
12543.6,0.0014299175,16329.575,382.03973,731.05695,13.71213,3582.4832,43.887123,245.61241,7.842717e-09,521.38696,0.08390762,0.0,0.0,343.71988,7.842716e-08,3832.2488,0.07458261,803.4583,0.21762702,2533.7334,2.2645125,290.99026,0.08832046,204.81053,1.3512998e-05,0.0,0.0,90.85006,0.0,59.217396,0.0,215.38402,0.0,44.673115,0.0,0.024855958,0.0,0.0,0.0,0.0,0.0,303.89722,0.0,96.37382,0.0,0.27977628,0.0,0.0,0.0,0.0,0.0,26.82278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.96655,0.0,0.0,0.0,84.71633,0.0,0.0,0.0,0.0,0.0,1374.2255,0.0
12583.503,0.0015697514,16363.283,382.05878,733.2633,13.709429,3590.5662,43.89842,244.44487,7.842717e-09,521.56067,0.083938256,0.0,0.0,342.9616,2.352815e-08,3839.296,0.074191295,805.603,0.22420262,2536.7444,2.2478848,292.88617,0.088851035,204.95819,1.2642459e-05,0.0,0.0,90.49525,0.0,59.566982,0.0,216.43266,0.0,45.729877,0.0,0.043437127,0.0,0.0,0.0,0.0,0.0,303.87738,0.0,95.89412,0.0,0.31032872,0.0,0.0,0.0,0.013668552,0.0,27.642748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89352,0.0,0.0,0.0,84.61914,0.0,0.0,0.0,0.0,0.0,1370.6707,0.0
12594.972,0.001428071,16373.198,382.08954,728.7742,13.705431,3596.1792,43.898163,247.14038,9.41126e-08,524.22595,0.08390204,0.0,0.0,345.8172,4.70563e-08,3837.3862,0.07093832,802.2455,0.2178691,2537.868,2.2322226,292.3512,0.08444131,206.61855,1.295616e-05,0.0,0.0,91.86631,0.0,59.605446,0.0,214.553,0.0,44.86296,0.0,0.0380297,0.0,0.0,0.0,0.0,0.0,305.2349,0.0,95.99131,0.0,0.26731187,0.0,0.0,0.0,0.005437478,0.0,26.738413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.825861,0.0,0.0,0.0,86.721436,0.0,0.0,0.0,0.0,0.0,1372.6525,0.0
12675.474,0.0013894964,16446.62,382.07718,730.12305,13.720593,3608.5122,43.89834,246.08432,7.842717e-09,523.29895,0.083910234,0.0,0.0,346.2337,5.489902e-08,3859.4048,0.07250473,805.4126,0.22628881,2544.8184,2.2825303,293.4153,0.09433625,206.13174,1.3732595e-05,0.0,0.0,91.82514,0.0,59.90675,0.0,214.58214,0.0,45.52835,0.0,0.0083078565,0.0,0.0,0.0,0.0,0.0,305.33997,0.0,96.03535,0.0,0.30856907,0.0,0.0,0.0,0.0,0.0,27.051098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.953379,0.0,0.0,0.0,85.86725,0.0,0.0,0.0,0.0,0.0,1376.102,0.0
12570.687,0.001383138,16348.063,382.0502,730.44507,13.710104,3580.8406,43.89069,246.26842,0.0,520.74414,0.08388359,0.0,0.0,342.65442,7.842716e-08,3832.17,0.07279485,804.649,0.22110136,2532.1936,2.2127578,293.94885,0.0925542,204.92096,1.2893431e-05,0.0,0.0,91.01727,0.0,59.71146,0.0,216.14604,0.0,45.69761,0.0,0.012063698,0.0,0.0,0.0,0.0,0.0,303.63828,0.0,96.291405,0.0,0.2914781,0.0,0.0,0.0,0.0,0.0,27.022518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.927933,0.0,0.0,0.0,86.0953,0.0,0.0,0.0,0.0,0.0,1373.0887,0.0
