H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13558.714,0.0015265686,17602.377,414.393,730.856,13.714774,4118.991,43.903618,239.95345,3.1370867e-08,519.5326,0.08392402,0.0,0.0,343.79398,4.7056297e-08,4087.7385,0.074645974,806.0359,0.2263117,2863.6401,2.3195662,290.4529,0.08645765,204.62268,1.2046414e-05,0.0,0.0,90.757835,0.0,60.222645,0.0,214.25629,0.0,45.160114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.53287,0.0,93.98061,0.0,0.25558296,0.0,0.0,0.0,0.0,0.0,26.651545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.460266,0.0,0.0,0.0,86.042114,0.0,0.0,0.0,0.0,0.0,1374.053,0.0
13550.143,0.0015149445,17598.588,414.44388,728.99756,13.706706,4107.233,43.907955,242.55505,0.0,521.8494,0.0839555,0.0,0.0,347.80026,7.842716e-08,4085.0608,0.073113695,802.25684,0.22239189,2857.2617,2.2302136,291.55264,0.08743491,205.5279,1.3599276e-05,0.0,0.0,90.21834,0.0,59.794895,0.0,214.10005,0.0,45.008232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.57773,0.0,94.71785,0.0,0.33245978,0.0,0.0,0.0,0.0,0.0,26.534792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.644867,0.0,0.0,0.0,86.96904,0.0,0.0,0.0,0.0,0.0,1374.4034,0.0
13525.335,0.0014863334,17570.38,414.39337,727.0455,13.71493,4097.616,43.893375,241.49806,0.0,521.8376,0.08395157,0.0,0.0,344.72223,1.411689e-07,4076.9202,0.07414569,799.3144,0.21793589,2852.1948,2.2276144,291.69495,0.08593584,205.49422,1.3316933e-05,0.0,0.0,90.15384,0.0,58.56746,0.0,211.91615,0.0,45.18397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.99564,0.0,93.95814,0.0,0.3375453,0.0,0.0,0.0,0.0,0.0,26.989494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52694,0.0,0.0,0.0,87.523155,0.0,0.0,0.0,0.0,0.0,1371.1426,0.0
13490.589,0.001543108,17537.203,414.37634,724.5779,13.71891,4090.531,43.899673,241.81035,3.1370867e-08,525.48865,0.083906315,0.0,0.0,350.35977,2.352815e-07,4067.3867,0.074501924,797.60455,0.22162433,2847.0361,2.293761,291.18634,0.08658579,207.45795,1.337183e-05,0.0,0.0,92.72429,0.0,58.511436,0.0,210.9004,0.0,45.258568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.1529,0.0,93.12294,0.0,0.35791823,0.0,0.0,0.0,0.0,0.0,26.463106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.285294,0.0,0.0,0.0,86.46002,0.0,0.0,0.0,0.0,0.0,1373.7764,0.0
13491.71,0.001504219,17541.062,414.42676,725.9578,13.712286,4109.852,43.898968,240.73924,1.5685433e-08,522.0178,0.083919585,0.0,0.0,344.27545,4.7056297e-08,4069.5571,0.07525369,801.1042,0.2328065,2859.5212,2.2933588,291.18274,0.08389428,205.62653,1.2807156e-05,0.0,0.0,91.47276,0.0,58.951054,0.0,213.07774,0.0,45.356136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.1861,0.0,93.67421,0.0,0.27137178,0.0,0.0,0.0,0.0,0.0,26.643698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260303,0.0,0.0,0.0,87.09569,0.0,0.0,0.0,0.0,0.0,1374.1237,0.0
13537.069,0.0015364361,17578.404,414.4313,729.29694,13.717303,4119.2295,43.888386,241.7294,0.0,519.89355,0.08394615,0.0,0.0,346.0749,1.5685433e-07,4078.9285,0.07424217,803.05865,0.225221,2862.298,2.2722073,290.74197,0.08618142,205.09265,1.2893428e-05,0.0,0.0,91.831085,0.0,59.507175,0.0,212.63652,0.0,45.137005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.85944,0.0,93.52751,0.0,0.28550088,0.0,0.0,0.0,0.0,0.0,26.205912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.459682,0.0,0.0,0.0,86.46617,0.0,0.0,0.0,0.0,0.0,1371.979,0.0
13495.499,0.0015729471,17539.213,414.38266,725.2733,13.711712,4111.5986,43.89864,240.02159,0.0,522.0358,0.08400058,0.0,0.0,349.26376,2.352815e-08,4067.5955,0.07348835,798.26575,0.22159874,2858.5352,2.2950242,289.01657,0.08800874,205.44681,1.3120862e-05,0.0,0.0,92.38433,0.0,58.724804,0.0,211.69548,0.0,44.917126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.2048,0.0,93.61251,0.0,0.27557617,0.0,0.0,0.0,0.0,0.0,25.9814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.798155,0.0,0.0,0.0,87.34015,0.0,0.0,0.0,0.0,0.0,1373.4775,0.0
13519.38,0.001543838,17561.477,414.4256,723.5399,13.706919,4104.1177,43.907467,238.55927,0.0,520.7068,0.08396585,0.0,0.0,346.045,6.2741734e-08,4073.3953,0.07544967,799.0064,0.22670768,2854.9058,2.2623167,287.7567,0.08671277,205.17873,1.3528689e-05,0.0,0.0,90.79944,0.0,59.373173,0.0,211.46262,0.0,44.041096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.75098,0.0,93.55622,0.0,0.23787704,0.0,0.0,0.0,0.0,0.0,26.033783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.759457,0.0,0.0,0.0,86.282684,0.0,0.0,0.0,0.0,0.0,1373.3341,0.0
13567.528,0.0015167051,17607.035,414.44165,727.0153,13.711794,4129.436,43.898766,240.91547,0.0,522.567,0.083904356,0.0,0.0,351.48804,7.058444e-08,4085.17,0.07437094,800.59753,0.22131394,2867.2893,2.2147799,289.54135,0.087581135,206.18384,1.309734e-05,0.0,0.0,92.59838,0.0,58.889805,0.0,212.22179,0.0,44.53748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.20947,0.0,95.38709,0.0,0.25994444,0.0,0.0,0.0,0.0,0.0,26.004309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.622562,0.0,0.0,0.0,87.43178,0.0,0.0,0.0,0.0,0.0,1372.8552,0.0
13568.659,0.0015581248,17610.379,414.38995,733.24744,13.718679,4116.6426,43.895405,244.51326,3.2939408e-07,525.2643,0.083894655,0.0,0.0,349.3461,2.352815e-08,4086.2373,0.07582924,804.4571,0.21693933,2861.0588,2.2428265,291.5176,0.08503996,207.3885,1.2705197e-05,0.0,0.0,92.78961,0.0,59.41961,0.0,214.90996,0.0,44.26627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.07904,0.0,94.51998,0.0,0.29947588,0.0,0.0,0.0,0.0,0.0,26.338022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.616419,0.0,0.0,0.0,86.89497,0.0,0.0,0.0,0.0,0.0,1371.6366,0.0
