H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13668.119,0.0015361822,17703.88,414.4315,741.2829,13.718553,4168.543,43.905006,250.26338,7.842717e-09,524.60095,0.08389496,0.0,0.0,354.85376,5.4899015e-08,4096.853,0.07339942,799.0165,0.22514226,2874.7688,2.3130474,289.5694,0.088239774,206.60162,1.205426e-05,0.0,0.0,95.15048,0.0,56.99632,0.0,212.36353,0.0,42.80315,0.0,0.008866147,0.0,0.0,0.0,0.0,0.0,342.23883,0.0,93.90041,0.0,0.29281116,0.0,0.0,0.0,0.0,0.0,25.164326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.193232,0.0,0.0,0.0,86.86156,0.0,0.0,0.0,0.0,0.0,1375.5708,0.0
13605.569,0.0014988512,17656.406,414.41534,741.9034,13.709651,4162.4053,43.916504,250.71007,0.0,523.2531,0.08395345,0.0,0.0,352.6137,4.70563e-08,4085.7837,0.07500025,797.19183,0.21795206,2870.9172,2.227718,288.16644,0.08910154,206.17494,1.2948324e-05,0.0,0.0,93.24181,0.0,56.74568,0.0,211.89502,0.0,42.24967,0.0,0.029561304,0.0,0.0,0.0,0.0,0.0,341.60623,0.0,92.99332,0.0,0.17122884,0.0,0.0,0.0,0.0,0.0,24.6729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.91948,0.0,0.0,0.0,86.7732,0.0,0.0,0.0,0.0,0.0,1374.4332,0.0
13636.002,0.0014761852,17681.992,414.40887,744.1871,13.721107,4164.8213,43.894363,249.70714,1.5685433e-08,522.7151,0.08397034,0.0,0.0,346.9615,9.411259e-08,4092.2441,0.07625306,798.86224,0.21908659,2872.2874,2.2905068,288.09644,0.08485075,205.93033,1.2681668e-05,0.0,0.0,92.40053,0.0,56.545994,0.0,211.8117,0.0,42.80817,0.0,0.0073045124,0.0,0.0,0.0,0.0,0.0,341.14523,0.0,93.26522,0.0,0.18913278,0.0,0.0,0.0,0.0,0.0,24.655167,0.0,0.011771286,0.0,0.0,0.0,0.0,0.0,21.826662,0.0,0.0,0.0,86.0232,0.0,0.0,0.0,0.0,0.0,1371.6224,0.0
13721.433,0.0015225689,17765.318,414.38647,745.08624,13.714226,4214.1675,43.90207,252.65541,0.0,520.1911,0.08396766,0.0,0.0,351.79364,1.1764075e-07,4113.991,0.0749075,799.9444,0.22109136,2895.8062,2.2833662,289.29996,0.0830612,204.5459,1.1669964e-05,0.0,0.0,93.11507,0.0,56.83386,0.0,213.17981,0.0,41.68999,0.0,0.032862775,0.0,0.0,0.0,0.0,0.0,346.7445,0.0,93.47081,0.0,0.32151654,0.0,0.0,0.0,0.023749512,0.0,24.919434,0.0,0.0061342884,0.0,0.0,0.0,0.0,0.0,21.874884,0.0,0.0,0.0,87.671745,0.0,0.0,0.0,0.0,0.0,1371.1478,0.0
13667.364,0.0015392049,17720.611,414.40692,745.30994,13.7161,4202.05,43.914345,256.1394,0.0,521.8276,0.083918594,0.0,0.0,353.1053,5.489902e-08,4104.668,0.075317785,799.281,0.21948996,2891.5603,2.308256,291.22943,0.09032965,204.85197,1.3144396e-05,0.0,0.0,93.357315,0.0,56.825367,0.0,212.03993,0.0,42.346798,0.0,0.013206704,0.0,0.0,0.0,0.0,0.0,344.75287,0.0,94.44748,0.0,0.33307117,0.0,0.0,0.0,0.04666906,0.0,25.323309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.328472,0.0,0.0,0.0,86.38251,0.0,0.0,0.0,0.0,0.0,1375.936,0.0
13702.847,0.0015095954,17754.467,414.41614,750.0721,13.712352,4191.5713,43.89512,253.96718,0.0,521.17316,0.083929904,0.0,0.0,354.6766,5.489902e-08,4113.3086,0.076523796,800.7989,0.22075471,2887.3225,2.2896013,290.1656,0.088328496,204.90851,1.2791469e-05,0.0,0.0,93.0444,0.0,56.74761,0.0,213.02048,0.0,41.777164,0.0,0.0074985474,0.0,0.0,0.0,0.0,0.0,345.83325,0.0,93.378075,0.0,0.3765572,0.0,0.0,0.0,0.04871382,0.0,25.475447,0.0,0.0060626254,0.0,0.0,0.0,0.0,0.0,22.019648,0.0,0.0,0.0,87.25846,0.0,0.0,0.0,0.0,0.0,1373.9675,0.0
13633.48,0.0015040098,17682.67,414.4066,746.7253,13.711239,4174.759,43.902393,258.607,0.0,524.83527,0.08393574,0.0,0.0,351.6662,8.626988e-08,4092.824,0.07314459,797.7583,0.22596462,2878.4875,2.275496,292.64883,0.08963299,206.44957,1.1952306e-05,0.0,0.0,94.11023,0.0,55.765095,0.0,212.62437,0.0,42.46043,0.0,0.015097618,0.0,0.0,0.0,0.0,0.0,343.36426,0.0,94.68878,0.0,0.39450675,0.0,0.0,0.0,0.05446949,0.0,25.324455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.035013,0.0,0.0,0.0,86.12482,0.0,0.0,0.0,0.0,0.0,1373.3059,0.0
13661.789,0.0014938203,17709.217,414.4204,744.36847,13.713145,4173.0806,43.906452,262.12512,8.626988e-08,525.26184,0.083872445,0.0,0.0,349.11426,3.1370867e-08,4101.2007,0.075626686,799.3441,0.22239365,2878.501,2.2714298,295.39716,0.08861716,207.09189,1.3128698e-05,0.0,0.0,92.37701,0.0,56.429268,0.0,211.9709,0.0,42.855885,0.0,0.035879,0.0,0.0,0.0,0.0,0.0,343.64053,0.0,95.2236,0.0,0.5027966,0.0,0.0,0.0,0.06711545,0.0,25.887573,0.0,0.016219625,0.0,0.0,0.0,0.0,0.0,21.910444,0.0,0.0,0.0,85.47436,0.0,0.0,0.0,0.0,0.0,1373.2915,0.0
13641.303,0.0015128137,17689.666,414.3722,742.26575,13.7206955,4165.6626,43.88917,258.99426,1.5685433e-08,523.0805,0.08389015,0.0,0.0,348.79807,3.1370867e-08,4094.8984,0.07400316,797.262,0.22335552,2873.2056,2.2832527,291.59995,0.08801274,205.4645,1.3756131e-05,0.0,0.0,93.106155,0.0,56.701256,0.0,211.61353,0.0,42.15148,0.0,0.023430903,0.0,0.0,0.0,0.0,0.0,342.86343,0.0,93.47703,0.0,0.4345231,0.0,0.0,0.0,0.10550767,0.0,25.050697,0.0,0.013032494,0.0,0.0,0.0,0.0,0.0,22.391853,0.0,0.0,0.0,85.463165,0.0,0.0,0.0,0.0,0.0,1373.6852,0.0
13710.758,0.0015592475,17755.586,414.42026,740.6014,13.715722,4187.202,43.90222,258.92462,2.352815e-08,526.86414,0.083872914,0.0,0.0,349.82422,9.41126e-08,4110.938,0.07503678,796.8094,0.21811293,2880.729,2.2458205,291.7292,0.088922404,207.14513,1.2642455e-05,0.0,0.0,93.64338,0.0,56.810703,0.0,211.00362,0.0,42.59818,0.0,0.0397211,0.0,0.0,0.0,0.0,0.0,341.93784,0.0,94.320076,0.0,0.40856382,0.0,0.0,0.0,0.07311199,0.0,24.830133,0.0,0.0065668304,0.0,0.0,0.0,0.0,0.0,22.066252,0.0,0.0,0.0,85.35966,0.0,0.0,0.0,0.0,0.0,1371.9313,0.0
