H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14364.423,0.0014627163,19868.3,435.74084,670.98285,27.4311,4562.878,43.903736,0.0,0.0,525.14,0.08396856,0.0,0.0,354.10724,5.4899015e-08,5712.4165,0.30870402,923.98676,0.25157982,3230.7847,1.2707063,0.0,0.0,207.36105,1.2736567e-05,0.0,0.0,94.08863,0.0,20.516663,0.0,161.17435,0.0,0.0,0.0,0.0725219,0.0,0.0,0.0,0.0,0.0,342.9651,0.0,0.0,0.0,0.3995321,0.0,0.0,0.0,0.016060553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.769947,0.0,0.0,0.0,86.915855,0.0,0.0,0.0,0.0,0.0,1372.1508,0.0
14431.794,0.0014222638,19943.64,435.74136,674.22296,27.428848,4576.2246,43.89685,0.0,0.0,521.6028,0.083959036,0.0,0.0,350.74103,2.9802322e-07,5726.0845,0.30436394,924.5819,0.24209754,3240.4546,1.3350564,0.0,0.0,205.72191,1.2877744e-05,0.0,0.0,92.34212,0.0,20.412453,0.0,161.62796,0.0,0.0,0.0,0.081513956,0.0,0.0,0.0,0.0,0.0,343.59137,0.0,0.0,0.0,0.48238716,0.0,0.0,0.0,0.015901485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.864328,0.0,0.0,0.0,87.70641,0.0,0.0,0.0,0.0,0.0,1375.1322,0.0
14432.888,0.0014482801,19935.791,435.7556,671.22156,27.430935,4582.8774,43.90478,0.0,0.0,523.04584,0.083929636,0.0,0.0,344.3148,3.1370867e-08,5726.277,0.30377826,925.5911,0.25217703,3244.8906,1.3320271,0.0,0.0,206.49835,1.3309087e-05,0.0,0.0,91.67138,0.0,20.350847,0.0,162.47687,0.0,0.0,0.0,0.08575663,0.0,0.0,0.0,0.0,0.0,344.14343,0.0,0.0,0.0,0.5667574,0.0,0.0,0.0,0.0060130255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.730637,0.0,0.0,0.0,86.732185,0.0,0.0,0.0,0.0,0.0,1374.5624,0.0
14347.784,0.0014167114,19859.295,435.76697,673.3438,27.44392,4566.9565,43.89209,0.0,0.0,523.4385,0.08392785,0.0,0.0,347.92426,3.921358e-08,5698.258,0.30837187,921.07947,0.24471767,3233.9678,1.3250661,0.0,0.0,206.5125,1.2987543e-05,0.0,0.0,92.84769,0.0,19.859327,0.0,161.77745,0.0,0.0,0.0,0.06676203,0.0,0.0,0.0,0.0,0.0,342.22043,0.0,0.0,0.0,0.45241362,0.0,0.0,0.0,0.008957357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.878485,0.0,0.0,0.0,86.39939,0.0,0.0,0.0,0.0,0.0,1371.6605,0.0
14452.443,0.001506224,19981.176,435.70425,681.81036,27.4385,4593.995,43.88863,0.0,0.0,522.842,0.08390347,0.0,0.0,350.13663,4.7056297e-08,5735.7666,0.3041269,926.468,0.25309965,3253.2336,1.2728097,0.0,0.0,206.52652,1.3167925e-05,0.0,0.0,91.28944,0.0,20.226238,0.0,162.84566,0.0,0.0,0.0,0.106549874,0.0,0.0,0.0,0.0,0.0,344.5479,0.0,0.0,0.0,0.5772834,0.0,0.0,0.0,0.0058768042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.594015,0.0,0.0,0.0,86.750275,0.0,0.0,0.0,0.0,0.0,1373.8842,0.0
14395.603,0.0018248612,19942.691,435.754,685.45685,27.429106,4587.2964,43.887276,0.0,0.0,524.5756,0.08393558,0.0,0.0,348.44202,5.489901e-08,5728.832,0.30543453,927.91504,0.24818365,3255.628,1.3204296,0.0,0.0,207.26163,1.3050279e-05,0.0,0.0,92.4743,0.0,20.389849,0.0,165.06744,0.0,0.0,0.0,0.12340879,0.0,0.0,0.0,0.0,0.0,344.63666,0.0,0.0,0.0,0.6146733,0.0,0.0,0.0,0.013378916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.424305,0.0,0.0,0.0,86.39983,0.0,0.0,0.0,0.0,0.0,1374.486,0.0
14467.792,0.0015303849,19999.824,435.7462,682.1549,27.428959,4601.1646,43.908276,0.0,0.0,525.6434,0.083891906,0.0,0.0,348.25586,7.058445e-08,5739.672,0.30523443,926.1766,0.24506788,3259.9365,1.2884101,0.0,0.0,207.5845,1.3214976e-05,0.0,0.0,92.27749,0.0,20.103645,0.0,165.09612,0.0,0.0,0.0,0.06858167,0.0,0.0,0.0,0.0,0.0,345.88315,0.0,0.0,0.0,0.5377551,0.0,0.0,0.0,0.009029581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.646162,0.0,0.0,0.0,87.43785,0.0,0.0,0.0,0.0,0.0,1372.2683,0.0
14449.002,0.0014870473,19990.746,435.7414,686.91705,27.42351,4594.884,43.891373,0.0,0.0,526.6051,0.08395873,0.0,0.0,351.62173,4.7056297e-08,5738.592,0.30978858,926.6983,0.25001982,3256.3945,1.2961383,0.0,0.0,207.85323,1.2862052e-05,0.0,0.0,93.2057,0.0,20.03635,0.0,165.24765,0.0,0.0,0.0,0.15385848,0.0,0.0,0.0,0.0,0.0,344.92722,0.0,0.0,0.0,0.5376914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.683737,0.0,0.0,0.0,86.80658,0.0,0.0,0.0,0.0,0.0,1373.253,0.0
14423.633,0.0015287031,19953.418,435.69748,680.6059,27.419548,4589.511,43.898716,0.0,0.0,521.3187,0.083936445,0.0,0.0,345.67654,2.352815e-08,5722.749,0.3047383,922.4826,0.25063986,3246.7173,1.2771173,0.0,0.0,205.62186,1.2328752e-05,0.0,0.0,91.811195,0.0,19.583754,0.0,162.1914,0.0,0.0,0.0,0.12695543,0.0,0.0,0.0,0.0,0.0,344.71094,0.0,0.0,0.0,0.35280305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.652653,0.0,0.0,0.0,85.962814,0.0,0.0,0.0,0.0,0.0,1373.4891,0.0
14449.346,0.0014637581,19992.545,435.7192,685.8267,27.435818,4591.5283,43.90872,0.0,0.0,525.39636,0.08395143,0.0,0.0,348.6945,5.4899015e-08,5731.4653,0.30797487,922.49286,0.24315692,3254.5635,1.295828,0.0,0.0,207.51773,1.2297376e-05,0.0,0.0,92.56377,0.0,19.248415,0.0,164.92744,0.0,0.0,0.0,0.08239185,0.0,0.0,0.0,0.0,0.0,344.91754,0.0,0.0,0.0,0.53166944,0.0,0.0,0.0,0.005378952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.497272,0.0,0.0,0.0,86.81254,0.0,0.0,0.0,0.0,0.0,1376.0667,0.0
