H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12270.245,0.0014359319,16208.468,372.18335,480.8474,1.5685433e-08,2791.0688,3.9213577e-07,0.0,0.0,524.13525,0.0839225,0.0,0.0,346.7459,3.921358e-08,4108.332,0.16974755,441.93796,0.09632067,1898.4249,1.2222339,0.0,0.0,207.5168,1.30345925e-05,0.0,0.0,91.6443,0.0,2.4148736,0.0,71.57492,0.0,0.0,0.0,0.026720565,0.0,0.0,0.0,0.0,0.0,183.28537,0.0,0.0,0.0,0.27990162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.419695,0.0,0.0,0.0,85.00171,0.0,0.0,0.0,0.0,0.0,1374.5457,0.0
12218.469,0.00134496,16167.388,372.2031,477.17154,1.5685433e-08,2772.418,3.6860763e-07,0.0,0.0,519.50964,0.08400139,0.0,0.0,343.22208,9.411259e-08,4094.08,0.16995405,438.19122,0.09529818,1890.339,1.2275305,0.0,0.0,205.5986,1.2783627e-05,0.0,0.0,91.75282,0.0,1.996592,0.0,70.58766,0.0,0.0,0.0,0.0671356,0.0,0.0,0.0,0.0,0.0,181.94409,0.0,0.0,0.0,0.23361564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59501,0.0,0.0,0.0,86.226616,0.0,0.0,0.0,0.0,0.0,1369.903,0.0
12248.972,0.0013418877,16201.774,372.18912,480.25888,2.352815e-08,2793.4504,3.529222e-07,0.0,0.0,523.7475,0.08388677,0.0,0.0,351.3887,3.1370867e-08,4113.102,0.17045715,441.58514,0.09108616,1900.3391,1.2572812,0.0,0.0,206.92372,1.2211108e-05,0.0,0.0,94.12787,0.0,2.2445023,0.0,71.69353,0.0,0.0,0.0,0.085947305,0.0,0.0,0.0,0.0,0.0,184.01218,0.0,0.0,0.0,0.21183026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.810265,0.0,0.0,0.0,86.894554,0.0,0.0,0.0,0.0,0.0,1374.5487,0.0
12251.604,0.0013220477,16202.591,372.18353,479.96695,4.7056297e-08,2793.1624,3.7645034e-07,0.0,0.0,521.7087,0.08389274,0.0,0.0,350.80917,8.626988e-08,4103.904,0.17104915,438.56122,0.092719086,1901.0162,1.2231818,0.0,0.0,206.07407,1.2250312e-05,0.0,0.0,92.79384,0.0,2.0525956,0.0,71.5516,0.0,0.0,0.0,0.052419983,0.0,0.0,0.0,0.0,0.0,184.71771,0.0,0.0,0.0,0.21628748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.957037,0.0,0.0,0.0,86.29692,0.0,0.0,0.0,0.0,0.0,1373.456,0.0
12303.1,0.0014295472,16273.486,372.1991,488.03644,4.70563e-08,2799.2715,3.1370863e-07,0.0,0.0,522.43713,0.08394579,0.0,0.0,347.06088,8.626988e-08,4127.4497,0.16907133,442.271,0.09420562,1906.7118,1.2524602,0.0,0.0,206.5118,1.2987538e-05,0.0,0.0,92.73982,0.0,1.953559,0.0,73.06988,0.0,0.0,0.0,0.045775816,0.0,0.0,0.0,0.0,0.0,184.0369,0.0,0.0,0.0,0.18295312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.788513,0.0,0.0,0.0,86.540565,0.0,0.0,0.0,0.0,0.0,1374.1973,0.0
12262.98,0.001352433,16230.965,372.2135,484.34238,3.1370867e-08,2789.8325,4.3919206e-07,0.0,0.0,523.029,0.08393776,0.0,0.0,348.1838,7.842716e-08,4114.1562,0.16908236,440.11588,0.0924925,1903.2266,1.2242991,0.0,0.0,206.13387,1.2681674e-05,0.0,0.0,93.32396,0.0,1.8069291,0.0,72.24207,0.0,0.0,0.0,0.055678993,0.0,0.0,0.0,0.0,0.0,184.99678,0.0,0.0,0.0,0.20778017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.80918,0.0,0.0,0.0,86.101944,0.0,0.0,0.0,0.0,0.0,1372.3336,0.0
12229.302,0.0017204315,16218.671,372.20447,484.5073,4.7056297e-08,2779.063,3.4507948e-07,0.0,0.0,521.35547,0.08396934,0.0,0.0,341.61145,7.842717e-09,4111.5327,0.17090611,439.6529,0.09038092,1902.5966,1.2313896,0.0,0.0,205.64983,1.22581605e-05,0.0,0.0,90.9499,0.0,1.6376454,0.0,72.98718,0.0,0.0,0.0,0.047379185,0.0,0.0,0.0,0.0,0.0,182.84299,0.0,0.0,0.0,0.14077286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.89537,0.0,0.0,0.0,87.057014,0.0,0.0,0.0,0.0,0.0,1371.318,0.0
12282.897,0.0013467193,16266.956,372.203,481.57156,1.5685433e-08,2786.5122,3.7645034e-07,0.0,0.0,520.9883,0.083918974,0.0,0.0,346.71188,0.0,4130.392,0.1665126,439.38416,0.094423965,1902.3213,1.2018509,0.0,0.0,205.44417,1.2571874e-05,0.0,0.0,91.6399,0.0,1.8034064,0.0,72.33905,0.0,0.0,0.0,0.07235722,0.0,0.0,0.0,0.0,0.0,183.3969,0.0,0.0,0.0,0.25350517,0.0,0.0,0.0,0.0053156996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.886723,0.0,0.0,0.0,86.884605,0.0,0.0,0.0,0.0,0.0,1374.1384,0.0
12285.507,0.0013600655,16260.454,372.2137,482.13702,3.921358e-08,2784.613,3.6860763e-07,0.0,0.0,522.965,0.08395175,0.0,0.0,349.698,1.960679e-07,4122.836,0.16989385,439.47046,0.09546294,1897.9241,1.1981382,0.0,0.0,206.84973,1.345026e-05,0.0,0.0,92.879944,0.0,1.9570689,0.0,70.85652,0.0,0.0,0.0,0.063178495,0.0,0.0,0.0,0.0,0.0,183.44576,0.0,0.0,0.0,0.3732044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7611,0.0,0.0,0.0,86.37489,0.0,0.0,0.0,0.0,0.0,1371.5916,0.0
12261.916,0.0013444423,16247.494,372.2246,482.98224,3.1370867e-08,2774.9785,3.6076491e-07,0.0,0.0,520.1143,0.0839072,0.0,0.0,348.85535,5.489902e-08,4121.581,0.17334968,439.59714,0.09728215,1892.6837,1.2224612,0.0,0.0,205.2717,1.29091095e-05,0.0,0.0,91.09716,0.0,2.00017,0.0,71.026955,0.0,0.0,0.0,0.04676871,0.0,0.0,0.0,0.0,0.0,182.27579,0.0,0.0,0.0,0.29347557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.207628,0.0,0.0,0.0,87.22638,0.0,0.0,0.0,0.0,0.0,1370.232,0.0
