H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12262.767,0.0013298489,16121.376,372.1963,453.8514,2.352815e-08,2788.997,4.627202e-07,0.0,0.0,522.84546,0.08397799,0.0,0.0,347.28793,5.489901e-08,4091.844,0.17117237,428.50607,0.097419314,1903.2756,1.1882623,0.0,0.0,206.19862,1.2807151e-05,0.0,0.0,92.466675,0.0,1.8459476,0.0,66.79817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.98582,0.0,0.0,0.0,0.24116902,0.0,0.0,0.0,0.0062322565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.788614,0.0,0.0,0.0,87.30171,0.0,0.0,0.0,0.0,0.0,1373.7764,0.0
12180.122,0.0013626528,16051.416,372.17197,447.10434,1.5685433e-08,2759.8748,4.4703478e-07,0.0,0.0,523.9418,0.0839115,0.0,0.0,346.0848,6.2741734e-08,4077.8843,0.16699547,427.71063,0.09360612,1891.0504,1.2166078,0.0,0.0,207.0559,1.3238506e-05,0.0,0.0,91.594,0.0,2.0269659,0.0,65.797806,0.0,0.0,0.0,0.022543306,0.0,0.0,0.0,0.0,0.0,186.36969,0.0,0.0,0.0,0.38799682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.459095,0.0,0.0,0.0,85.98808,0.0,0.0,0.0,0.0,0.0,1372.5885,0.0
12231.237,0.0013521943,16099.114,372.21445,453.0429,4.7056297e-08,2783.0203,3.9213577e-07,0.0,0.0,523.8544,0.083873995,0.0,0.0,348.10873,1.2548347e-07,4077.7073,0.17075725,425.81244,0.096540265,1900.1671,1.1930021,0.0,0.0,207.35175,1.3473786e-05,0.0,0.0,91.05395,0.0,1.7237868,0.0,67.19286,0.0,0.0,0.0,0.014918391,0.0,0.0,0.0,0.0,0.0,188.64586,0.0,0.0,0.0,0.32282653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.399221,0.0,0.0,0.0,85.43067,0.0,0.0,0.0,0.0,0.0,1372.3816,0.0
12206.728,0.001350351,16063.435,372.2015,451.11664,7.842717e-09,2763.8442,2.6665234e-07,0.0,0.0,524.6628,0.08393137,0.0,0.0,348.32715,1.5685433e-08,4070.8696,0.16926673,425.5327,0.09321538,1890.5017,1.1813,0.0,0.0,207.0334,1.2862058e-05,0.0,0.0,92.122025,0.0,1.5793729,0.0,66.66695,0.0,0.0,0.0,0.03497594,0.0,0.0,0.0,0.0,0.0,186.12866,0.0,0.0,0.0,0.29153693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.521051,0.0,0.0,0.0,87.32119,0.0,0.0,0.0,0.0,0.0,1373.1166,0.0
12260.777,0.0013304205,16131.793,372.2256,451.8192,7.842717e-09,2767.6294,3.6860763e-07,0.0,0.0,524.36945,0.08396341,0.0,0.0,340.9191,6.2741734e-08,4091.2659,0.17097695,425.14294,0.09026317,1898.0791,1.220731,0.0,0.0,207.37352,1.29718555e-05,0.0,0.0,90.14764,0.0,1.5106301,0.0,66.59501,0.0,0.0,0.0,0.05221205,0.0,0.0,0.0,0.0,0.0,186.73643,0.0,0.0,0.0,0.38577473,0.0,0.0,0.0,0.019882534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.380545,0.0,0.0,0.0,85.76837,0.0,0.0,0.0,0.0,0.0,1373.4349,0.0
12237.901,0.001326811,16109.322,372.1743,451.38638,2.352815e-08,2766.719,3.999785e-07,0.0,0.0,519.83405,0.083930224,0.0,0.0,341.21558,5.489902e-08,4086.7603,0.17274758,426.23105,0.09418961,1895.0623,1.2178346,0.0,0.0,204.80927,1.2352277e-05,0.0,0.0,87.826965,0.0,1.5917183,0.0,66.29503,0.0,0.0,0.0,0.084191404,0.0,0.0,0.0,0.0,0.0,187.01346,0.0,0.0,0.0,0.2947889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.224249,0.0,0.0,0.0,87.26819,0.0,0.0,0.0,0.0,0.0,1373.8634,0.0
12253.978,0.001378512,16126.576,372.20047,453.56735,3.921358e-08,2770.012,3.2939406e-07,0.0,0.0,524.5175,0.08383751,0.0,0.0,343.09894,3.1370867e-08,4093.6812,0.16833691,429.32648,0.09218184,1896.3258,1.2133676,0.0,0.0,207.0466,1.2909116e-05,0.0,0.0,90.36351,0.0,1.8954474,0.0,66.76764,0.0,0.0,0.0,0.05094487,0.0,0.0,0.0,0.0,0.0,186.96129,0.0,0.0,0.0,0.28894693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.591806,0.0,0.0,0.0,85.58981,0.0,0.0,0.0,0.0,0.0,1373.3918,0.0
12298.788,0.0013513616,16160.401,372.2185,454.19757,7.842717e-09,2784.8618,3.7645034e-07,0.0,0.0,523.6914,0.08392218,0.0,0.0,342.0001,0.0,4100.8765,0.17179765,427.2091,0.09212049,1902.592,1.2179717,0.0,0.0,206.17548,1.3160078e-05,0.0,0.0,90.086235,0.0,1.6258289,0.0,66.71765,0.0,0.0,0.0,0.057025112,0.0,0.0,0.0,0.0,0.0,187.69301,0.0,0.0,0.0,0.34523907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.675339,0.0,0.0,0.0,86.76693,0.0,0.0,0.0,0.0,0.0,1374.3822,0.0
12237.439,0.00133563,16123.516,372.19427,454.29718,6.274173e-08,2780.1443,3.999785e-07,0.0,0.0,521.71515,0.08395535,0.0,0.0,342.86374,1.0979802e-07,4096.213,0.1697896,429.01074,0.0944018,1898.4255,1.1671827,0.0,0.0,205.88316,1.282284e-05,0.0,0.0,90.10597,0.0,1.8506736,0.0,67.28579,0.0,0.0,0.0,0.04454194,0.0,0.0,0.0,0.0,0.0,187.23064,0.0,0.0,0.0,0.30996257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.462206,0.0,0.0,0.0,85.633736,0.0,0.0,0.0,0.0,0.0,1373.2742,0.0
12246.8125,0.0013502337,16111.9375,372.20847,451.27863,0.0,2778.3909,3.2939406e-07,0.0,0.0,525.291,0.083886266,0.0,0.0,346.18512,5.489901e-08,4087.3376,0.16936286,426.07104,0.09080312,1897.3202,1.24847,0.0,0.0,206.88116,1.2846375e-05,0.0,0.0,91.593994,0.0,1.7244921,0.0,66.81787,0.0,0.0,0.0,0.03899242,0.0,0.0,0.0,0.0,0.0,187.11826,0.0,0.0,0.0,0.27869472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.639698,0.0,0.0,0.0,86.419815,0.0,0.0,0.0,0.0,0.0,1371.7649,0.0
