H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13154.758,0.0014398305,17319.932,404.5547,447.40863,2.352815e-08,3313.0017,5.097766e-07,0.0,0.0,522.0003,0.083916195,0.0,0.0,344.88922,0.0,4331.88,0.17124806,425.94852,0.090302065,2232.9297,1.2291594,0.0,0.0,206.1338,1.3967881e-05,0.0,0.0,90.41788,0.0,1.6637747,0.0,66.68679,0.0,0.0,0.0,0.059098553,0.0,0.0,0.0,0.0,0.0,227.24269,0.0,0.0,0.0,0.26320896,0.0,0.0,0.0,0.17058426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.593685,0.0,0.0,0.0,86.937065,0.0,0.0,0.0,0.0,0.0,1375.0099,0.0
13167.849,0.0014425449,17338.725,404.5492,451.8836,2.352815e-08,3306.0396,4.4703478e-07,0.0,0.0,521.4881,0.08393627,0.0,0.0,351.7402,1.960679e-07,4341.962,0.17407292,428.92587,0.094610065,2231.72,1.2389715,0.0,0.0,205.66885,1.2415021e-05,0.0,0.0,92.64604,0.0,1.7641824,0.0,66.47944,0.0,0.0,0.0,0.0710046,0.0,0.0,0.0,0.0,0.0,227.02214,0.0,0.0,0.0,0.2772375,0.0,0.0,0.0,0.14031069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.742838,0.0,0.0,0.0,88.03777,0.0,0.0,0.0,0.0,0.0,1371.9421,0.0
13121.517,0.0014907755,17287.645,404.52115,447.88382,3.1370867e-08,3301.8186,4.627202e-07,0.0,0.0,523.4053,0.08392581,0.0,0.0,350.18195,7.842716e-08,4326.777,0.17155461,425.2802,0.0935197,2230.857,1.2548432,0.0,0.0,206.63419,1.3348303e-05,0.0,0.0,92.69802,0.0,1.428218,0.0,66.724785,0.0,0.0,0.0,0.041428402,0.0,0.0,0.0,0.0,0.0,228.0428,0.0,0.0,0.0,0.19722855,0.0,0.0,0.0,0.056661073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.744848,0.0,0.0,0.0,88.08814,0.0,0.0,0.0,0.0,0.0,1374.186,0.0
13119.529,0.0014743453,17288.162,404.51648,448.85483,3.921358e-08,3309.2485,3.6076491e-07,0.0,0.0,521.748,0.08396181,0.0,0.0,353.78943,4.70563e-08,4319.789,0.17259417,423.58002,0.095917,2231.174,1.259122,0.0,0.0,206.3673,1.255619e-05,0.0,0.0,92.12493,0.0,1.4473406,0.0,66.300674,0.0,0.0,0.0,0.008993825,0.0,0.0,0.0,0.0,0.0,228.93939,0.0,0.0,0.0,0.24304552,0.0,0.0,0.0,0.01863648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.444042,0.0,0.0,0.0,87.14224,0.0,0.0,0.0,0.0,0.0,1373.3668,0.0
13131.8,0.001497438,17308.225,404.54428,453.47308,0.0,3314.71,4.2350663e-07,0.0,0.0,519.4007,0.083955295,0.0,0.0,347.59927,7.058444e-08,4331.6074,0.17405783,427.75067,0.092819765,2234.717,1.2402693,0.0,0.0,205.31729,1.2642463e-05,0.0,0.0,91.25836,0.0,1.6226093,0.0,67.625946,0.0,0.0,0.0,0.02169963,0.0,0.0,0.0,0.0,0.0,227.80893,0.0,0.0,0.0,0.2874473,0.0,0.0,0.0,0.113636665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.267921,0.0,0.0,0.0,87.00073,0.0,0.0,0.0,0.0,0.0,1374.4525,0.0
13195.36,0.0014328654,17377.58,404.55008,456.88654,3.921358e-08,3314.6768,4.7056292e-07,0.0,0.0,521.47595,0.08385661,0.0,0.0,345.6155,1.411689e-07,4347.018,0.1714156,428.2011,0.09061237,2237.0217,1.2603438,0.0,0.0,206.24387,1.3379673e-05,0.0,0.0,91.25298,0.0,1.5179356,0.0,66.597176,0.0,0.0,0.0,0.053569514,0.0,0.0,0.0,0.0,0.0,227.0318,0.0,0.0,0.0,0.3588742,0.0,0.0,0.0,0.072366126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.488613,0.0,0.0,0.0,86.91236,0.0,0.0,0.0,0.0,0.0,1374.9159,0.0
13103.531,0.0014744607,17284.188,404.5431,452.3816,2.352815e-08,3289.3684,4.4703478e-07,0.0,0.0,524.6616,0.08390367,0.0,0.0,352.16278,1.01955315e-07,4318.302,0.17286071,425.0385,0.09338393,2224.4438,1.254258,0.0,0.0,207.66078,1.3575746e-05,0.0,0.0,91.967316,0.0,1.5429,0.0,66.8149,0.0,0.0,0.0,0.05771198,0.0,0.0,0.0,0.0,0.0,226.99939,0.0,0.0,0.0,0.32269788,0.0,0.0,0.0,0.074546956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.425346,0.0,0.0,0.0,87.36838,0.0,0.0,0.0,0.0,0.0,1374.376,0.0
13198.073,0.0014401848,17390.19,404.5179,455.77103,4.7056297e-08,3319.4048,4.862484e-07,0.0,0.0,522.3359,0.08394441,0.0,0.0,348.5897,1.0979804e-07,4351.0366,0.17761426,427.84055,0.094630495,2239.8958,1.2394574,0.0,0.0,206.7642,1.26895075e-05,0.0,0.0,91.40011,0.0,1.4010733,0.0,66.78341,0.0,0.0,0.0,0.06664379,0.0,0.0,0.0,0.0,0.0,227.81372,0.0,0.0,0.0,0.19101986,0.0,0.0,0.0,0.07791129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.611313,0.0,0.0,0.0,87.85823,0.0,0.0,0.0,0.0,0.0,1372.6418,0.0
13176.366,0.0014291616,17365.062,404.52872,456.10535,0.0,3316.1172,5.56833e-07,0.0,0.0,518.49756,0.083976984,0.0,0.0,342.28293,9.411259e-08,4336.6074,0.1701122,426.6615,0.09424768,2235.3665,1.2452807,0.0,0.0,205.10114,1.3089488e-05,0.0,0.0,89.003395,0.0,1.3901272,0.0,67.66433,0.0,0.0,0.0,0.09277222,0.0,0.0,0.0,0.0,0.0,227.24539,0.0,0.0,0.0,0.2659301,0.0,0.0,0.0,0.18386848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.656736,0.0,0.0,0.0,87.37459,0.0,0.0,0.0,0.0,0.0,1372.9437,0.0
13182.157,0.0014677077,17378.07,404.56033,455.94568,7.842717e-09,3315.5122,4.7840564e-07,0.0,0.0,519.6947,0.083928876,0.0,0.0,343.94785,3.921358e-08,4347.5938,0.1718195,429.06912,0.0942891,2236.279,1.2115828,0.0,0.0,205.07689,1.249345e-05,0.0,0.0,89.25974,0.0,1.6651535,0.0,67.73645,0.0,0.0,0.0,0.07476771,0.0,0.0,0.0,0.0,0.0,227.69458,0.0,0.0,0.0,0.30298617,0.0,0.0,0.0,0.1912796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.81375,0.0,0.0,0.0,87.59123,0.0,0.0,0.0,0.0,0.0,1373.7543,0.0
