H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13168.594,0.0014253637,17420.428,404.57098,468.08987,3.1370867e-08,3297.8894,5.0193387e-07,0.0,0.0,520.12335,0.08389,0.0,0.0,343.8898,3.1370867e-08,4349.8745,0.1749012,431.14716,0.09470763,2237.2534,1.2375968,0.0,0.0,204.60475,1.3254183e-05,0.0,0.0,91.395836,0.0,1.7256659,0.0,69.09532,0.0,0.0,0.0,0.089395404,0.0,0.0,0.0,0.008434478,0.0,224.8357,0.0,0.0,0.0,0.4655216,0.0,0.0,0.0,0.013489596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.144196,0.0,0.0,0.0,84.47536,0.0,0.0,0.0,0.0,0.0,1373.1875,0.0
13283.99,0.0014291739,17539.398,404.52536,473.40753,3.921358e-08,3330.5076,3.8429306e-07,0.0,0.0,521.56244,0.08394492,0.0,0.0,345.3261,2.352815e-08,4373.1206,0.17101654,433.35596,0.100954935,2250.6768,1.2551279,0.0,0.0,206.10219,1.259541e-05,0.0,0.0,91.71413,0.0,1.6818559,0.0,70.76623,0.0,0.0,0.0,0.10329485,0.0,0.0,0.0,0.03233237,0.0,226.34302,0.0,0.0,0.0,0.5345427,0.0,0.0,0.0,0.101946145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.082832,0.0,0.0,0.0,85.591576,0.0,0.0,0.0,0.0,0.0,1376.9185,0.0
13234.296,0.0015181502,17477.588,404.5595,469.73734,3.921358e-08,3307.5972,3.1370863e-07,0.0,0.0,520.155,0.08391726,0.0,0.0,346.11893,9.411259e-08,4359.576,0.17120245,431.48312,0.08979163,2238.8027,1.2194182,0.0,0.0,204.61731,1.23679665e-05,0.0,0.0,92.49602,0.0,1.6644685,0.0,68.87564,0.0,0.0,0.0,0.07436472,0.0,0.0,0.0,0.015624058,0.0,226.25462,0.0,0.0,0.0,0.44779938,0.0,0.0,0.0,0.085203506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.234734,0.0,0.0,0.0,86.10666,0.0,0.0,0.0,0.0,0.0,1372.9978,0.0
13264.109,0.0017836882,17509.111,404.54166,471.6286,2.352815e-08,3314.8677,3.4507948e-07,0.0,0.0,522.53656,0.083921425,0.0,0.0,344.47812,1.2548347e-07,4366.6416,0.17226519,432.86548,0.0892595,2241.3884,1.2184616,0.0,0.0,205.9736,1.2469927e-05,0.0,0.0,92.40572,0.0,1.7141019,0.0,69.78945,0.0,0.0,0.0,0.05048585,0.0,0.0,0.0,0.016896889,0.0,224.86162,0.0,0.0,0.0,0.36948493,0.0,0.0,0.0,0.090386674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.181469,0.0,0.0,0.0,85.51828,0.0,0.0,0.0,0.0,0.0,1373.1956,0.0
13256.281,0.0015633109,17528.08,404.56595,469.84882,2.352815e-08,3330.0789,4.2350663e-07,0.0,0.0,522.27826,0.08393232,0.0,0.0,348.4793,1.2548347e-07,4381.7383,0.17220274,433.5321,0.09131374,2248.6528,1.2298859,0.0,0.0,206.55356,1.3183604e-05,0.0,0.0,92.09362,0.0,1.8085598,0.0,69.32733,0.0,0.0,0.0,0.09428132,0.0,0.0,0.0,0.024679232,0.0,227.46846,0.0,0.0,0.0,0.35462648,0.0,0.0,0.0,0.10088643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.012798,0.0,0.0,0.0,85.83257,0.0,0.0,0.0,0.0,0.0,1373.8369,0.0
13230.408,0.0014638702,17499.467,404.53348,471.97922,2.352815e-08,3303.6023,3.2939406e-07,0.0,0.0,520.9189,0.083944455,0.0,0.0,347.34674,3.921358e-08,4373.8374,0.17297046,435.15677,0.095272765,2239.0894,1.2195426,0.0,0.0,205.61832,1.35600585e-05,0.0,0.0,91.85255,0.0,2.025581,0.0,69.49211,0.0,0.0,0.0,0.10067085,0.0,0.0,0.0,0.025402572,0.0,225.13525,0.0,0.0,0.0,0.3869223,0.0,0.0,0.0,0.13161339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.086796,0.0,0.0,0.0,86.40561,0.0,0.0,0.0,0.0,0.0,1370.5682,0.0
13227.037,0.0017893924,17496.361,404.53635,473.32523,3.921358e-08,3304.1626,4.3134935e-07,0.0,0.0,522.15735,0.08392167,0.0,0.0,351.77362,1.3332618e-07,4367.7905,0.17404163,434.79684,0.09318308,2237.183,1.2292498,0.0,0.0,206.24251,1.2030735e-05,0.0,0.0,93.20326,0.0,1.8633043,0.0,70.02152,0.0,0.0,0.0,0.099321835,0.0,0.0,0.0,0.022570852,0.0,223.2865,0.0,0.0,0.0,0.416482,0.0,0.0,0.0,0.1973396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.081535,0.0,0.0,0.0,85.74314,0.0,0.0,0.0,0.0,0.0,1371.4583,0.0
13288.513,0.0014825787,17580.898,404.55563,479.76633,7.842717e-09,3331.827,4.862484e-07,0.0,0.0,521.0207,0.08395624,0.0,0.0,350.91293,8.626988e-08,4392.861,0.1708248,435.76654,0.096533164,2250.5396,1.2455527,0.0,0.0,205.7765,1.2611081e-05,0.0,0.0,93.27893,0.0,1.5414872,0.0,70.24375,0.0,0.0,0.0,0.08568633,0.0,0.0,0.0,0.017322313,0.0,226.6174,0.0,0.0,0.0,0.60894346,0.0,0.0,0.0,0.14682509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.231972,0.0,0.0,0.0,86.177895,0.0,0.0,0.0,0.0,0.0,1373.925,0.0
13274.16,0.001466734,17558.781,404.57825,474.05103,5.489901e-08,3311.5696,4.3134935e-07,0.0,0.0,522.5885,0.083884604,0.0,0.0,346.30927,1.7253976e-07,4385.218,0.16965896,433.3374,0.0914619,2240.9485,1.2315657,0.0,0.0,206.5644,1.3269885e-05,0.0,0.0,92.13363,0.0,1.6724863,0.0,68.650955,0.0,0.0,0.0,0.05844099,0.0,0.0,0.0,0.014708661,0.0,226.11052,0.0,0.0,0.0,0.5047882,0.0,0.0,0.0,0.091553085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.159286,0.0,0.0,0.0,86.03026,0.0,0.0,0.0,0.0,0.0,1374.0325,0.0
13252.617,0.0014540275,17538.934,404.55466,474.61526,7.842717e-09,3308.476,4.1566392e-07,0.0,0.0,523.79034,0.083887324,0.0,0.0,347.36523,2.352815e-08,4382.227,0.17131566,433.8785,0.096673414,2239.6814,1.2402397,0.0,0.0,207.10263,1.3709072e-05,0.0,0.0,92.83074,0.0,1.5983299,0.0,69.498985,0.0,0.0,0.0,0.060606793,0.0,0.0,0.0,0.020788524,0.0,223.63347,0.0,0.0,0.0,0.3746239,0.0,0.0,0.0,0.11978587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9818,0.0,0.0,0.0,85.1046,0.0,0.0,0.0,0.0,0.0,1373.624,0.0
