H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14566.524,0.001739399,18015.096,444.55478,583.8069,3.1370867e-08,3945.98,4.4703478e-07,0.0,0.0,520.25885,0.083910964,0.0,0.0,348.13962,1.2548347e-07,3732.7502,0.04105106,389.50647,0.014563294,2508.664,2.2394938,0.0,0.0,204.7066,1.3089492e-05,0.0,0.0,90.39443,0.0,0.4446115,0.0,78.099144,0.0,0.0,0.0,0.02569085,0.0,0.0,0.0,0.0,0.0,286.49255,0.0,0.0,0.0,0.47517067,0.0,0.0,0.0,0.01031652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.827099,0.0,0.0,0.0,86.697044,0.0,0.0,0.0,0.0,0.0,1372.0952,0.0
14621.998,0.0017303299,18070.666,444.6244,584.8445,3.921358e-08,3959.6316,4.7056292e-07,0.0,0.0,520.6936,0.08391444,0.0,0.0,341.1648,0.0,3745.5818,0.040587675,390.9736,0.014303873,2516.1091,2.2930334,0.0,0.0,204.48505,1.2556191e-05,0.0,0.0,88.9989,0.0,0.44928712,0.0,79.694565,0.0,0.0,0.0,0.020664765,0.0,0.0,0.0,0.0,0.0,288.63028,0.0,0.0,0.0,0.57440823,0.0,0.0,0.0,0.029599816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.030516,0.0,0.0,0.0,86.81902,0.0,0.0,0.0,0.0,0.0,1374.8434,0.0
14626.882,0.0018386334,18071.803,444.62372,585.8896,3.921358e-08,3969.74,5.411476e-07,0.0,0.0,522.5993,0.08392407,0.0,0.0,342.804,3.921358e-08,3744.5444,0.040125776,390.8996,0.01432163,2520.333,2.3648608,0.0,0.0,204.91869,1.2650304e-05,0.0,0.0,90.60425,0.0,0.4916276,0.0,80.17361,0.0,0.0,0.0,0.01634809,0.0,0.0,0.0,0.0,0.0,288.41785,0.0,0.0,0.0,0.64992046,0.0,0.0,0.0,0.023946792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.776089,0.0,0.0,0.0,85.5358,0.0,0.0,0.0,0.0,0.0,1371.8778,0.0
14647.824,0.0017607772,18087.703,444.63077,587.6126,2.352815e-08,3985.441,5.0193387e-07,0.0,0.0,521.5641,0.083914906,0.0,0.0,345.93332,1.411689e-07,3746.9358,0.039493125,391.77463,0.014295416,2524.4194,2.265369,0.0,0.0,204.7447,1.286206e-05,0.0,0.0,91.06648,0.0,0.47791255,0.0,80.00786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.07352,0.0,0.0,0.0,0.5804098,0.0,0.0,0.0,0.01845536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.717854,0.0,0.0,0.0,86.11683,0.0,0.0,0.0,0.0,0.0,1373.6967,0.0
14616.376,0.0017313121,18060.223,444.5878,582.8378,4.7056297e-08,3967.4714,5.0193387e-07,0.0,0.0,523.04535,0.08390883,0.0,0.0,347.24713,1.6469704e-07,3739.9253,0.040404413,389.83353,0.014333725,2517.6533,2.2843044,0.0,0.0,206.07533,1.2760101e-05,0.0,0.0,92.47088,0.0,0.35423613,0.0,79.46485,0.0,0.0,0.0,0.03868805,0.0,0.0,0.0,0.0,0.0,288.85806,0.0,0.0,0.0,0.66221327,0.0,0.0,0.0,0.05246695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.818024,0.0,0.0,0.0,85.86575,0.0,0.0,0.0,0.0,0.0,1373.1519,0.0
14576.967,0.0017048327,18035.162,444.6142,585.87823,3.921358e-08,3963.1462,5.8036125e-07,0.0,0.0,519.87994,0.08391826,0.0,0.0,349.88602,1.5685431e-07,3738.6736,0.040268518,391.61224,0.014576567,2516.6968,2.2826073,0.0,0.0,204.0423,1.2344436e-05,0.0,0.0,91.682465,0.0,0.554042,0.0,80.38861,0.0,0.0,0.0,0.027637273,0.0,0.0,0.0,0.0,0.0,287.99017,0.0,0.0,0.0,0.54395026,0.0,0.0,0.0,0.034366377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.177563,0.0,0.0,0.0,86.506485,0.0,0.0,0.0,0.0,0.0,1374.6348,0.0
14563.036,0.0017272959,18018.898,444.60806,583.42487,8.626987e-08,3940.7861,5.097766e-07,0.0,0.0,524.2874,0.08391993,0.0,0.0,349.83124,1.4901161e-07,3733.8599,0.04006968,390.16098,0.0144089945,2506.465,2.3114812,0.0,0.0,206.39117,1.2352272e-05,0.0,0.0,92.0182,0.0,0.47600538,0.0,79.12922,0.0,0.0,0.0,0.031537376,0.0,0.0,0.0,0.0,0.0,284.94666,0.0,0.0,0.0,0.73633814,0.0,0.0,0.0,0.017372997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.832851,0.0,0.0,0.0,85.921265,0.0,0.0,0.0,0.0,0.0,1374.1935,0.0
14664.401,0.0017272765,18105.81,444.60367,587.8272,4.7056297e-08,3986.8557,5.1761936e-07,0.0,0.0,520.89386,0.083931245,0.0,0.0,340.4759,1.4901161e-07,3751.22,0.04032605,391.77417,0.014075849,2526.0278,2.272077,0.0,0.0,204.41507,1.3160081e-05,0.0,0.0,89.7275,0.0,0.35840094,0.0,80.464584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.98203,0.0,0.0,0.0,0.5447641,0.0,0.0,0.0,0.015820058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.966408,0.0,0.0,0.0,87.258095,0.0,0.0,0.0,0.0,0.0,1371.801,0.0
14657.635,0.0017161152,18105.734,444.58862,585.57776,5.489901e-08,3981.3496,5.333048e-07,0.0,0.0,524.2151,0.08393291,0.0,0.0,349.2052,5.489901e-08,3753.068,0.04035053,390.7886,0.014068792,2524.3787,2.3214114,0.0,0.0,206.3151,1.3113019e-05,0.0,0.0,91.86043,0.0,0.42358816,0.0,79.45288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.631,0.0,0.0,0.0,0.52205646,0.0,0.0,0.0,0.0160957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.938374,0.0,0.0,0.0,86.36617,0.0,0.0,0.0,0.0,0.0,1372.4756,0.0
14662.2295,0.0016927571,18103.984,444.62827,585.4585,3.1370867e-08,3971.7402,4.7840564e-07,0.0,0.0,522.69464,0.08393668,0.0,0.0,344.96375,1.411689e-07,3751.9756,0.04057196,390.58826,0.013861369,2520.3396,2.3244753,0.0,0.0,205.43921,1.3340464e-05,0.0,0.0,91.29554,0.0,0.44098824,0.0,79.95419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.5569,0.0,0.0,0.0,0.63362414,0.0,0.0,0.0,0.03639527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.830486,0.0,0.0,0.0,86.123726,0.0,0.0,0.0,0.0,0.0,1376.4705,0.0
