H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14102.123,0.0017033421,19024.545,439.94644,777.03455,13.715214,3420.344,5.960468e-07,0.0,0.0,659.8938,0.08389275,0.0,0.0,353.48224,4.7056297e-08,5210.0757,0.8634401,851.4242,0.2438045,2275.1807,1.7785474,0.0,0.0,367.2462,2.8178814e-05,0.0,0.0,93.56237,0.0,43.295532,0.0,120.74804,0.0,0.0,0.0,2.1588852,0.0,0.0,0.0,0.0,0.0,227.80177,0.0,0.0,0.0,40.39391,0.0019238654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.472456,0.0,0.0,0.0,88.477936,0.0,0.0,0.0,0.0,0.0,1374.3402,0.0
14129.511,0.001663293,19056.883,439.97055,778.2731,13.708661,3434.281,5.1761936e-07,0.0,0.0,663.3208,0.08390402,0.0,0.0,354.39346,5.489902e-08,5219.2554,0.8361976,849.9107,0.23996465,2283.754,1.7710491,0.0,0.0,369.1438,2.868073e-05,0.0,0.0,94.42677,0.0,43.190002,0.0,121.800606,0.0,0.0,0.0,2.1546543,0.0,0.0,0.0,0.0,0.0,228.75482,0.0,0.0,0.0,40.760136,0.001903694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.37411,0.0,0.0,0.0,85.65268,0.0,0.0,0.0,0.0,0.0,1372.6426,0.0
14178.407,0.0018247332,19091.95,439.9632,775.7931,13.703498,3428.7222,5.254621e-07,0.0,0.0,660.19684,0.08391096,0.0,0.0,345.50696,7.058445e-08,5224.7266,0.8345162,848.71936,0.24028681,2279.8594,1.8097212,0.0,0.0,367.23508,3.0045348e-05,0.0,0.0,91.94972,0.0,42.878464,0.0,121.18334,0.0,0.0,0.0,2.257057,0.0,0.0,0.0,0.0,0.0,228.0314,0.0,0.0,0.0,40.678204,0.0018903456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.35775,0.0,0.0,0.0,86.08873,0.0,0.0,0.0,0.0,0.0,1372.6101,0.0
14147.474,0.0022064694,19074.102,439.9422,778.52167,13.711675,3427.9011,1.0195535e-06,0.0,0.0,660.3454,0.083926044,0.0,0.0,349.62134,4.7056297e-08,5226.224,0.86073524,850.97784,0.24506749,2283.2043,1.7673128,0.0,0.0,367.73108,2.7880793e-05,0.0,0.0,92.74052,0.0,42.905983,0.0,121.055244,0.0,0.0,0.0,2.5606415,0.0,0.0,0.0,0.0,0.0,230.2922,0.0,0.0,0.0,40.635128,0.001822506,0.0,0.0,0.047100704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.448496,0.0,0.0,0.0,86.339264,0.0,0.0,0.0,0.0,0.0,1373.0376,0.0
14135.347,0.0017348082,19069.402,439.9422,782.0803,13.711691,3428.3926,7.058452e-07,0.0,0.0,660.21924,0.08396244,0.0,0.0,347.3538,1.1764075e-07,5223.346,0.8337708,852.79395,0.24183898,2285.7273,1.7692553,0.0,0.0,368.02957,2.868072e-05,0.0,0.0,92.116516,0.0,43.01358,0.0,122.15604,0.0,0.0,0.0,2.6528609,0.0,0.0,0.0,0.0,0.0,228.58418,0.0,0.0,0.0,40.92953,0.0019996732,0.0,0.0,0.011611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.530828,0.0,0.0,0.0,87.023415,0.0,0.0,0.0,0.0,0.0,1372.1155,0.0
14133.691,0.001727783,19082.525,439.95596,779.12286,13.709657,3426.4465,1.6234419e-06,0.0,0.0,664.33435,0.0839494,0.0,0.0,352.03125,2.6665236e-07,5226.3306,0.8610875,847.82556,0.24254948,2284.481,1.7672069,0.0,0.0,368.66153,2.9637533e-05,0.0,0.0,93.363754,0.0,42.174576,0.0,121.33652,0.0,0.0,0.0,2.4658887,0.0,0.0,0.0,0.0,0.0,228.11171,0.0,0.0,0.0,40.76713,0.0018603078,0.0,0.0,0.011948998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.601276,0.0,0.0,0.0,86.4103,0.0,0.0,0.0,0.0,0.0,1373.3054,0.0
14144.211,0.0017393617,19096.934,439.96625,783.34937,13.719593,3442.3135,9.64655e-07,0.0,0.0,663.7485,0.08392086,0.0,0.0,350.64862,7.058445e-08,5230.1016,0.88601816,850.3254,0.24135035,2290.8953,1.7333349,0.0,0.0,368.789,2.9904197e-05,0.0,0.0,91.93462,0.0,42.374508,0.0,121.83906,0.0,0.0,0.0,2.9042406,0.0,0.0,0.0,0.0,0.0,230.15236,0.0,0.0,0.0,40.733723,0.0019751098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.60691,0.0,0.0,0.0,87.0377,0.0,0.0,0.0,0.0,0.0,1372.449,0.0
14161.492,0.0016995751,19100.86,439.92862,785.40924,13.711938,3449.3965,8.862278e-07,0.0,0.0,661.68774,0.08389137,0.0,0.0,346.9726,4.7056297e-08,5227.791,0.83344907,851.54095,0.24792728,2293.0227,1.7704673,0.0,0.0,369.2505,2.810822e-05,0.0,0.0,90.99228,0.0,42.78748,0.0,122.67103,0.0,0.0,0.0,2.7831805,0.0,0.0,0.0,0.0,0.0,229.93846,0.0,0.0,0.0,40.8422,0.0020706495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.503765,0.0,0.0,0.0,87.57917,0.0,0.0,0.0,0.0,0.0,1375.3209,0.0
14193.096,0.0016842717,19137.355,439.93042,783.9109,13.707892,3453.221,6.117322e-07,0.0,0.0,663.7756,0.0839731,0.0,0.0,352.39114,5.489902e-08,5239.308,0.85370415,851.8998,0.23665164,2297.697,1.7640969,0.0,0.0,368.15564,2.7708265e-05,0.0,0.0,92.578445,0.0,42.342796,0.0,122.52316,0.0,0.0,0.0,2.885049,0.0,0.0,0.0,0.0,0.0,231.00456,0.0,0.0,0.0,41.024414,0.0019721922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.560545,0.0,0.0,0.0,87.64968,0.0,0.0,0.0,0.0,0.0,1373.9236,0.0
14206.196,0.0017519479,19138.027,439.9532,785.61414,13.713451,3462.1306,1.1136659e-06,0.0,0.0,662.16364,0.08388992,0.0,0.0,348.6641,7.058445e-08,5242.899,0.8424663,854.71246,0.24521168,2300.594,1.7722547,0.0,0.0,367.51166,2.905719e-05,0.0,0.0,91.522125,0.0,43.080906,0.0,123.574196,0.0,0.0,0.0,2.7457778,0.0,0.0,0.0,0.0,0.0,230.49039,0.0,0.0,0.0,40.952106,0.0020653633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.780996,0.0,0.0,0.0,88.35932,0.0,0.0,0.0,0.0,0.0,1374.694,0.0
