H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
15411.975,0.0018619654,22334.578,499.9783,951.7979,27.43747,3908.6865,1.1450365e-06,0.0,0.0,790.9517,0.083894804,0.0,0.0,354.26157,2.352815e-08,7176.1274,1.648909,1322.8079,0.47435457,2676.814,1.3309168,0.0,0.0,536.43207,4.526031e-05,0.0,0.0,93.56296,0.0,90.0718,0.0,156.34676,0.0,0.0,0.0,5.660391,0.0,0.0,0.0,0.0,0.0,255.22061,0.0,0.0,0.0,78.66512,0.0037215566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.934088,0.0,0.0,0.0,87.55356,0.0,0.0,0.0,0.0,0.0,1372.3892,0.0
15446.814,0.001892688,22377.281,499.95425,956.1233,27.423786,3935.1233,1.06661e-06,0.0,0.0,794.43634,0.083937295,0.0,0.0,350.5552,6.2741734e-08,7201.0615,1.6271538,1328.0771,0.47012037,2691.2742,1.2921385,0.0,0.0,537.3022,4.549561e-05,0.0,0.0,91.97928,0.0,91.01292,0.0,158.1472,0.0,0.0,0.0,5.382138,0.0,0.0,0.0,0.0,0.0,256.32724,0.0,0.0,0.0,79.44409,0.0039214827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.082838,0.0,0.0,0.0,87.209755,0.0,0.0,0.0,0.0,0.0,1373.7941,0.0
15491.619,0.0019086783,22439.678,499.9839,966.41473,27.435514,3944.1494,1.0273969e-06,0.0,0.0,793.3767,0.08389512,0.0,0.0,345.495,4.70563e-08,7218.5894,1.6912072,1337.1447,0.4810356,2697.2224,1.3528857,0.0,0.0,536.361,4.47427e-05,0.0,0.0,91.59463,0.0,91.23539,0.0,160.00558,0.0,0.0,0.0,5.420583,0.0,0.0,0.0,0.0,0.0,257.11942,0.0,0.0,0.0,78.91834,0.0038127666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.704851,0.0,0.0,0.0,86.09828,0.0,0.0,0.0,0.0,0.0,1372.738,0.0
15473.035,0.0018974149,22397.348,499.98676,958.0507,27.430288,3940.5945,1.2391491e-06,0.0,0.0,792.16547,0.08389728,0.0,0.0,349.23514,3.1370867e-08,7203.242,1.7121176,1328.1323,0.4745651,2692.9036,1.333646,0.0,0.0,535.5628,4.5150515e-05,0.0,0.0,92.99706,0.0,89.78618,0.0,158.64523,0.0,0.0,0.0,5.469101,0.0,0.0,0.0,0.0,0.0,256.7472,0.0,0.0,0.0,79.33472,0.0038897821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.925898,0.0,0.0,0.0,85.53468,0.0,0.0,0.0,0.0,0.0,1374.22,0.0
15507.546,0.0019353189,22424.28,499.98065,954.76746,27.430578,3953.6064,1.0744533e-06,0.0,0.0,791.7234,0.08394376,0.0,0.0,346.5745,1.5685433e-08,7208.647,1.6457417,1329.1892,0.4753071,2699.1147,1.3072728,0.0,0.0,536.62225,4.527605e-05,0.0,0.0,92.78925,0.0,90.498146,0.0,158.38167,0.0,0.0,0.0,5.4481196,0.0,0.0,0.0,0.0,0.0,257.73517,0.0,0.0,0.0,79.39574,0.0038058022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.980259,0.0,0.0,0.0,86.455376,0.0,0.0,0.0,0.0,0.0,1373.3391,0.0
15463.394,0.0019465493,22400.951,499.99207,962.8359,27.417572,3951.6165,1.090138e-06,0.0,0.0,786.998,0.08393983,0.0,0.0,352.46246,7.058445e-08,7205.089,1.7270867,1327.9642,0.46214566,2697.082,1.344332,0.0,0.0,533.91296,4.315845e-05,0.0,0.0,92.23697,0.0,89.93339,0.0,157.987,0.0,0.0,0.0,5.399914,0.0,0.0,0.0,0.0,0.0,258.99115,0.0,0.0,0.0,79.52329,0.0040365993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.135212,0.0,0.0,0.0,86.70857,0.0,0.0,0.0,0.0,0.0,1373.9093,0.0
15519.068,0.0019649488,22456.324,499.97876,965.0061,27.4293,3957.9558,1.380318e-06,0.0,0.0,795.4775,0.08392662,0.0,0.0,355.41693,1.5685433e-08,7225.292,1.6879638,1336.1357,0.47139838,2702.973,1.3288512,0.0,0.0,538.71564,4.5440684e-05,0.0,0.0,93.41398,0.0,90.89979,0.0,160.33968,0.0,0.0,0.0,5.774075,0.0,0.0,0.0,0.0,0.0,258.092,0.0,0.0,0.0,79.69032,0.0039229738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.182152,0.0,0.0,0.0,87.72359,0.0,0.0,0.0,0.0,0.0,1373.3402,0.0
15498.868,0.0018854344,22435.389,500.00858,960.7342,27.429888,3951.9363,1.3097336e-06,0.0,0.0,791.7843,0.08396543,0.0,0.0,343.9538,3.921358e-08,7210.8076,1.6905904,1330.7107,0.47163975,2698.666,1.308506,0.0,0.0,535.4392,4.416233e-05,0.0,0.0,90.94256,0.0,90.29362,0.0,159.36021,0.0,0.0,0.0,5.6855216,0.0,0.0,0.0,0.0,0.0,259.17743,0.0,0.0,0.0,79.41133,0.0040884563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.171656,0.0,0.0,0.0,86.67141,0.0,0.0,0.0,0.0,0.0,1374.1631,0.0
15585.225,0.001956797,22505.924,499.97824,960.6952,27.425306,3972.577,1.0587675e-06,0.0,0.0,795.9442,0.083945416,0.0,0.0,347.3561,3.1370867e-08,7223.959,1.6581992,1332.5796,0.478107,2709.583,1.3003463,0.0,0.0,537.5725,4.380153e-05,0.0,0.0,92.23838,0.0,90.129196,0.0,161.34149,0.0,0.0,0.0,5.5407004,0.0,0.0,0.0,0.0,0.0,259.94797,0.0,0.0,0.0,79.36346,0.0038388993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.022972,0.0,0.0,0.0,85.70736,0.0,0.0,0.0,0.0,0.0,1376.7004,0.0
15575.577,0.0019996813,22507.553,499.9675,963.3532,27.437437,3973.9211,1.333261e-06,0.0,0.0,796.8877,0.083858766,0.0,0.0,351.0171,7.842716e-08,7218.1387,1.6461773,1333.4001,0.47572038,2708.451,1.3121163,0.0,0.0,536.1854,4.511913e-05,0.0,0.0,93.48912,0.0,90.96151,0.0,159.98183,0.0,0.0,0.0,5.530695,0.0,0.0,0.0,0.0,0.0,258.97522,0.0,0.0,0.0,79.04141,0.0040215747,0.0,0.0,0.0058427323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.897379,0.0,0.0,0.0,86.03118,0.0,0.0,0.0,0.0,0.0,1372.3718,0.0
