H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
15134.421,0.0018084615,20399.607,472.32095,791.2567,13.7175255,3963.1833,9.724978e-07,0.0,0.0,665.46,0.08388075,0.0,0.0,350.66113,2.352815e-08,5489.416,0.85011625,851.3941,0.24116126,2629.7214,1.8349586,0.0,0.0,368.49884,2.8202343e-05,0.0,0.0,93.20195,0.0,41.73693,0.0,122.22759,0.0,0.0,0.0,2.8376477,0.0,0.0,0.0,0.0,0.0,270.36252,0.0,0.0,0.0,41.578632,0.0019087443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.62269,0.0,0.0,0.0,85.60378,0.0,0.0,0.0,0.0,0.0,1373.1758,0.0
15147.303,0.001819245,20420.85,472.32175,799.1897,13.706082,3969.0928,1.199935e-06,0.0,0.0,667.51794,0.083921716,0.0,0.0,349.72028,2.352815e-08,5494.086,0.8646721,854.6596,0.24556166,2634.1858,1.8099853,0.0,0.0,369.759,2.8735634e-05,0.0,0.0,92.78769,0.0,42.11306,0.0,123.41256,0.0,0.0,0.0,2.6965086,0.0,0.0,0.0,0.0,0.0,269.1394,0.0,0.0,0.0,42.220596,0.0020572697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.78738,0.0,0.0,0.0,86.29648,0.0,0.0,0.0,0.0,0.0,1370.1072,0.0
15171.458,0.0019261918,20437.465,472.31854,795.57605,13.71003,3979.7285,7.529016e-07,0.0,0.0,664.49854,0.08394827,0.0,0.0,344.78656,6.2741734e-08,5495.327,0.85231817,850.85895,0.24723414,2639.0652,1.820512,0.0,0.0,368.38953,2.9261111e-05,0.0,0.0,90.860374,0.0,41.73746,0.0,122.33068,0.0,0.0,0.0,2.907717,0.0,0.0,0.0,0.0,0.0,271.22736,0.0,0.0,0.0,42.0658,0.0019243362,0.0,0.0,0.0054270597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.819927,0.0,0.0,0.0,85.968155,0.0,0.0,0.0,0.0,0.0,1372.994,0.0
15146.776,0.0019152765,20416.951,472.25223,794.70667,13.714031,3979.0562,1.3489464e-06,0.0,0.0,663.2649,0.08390459,0.0,0.0,343.29303,3.1370867e-08,5492.727,0.8335982,850.4946,0.24641804,2641.8472,1.8149962,0.0,0.0,367.96954,2.957479e-05,0.0,0.0,90.523506,0.0,41.83469,0.0,123.094536,0.0,0.0,0.0,2.7238288,0.0,0.0,0.0,0.0,0.0,272.23508,0.0,0.0,0.0,41.407158,0.00196733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.670994,0.0,0.0,0.0,87.7878,0.0,0.0,0.0,0.0,0.0,1374.1973,0.0
15144.855,0.0018417224,20425.307,472.2577,799.09033,13.721457,3983.8413,8.470143e-07,0.0,0.0,664.5755,0.08396938,0.0,0.0,347.06784,2.352815e-08,5496.1987,0.8710667,851.96265,0.2471072,2644.8276,1.8279551,0.0,0.0,367.7459,2.955129e-05,0.0,0.0,90.48234,0.0,41.91082,0.0,123.33491,0.0,0.0,0.0,2.5733452,0.0,0.0,0.0,0.0,0.0,271.5134,0.0,0.0,0.0,41.708057,0.0018889492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.616253,0.0,0.0,0.0,86.09086,0.0,0.0,0.0,0.0,0.0,1373.7145,0.0
15258.1875,0.001816059,20515.814,472.28552,798.8731,13.714278,3995.7,9.803404e-07,0.0,0.0,665.3204,0.08393626,0.0,0.0,347.64682,2.352815e-08,5518.782,0.855611,852.83655,0.24540696,2646.557,1.7772787,0.0,0.0,368.28128,2.9308172e-05,0.0,0.0,92.20841,0.0,41.643276,0.0,124.780556,0.0,0.0,0.0,2.5687165,0.0,0.0,0.0,0.0,0.0,271.24756,0.0,0.0,0.0,41.611084,0.0018978119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.565855,0.0,0.0,0.0,85.98166,0.0,0.0,0.0,0.0,0.0,1372.3057,0.0
15117.584,0.0018742391,20411.133,472.343,799.0399,13.708935,3963.855,1.1685645e-06,0.0,0.0,667.3633,0.0839361,0.0,0.0,343.18207,9.411259e-08,5494.2764,0.8638441,850.35223,0.24640056,2637.695,1.7746493,0.0,0.0,368.30573,2.7959215e-05,0.0,0.0,90.20026,0.0,40.922596,0.0,123.89663,0.0,0.0,0.0,2.7793732,0.0,0.0,0.0,0.0,0.0,270.04657,0.0,0.0,0.0,42.207825,0.0018535636,0.0,0.0,0.006651773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.716213,0.0,0.0,0.0,86.61193,0.0,0.0,0.0,0.0,0.0,1372.9626,0.0
15156.145,0.0018393332,20442.572,472.29715,798.1158,13.70625,3979.478,9.019136e-07,0.0,0.0,668.1637,0.08395786,0.0,0.0,344.15363,3.1370867e-08,5501.519,0.84584725,850.46564,0.24182649,2647.4573,1.7994741,0.0,0.0,369.7304,2.9551271e-05,0.0,0.0,90.78884,0.0,41.373734,0.0,125.9411,0.0,0.0,0.0,2.6176867,0.0,0.0,0.0,0.0,0.0,270.16812,0.0,0.0,0.0,42.38779,0.0019047451,0.0,0.0,0.005595877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.512863,0.0,0.0,0.0,85.335915,0.0,0.0,0.0,0.0,0.0,1374.4757,0.0
15183.703,0.001823638,20458.498,472.2961,803.05804,13.7174635,3980.4,1.0430816e-06,0.0,0.0,668.74304,0.08391017,0.0,0.0,348.31906,1.2548347e-07,5500.0396,0.88754386,853.1992,0.24076124,2643.4453,1.8057857,0.0,0.0,369.16736,2.807688e-05,0.0,0.0,92.08401,0.0,41.430885,0.0,126.940285,0.0,0.0,0.0,2.740639,0.0,0.0,0.0,0.0,0.0,270.978,0.0,0.0,0.0,41.737217,0.0020760759,0.0,0.0,0.010823415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83479,0.0,0.0,0.0,86.53205,0.0,0.0,0.0,0.0,0.0,1372.2961,0.0
15189.791,0.0018332258,20470.482,472.28674,806.1602,13.713916,3985.4521,7.9995795e-07,0.0,0.0,667.19904,0.083919734,0.0,0.0,346.98282,3.1370867e-08,5508.4233,0.8265617,853.5225,0.24474077,2645.6218,1.8164332,0.0,0.0,369.74258,2.950423e-05,0.0,0.0,91.61941,0.0,41.271378,0.0,127.085945,0.0,0.0,0.0,2.868963,0.0,0.0,0.0,0.0,0.0,271.76703,0.0,0.0,0.0,42.225986,0.001893906,0.0,0.0,0.0136051625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.632034,0.0,0.0,0.0,86.490715,0.0,0.0,0.0,0.0,0.0,1371.8586,0.0
