H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
482.1398,7.333719e-05,761.836,19.046474,34.752136,1.0422366,129.07224,1.5685433e-08,0.0,0.0,25.755886,0.0031965342,0.0,0.0,67.07161,0.0,250.53938,0.07251158,46.575462,0.017415598,94.900024,0.056540743,0.0,0.0,19.259457,1.9842078e-06,0.0,0.0,28.741566,0.0,2.5017307,0.0,5.8615346,0.0,0.0,0.0,0.4133755,0.0,0.0,0.0,0.38494703,0.0,7.3004756,0.0,0.0,0.0,3.5755813,0.000120997436,0.0,0.0,5.244313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176335,0.0,0.0,0.0,1.5074272,0.0,0.0,0.0,0.0,0.0,52.983673,0.0
472.8256,7.689e-05,754.39166,19.04679,35.212624,1.0449557,127.18001,1.5685433e-08,0.0,0.0,25.472683,0.0031965186,0.0,0.0,64.55484,0.0,248.9314,0.05859083,46.858784,0.01934986,94.26451,0.047584295,0.0,0.0,18.736935,1.8665668e-06,0.0,0.0,27.685633,0.0,2.406123,0.0,6.032097,0.0,0.0,0.0,0.40195656,0.0,0.0,0.0,0.33393133,0.0,6.93117,0.0,0.0,0.0,3.4840598,0.0001689478,0.0,0.0,5.428102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14126538,0.0,0.0,0.0,1.4672925,0.0,0.0,0.0,0.0,0.0,52.927624,0.0
486.8111,7.449798e-05,769.85754,19.052248,35.848835,1.0437387,130.44334,2.352815e-08,0.0,0.0,26.515556,0.0031928641,0.0,0.0,68.64646,0.0,253.87361,0.06209596,48.366802,0.018507399,95.74568,0.056827776,0.0,0.0,19.333292,1.6783416e-06,0.0,0.0,29.078327,0.0,2.752131,0.0,6.0532517,0.0,0.0,0.0,0.33903417,0.0,0.0,0.0,0.36709046,0.0,7.53367,0.0,0.0,0.0,3.5945635,0.00014283154,0.0,0.0,5.2168403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181979,0.0,0.0,0.0,1.4646624,0.0,0.0,0.0,0.0,0.0,53.17231,0.0
487.90213,7.069424e-05,770.6966,19.046635,34.912544,1.0452507,130.94398,2.352815e-08,0.0,0.0,26.576077,0.0032014751,0.0,0.0,66.55908,0.0,253.02484,0.066140875,47.425625,0.018994385,96.235245,0.05037605,0.0,0.0,19.571953,1.7724545e-06,0.0,0.0,28.370377,0.0,2.581219,0.0,5.842556,0.0,0.0,0.0,0.41703746,0.0,0.0,0.0,0.36556834,0.0,7.2758126,0.0,0.0,0.0,3.5766995,0.00015679159,0.0,0.0,5.4823556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14817883,0.0,0.0,0.0,1.5605948,0.0,0.0,0.0,0.0,0.0,53.04493,0.0
481.46317,6.914135e-05,764.15625,19.047422,33.981033,1.0424441,129.82684,3.1370867e-08,0.0,0.0,26.531172,0.0031957342,0.0,0.0,65.53602,0.0,251.89766,0.060933456,47.11827,0.019793041,95.2643,0.060582433,0.0,0.0,19.173445,1.7410836e-06,0.0,0.0,27.577518,0.0,2.762136,0.0,5.9400434,0.0,0.0,0.0,0.3491232,0.0,0.0,0.0,0.43733424,0.0,7.25312,0.0,0.0,0.0,3.6147099,0.00015243104,0.0,0.0,4.996684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19074565,0.0,0.0,0.0,1.6271998,0.0,0.0,0.0,0.0,0.0,52.973606,0.0
485.09976,7.639589e-05,767.69824,19.044983,35.26105,1.0431812,129.17763,1.4901161e-07,0.0,0.0,26.249401,0.0032024165,0.0,0.0,65.92494,0.0,252.56592,0.06945205,47.837105,0.018713474,94.98762,0.05167405,0.0,0.0,19.024193,1.6548134e-06,0.0,0.0,28.808495,0.0,2.7317448,0.0,5.9930863,0.0,0.0,0.0,0.3248804,0.0,0.0,0.0,0.46945807,0.0,7.4593773,0.0,0.0,0.0,3.631693,0.00013034594,0.0,0.0,5.396613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12566005,0.0,0.0,0.0,1.5041218,0.0,0.0,0.0,0.0,0.0,52.791615,0.0
482.00424,7.06315e-05,763.2309,19.046963,34.821285,1.0445315,129.28415,2.352815e-08,0.0,0.0,27.198542,0.0032044086,0.0,0.0,65.44894,0.0,250.9726,0.063556716,47.506016,0.018568823,95.01655,0.04477447,0.0,0.0,19.469328,1.7567689e-06,0.0,0.0,27.809559,0.0,2.615597,0.0,6.0085087,0.0,0.0,0.0,0.33418113,0.0,0.0,0.0,0.3472469,0.0,7.415444,0.0,0.0,0.0,3.4863048,0.00011517814,0.0,0.0,5.220204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17256317,0.0,0.0,0.0,1.5160159,0.0,0.0,0.0,0.0,0.0,53.27509,0.0
480.688,7.4286196e-05,764.9604,19.049932,35.39266,1.0453085,129.59773,7.842717e-09,0.0,0.0,27.158606,0.0032058514,0.0,0.0,65.941185,0.0,252.07245,0.06544192,47.451122,0.018241938,95.18697,0.0439099,0.0,0.0,19.791725,2.0234215e-06,0.0,0.0,28.31163,0.0,2.6880531,0.0,5.954037,0.0,0.0,0.0,0.449906,0.0,0.0,0.0,0.39430314,0.0,7.3371406,0.0,0.0,0.0,3.7667503,0.00015279182,0.0,0.0,5.473361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15665834,0.0,0.0,0.0,1.5622029,0.0,0.0,0.0,0.0,0.0,52.97887,0.0
487.27267,7.177651e-05,770.4005,19.050114,35.066574,1.0442462,131.36696,7.058445e-08,0.0,0.0,28.756458,0.0031979932,0.0,0.0,66.385635,7.842717e-09,251.25793,0.060977478,46.64595,0.017776318,94.999794,0.043773063,0.0,0.0,20.230713,1.7410831e-06,0.0,0.0,28.240736,0.0,2.5432665,0.0,5.5033207,0.0,0.0,0.0,0.3148889,0.0,0.0,0.0,0.36358854,0.0,7.424657,0.0,0.0,0.0,4.005868,0.00014651763,0.0,0.0,5.2587557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17556678,0.0,0.0,0.0,1.7768575,0.0,0.0,0.0,0.0,0.0,52.793274,0.0
486.01254,6.9878624e-05,767.4974,19.043768,35.525826,1.0467381,129.54356,2.352815e-08,0.0,0.0,26.28265,0.0031896639,0.0,0.0,66.327736,0.0,252.60442,0.058494054,47.71139,0.017417775,95.098114,0.038424384,0.0,0.0,19.309198,1.8351959e-06,0.0,0.0,28.540533,0.0,2.5771837,0.0,5.9664693,0.0,0.0,0.0,0.49775183,0.0,0.0,0.0,0.41107666,0.0,7.221257,0.0,0.0,0.0,3.5966809,0.00013105178,0.0,0.0,5.762916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17818508,0.0,0.0,0.0,1.640099,0.0,0.0,0.0,0.0,0.0,53.06592,0.0
