H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
3415.6804,0.00046575948,5056.7637,116.67413,222.9075,6.3947372,884.47345,4.0782123e-07,0.0,0.0,190.42136,0.01957369,0.0,0.0,148.98921,0.0,1631.4476,0.39065015,300.99863,0.110497616,616.2371,0.31725276,0.0,0.0,130.99123,1.0485716e-05,0.0,0.0,56.788654,0.0,18.483454,0.0,37.32578,0.0,0.0,0.0,1.8742343,0.0,0.0,0.0,0.0,0.0,52.435318,0.0,0.0,0.0,22.134092,0.00089124625,0.0,0.0,1.7877488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2886937,0.0,0.0,0.0,9.839321,0.0,0.0,0.0,0.0,0.0,244.02196,0.0
3428.0256,0.0004434395,5078.4043,116.67054,226.36676,6.40042,886.01416,3.0586594e-07,0.0,0.0,191.91733,0.019599155,0.0,0.0,152.52528,0.0,1635.6907,0.38982847,303.07657,0.10963267,618.4632,0.2988033,0.0,0.0,130.84189,9.5524265e-06,0.0,0.0,58.430023,0.0,18.527807,0.0,37.959724,0.0,0.0,0.0,1.9925977,0.0,0.0,0.0,0.0,0.0,52.328934,0.0,0.0,0.0,22.009659,0.0009247816,0.0,0.0,1.7496679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3288782,0.0,0.0,0.0,9.506438,0.0,0.0,0.0,0.0,0.0,243.66368,0.0
3412.8862,0.00046266272,5059.496,116.652794,222.74597,6.4018073,878.9317,1.8822517e-07,0.0,0.0,190.7719,0.019565757,0.0,0.0,151.63841,0.0,1629.351,0.3903108,300.25568,0.112127416,615.12177,0.31327128,0.0,0.0,130.97311,1.0705308e-05,0.0,0.0,57.414406,0.0,18.336082,0.0,37.116295,0.0,0.0,0.0,1.6800658,0.0,0.0,0.0,0.0,0.0,51.512608,0.0,0.0,0.0,22.40928,0.0009119352,0.0,0.0,1.4006464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2277017,0.0,0.0,0.0,9.388243,0.0,0.0,0.0,0.0,0.0,243.57314,0.0
3426.3943,0.0004731401,5077.7983,116.66568,226.01527,6.3978114,884.7772,1.8038246e-07,0.0,0.0,192.23825,0.01958055,0.0,0.0,152.49892,0.0,1636.4552,0.37072343,303.002,0.11625233,616.7212,0.30712768,0.0,0.0,131.26256,1.0971965e-05,0.0,0.0,58.1294,0.0,18.483704,0.0,37.563484,0.0,0.0,0.0,1.8403223,0.0,0.0,0.0,0.0,0.0,52.545887,0.0,0.0,0.0,22.001184,0.0009478554,0.0,0.0,1.3093115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3848267,0.0,0.0,0.0,9.742722,0.0,0.0,0.0,0.0,0.0,243.35791,0.0
3413.5312,0.00045192498,5065.5366,116.66311,223.57191,6.399706,875.413,2.980232e-07,0.0,0.0,193.59622,0.019554231,0.0,0.0,151.00745,0.0,1635.339,0.38775715,302.91583,0.109768435,611.6176,0.31567112,0.0,0.0,132.26677,1.0493557e-05,0.0,0.0,57.667515,0.0,18.949701,0.0,36.82732,0.0,0.0,0.0,1.7911881,0.0,0.0,0.0,0.0,0.0,51.41692,0.0,0.0,0.0,22.712866,0.00088658783,0.0,0.0,1.581486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1766653,0.0,0.0,0.0,9.66988,0.0,0.0,0.0,0.0,0.0,243.18263,0.0
3408.1052,0.00044390175,5058.2393,116.65656,224.68088,6.403268,879.7246,5.489901e-07,0.0,0.0,191.89262,0.01957946,0.0,0.0,153.08049,2.352815e-08,1632.9742,0.3752532,303.32837,0.11024569,614.97614,0.3146796,0.0,0.0,131.40788,1.0462188e-05,0.0,0.0,58.684547,0.0,18.873064,0.0,37.040585,0.0,0.0,0.0,1.5408942,0.0,0.0,0.0,0.0,0.0,51.53096,0.0,0.0,0.0,22.827604,0.0009188998,0.0,0.0,1.7661278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02136,0.0,0.0,0.0,9.617692,0.0,0.0,0.0,0.0,0.0,243.44467,0.0
3438.3171,0.00045201156,5090.011,116.66459,225.88129,6.4037414,888.5882,4.8624844e-07,0.0,0.0,193.00853,0.019583704,0.0,0.0,153.76512,0.0,1637.2545,0.37403432,302.09787,0.11106087,617.61365,0.31819034,0.0,0.0,131.30339,1.0156326e-05,0.0,0.0,59.88667,0.0,18.522257,0.0,36.931038,0.0,0.0,0.0,1.505604,0.0,0.0,0.0,0.0,0.0,51.88133,0.0,0.0,0.0,23.011219,0.00086572627,0.0,0.0,1.9914174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274583,0.0,0.0,0.0,8.861064,0.0,0.0,0.0,0.0,0.0,244.30664,0.0
3458.654,0.0004308918,5097.9194,116.66673,223.71483,6.3966475,888.4815,2.3528148e-07,0.0,0.0,192.16338,0.019602323,0.0,0.0,152.696,7.842717e-09,1639.1724,0.37208688,300.54837,0.114169076,619.3588,0.31210536,0.0,0.0,131.34529,1.0462188e-05,0.0,0.0,58.27886,0.0,18.656824,0.0,37.369858,0.0,0.0,0.0,1.5760976,0.0,0.0,0.0,0.0,0.0,51.90376,0.0,0.0,0.0,22.824286,0.0009018339,0.0,0.0,1.6520295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1459289,0.0,0.0,0.0,9.622713,0.0,0.0,0.0,0.0,0.0,242.73979,0.0
3440.6975,0.00045759577,5088.728,116.65364,223.05756,6.400923,886.12787,6.4310296e-07,0.0,0.0,194.0418,0.019569285,0.0,0.0,153.04948,0.0,1635.815,0.3793996,301.04736,0.10981542,617.9195,0.31937316,0.0,0.0,132.55339,1.1042548e-05,0.0,0.0,58.92655,0.0,18.719376,0.0,37.264694,0.0,0.0,0.0,1.642255,0.0,0.0,0.0,0.0,0.0,51.34241,0.0,0.0,0.0,23.080153,0.0009527803,0.0,0.0,1.7222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0083592,0.0,0.0,0.0,9.415082,0.0,0.0,0.0,0.0,0.0,243.2017,0.0
3440.2788,0.00047172062,5082.0093,116.657684,223.05113,6.402723,886.36926,1.1764074e-07,0.0,0.0,192.95691,0.01958273,0.0,0.0,155.0601,0.0,1635.6582,0.39485392,301.08063,0.1104169,615.306,0.29964837,0.0,0.0,131.99449,9.662233e-06,0.0,0.0,59.272102,0.0,18.917942,0.0,36.875668,0.0,0.0,0.0,1.5225956,0.0,0.0,0.0,0.0,0.0,51.547344,0.0,0.0,0.0,22.909166,0.0009352756,0.0,0.0,1.5567756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1970603,0.0,0.0,0.0,9.819497,0.0,0.0,0.0,0.0,0.0,245.57838,0.0
