H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14448.938,0.0024244508,19286.172,435.91733,732.5899,39.066154,3677.5195,1.2862056e-06,0.0,0.0,660.4596,0.0839751,0.0,0.0,348.08112,9.411259e-08,5218.0986,0.8463984,745.0506,0.2342326,2385.4094,0.7378647,0.0,0.0,367.00388,2.799059e-05,0.0,0.0,91.61671,0.0,43.120293,0.0,111.33054,0.0,0.0,0.0,2.7725692,0.0,0.0,0.0,0.0,0.0,235.3763,0.0,0.0,0.0,40.916046,0.0019138416,0.0,0.0,0.017891891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.947384,0.0,0.0,0.0,86.853065,0.0,0.0,0.0,0.0,0.0,1372.7228,0.0
14456.809,0.0023911928,19302.72,435.9459,729.2371,39.059975,3666.8896,6.2741776e-07,0.0,0.0,660.77576,0.08393321,0.0,0.0,342.67612,1.0979802e-07,5216.1523,0.84318703,742.9613,0.24258758,2381.5757,0.75506055,0.0,0.0,367.49606,2.8586628e-05,0.0,0.0,89.41563,0.0,43.10169,0.0,110.39653,0.0,0.0,0.0,2.9976237,0.0,0.0,0.0,0.0,0.0,234.65015,0.0,0.0,0.0,40.869854,0.0020952127,0.0,0.0,0.018699978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.726545,0.0,0.0,0.0,86.0869,0.0,0.0,0.0,0.0,0.0,1373.2762,0.0
14477.092,0.0024467101,19306.53,435.96222,729.6634,39.06471,3682.808,9.960262e-07,0.0,0.0,658.32825,0.08394517,0.0,0.0,351.46542,3.921358e-08,5216.136,0.8472983,743.77295,0.23946331,2385.5518,0.7407031,0.0,0.0,366.47375,2.9417963e-05,0.0,0.0,91.79244,0.0,43.32157,0.0,110.468376,0.0,0.0,0.0,3.0306923,0.0,0.0,0.0,0.0,0.0,235.26483,0.0,0.0,0.0,40.64646,0.0020570827,0.0,0.0,0.016408563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.810274,0.0,0.0,0.0,87.69752,0.0,0.0,0.0,0.0,0.0,1371.4102,0.0
14447.653,0.0023062997,19283.139,435.9176,727.93744,39.06309,3677.3171,1.0352389e-06,0.0,0.0,660.51154,0.08392289,0.0,0.0,348.7626,7.842717e-09,5218.7827,0.8597318,744.5271,0.23661873,2384.9966,0.72370505,0.0,0.0,367.77194,2.931601e-05,0.0,0.0,91.04863,0.0,43.29814,0.0,110.64737,0.0,0.0,0.0,3.2253482,0.0,0.0,0.0,0.0,0.0,233.19131,0.0,0.0,0.0,41.477417,0.0019295599,0.0,0.0,0.022246033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.013727,0.0,0.0,0.0,86.7422,0.0,0.0,0.0,0.0,0.0,1372.1323,0.0
14474.201,0.0023116376,19311.008,435.9514,730.5157,39.061428,3680.3218,7.842724e-07,0.0,0.0,663.7537,0.083926424,0.0,0.0,355.78818,7.058445e-08,5222.852,0.8676116,746.8822,0.24824089,2386.88,0.7751481,0.0,0.0,369.8194,2.9464987e-05,0.0,0.0,94.47809,0.0,43.06004,0.0,110.80963,0.0,0.0,0.0,2.8899133,0.0,0.0,0.0,0.0,0.0,233.89062,0.0,0.0,0.0,41.252327,0.0018907216,0.0,0.0,0.011383284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.547867,0.0,0.0,0.0,87.93259,0.0,0.0,0.0,0.0,0.0,1371.2673,0.0
14478.482,0.002588755,19311.17,435.93604,731.8394,39.062904,3684.9243,1.2156207e-06,0.0,0.0,661.89996,0.08393354,0.0,0.0,346.82047,6.2741734e-08,5221.334,0.84409153,746.08923,0.24450313,2388.1333,0.75126433,0.0,0.0,367.9369,2.8068996e-05,0.0,0.0,91.34565,0.0,43.627247,0.0,109.95062,0.0,0.0,0.0,3.0640838,0.0,0.0,0.0,0.0,0.0,235.74054,0.0,0.0,0.0,41.40119,0.0019220301,0.0,0.0,0.016186478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.936256,0.0,0.0,0.0,86.95563,0.0,0.0,0.0,0.0,0.0,1372.6233,0.0
14498.759,0.0024120654,19327.639,435.91995,727.4193,39.065536,3687.2468,9.175987e-07,0.0,0.0,665.2415,0.08392194,0.0,0.0,348.4606,3.1370867e-08,5227.9644,0.8421815,746.57385,0.24303989,2388.7178,0.7389621,0.0,0.0,370.34177,3.0374755e-05,0.0,0.0,92.38606,0.0,43.867027,0.0,110.75355,0.0,0.0,0.0,3.4183407,0.0,0.0,0.0,0.0,0.0,234.62523,0.0,0.0,0.0,41.253784,0.0018580336,0.0,0.0,0.017472295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.592691,0.0,0.0,0.0,87.04948,0.0,0.0,0.0,0.0,0.0,1374.0309,0.0
14487.173,0.00229354,19327.104,435.94708,730.3453,39.063072,3695.82,7.2937326e-07,0.0,0.0,661.0293,0.083984934,0.0,0.0,349.4685,7.058445e-08,5231.912,0.84117275,746.7678,0.24254018,2396.5425,0.74443066,0.0,0.0,368.54922,2.7512197e-05,0.0,0.0,92.411415,0.0,44.23317,0.0,110.42582,0.0,0.0,0.0,3.2623956,0.0,0.0,0.0,0.0,0.0,235.43507,0.0,0.0,0.0,41.476246,0.0019182038,0.0,0.0,0.015991116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.96273,0.0,0.0,0.0,87.59074,0.0,0.0,0.0,0.0,0.0,1372.2783,0.0
14388.734,0.0025160376,19238.031,435.95767,733.21875,39.055412,3663.075,1.1528801e-06,0.0,0.0,660.45544,0.083921716,0.0,0.0,349.17535,7.058445e-08,5201.04,0.8202418,744.9623,0.2466115,2376.1035,0.76323354,0.0,0.0,367.3733,2.8916018e-05,0.0,0.0,92.36164,0.0,43.35797,0.0,110.65007,0.0,0.0,0.0,3.3283553,0.0,0.0,0.0,0.0,0.0,232.07407,0.0,0.0,0.0,41.280052,0.0020748063,0.0,0.0,0.012282716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.030317,0.0,0.0,0.0,87.19037,0.0,0.0,0.0,0.0,0.0,1370.0422,0.0
14462.208,0.002395364,19299.887,435.96094,735.4289,39.066494,3691.0383,1.1293511e-06,0.0,0.0,661.25146,0.08393225,0.0,0.0,347.2827,6.2741734e-08,5217.9585,0.869537,746.28,0.24133615,2392.6538,0.7630704,0.0,0.0,367.5528,2.8845441e-05,0.0,0.0,92.20404,0.0,43.63971,0.0,112.52995,0.0,0.0,0.0,3.0522459,0.0,0.0,0.0,0.0,0.0,235.8463,0.0,0.0,0.0,41.115765,0.0018411407,0.0,0.0,0.0062968354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.846338,0.0,0.0,0.0,87.637184,0.0,0.0,0.0,0.0,0.0,1372.1763,0.0
14466.299,0.0022932566,19294.15,435.96112,732.5511,39.06705,3696.9949,9.568124e-07,0.0,0.0,659.54584,0.08391332,0.0,0.0,347.97934,4.70563e-08,5218.0312,0.85154474,748.73944,0.24653937,2393.122,0.75315875,0.0,0.0,367.4258,3.0131638e-05,0.0,0.0,91.81028,0.0,43.627815,0.0,112.10839,0.0,0.0,0.0,3.3041217,0.0,0.0,0.0,0.0,0.0,234.5418,0.0,0.0,0.0,41.533825,0.002025648,0.0,0.0,0.052603178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.770157,0.0,0.0,0.0,87.05154,0.0,0.0,0.0,0.0,0.0,1373.5164,0.0
14561.464,0.0026425142,19391.428,435.9454,737.8597,39.068798,3700.4763,8.6269995e-07,0.0,0.0,664.6967,0.08395556,0.0,0.0,348.0206,3.921358e-08,5240.0137,0.878677,750.32074,0.24223264,2395.871,0.7673797,0.0,0.0,368.77542,2.7755306e-05,0.0,0.0,92.60892,0.0,42.99085,0.0,113.73874,0.0,0.0,0.0,3.1940794,0.0,0.0,0.0,0.0,0.0,234.79028,0.0,0.0,0.0,41.558132,0.0019344372,0.0,0.0,0.09692939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.06209,0.0,0.0,0.0,87.16425,0.0,0.0,0.0,0.0,0.0,1373.1635,0.0
14464.724,0.002356931,19311.71,435.9724,738.3868,39.085476,3685.4358,1.1058235e-06,0.0,0.0,662.2467,0.08389795,0.0,0.0,349.844,2.352815e-08,5228.4624,0.8289637,750.06635,0.24285233,2392.9048,0.7542904,0.0,0.0,368.72403,2.904152e-05,0.0,0.0,91.42605,0.0,43.924194,0.0,113.21124,0.0,0.0,0.0,3.5034034,0.0,0.0,0.0,0.0,0.0,235.20346,0.0,0.0,0.0,41.858177,0.0019294805,0.0,0.0,0.043311022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.990206,0.0,0.0,0.0,87.104904,0.0,0.0,0.0,0.0,0.0,1371.8883,0.0
14546.353,0.0025196238,19392.574,435.93063,739.1983,39.055702,3690.1228,1.0744526e-06,0.0,0.0,667.02106,0.08397258,0.0,0.0,347.1587,2.352815e-08,5237.41,0.8465264,745.1909,0.24141732,2393.3784,0.7588351,0.0,0.0,371.46133,3.0076737e-05,0.0,0.0,90.754875,0.0,42.409332,0.0,112.75588,0.0,0.0,0.0,3.2137527,0.0,0.0,0.0,0.0,0.0,234.83742,0.0,0.0,0.0,41.846737,0.001965306,0.0,0.0,0.047617845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.697685,0.0,0.0,0.0,87.501724,0.0,0.0,0.0,0.0,0.0,1373.5254,0.0
14564.431,0.0023715985,19411.297,435.95102,745.7611,39.060066,3706.634,1.0273967e-06,0.0,0.0,666.6853,0.0839778,0.0,0.0,351.3981,7.842716e-08,5235.122,0.8548189,748.04645,0.24583383,2400.8623,0.7406476,0.0,0.0,369.67715,3.0037536e-05,0.0,0.0,92.590324,0.0,43.1306,0.0,114.016075,0.0,0.0,0.0,3.4722996,0.0,0.0,0.0,0.0,0.0,234.94197,0.0,0.0,0.0,41.30865,0.0019246342,0.0,0.0,0.019590994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.832676,0.0,0.0,0.0,87.430824,0.0,0.0,0.0,0.0,0.0,1372.3053,0.0
14560.67,0.0024486065,19403.408,435.95993,745.0562,39.074455,3719.5015,1.1371941e-06,0.0,0.0,664.6015,0.08390214,0.0,0.0,345.29318,7.842716e-08,5238.549,0.8593617,749.18335,0.24049096,2406.915,0.76421595,0.0,0.0,368.99997,2.9355215e-05,0.0,0.0,90.74315,0.0,42.746212,0.0,115.39539,0.0,0.0,0.0,3.1697662,0.0,0.0,0.0,0.0,0.0,236.693,0.0,0.0,0.0,41.43026,0.0018787857,0.0,0.0,0.006822874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.749758,0.0,0.0,0.0,86.999794,0.0,0.0,0.0,0.0,0.0,1374.6802,0.0
14595.327,0.0024303347,19448.084,435.9969,737.43646,39.04892,3715.3264,9.0975595e-07,0.0,0.0,667.61786,0.08394122,0.0,0.0,352.34424,1.6469703e-07,5252.7207,0.8553717,744.8931,0.24044645,2404.5952,0.7370085,0.0,0.0,371.2806,2.9378734e-05,0.0,0.0,92.95629,0.0,42.55145,0.0,111.19531,0.0,0.0,0.0,3.1455297,0.0,0.0,0.0,0.0,0.0,236.20505,0.0,0.0,0.0,41.722687,0.0019591264,0.0,0.0,0.013579153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.976612,0.0,0.0,0.0,87.08699,0.0,0.0,0.0,0.0,0.0,1372.6395,0.0
14526.934,0.0025131963,19403.074,435.9402,742.6885,39.0549,3710.466,1.019554e-06,0.0,0.0,667.54205,0.08390562,0.0,0.0,349.49484,6.274173e-08,5248.5386,0.83898365,748.357,0.23375224,2404.798,0.74177456,0.0,0.0,370.0254,2.7488644e-05,0.0,0.0,92.081474,0.0,43.26237,0.0,113.03329,0.0,0.0,0.0,3.073517,0.0,0.0,0.0,0.0,0.0,234.9559,0.0,0.0,0.0,42.09124,0.0018808402,0.0,0.0,0.020924686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.107506,0.0,0.0,0.0,86.906654,0.0,0.0,0.0,0.0,0.0,1371.8265,0.0
14514.67,0.0023810857,19374.752,435.9528,737.2036,39.053356,3702.8936,1.4430599e-06,0.0,0.0,666.94604,0.08393782,0.0,0.0,348.54065,3.921358e-08,5232.2935,0.85219884,746.1775,0.24239317,2400.4104,0.7754986,0.0,0.0,367.86264,2.7661183e-05,0.0,0.0,92.37396,0.0,43.007496,0.0,114.08088,0.0,0.0,0.0,3.104854,0.0,0.0,0.0,0.0,0.0,235.29007,0.0,0.0,0.0,41.84159,0.0019494329,0.0,0.0,0.022356309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.824108,0.0,0.0,0.0,86.24476,0.0,0.0,0.0,0.0,0.0,1369.2535,0.0
14524.232,0.0023605232,19401.4,435.9678,741.84674,39.065235,3694.7126,1.3097329e-06,0.0,0.0,664.3668,0.08392718,0.0,0.0,347.13513,1.01955315e-07,5246.5386,0.8583415,748.8108,0.2456428,2398.601,0.73991483,0.0,0.0,368.2501,2.893956e-05,0.0,0.0,90.209595,0.0,42.933743,0.0,113.752426,0.0,0.0,0.0,3.0637527,0.0,0.0,0.0,0.0,0.0,234.55287,0.0,0.0,0.0,41.697144,0.0019702008,0.0,0.0,0.07006829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.055597,0.0,0.0,0.0,86.68717,0.0,0.0,0.0,0.0,0.0,1374.6787,0.0
14628.778,0.0023481734,19484.98,435.94287,748.18616,39.04337,3732.2124,8.1564355e-07,0.0,0.0,663.21735,0.08396995,0.0,0.0,348.0024,9.41126e-08,5263.306,0.840958,748.9834,0.23591186,2413.4429,0.74350494,0.0,0.0,367.85092,2.8884668e-05,0.0,0.0,91.007935,0.0,43.067398,0.0,114.39843,0.0,0.0,0.0,2.655918,0.0,0.0,0.0,0.0,0.0,237.74127,0.0,0.0,0.0,41.455303,0.00196918,0.0,0.0,0.03979135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.880604,0.0,0.0,0.0,87.27761,0.0,0.0,0.0,0.0,0.0,1374.9475,0.0
14589.89,0.0023557076,19460.727,435.95224,747.9553,39.06175,3720.055,1.0352396e-06,0.0,0.0,662.37946,0.08393243,0.0,0.0,347.48486,6.2741734e-08,5256.9507,0.85997796,748.8556,0.24434115,2411.649,0.74599797,0.0,0.0,368.11032,2.9998331e-05,0.0,0.0,90.15854,0.0,42.588234,0.0,112.363144,0.0,0.0,0.0,2.7413218,0.0,0.0,0.0,0.007942032,0.0,237.0066,0.0,0.0,0.0,41.54288,0.0019507506,0.0,0.0,0.042660337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.767525,0.0,0.0,0.0,86.96206,0.0,0.0,0.0,0.0,0.0,1374.8147,0.0
14585.088,0.002519596,19443.248,435.96426,748.6763,39.067482,3714.4717,1.309733e-06,0.0,0.0,661.3346,0.0839003,0.0,0.0,345.25775,3.921358e-08,5249.6655,0.85879606,751.6818,0.24099098,2408.9287,0.766265,0.0,0.0,366.31757,2.7990585e-05,0.0,0.0,90.596756,0.0,43.62793,0.0,115.18213,0.0,0.0,0.0,2.7610765,0.0,0.0,0.0,0.0,0.0,235.2154,0.0,0.0,0.0,41.20964,0.0019115052,0.0,0.0,0.07151442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.761019,0.0,0.0,0.0,87.58993,0.0,0.0,0.0,0.0,0.0,1373.2408,0.0
14590.377,0.0023500342,19458.676,435.94827,750.35986,39.05702,3712.466,8.4701406e-07,0.0,0.0,663.9468,0.0838771,0.0,0.0,349.64227,9.41126e-08,5260.5796,0.85242796,754.26166,0.24259521,2407.3582,0.7361377,0.0,0.0,366.95648,2.8821907e-05,0.0,0.0,92.302635,0.0,43.95312,0.0,114.94884,0.0,0.0,0.0,2.9424236,0.0,0.0,0.0,0.0,0.0,235.27798,0.0,0.0,0.0,41.29109,0.001796751,0.0,0.0,0.03114864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.014816,0.0,0.0,0.0,86.33655,0.0,0.0,0.0,0.0,0.0,1377.6256,0.0
14619.539,0.0026456048,19476.793,435.99255,748.89514,39.057514,3731.0012,1.1528796e-06,0.0,0.0,665.94257,0.08393341,0.0,0.0,349.08148,3.921358e-08,5256.7085,0.8634917,750.12805,0.23988514,2415.7068,0.76782525,0.0,0.0,368.22092,2.8108221e-05,0.0,0.0,92.297966,0.0,42.928074,0.0,114.49209,0.0,0.0,0.0,3.1982512,0.0,0.0,0.0,0.0,0.0,237.71295,0.0,0.0,0.0,41.0846,0.0020677012,0.0,0.0,0.009021512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.82384,0.0,0.0,0.0,87.01486,0.0,0.0,0.0,0.0,0.0,1371.8207,0.0
14669.503,0.0024558587,19532.31,435.9531,750.7743,39.058064,3747.6172,8.705425e-07,0.0,0.0,666.5691,0.0839143,0.0,0.0,350.7121,1.0979803e-07,5276.4004,0.874561,754.3284,0.23764102,2423.5032,0.77582574,0.0,0.0,368.96692,2.9065073e-05,0.0,0.0,93.41039,0.0,43.353462,0.0,114.90432,0.0,0.0,0.0,3.4141228,0.0,0.0,0.0,0.0,0.0,239.09995,0.0,0.0,0.0,41.790714,0.001987925,0.0,0.0,0.008346603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.74634,0.0,0.0,0.0,85.921875,0.0,0.0,0.0,0.0,0.0,1373.0055,0.0
