H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13633.278,0.001535223,17922.49,416.32684,652.7553,13.7168865,3818.5483,21.944376,0.0,0.0,665.7166,0.08392843,0.0,0.0,343.76758,8.626988e-08,4412.394,0.16830415,536.6359,0.102061495,2576.921,2.245245,0.0,0.0,392.63126,5.4601038e-05,0.0,0.0,90.915245,0.0,24.228527,0.0,223.48723,0.011023534,0.0,0.0,13.741584,0.0,0.0,0.0,0.0,0.0,334.0424,0.0,0.0,0.0,26.585758,0.0,0.0,0.0,0.17088449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.580105,0.0,0.0,0.0,85.43333,0.0,0.0,0.0,0.0,0.0,1372.6757,0.0
13638.273,0.0015410691,17929.73,416.30585,655.4655,13.705786,3828.9646,21.960196,0.0,0.0,661.3616,0.08389325,0.0,0.0,344.56134,6.2741734e-08,4414.9355,0.16998364,536.8315,0.09960019,2583.6055,2.365335,0.0,0.0,390.08234,5.2263928e-05,0.0,0.0,89.937416,0.0,24.27694,0.0,224.5114,0.011491979,0.0,0.0,13.339736,0.0,0.0,0.0,0.0,0.0,335.1629,0.0,0.0,0.0,25.599575,0.0,0.0,0.0,0.14562848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.559399,0.0,0.0,0.0,86.126854,0.0,0.0,0.0,0.0,0.0,1371.6052,0.0
13669.7,0.0017431484,17973.066,416.3115,658.7569,13.720131,3844.769,21.944708,0.0,0.0,670.71045,0.0839759,0.0,0.0,342.6113,1.3332618e-07,4428.16,0.16943905,540.3695,0.10301742,2590.1292,2.253679,0.0,0.0,393.87866,5.2773692e-05,0.0,0.0,91.46418,0.0,24.27388,0.0,224.31108,0.011570547,0.0,0.0,13.581938,0.0,0.0,0.0,0.0,0.0,333.25723,0.0,0.0,0.0,26.833334,0.0,0.0,0.0,0.11233756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.691828,0.0,0.0,0.0,84.95895,0.0,0.0,0.0,0.0,0.0,1370.9812,0.0
13664.809,0.0029285913,17965.865,416.33096,659.56055,13.71279,3835.9277,21.95151,0.0,0.0,671.51636,0.0839252,0.0,0.0,354.3273,1.8822519e-07,4425.5947,0.16889372,539.9349,0.09978971,2585.5264,2.245972,0.0,0.0,395.65543,5.2224703e-05,0.0,0.0,94.10922,0.0,24.531588,0.0,225.64848,0.01069456,0.0,0.0,13.423494,0.0,0.0,0.0,0.0,0.0,334.3549,0.0,0.0,0.0,26.70925,0.0,0.0,0.0,0.2021013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.797096,0.0,0.0,0.0,86.67717,0.0,0.0,0.0,0.0,0.0,1373.4486,0.0
13659.126,0.0015725145,17954.258,416.30927,659.60126,13.7135,3843.144,21.945381,0.0,0.0,670.8587,0.08390016,0.0,0.0,354.17026,4.7056297e-08,4422.6157,0.17101364,540.2985,0.10097507,2590.757,2.3104386,0.0,0.0,396.8946,5.3557946e-05,0.0,0.0,94.5647,0.0,24.663406,0.0,225.7744,0.011412153,0.0,0.0,13.450121,0.0,0.0,0.0,0.0,0.0,335.86237,0.0,0.0,0.0,26.499012,0.0,0.0,0.0,0.09507686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.70568,0.0,0.0,0.0,86.2197,0.0,0.0,0.0,0.0,0.0,1375.8519,0.0
13661.893,0.0015116512,17959.416,416.3219,660.3147,13.715244,3840.7979,21.957401,0.0,0.0,671.58954,0.083905675,0.0,0.0,351.53763,3.1370867e-08,4423.4307,0.16625968,539.11786,0.099029824,2586.768,2.2796612,0.0,0.0,395.017,4.8373924e-05,0.0,0.0,93.5005,0.0,24.426714,0.0,224.84805,0.011170674,0.0,0.0,13.5487385,0.0,0.0,0.0,0.0,0.0,335.29733,0.0,0.0,0.0,26.17089,0.0,0.0,0.0,0.16525035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.832088,0.0,0.0,0.0,86.281395,0.0,0.0,0.0,0.0,0.0,1374.099,0.0
13645.414,0.0017283788,17959.621,416.27673,660.99585,13.7066,3849.3918,21.937489,0.0,0.0,667.02704,0.08388706,0.0,0.0,346.6512,7.842716e-08,4426.6235,0.16681094,542.0732,0.10266734,2594.9363,2.2661078,0.0,0.0,391.9989,5.270307e-05,0.0,0.0,92.41871,0.0,24.496698,0.0,225.53185,0.010928414,0.0,0.0,13.515525,0.0,0.0,0.0,0.0,0.0,336.3302,0.0,0.0,0.0,27.032925,0.0,0.0,0.0,0.13354988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.870384,0.0,0.0,0.0,85.256485,0.0,0.0,0.0,0.0,0.0,1372.8354,0.0
13622.503,0.0016442318,17929.69,416.33514,660.29126,13.712884,3823.5576,21.948164,0.0,0.0,668.49,0.08389661,0.0,0.0,348.61877,5.489901e-08,4417.0933,0.16989045,540.29065,0.0998141,2581.4368,2.3074746,0.0,0.0,392.69556,5.1903124e-05,0.0,0.0,92.02624,0.0,24.678022,0.0,225.70856,0.0112014515,0.0,0.0,12.951172,0.0,0.0,0.0,0.0,0.0,335.58978,0.0,0.0,0.0,25.631186,0.0,0.0,0.0,0.15715471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.915628,0.0,0.0,0.0,86.30347,0.0,0.0,0.0,0.0,0.0,1371.3287,0.0
13710.962,0.001562728,18022.6,416.2901,659.3458,13.714731,3850.7104,21.962366,0.0,0.0,667.30963,0.08393596,0.0,0.0,352.7675,1.490116e-07,4442.5835,0.16796777,540.3527,0.09873473,2599.3035,2.2929113,0.0,0.0,392.6461,4.9322876e-05,0.0,0.0,93.44274,0.0,24.46066,0.0,225.917,0.010265755,0.0,0.0,12.469673,0.0,0.0,0.0,0.0,0.0,338.47568,0.0,0.0,0.0,24.79722,0.0,0.0,0.0,0.17682068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.973852,0.0,0.0,0.0,86.22874,0.0,0.0,0.0,0.0,0.0,1374.4945,0.0
13715.953,0.0014977509,18022.041,416.3217,661.9925,13.718306,3853.3735,21.945301,0.0,0.0,666.74304,0.0838874,0.0,0.0,343.58813,5.489902e-08,4436.933,0.17191188,540.6479,0.10151671,2597.759,2.308012,0.0,0.0,392.23022,5.162082e-05,0.0,0.0,91.41758,0.0,24.721087,0.0,226.05396,0.011172292,0.0,0.0,13.215453,0.0,0.0,0.0,0.0,0.0,337.25064,0.0,0.0,0.0,25.844488,0.0,0.0,0.0,0.20510405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.736996,0.0,0.0,0.0,86.11733,0.0,0.0,0.0,0.0,0.0,1374.7946,0.0
