H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
12555.206,0.0014502052,16554.48,383.991,663.3326,13.70937,3273.3298,21.93395,0.0,0.0,658.6071,0.08391157,0.0,0.0,346.57642,5.489902e-08,4138.2417,0.16297303,541.36584,0.09866017,2235.7715,2.254586,0.0,0.0,391.44736,5.2663905e-05,0.0,0.0,91.90953,0.0,25.006166,0.0,229.79544,0.011441899,0.0,0.0,13.086574,0.0,0.0,0.0,0.0,0.0,297.2783,0.0,0.0,0.0,23.976847,0.0,0.0,0.0,0.0143684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.683788,0.0,0.0,0.0,87.2317,0.0,0.0,0.0,0.0,0.0,1373.0491,0.0
12538.876,0.008569611,16535.156,383.96683,665.2833,13.72361,3278.5913,21.94708,0.0,0.0,655.511,0.08392788,0.0,0.0,345.3168,1.0979803e-07,4133.742,0.16883738,542.991,0.09949155,2235.8938,2.3048596,0.0,0.0,391.32446,5.1620784e-05,0.0,0.0,90.827095,0.0,25.631681,0.0,231.89566,0.011453315,0.0,0.0,13.27896,0.0,0.0,0.0,0.0,0.0,297.49606,0.0,0.0,0.0,24.24285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95345,0.0,0.0,0.0,87.51499,0.0,0.0,0.0,0.0,0.0,1372.9952,0.0
12598.553,0.0014761109,16592.057,383.9626,667.7809,13.709634,3301.8474,21.951162,0.0,0.0,655.2616,0.08385986,0.0,0.0,345.17474,3.921358e-08,4148.15,0.16538373,543.97437,0.09666396,2246.2302,2.2867343,0.0,0.0,391.0746,5.2311007e-05,0.0,0.0,91.18787,0.0,25.451197,0.0,233.59187,0.011511257,0.0,0.0,13.589926,0.0,0.0,0.0,0.0,0.0,298.3895,0.0,0.0,0.0,24.573189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.757343,0.0,0.0,0.0,86.801125,0.0,0.0,0.0,0.0,0.0,1372.9962,0.0
12632.377,0.0014366143,16640.975,383.99265,669.3872,13.710334,3289.081,21.953432,0.0,0.0,663.77454,0.0839576,0.0,0.0,345.42923,1.0979802e-07,4162.615,0.1663742,544.8752,0.09700196,2242.0325,2.2188432,0.0,0.0,393.8196,5.3455955e-05,0.0,0.0,91.58007,0.0,25.42749,0.0,232.19995,0.011659835,0.0,0.0,13.13103,0.0,0.0,0.0,0.0,0.0,298.0995,0.0,0.0,0.0,23.95641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.90754,0.0,0.0,0.0,86.54058,0.0,0.0,0.0,0.0,0.0,1374.3961,0.0
12594.709,0.0014647916,16619.467,383.97968,668.76,13.708243,3287.811,21.946379,0.0,0.0,664.792,0.083877936,0.0,0.0,346.64923,3.921358e-08,4160.918,0.1691067,544.6495,0.09816932,2243.9426,2.2725987,0.0,0.0,394.7723,5.2138377e-05,0.0,0.0,90.37902,0.0,25.611956,0.0,232.56845,0.010108775,0.0,0.0,13.49201,0.0,0.0,0.0,0.0,0.0,299.43625,0.0,0.0,0.0,25.45974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.590729,0.0,0.0,0.0,87.28568,0.0,0.0,0.0,0.0,0.0,1374.5436,0.0
12576.731,0.0014527189,16600.322,383.97836,669.3752,13.711319,3297.9583,21.947063,0.0,0.0,662.3385,0.083846934,0.0,0.0,347.0458,1.0195531e-07,4151.13,0.16767879,546.4601,0.101018876,2250.5286,2.2929273,0.0,0.0,392.73087,4.99346e-05,0.0,0.0,91.56018,0.0,25.751488,0.0,233.59904,0.011188308,0.0,0.0,13.043444,0.0,0.0,0.0,0.0,0.0,298.98816,0.0,0.0,0.0,24.704931,0.0,0.0,0.0,0.006150125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.703392,0.0,0.0,0.0,86.434944,0.0,0.0,0.0,0.0,0.0,1373.9241,0.0
12594.955,0.0014573357,16623.377,383.97766,667.91235,13.714839,3289.1392,21.945383,0.0,0.0,664.3529,0.083948255,0.0,0.0,346.90692,7.058445e-08,4157.247,0.16524221,544.6059,0.10215937,2244.5237,2.2790356,0.0,0.0,393.08072,5.1362e-05,0.0,0.0,91.67351,0.0,25.382063,0.0,231.57327,0.010869736,0.0,0.0,13.26429,0.0,0.0,0.0,0.0,0.0,297.70697,0.0,0.0,0.0,25.49614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.62779,0.0,0.0,0.0,86.758934,0.0,0.0,0.0,0.0,0.0,1373.0023,0.0
12627.691,0.0015110122,16638.68,383.9833,668.0165,13.717054,3298.928,21.971197,0.0,0.0,665.27826,0.08393911,0.0,0.0,347.72626,2.352815e-08,4159.468,0.16777574,545.11176,0.09923292,2246.8713,2.2368908,0.0,0.0,393.8888,4.998169e-05,0.0,0.0,91.03757,0.0,25.194214,0.0,231.41953,0.011404692,0.0,0.0,13.015062,0.0,0.0,0.0,0.0,0.0,297.08173,0.0,0.0,0.0,24.3964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6458,0.0,0.0,0.0,85.98246,0.0,0.0,0.0,0.0,0.0,1376.4758,0.0
12670.735,0.0014766016,16689.402,383.96597,669.12195,13.702627,3302.5403,21.954733,0.0,0.0,667.403,0.08389754,0.0,0.0,346.44556,7.058445e-08,4173.406,0.16558038,545.5614,0.09916411,2250.0623,2.2444668,0.0,0.0,394.60864,5.1910978e-05,0.0,0.0,92.667564,0.0,25.477623,0.0,232.1095,0.010868779,0.0,0.0,12.92772,0.0,0.0,0.0,0.0,0.0,297.84406,0.0,0.0,0.0,24.761038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.487423,0.0,0.0,0.0,85.72624,0.0,0.0,0.0,0.0,0.0,1373.0211,0.0
12602.773,0.0014387314,16626.24,383.96838,671.85406,13.70935,3295.9626,21.965425,0.0,0.0,662.00824,0.08393259,0.0,0.0,345.13043,4.7056297e-08,4158.69,0.16884027,545.2068,0.100597404,2246.948,2.3058953,0.0,0.0,391.45703,5.1369836e-05,0.0,0.0,90.27444,0.0,25.272783,0.0,231.4542,0.010760773,0.0,0.0,12.838275,0.0,0.0,0.0,0.0,0.0,296.98694,0.0,0.0,0.0,24.386513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.624182,0.0,0.0,0.0,86.703094,0.0,0.0,0.0,0.0,0.0,1373.7784,0.0
