H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
14416.95,0.001712882,19639.521,445.0203,678.4478,13.713382,3346.415,5.489903e-07,0.0,0.0,691.72925,0.08393661,0.0,0.0,348.63004,3.1370867e-08,5468.026,0.88657665,639.9875,0.13324843,2205.8772,1.7742426,0.0,0.0,388.71478,3.969201e-05,0.0,0.0,92.78546,0.0,9.580275,0.0,102.969376,0.0,0.0,0.0,2.5267777,0.0,0.0,0.0,0.0,0.0,222.62665,0.0,0.0,0.0,5.730781,0.0,0.0,0.0,0.018047571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.147879,0.0,0.0,0.0,85.823555,0.0,0.0,0.0,0.0,0.0,1371.3314,0.0
14396.191,0.0017995343,19650.236,445.01627,680.8793,13.719934,3350.1492,7.3721606e-07,0.0,0.0,694.6178,0.08395035,0.0,0.0,353.73758,8.626988e-08,5472.8555,0.83973306,642.65015,0.1339265,2210.223,1.7556555,0.0,0.0,389.44608,3.93626e-05,0.0,0.0,94.88111,0.0,9.698732,0.0,104.06903,0.0,0.0,0.0,2.7163215,0.0,0.0,0.0,0.0,0.0,221.76135,0.0,0.0,0.0,5.7509437,0.0,0.0,0.0,0.025854861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.959131,0.0,0.0,0.0,86.16378,0.0,0.0,0.0,0.0,0.0,1374.1417,0.0
14357.06,0.0017102548,19603.947,444.96548,677.88696,13.723012,3336.23,8.470142e-07,0.0,0.0,694.4961,0.083895184,0.0,0.0,351.90512,7.842716e-08,5466.022,0.8395854,640.0706,0.1338162,2203.0027,1.8069105,0.0,0.0,390.35907,3.7527418e-05,0.0,0.0,93.28806,0.0,9.511292,0.0,103.64802,0.0,0.0,0.0,2.7686813,0.0,0.0,0.0,0.0,0.0,221.10706,0.0,0.0,0.0,6.0868106,0.0,0.0,0.0,0.022653915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.421526,0.0,0.0,0.0,86.47029,0.0,0.0,0.0,0.0,0.0,1372.9476,0.0
14436.418,0.0017032295,19677.195,444.96054,678.5971,13.704605,3352.1047,7.450588e-07,0.0,0.0,693.1792,0.08393318,0.0,0.0,353.6113,5.4899015e-08,5472.936,0.89052707,639.1142,0.13510586,2210.5273,1.7466483,0.0,0.0,388.8638,3.9158695e-05,0.0,0.0,93.30209,0.0,9.396509,0.0,103.29332,0.0,0.0,0.0,2.8066363,0.0,0.0,0.0,0.0,0.0,220.67343,0.0,0.0,0.0,5.4834056,0.0,0.0,0.0,0.021662131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.069374,0.0,0.0,0.0,86.455345,0.0,0.0,0.0,0.0,0.0,1372.4646,0.0
14398.93,0.0017169846,19649.082,444.94473,676.6104,13.708997,3327.4463,5.411476e-07,0.0,0.0,700.09985,0.08395995,0.0,0.0,353.01193,4.7056297e-08,5470.033,0.8442858,637.23804,0.13462482,2200.3484,1.7660707,0.0,0.0,392.31735,3.8554797e-05,0.0,0.0,94.81104,0.0,9.144595,0.0,102.11223,0.0,0.0,0.0,2.831047,0.0,0.0,0.0,0.0,0.0,218.53088,0.0,0.0,0.0,6.0292096,0.0,0.0,0.0,0.013945736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.186619,0.0,0.0,0.0,86.186,0.0,0.0,0.0,0.0,0.0,1373.8413,0.0
14436.22,0.0017374022,19699.94,444.99557,684.774,13.71542,3360.3704,6.5094594e-07,0.0,0.0,695.5953,0.08392325,0.0,0.0,351.73508,3.1370867e-08,5486.1675,0.85164845,640.4809,0.13104884,2215.8176,1.7547637,0.0,0.0,388.72406,3.763721e-05,0.0,0.0,93.8014,0.0,9.570942,0.0,103.96305,0.0,0.0,0.0,2.6965086,0.0,0.0,0.0,0.0,0.0,223.21016,0.0,0.0,0.0,5.565442,0.0,0.0,0.0,0.025186004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.439621,0.0,0.0,0.0,86.26389,0.0,0.0,0.0,0.0,0.0,1373.5361,0.0
14428.387,0.001792635,19680.508,444.9771,682.25305,13.712251,3342.4243,5.097766e-07,0.0,0.0,696.36017,0.08390368,0.0,0.0,350.52838,2.352815e-08,5480.554,0.85115695,640.62305,0.13169631,2205.5793,1.7670656,0.0,0.0,390.0612,3.9778282e-05,0.0,0.0,92.60053,0.0,9.484304,0.0,103.25279,0.0,0.0,0.0,2.5281193,0.0,0.0,0.0,0.0,0.0,220.55057,0.0,0.0,0.0,5.5208945,0.0,0.0,0.0,0.03318833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.275694,0.0,0.0,0.0,85.94225,0.0,0.0,0.0,0.0,0.0,1373.6547,0.0
14526.777,0.0017381229,19769.877,444.94833,686.2966,13.711911,3370.392,6.2741776e-07,0.0,0.0,695.0723,0.08390465,0.0,0.0,348.2176,1.4901161e-07,5502.486,0.8558713,641.2985,0.1336605,2220.0122,1.7513735,0.0,0.0,390.26056,3.9190058e-05,0.0,0.0,91.84769,0.0,9.509284,0.0,103.65749,0.0,0.0,0.0,2.6833026,0.0,0.0,0.0,0.0,0.0,222.60437,0.0,0.0,0.0,5.5740476,0.0,0.0,0.0,0.022011654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.155123,0.0,0.0,0.0,86.55686,0.0,0.0,0.0,0.0,0.0,1374.7227,0.0
14496.465,0.0017136573,19750.227,445.0202,687.80286,13.721889,3360.5017,8.783853e-07,0.0,0.0,696.4216,0.08389346,0.0,0.0,351.3603,9.411259e-08,5500.3896,0.8476014,643.5656,0.13403147,2214.0483,1.7497426,0.0,0.0,388.75287,3.9143015e-05,0.0,0.0,92.89731,0.0,9.7845,0.0,103.85063,0.0,0.0,0.0,2.5742395,0.0,0.0,0.0,0.0,0.0,222.13242,0.0,0.0,0.0,5.6644073,0.0,0.0,0.0,0.017811036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.380606,0.0,0.0,0.0,87.02264,0.0,0.0,0.0,0.0,0.0,1374.4723,0.0
14438.02,0.001706408,19693.377,444.9877,680.9091,13.715138,3335.455,6.9015954e-07,0.0,0.0,697.20013,0.08391977,0.0,0.0,351.57602,8.626988e-08,5487.9727,0.8622169,639.6586,0.1325846,2203.2327,1.7923939,0.0,0.0,389.5263,3.639024e-05,0.0,0.0,92.79843,0.0,9.705525,0.0,103.01334,0.0,0.0,0.0,2.6253896,0.0,0.0,0.0,0.0,0.0,219.46082,0.0,0.0,0.0,5.882051,0.0,0.0,0.0,0.03770667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.129154,0.0,0.0,0.0,85.681755,0.0,0.0,0.0,0.0,0.0,1370.676,0.0
