H - H,H - H,H - C,H - C,H - N,H - N,H - O,H - O,H - F,H - F,H - S,H - S,H - Cl,H - Cl,H - Au,H - Au,C - C,C - C,C - N,C - N,C - O,C - O,C - F,C - F,C - S,C - S,C - Cl,C - Cl,C - Au,C - Au,N - N,N - N,N - O,N - O,N - F,N - F,N - S,N - S,N - Cl,N - Cl,N - Au,N - Au,O - O,O - O,O - F,O - F,O - S,O - S,O - Cl,O - Cl,O - Au,O - Au,F - F,F - F,F - S,F - S,F - Cl,F - Cl,F - Au,F - Au,S - S,S - S,S - Cl,S - Cl,S - Au,S - Au,Cl - Cl,Cl - Cl,Cl - Au,Cl - Au,Au - Au,Au - Au
13234.586,0.0015824733,18169.904,412.61786,673.1195,13.716659,2771.1785,4.7056292e-07,0.0,0.0,685.3125,0.08392744,0.0,0.0,351.88367,3.921358e-08,5172.392,0.8482329,639.95984,0.13343206,1845.9579,1.6762059,0.0,0.0,387.92065,3.7221544e-05,0.0,0.0,91.24659,0.0,9.874146,0.0,103.881035,0.0,0.0,0.0,2.0693421,0.0,0.0,0.0,0.06741861,0.0,180.10971,0.0,0.0,0.0,3.2001054,0.0,0.0,0.0,0.03967405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.91879,0.0,0.0,0.0,87.73584,0.0,0.0,0.0,0.0,0.0,1373.4637,0.0
13301.745,0.0015945137,18236.389,412.63983,671.4329,13.709214,2771.831,4.078212e-07,0.0,0.0,690.0572,0.08394907,0.0,0.0,344.9292,1.0979804e-07,5189.1704,0.87432903,640.26154,0.13263394,1846.4514,1.7283423,0.0,0.0,390.3635,3.89862e-05,0.0,0.0,90.66744,0.0,9.881412,0.0,103.76043,0.0,0.0,0.0,2.256679,0.0,0.0,0.0,0.06542942,0.0,180.50546,0.0,0.0,0.0,3.3237886,0.0,0.0,0.0,0.06055271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.982073,0.0,0.0,0.0,86.75274,0.0,0.0,0.0,0.0,0.0,1373.1385,0.0
13300.712,0.0025635702,18234.295,412.6442,668.63806,13.711405,2765.7334,6.587885e-07,0.0,0.0,693.5157,0.08387392,0.0,0.0,348.14902,5.4899015e-08,5184.0,0.8773597,637.4551,0.13023756,1842.9987,1.7451643,0.0,0.0,391.41306,3.9182218e-05,0.0,0.0,91.368835,0.0,9.533296,0.0,103.47818,0.0,0.0,0.0,2.4637525,0.0,0.0,0.0,0.06222173,0.0,180.00453,0.0,0.0,0.0,3.5294952,0.0,0.0,0.0,0.026507245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.733149,0.0,0.0,0.0,87.65151,0.0,0.0,0.0,0.0,0.0,1374.1449,0.0
13247.452,0.001580917,18195.791,412.6311,671.3157,13.716758,2775.134,4.1566392e-07,0.0,0.0,694.2561,0.08393264,0.0,0.0,349.39246,4.7056297e-08,5185.7227,0.8488041,640.80914,0.13533951,1850.0317,1.736853,0.0,0.0,392.1016,3.89626e-05,0.0,0.0,93.35712,0.0,10.15388,0.0,104.6062,0.0,0.0,0.0,2.1223443,0.0,0.0,0.0,0.08852066,0.0,181.11032,0.0,0.0,0.0,3.6947732,0.0,0.0,0.0,0.060948994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.913939,0.0,0.0,0.0,86.227005,0.0,0.0,0.0,0.0,0.0,1373.6022,0.0
13320.358,0.0016634108,18248.19,412.6437,670.2605,13.719674,2767.9927,1.199935e-06,0.0,0.0,690.2853,0.08393696,0.0,0.0,349.54535,8.626988e-08,5190.8135,0.8635858,637.9822,0.13988948,1841.1255,1.7443453,0.0,0.0,389.33527,3.706469e-05,0.0,0.0,91.91764,0.0,9.958687,0.0,103.35393,0.0,0.0,0.0,2.260326,0.0,0.0,0.0,0.08045981,0.0,179.38455,0.0,0.0,0.0,3.6357124,0.0,0.0,0.0,0.040239643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.097282,0.0,0.0,0.0,86.614944,0.0,0.0,0.0,0.0,0.0,1374.745,0.0
13362.653,0.0016105045,18291.244,412.64465,670.35767,13.712951,2783.0051,5.6467576e-07,0.0,0.0,693.7377,0.08393423,0.0,0.0,347.26126,3.921358e-08,5199.21,0.8830816,637.7383,0.13108572,1849.8717,1.7200556,0.0,0.0,391.3764,3.871168e-05,0.0,0.0,91.72717,0.0,10.043568,0.0,104.484085,0.0,0.0,0.0,2.209397,0.0,0.0,0.0,0.04924438,0.0,181.5013,0.0,0.0,0.0,3.197655,0.0,0.0,0.0,0.02507627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.22851,0.0,0.0,0.0,86.21509,0.0,0.0,0.0,0.0,0.0,1375.688,0.0
13316.543,0.0015945922,18267.695,412.6166,673.94806,13.715422,2763.8296,4.1566392e-07,0.0,0.0,693.9341,0.08390144,0.0,0.0,348.80606,7.058445e-08,5203.4746,0.8547498,641.90735,0.1334651,1842.3866,1.6878579,0.0,0.0,390.93826,3.8350878e-05,0.0,0.0,92.25177,0.0,10.217135,0.0,103.5479,0.0,0.0,0.0,2.3932238,0.0,0.0,0.0,0.056494314,0.0,179.75162,0.0,0.0,0.0,3.5679526,0.0,0.0,0.0,0.035514683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.439259,0.0,0.0,0.0,86.87173,0.0,0.0,0.0,0.0,0.0,1371.9612,0.0
13338.455,0.0016784851,18272.79,412.64972,673.83374,13.712055,2777.2751,7.215305e-07,0.0,0.0,692.6403,0.08391467,0.0,0.0,344.32672,4.7056297e-08,5196.1104,0.84462935,640.45294,0.13099176,1844.924,1.7444967,0.0,0.0,390.39343,3.801363e-05,0.0,0.0,91.34011,0.0,9.882451,0.0,103.07872,0.0,0.0,0.0,2.1465776,0.0,0.0,0.0,0.08636156,0.0,180.0412,0.0,0.0,0.0,3.530043,0.0,0.0,0.0,0.039277636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.259163,0.0,0.0,0.0,85.18468,0.0,0.0,0.0,0.0,0.0,1375.7202,0.0
13310.94,0.0016146818,18275.95,412.6053,676.1691,13.712532,2770.3179,6.431033e-07,0.0,0.0,691.45593,0.083931655,0.0,0.0,347.42926,3.921358e-08,5202.777,0.87711847,642.6248,0.13229418,1845.4973,1.6655942,0.0,0.0,389.62115,3.8790113e-05,0.0,0.0,91.15217,0.0,10.11516,0.0,103.27912,0.0,0.0,0.0,2.2719676,0.0,0.0,0.0,0.035016667,0.0,180.07375,0.0,0.0,0.0,3.7792537,0.0,0.0,0.0,0.058550604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.597889,0.0,0.0,0.0,86.578804,0.0,0.0,0.0,0.0,0.0,1372.1439,0.0
13309.046,0.0016752243,18265.723,412.63803,676.0857,13.703995,2767.2068,5.725186e-07,0.0,0.0,693.57794,0.0838685,0.0,0.0,346.79724,3.1370867e-08,5203.738,0.8634386,643.1981,0.13418655,1842.9877,1.700825,0.0,0.0,391.03787,3.81862e-05,0.0,0.0,92.16467,0.0,9.975858,0.0,103.03094,0.0,0.0,0.0,2.5278118,0.0,0.0,0.0,0.040782277,0.0,179.1956,0.0,0.0,0.0,3.7638671,0.0,0.0,0.0,0.059496976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.178877,0.0,0.0,0.0,86.33879,0.0,0.0,0.0,0.0,0.0,1369.9833,0.0
