STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;4074.426513671875;13315.71875;0.0;3451.932861328125;15280.181640625;1808.600341796875;7263.9111328125;39075.0234375;84269.4453125
1;3917.077392578125;13501.3076171875;0.0;3137.493408203125;14408.97265625;1601.9962158203125;7172.93310546875;38410.38671875;82150.03125
2;3848.642333984375;13271.140625;0.0;3464.818115234375;15011.50390625;1592.49267578125;6972.87451171875;38719.921875;82881.3515625
3;3987.22119140625;13071.0986328125;0.0;3170.91455078125;15610.6298828125;1822.157470703125;7588.03076171875;38116.5703125;83366.5234375
4;4092.816650390625;12634.1591796875;0.0;2844.70458984375;14188.609375;1551.5950927734375;7882.63037109375;37172.88671875;80367.453125
5;3966.76416015625;12896.9072265625;0.0;3239.13427734375;15329.296875;1670.2459716796875;6843.87841796875;36776.73828125;80722.9296875
6;3826.8056640625;13064.95703125;0.0;3134.98974609375;14670.9072265625;1440.2646484375;6929.09521484375;37902.02734375;80968.9375
7;3768.723876953125;13304.8359375;0.0;3430.3642578125;15234.455078125;1482.07373046875;7201.21728515625;37815.6015625;82236.9609375
8;3896.268798828125;13052.0791015625;0.4706658720970154;3351.90673828125;14844.421875;1647.2413330078125;7250.966796875;37654.39453125;81697.84375
9;3620.321044921875;13032.537109375;0.0;3196.22509765625;15406.4951171875;1585.70166015625;7115.83837890625;37684.58984375;81642.03125
10;3382.6455078125;12477.009765625;0.2353329360485077;3197.634033203125;14906.6435546875;1445.29638671875;7006.595703125;36978.63671875;79394.890625
11;3678.2568359375;13013.7470703125;0.0;3224.41796875;14623.7890625;1511.0025634765625;7464.58740234375;38102.26953125;81618.2421875
12;3518.70751953125;12449.6962890625;0.0;3426.7919921875;14696.4462890625;1286.6793212890625;7561.7197265625;37640.3515625;80580.578125
13;3584.808349609375;12046.7294921875;0.0;3535.085693359375;14931.32421875;1533.8681640625;7182.625;38256.91796875;81071.3515625
14;3372.50390625;11495.693359375;0.0;3268.958984375;14482.2197265625;1316.7852783203125;6730.2744140625;37097.0703125;77763.6171875
15;3549.5419921875;11234.017578125;0.0;2958.169189453125;14281.0234375;1367.777587890625;7349.30908203125;37615.6328125;78355.328125
16;3456.638916015625;10804.181640625;0.2353329360485077;3338.896484375;14578.552734375;1394.96533203125;7254.97900390625;37490.81640625;78319.1328125
