STEP;C11;NCL;NP;OCB;OCC;OCM;OCN;ONC;TOTAL
0;2619.32568359375;27567.59765625;2.3533294200897217;2068.42626953125;15802.5810546875;5620.7568359375;2763.62060546875;14622.208984375;71066.5390625
1;2237.460693359375;27599.638671875;1.8826634883880615;1790.1605224609375;15787.84765625;5798.6708984375;2802.603515625;15111.623046875;71129.9453125
2;2306.260986328125;26805.1953125;3.059328079223633;1914.3670654296875;16180.12890625;5498.1044921875;2560.595947265625;15461.5830078125;70729.1796875
3;2197.292724609375;26843.1328125;6.118656635284424;2131.6513671875;15532.12890625;5529.4599609375;2470.17333984375;14483.0625;69192.765625
4;1979.02783203125;26629.302734375;0.7059987783432007;1805.2657470703125;14890.1162109375;5467.84912109375;2458.464111328125;14795.921875;68026.3203125
5;2223.1884765625;26372.84375;3.059328079223633;1812.911376953125;15037.345703125;5659.83349609375;2699.68310546875;15029.8173828125;68838.21875
6;1809.476806640625;26794.744140625;3.529994010925293;1755.875;15151.9140625;5566.47705078125;2498.1884765625;14241.4833984375;67821.3984375
7;1774.8829345703125;26697.98046875;3.529994010925293;1761.01171875;15250.359375;5390.26904296875;2590.96435546875;15055.7734375;68524.390625
8;1898.593994140625;26266.337890625;0.9413317441940308;2001.2974853515625;15294.5439453125;5740.50732421875;2844.526123046875;15317.994140625;69364.3671875
9;1702.6180419921875;25828.876953125;0.9413317441940308;1873.469482421875;14875.9912109375;5662.857421875;2660.226318359375;14637.5908203125;67242.3046875
10;1581.9808349609375;26250.544921875;1.8826634883880615;1740.9927978515625;15123.1015625;5285.853515625;2621.7734375;15124.59375;67730.3046875
11;1653.130615234375;26539.83203125;1.1766647100448608;1463.91015625;15272.4453125;5507.2490234375;2468.567138671875;14823.9384765625;67729.90625
12;1690.622802734375;25974.140625;3.765326976776123;1633.400146484375;15519.6171875;5443.3427734375;2381.083740234375;14022.08984375;66667.609375
13;1676.0426025390625;26094.888671875;0.2353329360485077;1722.2806396484375;15634.421875;5440.27880859375;2715.749755859375;15052.392578125;68335.7890625
14;1669.412353515625;25954.9140625;0.9413317441940308;1831.46337890625;15016.365234375;5433.65625;2643.5869140625;14596.7119140625;67146.5703125
15;1647.504150390625;25455.400390625;1.8826634883880615;1586.259765625;15515.9267578125;5334.650390625;2742.30078125;14964.2900390625;67247.6875
16;1507.430908203125;26169.763671875;2.5886621475219727;1528.888427734375;15515.244140625;5291.232421875;2554.96728515625;14398.626953125;66968.265625
17;1699.0191650390625;26052.314453125;2.3533291816711426;1686.443603515625;15801.3037109375;5143.673828125;2631.677490234375;15617.572265625;68633.8828125
18;1629.81298828125;25696.673828125;1.6473305225372314;1745.6942138671875;15747.705078125;5486.6015625;2636.075927734375;15243.310546875;68187.296875
19;1719.1976318359375;25996.16015625;2.3533294200897217;1655.22900390625;15584.236328125;5200.20068359375;2569.0009765625;15225.6591796875;67951.6015625
20;1585.972412109375;25852.173828125;0.4706658720970154;1719.2369384765625;15651.3876953125;5319.0361328125;2536.0517578125;15842.3388671875;68506.453125
21;1441.3023681640625;26127.0234375;1.1766647100448608;1599.25146484375;14945.2373046875;5439.39306640625;2499.83154296875;15033.966796875;67086.7578125
22;1501.664794921875;25765.3515625;0.2353329360485077;1585.25;15104.419921875;5542.41015625;2580.74853515625;14534.20703125;66613.7890625
23;1389.552978515625;25465.396484375;0.0;1575.68896484375;14713.771484375;5366.939453125;2699.4140625;14654.361328125;65864.7109375
24;1229.7850341796875;25393.458984375;0.4706658720970154;1677.291015625;15110.2392578125;5308.35986328125;2576.00390625;15036.96875;66332.0390625
25;1276.426025390625;25176.55859375;0.2353329360485077;1811.740478515625;15065.00390625;5059.169921875;2479.12353515625;15017.3154296875;65885.125
26;1338.4027099609375;25235.599609375;1.1766647100448608;1779.4163818359375;15284.671875;5416.76708984375;2436.76318359375;15291.587890625;66783.90625
27;1304.208984375;24923.001953125;0.0;1481.8546142578125;15366.484375;5326.57470703125;2240.77685546875;15549.4521484375;66191.8046875
28;1283.6800537109375;25420.212890625;0.4706658720970154;1518.3985595703125;14931.294921875;5201.009765625;2607.841064453125;15126.8134765625;66089.21875
