STEP;C11;NHQ;NP;OCB;OCC;OCH;OCN;ONC;TOTAL
0;3338.927001953125;5873.40283203125;0.0;3303.96923828125;15544.998046875;1780.6646728515625;7575.69482421875;39846.98828125;77264.40625
1;3355.0458984375;5373.1328125;0.0;3048.998291015625;15458.3115234375;2013.287109375;7359.2587890625;37374.60546875;73982.3828125
2;3218.081298828125;5491.9814453125;0.0;2923.47705078125;15438.8369140625;1864.6790771484375;7054.59033203125;38507.3203125;74498.890625
3;3056.681884765625;5313.81396484375;0.0;2942.0751953125;15434.4365234375;1661.433837890625;6988.728515625;39061.45703125;74458.34375
4;3281.626708984375;4953.37060546875;0.2353329360485077;3156.09716796875;15324.7265625;1761.4920654296875;7362.37939453125;39841.69921875;75681.4296875
5;3289.9248046875;4883.4111328125;0.0;2772.846923828125;15382.998046875;1873.1624755859375;7824.4462890625;39974.66015625;76001.2265625
6;3305.898681640625;5050.1376953125;0.0;2883.17822265625;15311.56640625;2114.70556640625;7404.54736328125;40317.58984375;76387.5078125
7;3433.500732421875;4931.24658203125;0.0;2967.387451171875;14962.9970703125;2097.478515625;7079.94140625;39287.05078125;74759.3515625
8;3455.487548828125;4830.98095703125;0.0;2762.73095703125;15293.857421875;2015.8662109375;7333.4052734375;39565.03125;75257.1875
9;2880.45947265625;4387.29833984375;0.0;3020.881103515625;15076.9814453125;1908.424560546875;6990.17724609375;37746.0625;72009.984375
10;2788.48095703125;4147.1123046875;0.0;2593.498291015625;16138.029296875;1900.837890625;7355.0888671875;38418.80859375;73341.4609375
11;2876.900146484375;4320.45947265625;0.7059987783432007;2755.1044921875;15141.09375;1787.9554443359375;7217.99951171875;39228.828125;73328.78125
12;2848.701416015625;4269.74072265625;0.0;2830.151123046875;15667.3251953125;1755.9766845703125;7459.56982421875;39710.49609375;74541.7578125
13;2856.416748046875;4010.798828125;0.0;2795.123779296875;15501.0107421875;1786.330322265625;6837.119140625;39967.828125;73754.3203125
14;2738.637939453125;3786.417724609375;0.0;3092.704345703125;15147.3583984375;1779.0687255859375;7445.30224609375;40007.55078125;73996.7890625
15;2824.5048828125;3648.6298828125;0.0;3114.8583984375;15982.1708984375;1758.58935546875;7701.64111328125;40766.7890625;75797.1875
16;2596.22802734375;3603.9208984375;0.2353329360485077;2945.7802734375;16019.6376953125;1912.0726318359375;7883.85693359375;40283.68359375;75245.2421875
17;2790.63427734375;3796.759765625;0.0;2717.09130859375;15943.9599609375;1747.9888916015625;7532.130859375;40062.39453125;74590.7890625
18;2707.266357421875;4299.41259765625;0.0;2764.3330078125;15713.87109375;1740.114501953125;7262.5087890625;40456.93359375;74944.046875
19;2596.268798828125;4109.6259765625;0.0;2745.47509765625;15108.4228515625;1783.14306640625;6973.69140625;39427.35546875;72743.765625
20;2592.506103515625;3807.733154296875;0.0;2849.827392578125;15099.1748046875;1571.71923828125;7089.34521484375;40556.70703125;73566.8359375
21;2481.436767578125;3645.671142578125;0.0;2616.705810546875;14690.703125;1486.7197265625;7159.3896484375;38939.82421875;71020.0625
22;2684.5595703125;3442.688232421875;0.0;2927.45556640625;14583.4736328125;1796.808349609375;7091.82275390625;40130.7265625;72657.28125
23;2650.297119140625;3562.779296875;0.0;3027.971923828125;15080.9072265625;1449.3599853515625;7474.9228515625;40345.08203125;73591.3203125
24;2363.72412109375;3117.38525390625;0.0;2936.45361328125;15106.9638671875;1461.1280517578125;7241.0849609375;40187.90625;72414.390625
25;2765.491455078125;3237.2998046875;0.2353329360485077;3085.45068359375;15041.9697265625;1623.5283203125;7375.0849609375;41257.75;74386.4921875
26;2356.7958984375;3537.690673828125;0.0;2676.427734375;15229.8740234375;1504.8358154296875;7246.11279296875;39700.94921875;72252.34375
27;2681.35205078125;3621.96630859375;0.0;2693.0576171875;15052.3408203125;1547.9957275390625;7386.513671875;40292.35546875;73275.4609375
28;2579.581298828125;3568.009033203125;0.0;2478.428466796875;14574.83984375;1467.5516357421875;7482.33349609375;39720.98046875;71871.2109375
29;2523.717529296875;3044.788818359375;0.0;2694.80322265625;14329.6962890625;1502.1903076171875;7134.49462890625;40044.74609375;71273.8828125
30;2547.355224609375;3361.005615234375;0.0;2590.537841796875;14993.685546875;1417.107177734375;7649.673828125;40399.55078125;72958.78125
31;2491.4501953125;3091.03173828125;0.2353329360485077;2764.294677734375;15132.865234375;1279.446044921875;7430.99658203125;40351.58203125;72541.6171875
32;2368.297119140625;2986.704833984375;0.0;2819.7587890625;15139.0205078125;1544.7169189453125;7075.84814453125;40770.96875;72705.375
33;2369.11083984375;3322.919189453125;0.0;3104.94287109375;14488.3984375;1527.054443359375;7317.55224609375;40984.61328125;73114.3984375
34;2448.959716796875;3026.1103515625;0.0;2831.00439453125;14775.615234375;1332.69873046875;7895.9033203125;40922.98046875;73233.171875
35;2300.91162109375;2992.61376953125;0.0;2888.133544921875;15164.8623046875;1385.052978515625;7413.38330078125;41085.51953125;73230.3515625
36;2319.2490234375;3027.802978515625;1.8826634883880615;2827.024169921875;14957.29296875;1208.8837890625;7392.56494140625;40786.75390625;72521.1015625
37;2491.232177734375;3158.42578125;0.0;3099.3984375;15597.8935546875;1483.4498291015625;7652.24462890625;42482.82421875;75965.5234375
38;2232.65673828125;3186.630859375;0.0;3027.55810546875;15036.875;1329.183349609375;7550.544921875;40802.92578125;73166.078125
39;2841.769287109375;3167.348388671875;0.0;2890.87890625;16029.6513671875;1209.256591796875;7659.5185546875;40875.5625;74673.6875
40;2612.475830078125;3054.592529296875;0.0;2366.1767578125;14488.0283203125;1231.8603515625;7526.42236328125;38532.80859375;69812.0546875
41;2489.9697265625;2833.1103515625;0.0;2728.482421875;15190.306640625;1217.447021484375;7750.53564453125;39819.92578125;72029.5546875
42;2389.19140625;3016.966064453125;0.0;2880.010009765625;14940.16796875;1287.032470703125;7547.67919921875;40505.828125;72566.9140625
43;2286.685791015625;2988.650146484375;0.0;2973.945556640625;15022.833984375;1176.4981689453125;7503.1904296875;40516.6484375;72468.0390625
44;2504.067138671875;2958.384765625;0.0;2820.084716796875;15453.4287109375;1254.9063720703125;7736.04296875;39953.171875;72679.921875
45;2320.164794921875;3106.751708984375;0.0;2762.7841796875;15401.9326171875;1445.4105224609375;7418.6962890625;41203.14453125;73658.453125
46;2431.039794921875;3373.518310546875;0.0;2622.603759765625;15005.5927734375;1182.687255859375;8034.87646484375;40872.12890625;73522.484375
47;2354.757568359375;3203.245849609375;0.0;2994.527587890625;14750.380859375;1311.157958984375;7566.22900390625;41976.2578125;74156.390625
48;2306.702392578125;3442.441162109375;0.0;2886.840087890625;15374.56640625;1183.1177978515625;7678.1513671875;40922.71875;73794.1640625
49;2193.423828125;3237.3720703125;0.0;2754.557373046875;14945.8037109375;1390.9974365234375;7345.0390625;41272.42578125;73139.28125
50;2169.379638671875;3126.16552734375;0.0;2831.3427734375;15002.18359375;1308.2034912109375;7301.134765625;40858.0703125;72596.171875
51;2085.360595703125;3371.9453125;0.0;2728.06982421875;15560.806640625;1318.3626708984375;7273.673828125;40366.95703125;72704.890625
52;2428.056396484375;3364.157470703125;0.4706658720970154;2966.587646484375;14662.1953125;1178.7701416015625;7507.80029296875;39993.984375;72101.671875
53;2295.2412109375;3437.457275390625;0.0;2982.802001953125;15568.2841796875;1226.4443359375;7782.115234375;40983.15625;74275.4375
54;2175.36083984375;3247.23828125;0.0;2810.64599609375;15203.78125;1170.9105224609375;7644.5400390625;40113.5390625;72365.6875
55;2264.448486328125;3280.716064453125;0.0;3045.4326171875;15384.7724609375;1337.8870849609375;7835.353515625;40254.6484375;73402.9375
56;2319.3173828125;3569.795166015625;0.0;2740.58837890625;14901.396484375;1376.2786865234375;7973.82666015625;40698.0;73578.9140625
57;2254.755126953125;3082.54345703125;0.0;3023.388427734375;15230.048828125;1228.6658935546875;7737.92333984375;40798.1953125;73355.1640625
58;2214.042236328125;3193.6845703125;0.7059987783432007;2816.43212890625;15431.1083984375;1228.3189697265625;7924.158203125;39923.3984375;72731.546875
