STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;2754.6162109375;6.353989124298096;2717.253173828125;20170.267578125;4338.638671875;4630.9794921875;23749.556640625;14889.03515625;73256.578125
1;2561.199462890625;4.706658840179443;2293.572509765625;19743.44140625;4207.0693359375;4726.9375;23598.271484375;14704.337890625;71839.3359375
2;2631.412109375;4.235992908477783;2456.739013671875;20164.43359375;4189.4365234375;4815.080078125;23908.763671875;14352.2626953125;72521.9765625
3;2439.2109375;1.6473305225372314;2361.462646484375;20894.046875;3884.1279296875;4580.27734375;23912.232421875;13728.52734375;71801.375
4;2346.21337890625;1.1766647100448608;2683.0625;19225.806640625;3806.041259765625;4638.53466796875;23297.474609375;14088.1953125;70086.0234375
5;2576.9013671875;2.8239951133728027;2691.0439453125;19834.1796875;3812.94287109375;4686.4970703125;22867.693359375;13822.302734375;70294.0
6;2225.986083984375;9.41331672668457;2691.890380859375;19245.451171875;4168.95849609375;4800.18408203125;23228.072265625;12640.7685546875;69010.1796875
7;2045.1104736328125;5.6479902267456055;2419.126220703125;18801.462890625;4165.70849609375;4455.18603515625;23812.5078125;12650.4970703125;68354.84375
8;2216.1767578125;12.94331169128418;2460.051025390625;19018.388671875;3943.85205078125;4654.3427734375;23906.05859375;12216.646484375;68428.078125
9;1968.1444091796875;11.766647338867188;2276.39892578125;19592.4296875;3909.720703125;4890.81005859375;23964.640625;12416.0703125;69029.609375
10;2158.09716796875;4.471325874328613;2291.34326171875;19723.681640625;4282.41064453125;4680.0751953125;24915.599609375;12288.3193359375;70343.59375
11;2291.166748046875;1.411997675895691;2215.845458984375;20345.521484375;4414.7724609375;4513.4951171875;24153.03125;11568.419921875;69503.1953125
12;2288.726318359375;3.765326976776123;2337.59228515625;20256.0234375;4518.28271484375;4336.18994140625;24094.140625;12119.427734375;69953.734375
13;1992.0665283203125;3.765326976776123;2281.522705078125;19314.521484375;4300.7841796875;4347.45703125;24311.6953125;11757.302734375;68308.65625
14;2045.086669921875;3.765326976776123;2386.4072265625;20402.146484375;4139.4501953125;4334.71240234375;24389.0546875;11420.572265625;69120.90625
15;1957.1414794921875;5.647990703582764;2328.654541015625;19889.1796875;4251.05126953125;4281.623046875;23837.4375;11116.3095703125;67666.484375
16;1733.3896484375;4.000659942626953;2093.742919921875;19909.306640625;4325.44873046875;4611.99462890625;24213.486328125;12069.0654296875;68960.1953125
17;1703.305419921875;7.530653953552246;2497.718017578125;20157.85546875;4273.62548828125;4625.9921875;24287.57421875;11329.375;68882.4921875
18;1721.7889404296875;2.3533294200897217;2112.700439453125;20196.0078125;4551.85009765625;4339.5400390625;24773.998046875;11404.2373046875;69102.2890625
19;1722.3450927734375;3.059328079223633;2431.051513671875;19813.51171875;4623.31787109375;4273.4306640625;24761.8125;11565.529296875;69193.7109375
20;1452.324951171875;1.6473305225372314;2339.471435546875;20230.798828125;4284.9775390625;4240.82861328125;24369.185546875;11682.8681640625;68601.59375
21;1594.7652587890625;3.059328079223633;2166.2578125;20854.322265625;4665.82470703125;4252.38134765625;24493.8359375;11841.0087890625;69871.2421875
22;1789.358642578125;3.059328079223633;2118.899169921875;20960.748046875;4472.9365234375;4403.0390625;24828.806640625;10853.4169921875;69430.0625
23;1442.70361328125;5.8833231925964355;2334.068115234375;21321.666015625;4501.4873046875;4107.3291015625;24560.513671875;10353.7236328125;68627.09375
24;1728.7430419921875;9.883983612060547;2489.5595703125;20363.501953125;4072.45556640625;4095.9111328125;24258.255859375;10530.873046875;67548.8125
25;1629.244873046875;1.6473305225372314;2199.99755859375;20997.99609375;4570.41259765625;4040.494873046875;24422.828125;10327.998046875;68190.3671875
26;1565.094970703125;1.4119975566864014;2391.00439453125;20906.509765625;4386.67041015625;4053.124267578125;25285.5859375;11064.798828125;69653.6953125
27;1560.5933837890625;1.8826634883880615;2041.3330078125;21900.041015625;4300.47412109375;4110.34619140625;25321.619140625;10291.78125;69527.828125
28;1858.148681640625;6.589322566986084;2412.801513671875;21654.966796875;4126.9404296875;3818.236572265625;25552.244140625;10498.859375;69928.421875
29;1513.24169921875;8.471985816955566;2264.756103515625;20634.953125;4403.29296875;3855.30322265625;24656.54296875;9746.8193359375;67083.09375
30;1756.6180419921875;6.824655055999756;2154.856201171875;20999.267578125;4568.2685546875;3841.292236328125;24824.220703125;9614.94140625;67765.953125
31;1553.72607421875;11.5313138961792;2070.866455078125;21491.28515625;4255.48193359375;3962.833740234375;25264.3046875;9173.291015625;67782.8671875
32;1666.915283203125;6.118656158447266;2091.509765625;20730.521484375;4433.607421875;3669.722900390625;24367.19140625;8922.576171875;65887.734375
33;1735.9290771484375;8.471985816955566;2005.1138916015625;20799.45703125;4397.51123046875;3817.948486328125;24349.822265625;9312.736328125;66426.4140625
34;1661.3021240234375;4.471325874328613;1931.518310546875;20529.208984375;4201.38818359375;3590.425048828125;24304.7109375;9739.5947265625;65962.21875
35;1655.9027099609375;2.1179964542388916;2076.060302734375;21225.837890625;4126.05615234375;3814.85888671875;25109.904296875;9012.9404296875;67023.140625
36;1740.03759765625;8.707318305969238;1965.0389404296875;20958.603515625;4674.9931640625;3687.3671875;24303.568359375;9596.6396484375;66934.5234375
37;1606.7059326171875;2.1179964542388916;2156.265625;20586.23828125;4325.95263671875;3704.587646484375;24969.474609375;9095.47265625;66446.34375
38;1650.5865478515625;7.059988498687744;1951.042236328125;20879.150390625;4497.3681640625;4108.197265625;24476.30859375;9288.9521484375;66858.09375
39;1604.9688720703125;8.471985816955566;2186.784912109375;21311.888671875;4503.89013671875;3527.090576171875;24748.646484375;9678.4775390625;67569.8515625
40;1674.1773681640625;4.235992908477783;2079.055419921875;21553.306640625;4260.48095703125;3661.955322265625;24308.193359375;9321.001953125;66862.0390625
41;1788.37646484375;5.1773247718811035;2221.03271484375;22247.23828125;4290.65869140625;3931.316650390625;24851.634765625;9013.3662109375;68348.3046875
42;1717.3514404296875;6.589322566986084;2166.7021484375;21890.087890625;4434.63818359375;3642.044677734375;24896.298828125;9065.8818359375;67819.328125
43;1626.728759765625;3.529994010925293;2233.78857421875;22030.59375;4739.58056640625;3488.91552734375;24453.048828125;9117.0908203125;67692.859375
44;1637.538330078125;7.295321464538574;2302.144775390625;21748.736328125;4736.029296875;3566.488525390625;25265.05078125;9286.4501953125;68549.296875
