STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;1837.0142822265625;0.2353329360485077;2733.147216796875;21387.845703125;2584.381103515625;6099.31201171875;16186.53515625;18553.61328125;69381.8203125
1;1750.9359130859375;0.0;2276.7939453125;21877.435546875;2992.7802734375;5973.96875;15490.1904296875;17818.998046875;68180.609375
2;1786.7486572265625;0.0;2345.0498046875;21544.505859375;2729.500732421875;5875.57080078125;15188.203125;17249.26953125;66718.5546875
3;1629.6573486328125;0.0;2141.89453125;21600.0078125;2590.454345703125;5865.4697265625;16196.890625;17678.537109375;67702.6484375
4;1772.501953125;0.0;2223.05029296875;21347.55859375;2848.125732421875;5521.9951171875;16418.6953125;16879.37890625;67010.6796875
5;1749.2867431640625;0.2353329360485077;2444.046875;22383.34765625;2851.19677734375;5748.31103515625;15769.4140625;15792.8095703125;66738.1796875
6;1553.570556640625;0.0;2433.446044921875;22773.484375;3003.704833984375;6229.13427734375;16521.03515625;16269.001953125;68782.984375
7;1584.0504150390625;0.0;2432.8369140625;22723.900390625;2919.365234375;5702.51416015625;16226.83203125;15946.4287109375;67535.6171875
8;1583.8555908203125;0.0;2112.060546875;22542.99609375;2894.929443359375;6240.5205078125;16339.73828125;16859.599609375;68573.0546875
9;1476.062255859375;0.0;2412.174072265625;22256.18359375;2761.90185546875;6254.66845703125;15989.5615234375;15954.0244140625;67104.34375
10;1793.153076171875;0.0;2300.07666015625;21750.93359375;2893.392822265625;6091.2275390625;16118.6630859375;16382.1884765625;67329.109375
11;1667.5252685546875;0.0;2712.66796875;22031.080078125;2809.59912109375;5496.31884765625;16271.4111328125;16849.703125;67837.9296875
12;1650.4974365234375;0.0;2463.16748046875;22016.0859375;2640.85546875;6066.38671875;15430.6982421875;16167.1728515625;66434.4375
13;1626.71826171875;0.0;2471.123779296875;21953.55078125;3122.91796875;5792.7080078125;16245.6943359375;16390.462890625;67602.671875
14;1921.954833984375;0.0;2282.31884765625;22359.576171875;2956.15283203125;6018.89111328125;16519.861328125;16210.673828125;68269.0546875
15;1742.349365234375;0.0;2453.82177734375;22476.615234375;3070.296875;5758.47265625;16790.14453125;16632.697265625;68924.125
16;1683.6610107421875;0.7059987783432007;2338.51611328125;22936.15234375;3139.794677734375;6424.5126953125;16505.505859375;16660.666015625;69689.28125
17;1491.6917724609375;0.2353329360485077;2532.005615234375;23163.103515625;3069.901123046875;5560.42333984375;16837.595703125;15589.126953125;68243.7578125
18;1409.164306640625;0.0;2109.36962890625;22589.78515625;3260.814208984375;5893.78271484375;16092.9365234375;15008.552734375;66364.046875
19;1209.8590087890625;0.0;2348.550537109375;22035.669921875;2892.3779296875;5326.95751953125;16452.763671875;15432.279296875;65698.1796875
20;1465.630615234375;0.0;2191.2197265625;22150.3671875;3154.522216796875;5429.30419921875;16769.478515625;15493.7939453125;66654.03125
21;1482.7034912109375;0.0;2236.232421875;22499.525390625;2840.45556640625;5594.2529296875;16396.45703125;14990.4638671875;66039.859375
22;1649.22705078125;0.0;2112.228271484375;22520.369140625;2972.986328125;5252.494140625;17141.1640625;15405.9599609375;67054.1640625
23;1541.3394775390625;0.0;2427.80322265625;22550.70703125;2829.828369140625;5406.52392578125;16243.037109375;15309.27734375;66308.203125
24;1520.0400390625;0.0;2346.526123046875;22211.3828125;2756.0654296875;5020.9677734375;16575.564453125;15159.7509765625;65589.7578125
25;1491.322509765625;0.0;2586.44873046875;22523.580078125;2703.160400390625;5561.09033203125;16156.6611328125;15605.4560546875;66627.2421875
26;1531.696044921875;0.0;2412.884765625;22505.283203125;2896.47314453125;5047.1630859375;15992.9814453125;15042.052734375;65428.22265625
27;1517.8939208984375;0.0;2212.956787109375;22517.546875;3366.469482421875;5434.25;15789.57421875;15407.603515625;66245.9765625
28;1299.672607421875;0.0;2198.668212890625;22863.66796875;2978.96240234375;5575.015625;16180.283203125;15580.763671875;66676.625
29;1441.64208984375;0.0;2297.778076171875;22569.00390625;3102.25927734375;5563.79248046875;16469.09375;15584.1748046875;67027.375
30;1368.710693359375;0.0;2456.100830078125;21639.958984375;2607.944580078125;5509.48486328125;16305.119140625;15499.96484375;65386.8515625
31;1582.0743408203125;0.2353329360485077;2367.597412109375;22578.001953125;3053.71240234375;5560.9052734375;16302.662109375;15105.1201171875;66549.796875
32;1385.6920166015625;0.0;2240.95751953125;22638.68359375;2913.201171875;4839.9462890625;16886.69921875;15237.6474609375;66142.4375
33;1687.7366943359375;0.0;2073.69580078125;22947.509765625;2737.96533203125;5368.95947265625;16398.595703125;15462.3251953125;66676.3984375
34;1524.794921875;0.2353329360485077;2130.732421875;23101.654296875;3044.248291015625;5476.45556640625;17027.97265625;14594.3720703125;66900.125
35;1383.406005859375;0.0;2063.366455078125;22233.90234375;2892.687255859375;5438.76171875;16074.6044921875;14542.1376953125;64628.4609375
36;1188.135498046875;0.0;2133.02734375;22393.75;3132.261962890625;5484.94140625;16703.966796875;14779.8310546875;65815.5234375
37;1450.48583984375;0.0;2104.992919921875;22062.15625;3094.410888671875;5374.29541015625;15988.697265625;15625.2333984375;65699.796875
38;1278.363525390625;0.0;2050.279052734375;22692.958984375;2987.2890625;5341.61962890625;16135.6494140625;13794.71484375;64280.30859375
39;1548.658203125;0.0;2218.248291015625;23230.271484375;2797.502685546875;5635.85595703125;16417.021484375;14115.943359375;65962.8125
40;1384.2833251953125;0.0;2210.6533203125;22483.8671875;2991.152587890625;5037.88330078125;16337.5263671875;14513.013671875;64957.859375
41;1532.373046875;0.0;2036.9752197265625;22615.470703125;3023.23388671875;5103.5634765625;16602.53125;15120.076171875;66033.8125
42;1504.797607421875;0.0;1942.86083984375;22490.935546875;2851.59814453125;5323.939453125;16157.8720703125;14482.177734375;64753.64453125
43;1468.407958984375;0.0;1985.28564453125;22117.93359375;2912.20751953125;5072.10302734375;16142.4912109375;14279.0986328125;63977.0859375
44;1198.1630859375;0.0;2108.341064453125;22054.923828125;2785.3818359375;5200.4462890625;16628.74609375;14523.0146484375;64498.703125
45;1299.156982421875;0.0;2308.0380859375;22787.5;2691.740966796875;5468.95654296875;16581.744140625;14361.8740234375;65498.55078125
46;1408.5772705078125;0.0;2193.41748046875;22979.888671875;2772.724853515625;5297.15380859375;16016.900390625;14091.6845703125;64759.94140625
47;1099.04931640625;0.0;2268.5537109375;23021.00390625;2416.13623046875;4972.14697265625;16196.697265625;14235.8017578125;64209.05078125
48;1206.7725830078125;0.0;2172.594482421875;22589.0;2713.30078125;4952.37353515625;17184.927734375;14226.3134765625;65044.76953125
49;1279.8328857421875;0.0;2033.869384765625;23304.892578125;2725.1611328125;5009.73095703125;16610.525390625;13721.1875;64684.625
50;1110.64990234375;0.0;2099.48388671875;22867.388671875;3067.53857421875;4914.11962890625;16245.2685546875;14056.6650390625;64360.59375
51;1047.3021240234375;0.0;2295.772705078125;22850.943359375;2803.767822265625;5026.376953125;16026.7763671875;13939.6845703125;63990.234375
52;1168.7744140625;0.0;2173.6044921875;22689.2109375;2843.935791015625;4845.8330078125;16190.6875;14248.2509765625;64159.94921875
53;1223.2108154296875;0.0;2216.16552734375;22549.1328125;3055.621826171875;5213.14013671875;15852.0283203125;14251.9619140625;64360.80859375
54;1391.62548828125;0.0;2343.761962890625;22496.474609375;3127.240966796875;4705.4228515625;16458.8046875;13885.17578125;64408.03515625
55;1382.8782958984375;0.0;2319.994384765625;22790.099609375;3358.15185546875;4524.36376953125;16322.1123046875;13186.224609375;63883.37890625
56;1332.948486328125;0.0;2123.168212890625;22983.623046875;2797.778076171875;4986.79833984375;16098.8046875;13306.1923828125;63628.9375
57;1326.133544921875;0.0;2032.296142578125;22169.990234375;2964.948486328125;5017.69287109375;16519.98828125;13835.3857421875;63865.9375
58;1243.3775634765625;0.0;1951.517822265625;22654.671875;2972.69091796875;4858.15283203125;16308.5966796875;13959.2568359375;63947.85546875
59;1317.2584228515625;0.0;2150.80517578125;21709.69140625;2988.109619140625;5274.09375;16022.2197265625;14016.650390625;63478.390625
60;1392.655029296875;0.0;2128.292236328125;22727.453125;3166.159912109375;5190.53271484375;16148.4677734375;13509.3076171875;64262.2421875
61;1411.89208984375;0.9413317441940308;2273.440673828125;22946.7578125;3124.441650390625;4445.84033203125;16206.2060546875;13316.099609375;63725.28125
62;1332.9871826171875;1.4119975566864014;2221.971923828125;22685.28125;2845.429931640625;4530.78759765625;16476.244140625;13100.9150390625;63194.71484375
