STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;1787.0478515625;1.8826634883880615;2379.05908203125;24023.654296875;1967.164306640625;6694.42919921875;11775.7421875;20936.900390625;69565.5078125
1;1727.6116943359375;5.412657737731934;2177.14208984375;24660.78515625;2028.2811279296875;6355.14306640625;11674.0791015625;21052.392578125;69680.53125
2;1871.6990966796875;1.8826634883880615;2650.364501953125;24163.900390625;2240.6298828125;6615.3583984375;11634.970703125;21419.712890625;70598.125
3;1495.7127685546875;1.1766647100448608;2493.669921875;24474.63671875;1946.921875;6766.46630859375;12781.1337890625;20948.818359375;70908.3671875
4;1623.106201171875;0.7059987783432007;2404.33544921875;25116.005859375;2310.8232421875;6904.09521484375;12079.546875;20166.759765625;70604.9453125
5;1564.7637939453125;2.1179964542388916;2312.822509765625;23801.48046875;2067.314208984375;6422.2861328125;11610.5869140625;20165.56640625;67946.4375
6;1404.802978515625;0.4706658720970154;2182.581787109375;23388.421875;1894.366455078125;6188.57470703125;11409.2626953125;20278.287109375;66746.296875
7;1608.552490234375;0.7059987783432007;2274.81884765625;22951.73046875;2063.891357421875;6513.451171875;11619.576171875;19689.34765625;66721.796875
8;1735.9310302734375;1.1766645908355713;2087.54052734375;24230.83984375;1907.9149169921875;5925.0244140625;12006.7421875;19215.359375;67110.0234375
9;1518.130859375;3.294661283493042;2079.839599609375;24109.017578125;2108.791015625;6534.63330078125;12426.16796875;19345.82421875;68125.3984375
10;1451.843017578125;1.4119975566864014;2112.60546875;23741.859375;2195.1142578125;6088.60107421875;12360.8173828125;19645.201171875;67597.203125
11;1401.486328125;2.8239951133728027;2189.79638671875;23929.125;1793.0401611328125;6275.10498046875;12119.4169921875;18937.302734375;66647.609375
12;1328.4710693359375;0.0;1895.757080078125;24135.677734375;1652.4549560546875;6269.96240234375;12132.87109375;18844.953125;66259.5859375
13;1191.368896484375;2.1179964542388916;1842.939697265625;23903.296875;2295.392333984375;5666.19921875;12062.125;18497.19921875;65459.95703125
14;1298.33251953125;3.294661045074463;1896.4598388671875;23934.58203125;2063.81982421875;6256.71337890625;12278.4482421875;18253.255859375;65984.40625
15;1466.626708984375;3.294661045074463;2202.541015625;23987.080078125;2274.119873046875;6111.60888671875;11980.22265625;18988.595703125;67013.734375
16;1236.1636962890625;1.1766647100448608;1957.9151611328125;24149.89453125;1987.5928955078125;6194.33642578125;11736.9638671875;18792.396484375;66055.9453125
17;1430.52294921875;1.1766647100448608;2229.33642578125;23859.662109375;2306.587890625;6028.36328125;12367.3740234375;17964.166015625;66186.6875
18;1377.822998046875;0.0;2265.25537109375;23723.0390625;2116.323974609375;6130.572265625;12507.0361328125;18046.392578125;66165.9140625
19;1279.925537109375;0.0;2057.146240234375;24040.6953125;2130.839111328125;6392.4267578125;11611.716796875;18610.794921875;66123.0703125
20;1158.9241943359375;0.7059987783432007;2011.9354248046875;23418.513671875;2116.355712890625;6614.34765625;11740.8388671875;17871.8359375;64933.07421875
21;1325.0830078125;7.765986919403076;2338.89208984375;23987.248046875;1937.29541015625;6538.31201171875;12205.6484375;18072.056640625;66411.8828125
22;1340.17578125;0.2353329360485077;2215.319580078125;23895.125;1972.7874755859375;5830.76025390625;11800.1611328125;17647.587890625;64701.87109375
23;1170.0181884765625;4.000659942626953;2066.008056640625;23980.494140625;1839.8856201171875;5985.775390625;11527.826171875;17604.8984375;64178.453125
24;1280.9305419921875;4.941991806030273;2048.905517578125;24176.927734375;2057.37548828125;6270.9384765625;11381.615234375;18553.68359375;65775.03125
25;1275.9599609375;0.4706658720970154;1874.4296875;23307.810546875;2111.47412109375;5895.1689453125;12151.82421875;18185.658203125;64802.1171875
26;1264.77197265625;2.5886621475219727;2097.99658203125;23792.91015625;1932.3804931640625;6164.6220703125;11705.337890625;17318.623046875;64278.890625
27;1309.5582275390625;2.1179964542388916;1968.6793212890625;23725.951171875;2124.71875;5592.81005859375;11136.439453125;17959.607421875;63819.4296875
28;1247.1585693359375;1.1766647100448608;2118.31103515625;23914.626953125;1965.138671875;5650.619140625;12283.11328125;16566.32421875;63745.8984375
29;1383.7607421875;0.0;2059.4189453125;23906.724609375;2187.91845703125;6106.818359375;11660.0009765625;16429.39453125;63733.58203125
30;1200.8658447265625;0.9413317441940308;2301.55517578125;24513.94921875;1969.7159423828125;6348.314453125;12010.841796875;15677.8701171875;64023.59375
31;1273.049560546875;1.1766647100448608;2035.4349365234375;24916.513671875;2085.98486328125;6303.2314453125;11912.341796875;16420.205078125;64947.47265625
32;1195.9595947265625;0.4706658720970154;2208.97705078125;25351.052734375;1900.6846923828125;6386.5693359375;12241.6083984375;15899.048828125;65183.8359375
33;1241.7100830078125;0.9413317441940308;2040.142333984375;24844.400390625;2032.65625;6199.08740234375;11542.9169921875;16230.2880859375;64131.625
34;1170.7783203125;1.4119975566864014;2048.724853515625;24646.294921875;1874.753662109375;6095.15234375;11743.7001953125;16764.21875;64344.5546875
35;1000.724853515625;0.7059987783432007;2108.864501953125;23569.015625;2071.35400390625;6024.283203125;12070.2548828125;16644.15625;63488.87890625
36;956.3726196289063;0.2353329360485077;1800.938720703125;24563.484375;2204.048828125;6111.70263671875;11789.240234375;16254.0654296875;63679.65625
37;989.1227416992188;0.4706658720970154;1831.6005859375;24797.666015625;1976.387939453125;6345.84130859375;11962.5009765625;16571.166015625;64474.40625
38;1226.677001953125;0.2353329360485077;1939.2705078125;25323.19921875;2144.85400390625;5850.65478515625;12065.92578125;16761.494140625;65311.9375
39;1088.5391845703125;1.4119975566864014;1965.18994140625;25739.423828125;2377.423583984375;6226.35546875;12387.646484375;16942.138671875;66727.6484375
40;1059.5362548828125;0.0;2016.7548828125;24812.205078125;2238.61572265625;6044.68310546875;12149.8408203125;15928.4482421875;64249.66015625
41;1177.6505126953125;0.2353329360485077;1951.904296875;25085.09375;2045.6654052734375;5780.51220703125;11772.8349609375;16322.4912109375;64135.8671875
42;1337.6910400390625;0.9413317441940308;1869.244873046875;24856.798828125;2025.8636474609375;6269.67333984375;12424.07421875;15414.9345703125;64198.640625
43;1320.9798583984375;0.4706658720970154;2068.302978515625;25273.53125;1968.7021484375;6082.24853515625;12292.703125;15712.7177734375;64719.16796875
44;1156.477294921875;1.6473305225372314;1818.891357421875;24702.763671875;2053.799560546875;6005.72802734375;12172.3876953125;15443.0;63354.109375
45;1123.959716796875;0.2353329360485077;1867.36328125;24668.587890625;1980.261962890625;6041.69287109375;11783.931640625;15937.92578125;63403.55859375
46;988.9017944335938;1.6473305225372314;1781.00732421875;24943.44140625;2125.872802734375;5549.14794921875;12193.7236328125;15901.3173828125;63484.55078125
47;1030.628662109375;0.7059987783432007;1797.82666015625;25653.845703125;1897.4620361328125;6117.7880859375;12415.7451171875;15762.36328125;64675.79296875
48;1115.691162109375;0.0;1619.4278564453125;25176.1171875;2076.723388671875;5838.01123046875;11958.298828125;15715.2138671875;63498.92578125
49;1106.607666015625;0.0;1829.1566162109375;25636.830078125;2141.941162109375;5847.75244140625;11853.625;15247.5927734375;63663.29296875
50;1192.679443359375;0.0;1850.3385009765625;25505.130859375;2155.576416015625;5484.71484375;12090.7744140625;15900.6396484375;64179.171875
51;1171.2957763671875;0.0;1975.5924072265625;24984.080078125;2010.127685546875;5675.99267578125;11787.8623046875;15592.326171875;63196.78515625
52;985.9115600585938;0.2353329360485077;1868.5447998046875;24385.330078125;2334.538330078125;5743.11669921875;12016.2451171875;15384.1689453125;62717.765625
53;1019.64501953125;0.0;1727.9600830078125;24663.662109375;2187.607421875;5391.32958984375;12286.541015625;15464.642578125;62740.78125
54;1119.7247314453125;0.4706658720970154;1849.7275390625;24372.212890625;2170.54052734375;5387.09423828125;11483.9794921875;15635.9453125;62019.21875
55;1089.8946533203125;0.9413317441940308;1795.5277099609375;25423.376953125;1807.992919921875;5270.279296875;11674.6259765625;15183.3740234375;62245.56640625
56;1051.1231689453125;0.0;1778.9990234375;25166.86328125;2056.866455078125;5097.4150390625;11979.3466796875;15390.4873046875;62520.77734375
57;985.1528930664063;0.2353329360485077;1885.4508056640625;24083.486328125;2172.531005859375;5502.3115234375;12376.525390625;15927.6962890625;62933.11328125
58;919.7620239257813;0.2353329360485077;1879.3121337890625;24220.541015625;2072.685791015625;5380.80615234375;12460.537109375;15932.9921875;62866.375
59;1045.6953125;0.2353329360485077;1913.9573974609375;24208.76953125;2157.89013671875;5620.255859375;12043.638671875;15321.2548828125;62311.2421875
60;1078.5576171875;1.411997675895691;2010.3955078125;24503.130859375;2174.107666015625;5472.42822265625;12931.353515625;15603.09765625;63773.9609375
61;785.1709594726563;0.9413317441940308;1621.1939697265625;23295.58984375;2070.8974609375;5373.30908203125;12201.267578125;15463.970703125;60811.8828125
62;878.339111328125;0.0;1892.6226806640625;23745.16796875;1930.937255859375;5484.046875;12725.744140625;15457.271484375;62113.578125
63;887.4003295898438;1.8826634883880615;1677.53369140625;23702.8671875;2022.8245849609375;5456.10302734375;12664.2890625;15573.708984375;61986.1484375
64;996.34619140625;0.2353329360485077;1778.5009765625;23572.212890625;1953.2158203125;5725.5224609375;12624.7197265625;14397.1865234375;61047.46484375
65;880.3400268554688;0.4706658720970154;1800.9085693359375;23545.8125;2041.5599365234375;6040.16650390625;12717.1318359375;15697.130859375;62723.1875
66;917.2033081054688;0.0;1732.5701904296875;23497.984375;2104.54052734375;5889.38037109375;12388.34765625;15959.451171875;62489.0703125
67;873.6814575195313;1.1766647100448608;1710.7802734375;23956.298828125;2203.583251953125;5864.5927734375;12398.5302734375;15331.072265625;62339.296875
68;850.6471557617188;0.0;1849.2137451171875;24325.87890625;2190.863525390625;5609.36962890625;12254.939453125;15259.4150390625;62339.984375
69;810.8180541992188;2.1179964542388916;2029.199462890625;24705.9609375;2370.43798828125;6247.92333984375;13037.2255859375;15147.126953125;64350.1484375
70;878.9640502929688;0.0;1799.659912109375;23928.123046875;2290.513671875;6009.53857421875;12112.416015625;15985.919921875;63004.66015625
71;979.3760986328125;0.0;1789.024658203125;24146.791015625;2356.71875;5879.08349609375;12576.8935546875;16616.857421875;64344.34765625
72;937.9248657226563;1.1766647100448608;1949.208984375;23979.00390625;2260.34130859375;6009.75732421875;12303.861328125;15222.23046875;62663.0
73;910.3003540039063;0.2353329360485077;1843.93359375;24144.58984375;2216.94873046875;5767.482421875;13160.4482421875;15570.4677734375;63614.05859375
74;837.0903930664063;0.0;1693.96142578125;23687.0234375;2373.51171875;5773.04443359375;12884.580078125;16228.32421875;63477.34765625
75;918.4207153320313;0.0;1886.60693359375;22810.84765625;2395.351318359375;6402.0107421875;13527.892578125;15304.7236328125;63245.5859375
76;814.5169067382813;0.2353329360485077;1752.0208740234375;23628.685546875;2287.478271484375;5935.20166015625;12932.2255859375;15442.0087890625;62791.9375
77;865.9375;0.0;1819.933349609375;23238.783203125;2454.353515625;5647.21142578125;12703.6748046875;15113.986328125;61843.4609375
78;847.8806762695313;0.9413317441940308;1881.920654296875;23259.8515625;2490.1728515625;5923.1533203125;12826.6513671875;14785.662109375;62015.82421875
79;789.498046875;0.0;1853.46923828125;23564.888671875;2441.689208984375;5725.23828125;13489.6708984375;14838.6455078125;62702.671875
80;782.7738037109375;0.0;1703.77880859375;23820.12109375;2341.4677734375;5701.935546875;13352.498046875;14749.83203125;62451.984375
81;845.9087524414063;1.4119975566864014;2139.89794921875;23804.33203125;2328.829833984375;5585.39794921875;13209.5009765625;15301.248046875;63216.03125
82;918.5232543945313;0.0;1903.24609375;23390.341796875;2635.54736328125;5503.263671875;13462.4755859375;15151.3974609375;62964.3671875
83;972.82666015625;0.0;1755.9476318359375;24478.75;2328.9521484375;5663.79638671875;12856.974609375;15866.4912109375;63923.32421875
84;740.4288940429688;0.2353329360485077;1866.6612548828125;23497.912109375;2214.325439453125;5870.90576171875;12835.5830078125;15850.8525390625;62876.5078125
85;942.0838012695313;0.2353329360485077;1734.4617919921875;24269.498046875;2265.05859375;5653.01025390625;13041.671875;15304.5390625;63210.1640625
86;796.3800659179688;0.0;1854.608642578125;23980.8984375;2261.347900390625;5741.8720703125;13069.5947265625;16054.8095703125;63759.1484375
87;976.5225219726563;0.0;1873.7333984375;23752.9140625;2252.779296875;5926.537109375;12733.3125;16700.453125;64215.859375
88;946.8566284179688;0.2353329360485077;2018.000732421875;23924.740234375;2399.51220703125;5535.44189453125;13902.0830078125;16521.3984375;65247.92578125
89;920.6871948242188;0.4706658720970154;1870.24365234375;23864.255859375;2531.8134765625;5624.53271484375;12843.5;15972.3115234375;63627.49609375
