STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;2026.9921875;0.0;2078.343505859375;23349.009765625;1936.2122802734375;7241.01416015625;11640.3564453125;20667.4609375;68938.8984375
1;2159.110107421875;0.4706658720970154;2279.399169921875;22109.234375;1779.0615234375;7514.6953125;11398.7568359375;22321.099609375;69561.3984375
2;2226.526123046875;0.0;2065.056396484375;22393.9375;1951.83349609375;7260.2734375;10805.1279296875;20759.3359375;67461.5625
3;1962.731201171875;0.0;2344.152587890625;22760.63671875;1873.5924072265625;7099.34912109375;12041.4296875;21379.3671875;69460.953125
4;2148.15625;0.0;2139.031982421875;23282.388671875;1967.1409912109375;7189.658203125;11697.1865234375;21235.001953125;69658.2421875
5;2111.467529296875;0.0;2215.245361328125;22983.89453125;1901.130615234375;6719.7451171875;11755.1064453125;21128.87890625;68815.109375
6;1965.3548583984375;0.0;1870.7252197265625;23414.236328125;1998.213134765625;7052.4599609375;11703.4833984375;21048.81640625;69052.8125
7;1607.586669921875;0.0;2122.822509765625;23389.052734375;2026.3800048828125;7086.2861328125;12299.6572265625;20566.837890625;69098.296875
8;1732.4356689453125;0.0;2214.809814453125;22727.923828125;1922.828369140625;7152.51025390625;11548.5625;20343.708984375;67642.1640625
9;1816.5596923828125;0.0;2014.6126708984375;22986.77734375;1843.376953125;6602.36962890625;11865.94140625;19488.5859375;66617.90625
10;1570.6630859375;1.1766647100448608;2053.994140625;23093.455078125;2061.703369140625;7019.37109375;11912.7451171875;19341.982421875;67054.6171875
11;1676.146728515625;0.0;2164.2236328125;23143.703125;2119.17529296875;6703.8212890625;11876.287109375;18755.1015625;66437.9921875
12;1517.85302734375;0.0;2138.101806640625;23372.193359375;2332.332763671875;6520.87939453125;11315.7373046875;18842.66015625;66039.5
13;1623.29541015625;0.0;2022.5980224609375;24195.947265625;2096.783447265625;6688.794921875;11936.236328125;19060.947265625;67624.28125
14;1439.200439453125;0.0;1805.9388427734375;22662.443359375;1986.9322509765625;6577.064453125;12102.01171875;18863.0703125;65436.078125
15;1645.18115234375;0.0;2040.2955322265625;23726.70703125;2253.411865234375;6864.37158203125;12211.9560546875;18650.904296875;67392.28125
16;1411.3072509765625;0.0;2186.51611328125;24486.86328125;2043.05126953125;6400.103515625;12715.37109375;18938.955078125;68181.78125
17;1514.8115234375;0.0;1857.260498046875;23765.615234375;1869.5972900390625;6718.24658203125;11877.8173828125;19110.8046875;66713.390625
18;1524.421630859375;0.0;1747.2640380859375;22439.8203125;2049.2900390625;6420.43408203125;11834.966796875;19257.98828125;65273.64453125
19;1342.8377685546875;0.0;1907.3436279296875;22986.658203125;2226.32666015625;6687.06884765625;12212.37890625;18861.232421875;66223.421875
20;1419.6900634765625;0.7059987783432007;1917.4407958984375;23524.171875;2137.828369140625;6519.6962890625;11996.8623046875;19049.380859375;66565.3359375
21;1375.8079833984375;0.0;1798.221435546875;23049.384765625;2119.120361328125;6331.244140625;12038.208984375;19561.50390625;66273.1484375
22;1206.9521484375;0.0;1523.109130859375;22264.740234375;2014.7689208984375;6614.6728515625;12195.806640625;19481.470703125;65301.08203125
23;1218.021728515625;0.0;1736.0245361328125;22884.08984375;2113.938720703125;6264.76025390625;12406.48046875;18741.779296875;65364.7265625
24;1290.0238037109375;0.0;1840.3536376953125;23290.736328125;1874.09814453125;6433.30078125;12067.634765625;19719.126953125;66514.7109375
25;1199.356201171875;0.0;1778.0498046875;22785.806640625;1917.168701171875;6663.5009765625;12128.92578125;19036.30078125;65508.51171875
26;1279.3759765625;0.0;1732.375732421875;22448.1171875;1952.9346923828125;6010.27099609375;11820.0068359375;18615.38671875;63858.05078125
27;1167.52392578125;0.0;1663.9754638671875;22878.61328125;2100.895263671875;5983.75927734375;12064.734375;18279.5078125;64138.53515625
28;1494.4085693359375;0.0;1930.3253173828125;24158.365234375;1937.513427734375;6131.767578125;11995.5966796875;18542.173828125;66189.5625
29;1559.6602783203125;0.0;1942.6552734375;23497.0;1956.5419921875;6485.83349609375;12349.9716796875;17921.236328125;65712.453125
30;1676.6995849609375;0.4706658720970154;1818.2796630859375;23088.88671875;2305.777587890625;6257.00341796875;12159.21484375;17615.654296875;64921.3671875
31;1767.1103515625;0.0;1812.087158203125;24109.998046875;2253.103515625;6335.0712890625;12403.0849609375;17421.7265625;66101.5234375
32;1514.935546875;0.0;1820.70751953125;23247.69140625;2115.27294921875;6182.46435546875;12565.8251953125;17598.498046875;65045.01171875
33;1482.97802734375;0.0;2054.825927734375;23011.931640625;2294.632568359375;6295.5595703125;12486.7080078125;17839.1171875;65465.296875
34;1530.7113037109375;0.0;1849.220703125;23635.994140625;2283.391357421875;6192.49951171875;12214.576171875;18074.283203125;65780.2734375
35;1347.295166015625;0.0;1725.8953857421875;21980.4296875;2412.61669921875;6226.8095703125;12344.8994140625;17326.53125;63364.21484375
36;1429.9464111328125;0.0;1978.8955078125;23253.302734375;2306.975830078125;5819.21435546875;11767.734375;16681.75;63237.55859375
37;1362.69384765625;0.9413317441940308;2000.2650146484375;23046.03125;2133.25927734375;5922.82470703125;12246.80859375;16596.6015625;63309.07421875
38;1390.5771484375;0.0;1909.7738037109375;23621.681640625;2284.7626953125;5778.70458984375;12509.2314453125;17064.658203125;64559.015625
39;1287.55712890625;0.0;1919.1376953125;23499.845703125;2057.137939453125;6238.87841796875;12269.1689453125;16476.810546875;63748.1875
40;1473.099365234375;0.0;1751.8521728515625;23241.6484375;2055.350341796875;5977.75439453125;11865.5751953125;16898.18359375;63263.03515625
41;1242.2908935546875;0.0;1788.69580078125;23788.91796875;2258.744140625;5814.73828125;12657.677734375;16539.107421875;64089.8046875
42;1315.361083984375;0.0;1908.447021484375;24842.99609375;2456.0693359375;5906.27490234375;12570.9912109375;16400.76171875;65400.57421875
43;1244.1695556640625;0.0;1858.2442626953125;23699.767578125;2175.4052734375;5851.6083984375;12485.2724609375;16539.40234375;63853.28125
44;1160.3304443359375;0.0;1739.4290771484375;23804.154296875;2043.48779296875;5556.31787109375;12565.189453125;16813.029296875;63681.43359375
45;1003.4932861328125;0.0;1763.32373046875;23582.578125;2484.64794921875;6179.9755859375;12859.58203125;16194.9033203125;64068.0859375
46;995.1298828125;0.0;1729.7091064453125;24200.7890625;2292.214599609375;5780.26708984375;12939.1044921875;16643.68359375;64580.44921875
47;1010.8833618164063;0.0;1798.3201904296875;24088.330078125;2372.6201171875;5851.25390625;12729.65625;16129.744140625;63980.56640625
48;1166.6453857421875;0.0;1934.3389892578125;23691.41015625;2544.625732421875;5950.984375;12932.2490234375;16167.8525390625;64387.66015625
49;1088.30029296875;0.7059987783432007;1748.8135986328125;23905.23046875;2135.44677734375;5752.71923828125;12556.3193359375;15706.521484375;62893.53515625
50;1030.775634765625;0.0;1761.7042236328125;23893.740234375;2379.529541015625;5771.80859375;12682.22265625;15486.0400390625;63005.375
