STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
0;4210.970703125;0.2353329360485077;2754.2685546875;15504.3271484375;3700.846435546875;3474.154296875;19963.009765625;45553.546875;95161.8125
1;4094.204345703125;0.4706658720970154;2897.736328125;15580.6708984375;3521.384033203125;3403.54931640625;19640.564453125;45539.83984375;94679.671875
2;3935.5439453125;0.2353329360485077;2944.755126953125;15312.95703125;3404.10791015625;3474.93359375;19208.453125;45705.21484375;93987.0078125
3;3910.7099609375;1.1766647100448608;2846.08935546875;15186.421875;3592.875;3257.5009765625;19567.564453125;44082.63671875;92445.84375
4;3626.44775390625;0.9413317441940308;3124.311767578125;15212.2607421875;3703.384765625;3456.78759765625;19133.0703125;44684.04296875;92942.1171875
5;3387.41650390625;0.0;2630.267333984375;15162.0478515625;3433.858642578125;3375.087890625;20126.580078125;44915.703125;93031.5546875
6;3378.130126953125;0.7059987783432007;2525.591796875;15081.23046875;3334.37646484375;3256.782958984375;19609.904296875;43628.71484375;90816.1875
7;3404.109375;0.4706658720970154;2600.42724609375;15121.7470703125;3579.10546875;3560.963623046875;19852.716796875;43331.25390625;91451.390625
8;3364.08056640625;0.0;2616.1953125;15218.6201171875;3767.97509765625;3555.266357421875;19408.9453125;43806.35546875;91737.9609375
9;3183.693359375;0.0;2568.7265625;14949.0419921875;3545.194580078125;3437.960205078125;19447.21875;43499.765625;90631.75
10;3041.318359375;0.4706658720970154;2604.4599609375;15292.771484375;3703.94677734375;3365.59228515625;19354.3984375;42301.89453125;89665.453125
11;3020.701171875;0.2353329360485077;2617.125732421875;15074.2431640625;3862.7119140625;3601.122802734375;19961.927734375;42646.63671875;90785.0703125
12;2821.989013671875;0.0;2602.9267578125;15255.5634765625;3505.2109375;3510.140380859375;19534.107421875;42442.84765625;89673.234375
13;2998.557373046875;0.4706658720970154;2727.492919921875;15471.7509765625;3622.7734375;3441.296875;19083.265625;42679.2265625;90025.6171875
14;2886.1513671875;1.1766645908355713;2814.769287109375;15438.333984375;3512.14501953125;3512.93701171875;19511.853515625;42896.125;90574.046875
15;2814.923583984375;0.4706658720970154;2516.055419921875;14811.90234375;3478.000244140625;3433.636474609375;19238.62890625;42439.109375;88733.4765625
16;2956.02734375;0.2353329360485077;2616.543212890625;15300.634765625;3235.151611328125;3404.486572265625;19460.232421875;42354.87109375;89329.0625
17;3044.998046875;2.3533291816711426;2719.825927734375;14668.9306640625;3568.70849609375;3297.75;19270.68359375;42865.77734375;89439.7578125
18;2788.561767578125;0.7059987783432007;2717.67578125;14938.5009765625;3210.43017578125;3695.1396484375;18542.095703125;42189.60546875;88083.234375
19;2861.462890625;0.9413317441940308;2835.31884765625;14315.9638671875;3491.826904296875;3565.08203125;18999.88671875;41789.0;87860.3203125
20;3003.882080078125;2.1179964542388916;2800.669921875;14584.1708984375;3468.112548828125;3540.562255859375;19088.5859375;42467.90234375;88956.3203125
21;2999.140869140625;1.6473305225372314;2783.84130859375;14504.1943359375;3771.25439453125;3421.7763671875;19476.865234375;42433.85546875;89393.28125
22;2865.541015625;0.2353329360485077;2572.37158203125;14754.642578125;3354.350830078125;3230.82373046875;18988.923828125;41805.60546875;87573.0546875
23;2624.21484375;0.0;2687.251708984375;14383.3369140625;3243.506591796875;3287.056396484375;18978.775390625;41628.4609375;86832.7890625
24;2741.5849609375;0.4706658720970154;2500.06396484375;14839.939453125;3400.56591796875;3398.688720703125;18853.60546875;40587.53125;86322.6015625
25;2627.693115234375;0.2353329360485077;2554.1005859375;13990.515625;3202.71435546875;3306.4755859375;18598.974609375;40572.84375;84853.90625
26;2641.015380859375;0.0;2417.50341796875;13860.3974609375;3479.921630859375;3443.028076171875;18820.4140625;40327.6796875;84990.2109375
27;2204.32080078125;0.2353329360485077;2554.621337890625;13869.2861328125;3505.666259765625;3406.4560546875;18484.47265625;41149.92578125;85175.1484375
28;2202.5361328125;0.7059987783432007;2569.07373046875;13465.47265625;3615.28271484375;3511.6826171875;18976.509765625;41327.375;85669.2421875
29;2320.19677734375;0.9413317441940308;2672.936279296875;13887.1787109375;3410.678466796875;3054.46875;18778.646484375;40397.125;84522.78125
30;2645.127685546875;0.4706658720970154;2564.145751953125;13902.421875;3394.962646484375;3253.292724609375;18816.623046875;40422.58984375;85000.078125
31;2267.939697265625;0.2353329360485077;2463.364013671875;13556.685546875;3561.3974609375;3265.982421875;18442.87890625;40766.87890625;84325.6953125
