STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
0;4022.7255859375;0.4706658720970154;3246.20068359375;16433.689453125;3732.955078125;3232.236572265625;18910.099609375;44988.828125;94568.1484375
1;4089.915771484375;0.4706658720970154;3221.478759765625;16611.724609375;3626.373779296875;3210.196533203125;19047.18359375;44491.4453125;94299.6953125
2;4316.96142578125;0.0;3179.624267578125;15985.3544921875;3547.76123046875;3392.856689453125;19168.888671875;43852.625;93444.7265625
3;4113.02587890625;0.0;2938.122802734375;16338.736328125;3881.715087890625;3124.5546875;20260.541015625;44018.015625;94675.4921875
4;3662.651123046875;0.2353329360485077;3020.96044921875;15597.060546875;3657.21630859375;3095.265625;20293.205078125;44029.65234375;93356.71875
5;3860.129150390625;0.4706658720970154;3082.32421875;15666.0732421875;3818.291015625;3422.202880859375;19691.947265625;44296.3515625;93838.3671875
6;3904.84765625;0.0;3166.2744140625;16233.9892578125;3785.744384765625;2952.80419921875;19456.45703125;43349.00390625;92849.9921875
7;3304.892333984375;0.0;2976.50927734375;15622.203125;3561.708984375;3050.57861328125;18466.900390625;43737.5234375;90721.0859375
8;3341.138671875;0.2353329360485077;2896.835693359375;15474.09765625;3405.454345703125;3023.369140625;20230.71875;44032.23828125;92404.609375
9;3369.350341796875;0.0;3070.586669921875;15856.748046875;3494.222900390625;2895.2529296875;20450.236328125;43231.7578125;92368.9765625
10;3363.329833984375;0.0;2929.21923828125;14861.197265625;3549.253173828125;2778.306640625;20487.625;42845.87109375;90815.4765625
11;3001.724365234375;0.0;2731.02734375;15413.3291015625;3845.490966796875;2854.354248046875;21130.087890625;42421.28515625;91397.890625
12;2743.79443359375;0.0;2791.2587890625;15062.3984375;3360.184326171875;2874.3818359375;20386.50390625;42910.8828125;90129.90625
13;2642.892578125;3.294661045074463;2790.264892578125;15004.404296875;3604.36962890625;2989.6396484375;20059.806640625;43025.98046875;90121.0703125
14;2869.10546875;0.0;3007.900146484375;14598.578125;3614.409423828125;2883.907470703125;20403.703125;43241.6875;90619.9609375
15;3062.989013671875;0.0;2896.001953125;14647.2177734375;3792.821044921875;2876.32861328125;20830.48828125;42556.23046875;90662.578125
16;2801.871337890625;0.0;2891.65771484375;14466.2607421875;3826.23876953125;2886.949462890625;19364.541015625;41702.28125;87940.0390625
17;3061.033935546875;0.0;2833.48095703125;14867.37109375;3759.706298828125;2994.162353515625;19823.025390625;41822.0234375;89161.1875
18;2765.893798828125;0.0;2657.462646484375;14818.6533203125;3819.843017578125;3034.927978515625;20266.126953125;41954.2109375;89317.3125
19;2543.29541015625;0.0;2665.81298828125;14677.1162109375;4012.755615234375;3052.73486328125;19667.947265625;41760.92578125;88381.140625
20;2594.10400390625;0.0;2618.84130859375;14407.25;3840.26416015625;2789.61474609375;19683.962890625;41583.4296875;87518.1171875
21;2570.41552734375;0.0;2502.46923828125;14338.3935546875;3797.317138671875;2567.6640625;20068.607421875;41118.22265625;86963.5625
22;2532.719482421875;0.0;2583.84375;14114.4814453125;3860.670654296875;2571.357421875;20277.72265625;42335.5859375;88276.5
23;2531.255859375;0.0;2438.94580078125;13939.767578125;3665.902099609375;2542.751220703125;20364.078125;41735.71875;87218.6796875
24;2452.027099609375;0.0;2356.322021484375;13101.1484375;3413.958251953125;2348.71826171875;19190.328125;41296.26171875;84159.3203125
25;2425.858154296875;0.0;2453.04052734375;14005.09765625;3736.73291015625;2559.258056640625;20161.54296875;40808.28515625;86150.3203125
26;2635.875244140625;0.0;2717.76220703125;13426.6259765625;4105.4755859375;2663.6513671875;20422.212890625;41008.328125;86980.484375
27;2484.588623046875;0.0;2431.941650390625;13468.9697265625;3439.719482421875;2682.870361328125;19579.734375;40373.1953125;84461.2421875
28;2490.97705078125;0.0;2510.591552734375;13142.6953125;3481.402099609375;2442.72705078125;20179.01171875;41159.69140625;85407.09375
29;2579.308349609375;0.0;2565.58642578125;13229.2431640625;3836.638427734375;2846.66650390625;20247.650390625;40655.8125;85961.21875
30;2315.18994140625;0.0;2684.117431640625;13531.5224609375;4077.865478515625;2587.87451171875;19634.8828125;40085.86328125;84917.640625
31;2395.119873046875;0.4706658720970154;2565.04296875;13882.7861328125;3945.935546875;2890.30224609375;20183.5703125;39303.31640625;85167.046875
32;2522.484375;0.0;2670.972412109375;14108.8798828125;3861.113525390625;2723.417236328125;20057.322265625;39773.72265625;85718.3125
33;2581.725341796875;0.0;2527.37060546875;13945.0595703125;3907.76806640625;2610.739013671875;20094.525390625;40118.8125;85786.375
34;2261.648681640625;0.0;2477.65185546875;13387.7724609375;3947.331787109375;2805.083251953125;19944.517578125;39538.7421875;84362.9765625
35;2007.7491455078125;0.0;2427.560791015625;13195.373046875;3573.642333984375;2541.55126953125;19499.478515625;40307.6796875;83553.2890625
36;2133.153564453125;0.0;2497.8359375;13278.42578125;3722.208740234375;2664.2880859375;19954.306640625;40285.24609375;84535.8046875
37;2268.9404296875;0.0;2535.4091796875;13131.0283203125;3774.076416015625;2605.02685546875;20078.638671875;40366.3984375;84759.78125
38;2242.567626953125;0.4706658720970154;2562.61669921875;12715.7724609375;3630.070556640625;2545.442626953125;20613.94140625;40082.40625;84393.4609375
39;2496.650146484375;0.0;2686.323974609375;12821.236328125;3605.296142578125;2246.6943359375;20228.08203125;39818.265625;83902.859375
40;2327.2470703125;0.0;2503.717041015625;12988.2080078125;3770.94580078125;2764.9501953125;20112.9140625;39210.71875;83678.984375
41;2228.5166015625;0.0;2332.768310546875;12861.3515625;3573.23388671875;2542.58984375;20265.435546875;39879.6484375;83683.671875
42;2458.620361328125;0.2353329360485077;2276.5107421875;12567.779296875;3686.246337890625;2527.40869140625;20274.919921875;39715.484375;83507.1875
43;2155.518798828125;0.0;2423.435791015625;12793.744140625;3743.32958984375;2451.532470703125;20314.76953125;39769.6640625;83652.0546875
44;2109.744140625;0.0;2501.057373046875;12496.2509765625;3275.114013671875;2702.314697265625;20568.599609375;39722.86328125;83376.0625
45;2411.8994140625;0.2353329360485077;2220.802734375;12728.9833984375;3453.024169921875;2617.41943359375;20054.26953125;39033.2578125;82520.1640625
46;2344.62255859375;0.0;2422.885498046875;12384.15625;3608.004638671875;2717.8193359375;20328.5;38712.1015625;82518.0703125
47;2026.2635498046875;0.2353329360485077;2388.602783203125;12604.02734375;3563.994140625;2641.187744140625;20173.91796875;39214.01171875;82612.40625
