STEP;C11;NP;OCB;OCC;OCN;OCP;ONC;PAN;TOTAL
0;4407.1572265625;0.0;2764.090087890625;16428.814453125;2193.817138671875;3883.79052734375;11414.6318359375;60467.953125;101561.6953125
1;4584.06982421875;0.9413317441940308;2774.182861328125;16447.322265625;2177.764404296875;4135.82373046875;11587.4111328125;61098.890625;102807.5859375
2;4200.5458984375;3.059328079223633;2705.88671875;16430.419921875;2093.49267578125;4055.406494140625;11629.8232421875;61040.90234375;102160.828125
3;4091.04345703125;2.8239951133728027;2897.520751953125;16369.0791015625;2242.8330078125;3931.0615234375;11286.7333984375;61217.23828125;102040.171875
4;4140.20751953125;0.0;2657.953369140625;16678.88671875;2071.9072265625;4284.51708984375;10937.8330078125;60701.41796875;101474.15625
5;4137.6728515625;0.4706658720970154;2916.347412109375;16234.1787109375;2075.4599609375;4026.457275390625;11038.544921875;60191.37109375;100621.7578125
6;3995.343505859375;0.0;2534.1923828125;16461.373046875;1962.2398681640625;4147.29736328125;11174.4921875;59928.8125;100204.7421875
7;3859.41796875;0.7059987783432007;2731.537109375;16172.4609375;1981.2513427734375;3874.0244140625;11090.693359375;59414.25;99125.53125
8;3710.729248046875;0.0;2637.058349609375;16093.2578125;2117.27099609375;4164.755859375;11777.767578125;59313.046875;99815.0703125
9;3569.766845703125;0.4706658720970154;2628.2998046875;16155.7890625;1961.897216796875;4288.21435546875;11171.791015625;58707.58984375;98485.171875
10;3501.43505859375;0.4706658720970154;2465.051513671875;15235.90625;2114.487060546875;4010.91357421875;11231.017578125;58585.70703125;97146.203125
11;3475.827880859375;0.0;2778.639404296875;15775.4072265625;2168.804443359375;4185.09765625;11395.443359375;57976.125;97756.3984375
12;3331.177978515625;0.4706658720970154;2653.751220703125;15385.51953125;2017.68408203125;4230.6767578125;11639.5849609375;56850.1796875;96110.328125
13;3196.994873046875;1.1766647100448608;2723.344970703125;15916.177734375;2108.968505859375;4033.107177734375;12107.9794921875;57945.54296875;98034.3125
14;3328.43359375;0.9413317441940308;2500.2880859375;15654.74609375;1929.7691650390625;3912.445068359375;12056.166015625;57183.78125;96567.34375
15;3215.543212890625;0.2353329360485077;2487.836669921875;15417.337890625;2114.355224609375;3981.116455078125;11825.9208984375;57487.453125;96530.46875
16;3311.901611328125;0.0;2486.25048828125;15759.16015625;2018.0111083984375;4021.5224609375;12164.7841796875;57520.10546875;97283.09375
17;3294.79638671875;0.0;2616.204833984375;15165.078125;2059.387451171875;3811.64111328125;11785.724609375;57984.7265625;96718.515625
18;3057.91357421875;0.2353329360485077;2280.70458984375;15619.9794921875;1988.365966796875;3963.274658203125;10875.818359375;56923.93359375;94710.8515625
19;3058.35888671875;1.4119975566864014;2681.35791015625;14746.451171875;1983.6322021484375;3640.691162109375;11804.693359375;57195.26171875;95112.890625
20;3324.8154296875;0.0;2439.567138671875;14396.73828125;2121.192138671875;3597.522216796875;11743.7529296875;57774.91796875;95399.7734375
21;3164.76611328125;0.0;2132.083251953125;14719.5625;1923.08837890625;3957.2900390625;11218.6962890625;57511.65625;94628.125
22;2798.1220703125;0.7059987783432007;2453.18115234375;14133.6103515625;1908.830810546875;4011.225830078125;11157.4892578125;57759.03125;94222.8359375
23;2921.878662109375;0.2353329360485077;2386.28125;14591.35546875;2044.50341796875;4039.830810546875;11248.1103515625;56668.76171875;93902.078125
24;2958.474365234375;0.0;2683.8388671875;14542.68359375;2151.121337890625;3741.17822265625;11710.841796875;56359.12109375;94148.1328125
25;2728.48974609375;0.4706658720970154;2419.847900390625;14594.154296875;1936.0223388671875;3799.835693359375;11204.7705078125;57441.703125;94126.75
26;3045.8193359375;2.3533294200897217;2464.555908203125;14763.625;1753.2647705078125;3723.38671875;11679.2001953125;56924.22265625;94357.296875
27;3024.169189453125;0.0;2707.693115234375;14756.9365234375;1993.00634765625;3649.9580078125;11644.646484375;56698.2578125;94475.7421875
28;3013.372314453125;0.2353329360485077;2545.804931640625;14273.7900390625;2169.4970703125;3694.624267578125;11640.3779296875;55990.52734375;93328.9375
29;2855.515625;0.0;2463.3818359375;14424.7587890625;2330.809326171875;3765.22119140625;11543.5400390625;56725.796875;94110.40625
30;2809.04052734375;0.0;2429.5517578125;14941.58984375;1891.753173828125;3836.03125;11090.267578125;56222.03515625;93220.859375
31;2612.02734375;0.0;2516.2587890625;14696.546875;1989.7943115234375;3705.788818359375;11222.5390625;56198.171875;92942.2109375
32;2619.170654296875;0.2353329360485077;2191.331298828125;13925.8818359375;1927.533447265625;3744.70361328125;11113.3056640625;55141.12109375;90664.390625
33;2852.959228515625;0.2353329360485077;2220.716552734375;14002.025390625;1961.6611328125;3519.22802734375;11671.794921875;55527.85546875;91757.5859375
34;2677.909912109375;0.0;2173.6240234375;14218.80859375;1663.6273193359375;3791.6083984375;11428.6279296875;55257.37109375;91212.4375
35;2664.750732421875;0.0;2109.572998046875;13596.814453125;1808.2105712890625;3754.852294921875;11143.4658203125;55167.14453125;90245.4296875
36;2500.543212890625;0.4706658720970154;2280.653076171875;14197.3623046875;1641.4273681640625;3540.583251953125;11224.078125;55760.58984375;91146.8046875
37;2772.804443359375;0.0;2351.28515625;14056.384765625;2061.14453125;3361.970458984375;11174.8935546875;54814.3125;90593.734375
38;2664.736083984375;0.0;2340.402587890625;14015.759765625;2076.629150390625;3769.121826171875;11200.533203125;54593.04296875;90660.8984375
39;2583.913330078125;0.0;2187.363037109375;13401.697265625;1916.3006591796875;3511.463623046875;11303.080078125;54599.734375;89504.6171875
40;2453.15380859375;0.0;2225.400390625;13570.1494140625;1972.297607421875;3791.7734375;11407.951171875;54512.21484375;89933.8125
41;2596.35546875;0.2353329360485077;2277.083740234375;13239.3203125;1935.708251953125;3773.77294921875;11734.80859375;54605.03515625;90163.0546875
42;2445.86279296875;0.4706658720970154;2177.4775390625;13487.1845703125;2085.7470703125;3642.4443359375;11418.962890625;55236.19140625;90494.96875
43;2496.046630859375;0.4706658720970154;2381.984619140625;13460.73046875;2031.2200927734375;3475.7822265625;11203.888671875;54800.5546875;89851.59375
44;2529.01806640625;0.9413317441940308;2166.1630859375;13797.1689453125;2040.16162109375;3588.25341796875;11466.0849609375;54512.6171875;90100.984375
45;2712.95458984375;0.2353329360485077;2553.70703125;14112.982421875;2048.30517578125;3602.19140625;11603.17578125;54661.64453125;91295.7578125
46;2519.101318359375;0.0;2206.9365234375;14149.326171875;2219.086669921875;3702.0712890625;11476.919921875;54583.6953125;90857.890625
47;2446.83349609375;0.0;2263.587646484375;14011.8994140625;1926.972412109375;3638.68701171875;11308.4775390625;54017.1640625;89614.3515625
48;2549.9853515625;0.0;2263.380615234375;14311.4111328125;2123.912109375;3553.634765625;11267.91015625;54261.20703125;90331.9140625
49;2707.0947265625;0.0;2329.4130859375;13817.1142578125;2367.593017578125;3632.53662109375;12093.2412109375;53928.13671875;90876.015625
50;2830.244140625;0.0;1927.642578125;13655.583984375;2097.416259765625;3794.489501953125;11320.6875;55182.8203125;90809.5625
51;2445.978759765625;0.0;2173.475830078125;13481.689453125;1870.022705078125;3572.395751953125;11449.9853515625;54257.796875;89252.0859375
52;2332.22802734375;0.0;2146.50341796875;13742.142578125;1966.7489013671875;3503.673095703125;11599.0634765625;54465.60546875;89756.8046875
53;2467.703857421875;0.2353329360485077;2012.2235107421875;13829.8076171875;1887.2391357421875;3817.1435546875;10906.66015625;53883.7109375;88805.2421875
54;2469.9384765625;0.7059987783432007;2116.573974609375;13672.9951171875;1951.3861083984375;3785.280029296875;11128.0439453125;54145.92578125;89271.6484375
55;2256.683837890625;0.0;2128.2041015625;13220.6318359375;2074.90771484375;3715.15185546875;10634.009765625;53805.66796875;87835.9140625
56;2537.5380859375;0.9413317441940308;1997.889404296875;13937.328125;1846.3497314453125;3711.156005859375;10743.4677734375;53682.04296875;88457.40625
57;2370.407958984375;0.4706658720970154;2070.531005859375;14032.9267578125;1795.5115966796875;3882.357666015625;10847.2421875;53783.796875;88784.0546875
58;2519.459716796875;0.0;2070.82568359375;13913.244140625;1987.892333984375;3767.9462890625;10661.6455078125;54687.64453125;89609.21875
59;2459.83203125;0.2353329360485077;2192.660400390625;13632.470703125;1853.848388671875;3906.11767578125;10838.7021484375;53770.3984375;88654.96875
60;2419.18212890625;0.4706658720970154;2054.65966796875;13057.6337890625;1892.718994140625;3714.563720703125;11277.708984375;53414.41796875;87832.09375
61;2349.280029296875;0.0;1998.579345703125;12954.8740234375;2080.846435546875;3722.93212890625;10775.5283203125;53583.70703125;87466.4921875
62;2652.06591796875;0.0;2296.154296875;13480.1982421875;1969.49755859375;3722.69287109375;10879.009765625;54396.421875;89396.4765625
63;2707.916748046875;0.4706658720970154;2261.664306640625;12918.4423828125;2092.5009765625;3778.399169921875;11542.41015625;53524.75;88827.28125
64;2415.934814453125;0.4706658720970154;1996.218994140625;13207.9873046875;2005.753173828125;3543.538330078125;11252.99609375;53807.96484375;88231.4609375
