STEP;C11;NP;OCB;OCC;OCQ;OQL;TOTAL
0;1874.2767333984375;0.0;1803.9246826171875;25999.34765625;9022.5693359375;29681.880859375;68381.71875
1;1981.687744140625;0.7059987783432007;1981.5670166015625;25937.572265625;8881.9814453125;29040.279296875;67823.265625
2;1759.17724609375;0.0;1840.4102783203125;25902.109375;9527.125;29009.064453125;68037.484375
3;1521.6058349609375;0.0;1783.780029296875;26007.162109375;9085.1015625;28265.755859375;66662.9609375
4;1686.4578857421875;0.0;2027.9521484375;25648.216796875;9283.728515625;28084.611328125;66730.3984375
5;1436.9365234375;0.0;1760.216796875;26263.783203125;9268.7646484375;28050.994140625;66780.375
6;1372.902587890625;0.0;2059.94921875;26280.521484375;9309.3486328125;27688.107421875;66710.4140625
7;1258.52783203125;0.0;1919.2481689453125;26661.05859375;8932.19140625;26957.982421875;65728.4609375
8;1446.9307861328125;0.0;1632.5335693359375;26571.880859375;9183.8037109375;27478.560546875;66313.1484375
9;1457.084228515625;0.0;1742.787109375;26161.150390625;9639.2705078125;28567.12109375;67567.109375
10;1142.2227783203125;0.2353329360485077;1772.65673828125;25981.1875;9154.919921875;27078.716796875;65129.50390625
11;1345.4808349609375;0.0;1841.252197265625;26072.9921875;9163.40625;26878.50390625;65301.18359375
12;1273.322021484375;0.0;1873.183837890625;25776.7265625;8704.556640625;27251.482421875;64878.65625
13;1129.858642578125;0.0;1728.502685546875;24985.7265625;9176.98046875;27169.74609375;64190.4375
14;1143.0699462890625;0.0;1604.7740478515625;24969.42578125;8660.9453125;26923.609375;63301.45703125
15;1132.76171875;0.0;1588.94873046875;25236.880859375;8885.7294921875;27017.07421875;63860.984375
16;1145.672119140625;0.0;1430.4442138671875;26175.892578125;9297.330078125;26747.48046875;64796.5
17;1278.532470703125;0.0;1473.435546875;25605.099609375;9167.400390625;27580.13671875;65104.0703125
18;1200.03515625;0.0;1490.2000732421875;25060.173828125;9387.8251953125;27701.384765625;64839.25390625
19;1118.1282958984375;0.0;1658.318603515625;24936.251953125;9184.2880859375;26807.93359375;63704.5234375
20;1141.814208984375;0.0;1656.271240234375;25192.26953125;8761.375;27220.240234375;63971.65625
21;1203.019287109375;0.0;1699.7789306640625;25825.41015625;8609.474609375;26643.068359375;63980.2265625
22;971.7882080078125;0.2353329360485077;1506.8021240234375;25790.751953125;8716.474609375;27393.568359375;64379.1796875
23;1073.7529296875;0.0;1367.7999267578125;25551.23828125;9254.462890625;26703.564453125;63950.2734375
24;1092.51904296875;0.0;1546.2314453125;26313.443359375;8701.9375;27487.96875;65141.73828125
25;1024.10546875;0.0;1339.6240234375;26673.4375;8722.998046875;25934.390625;63694.2421875
26;1091.388916015625;0.0;1464.02197265625;26658.541015625;8674.755859375;26345.736328125;64234.05859375
27;882.8919067382813;0.2353329360485077;1498.4801025390625;25976.314453125;8958.0693359375;26300.146484375;63615.81640625
28;1016.7086791992188;0.0;1461.1488037109375;27088.55078125;8623.6611328125;25474.8671875;63664.66015625
29;1057.8624267578125;0.0;1776.185791015625;26716.484375;8463.744140625;25163.34765625;63177.171875
30;1146.2467041015625;0.0;1652.9952392578125;26376.78125;8372.673828125;25635.451171875;63183.69921875
31;1169.465576171875;0.2353329360485077;1313.6861572265625;27509.314453125;8720.2080078125;25362.71875;64075.32421875
32;1292.8436279296875;0.0;1508.0137939453125;27059.78515625;9159.9736328125;25730.958984375;64751.15625
33;1113.9930419921875;0.0;1519.3067626953125;27376.908203125;9248.189453125;25306.63671875;64564.62109375
34;945.4501953125;0.2353329360485077;1575.7911376953125;27009.451171875;8721.4775390625;25747.052734375;63999.1015625
35;935.0409545898438;0.0;1570.0166015625;26791.00390625;9005.8896484375;24862.412109375;63163.7890625
36;912.680419921875;0.0;1566.7864990234375;27077.234375;9293.04296875;25073.869140625;63923.07421875
37;811.1441040039063;0.0;1371.80419921875;26859.529296875;8275.5576171875;25357.560546875;62675.1484375
38;938.9761962890625;0.0;1316.96728515625;26848.560546875;8911.251953125;24356.06640625;62371.24609375
39;952.81005859375;0.0;1156.9794921875;26012.384765625;8253.439453125;25100.33984375;61475.4375
40;815.4242553710938;0.0;1323.0408935546875;26555.537109375;8890.8173828125;24064.150390625;61648.43359375
41;753.4566650390625;0.0;1312.1243896484375;26478.6328125;8615.1748046875;24739.30078125;61898.48828125
42;887.8167114257813;0.0;1473.9505615234375;26692.8671875;8405.9130859375;24577.919921875;62038.0703125
43;972.4766235351563;0.0;1202.9039306640625;27050.30859375;9127.4677734375;24700.423828125;63052.97265625
44;867.8978271484375;0.0;1449.0013427734375;25838.404296875;8620.779296875;24375.833984375;61151.78515625
45;1004.2457275390625;0.0;1386.1900634765625;26662.1171875;8700.9384765625;24016.720703125;61769.73046875
46;788.28857421875;0.0;1303.4130859375;26419.88671875;8815.2197265625;23592.076171875;60918.55859375
47;838.8594970703125;0.2353329360485077;1432.3824462890625;27014.185546875;8397.908203125;24450.28515625;62133.3984375
48;885.4448852539063;0.0;1256.8883056640625;26184.458984375;8752.2841796875;23641.59375;60720.35546875
49;953.1837158203125;0.0;1234.2537841796875;26727.830078125;8628.8369140625;24689.44140625;62233.28125
50;943.4296264648438;0.0;1419.8233642578125;25761.55859375;8491.7177734375;23948.8828125;60565.1171875
51;913.1737670898438;0.0;1486.36865234375;26571.544921875;8584.3828125;23759.048828125;61313.91015625
52;1059.282470703125;0.0;1385.07275390625;26114.26171875;9132.8837890625;23600.482421875;61291.359375
53;982.352294921875;0.0;1325.4361572265625;26104.099609375;8402.8134765625;24340.625;61154.8359375
54;1188.1427001953125;0.0;1534.1651611328125;26840.056640625;8731.80078125;24379.513671875;62673.43359375
55;1033.3231201171875;0.0;1667.6536865234375;25711.427734375;8828.9716796875;24783.53515625;62024.640625
56;1146.9637451171875;0.4706658720970154;1521.302734375;25484.87890625;8736.927734375;24398.966796875;61289.2734375
57;917.0614624023438;0.0;1578.9656982421875;26313.8515625;8667.30859375;24038.919921875;61515.81640625
58;1014.717041015625;0.0;1617.67138671875;26404.541015625;8705.72265625;24862.923828125;62605.30859375
59;971.080078125;0.0;1587.958740234375;26614.015625;9081.1796875;23961.287109375;62215.03125
60;997.9658203125;0.0;1526.4150390625;26702.166015625;8727.984375;24883.509765625;62837.54296875
61;994.22265625;0.0;1690.8841552734375;27049.34375;8431.9765625;24150.01171875;62316.0078125
62;877.6282958984375;0.0;1446.14404296875;26400.09765625;8455.25;24521.443359375;61700.234375
63;1030.661376953125;0.0;1556.4942626953125;26530.96875;8629.9990234375;24201.529296875;61949.0390625
64;974.752685546875;0.0;1520.068603515625;26148.9375;8398.166015625;24000.763671875;61042.26171875
65;962.002197265625;0.0;1570.2647705078125;26288.564453125;8638.216796875;23683.01953125;61141.5703125
66;950.7893676757813;0.0;1470.5423583984375;26341.30859375;8643.328125;23646.44140625;61052.3125
67;737.6242065429688;0.0;1538.9156494140625;26408.93359375;8710.2265625;23365.48046875;60760.71875
