STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;3960.023193359375;0.0;3079.1455078125;20274.80078125;5206.3583984375;4132.4404296875;25815.412109375;14412.97265625;76881.1171875
1;3786.357666015625;0.0;2918.611572265625;20290.12109375;5081.84326171875;4092.232666015625;24681.828125;14219.59375;75070.5
2;3424.394287109375;0.2353329360485077;3084.782470703125;19934.912109375;4734.2822265625;4197.1376953125;25130.203125;13815.1171875;74320.96875
3;3059.007568359375;1.1766647100448608;3106.423095703125;19624.427734375;4933.1455078125;4475.97119140625;24502.595703125;13491.1669921875;73193.7734375
4;3051.907958984375;0.0;2878.946533203125;19761.181640625;4967.46728515625;4378.50830078125;25476.693359375;13821.015625;74335.3984375
5;3298.57373046875;0.0;3126.017333984375;20342.673828125;4903.86865234375;4280.90185546875;24679.0234375;13699.7001953125;74330.5546875
6;3343.27783203125;0.2353329360485077;3331.987060546875;18955.1328125;4522.85107421875;4240.7890625;25326.4765625;13707.216796875;73427.84375
7;3065.353759765625;1.1766647100448608;2703.030029296875;19481.8359375;4761.56591796875;4361.34912109375;25081.875;13223.4189453125;72679.359375
8;2756.456787109375;0.9413317441940308;2915.157958984375;19497.484375;4758.15771484375;4205.14599609375;24979.375;14130.6064453125;73243.015625
9;3277.69189453125;0.0;2659.21484375;20094.064453125;5158.76220703125;3954.2802734375;25038.6328125;14011.841796875;74194.515625
10;2633.81591796875;0.2353329360485077;2599.393310546875;20334.291015625;5078.0341796875;4023.26611328125;25158.73046875;13730.3642578125;73558.1328125
11;2895.266845703125;0.0;2670.14599609375;20417.541015625;5088.76806640625;4072.423828125;24889.583984375;13986.5771484375;74020.0859375
12;2681.937744140625;0.2353329360485077;2791.3857421875;20003.12109375;5122.3779296875;4056.226318359375;25106.79296875;13063.185546875;72825.1640625
13;2665.096923828125;0.2353329360485077;2860.31591796875;20004.837890625;4846.7919921875;4253.8349609375;25126.416015625;13338.6767578125;73095.7109375
