STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;2388.940185546875;1.8826634883880615;2962.58447265625;19944.28125;4296.77734375;4685.11865234375;23602.521484375;13496.576171875;71378.2578125
1;2279.009033203125;0.2353329360485077;2720.953125;19419.119140625;4307.68408203125;4644.6494140625;24052.79296875;13708.900390625;71133.0859375
2;2360.50537109375;0.2353329360485077;2778.0771484375;18601.318359375;4559.38818359375;4489.052734375;23905.83984375;13772.2451171875;70466.2734375
3;2434.076904296875;0.0;2879.91064453125;19686.400390625;4353.54150390625;5041.4638671875;23518.341796875;13853.396484375;71766.90625
4;2272.651611328125;0.2353329360485077;2860.3115234375;19756.849609375;4407.73779296875;4800.60888671875;23020.48046875;14134.474609375;71252.984375
5;2216.884521484375;0.0;2634.408203125;19407.251953125;4277.08251953125;4722.275390625;23834.84765625;13520.3173828125;70612.6953125
6;2385.505615234375;0.0;2817.5830078125;20242.013671875;4505.33642578125;4251.61572265625;23903.99609375;13062.50390625;71168.28125
7;2674.65087890625;0.2353329360485077;3084.5224609375;19675.95703125;4167.37548828125;4345.8505859375;23434.68359375;12576.142578125;69959.0859375
8;2404.891845703125;0.0;2671.427734375;19591.115234375;4268.3447265625;4134.8583984375;23545.4609375;12780.9462890625;69396.890625
9;2519.285888671875;0.0;2563.712890625;20269.044921875;4479.54638671875;4355.65380859375;24630.291015625;12788.4814453125;71605.859375
10;2297.812255859375;0.0;2709.163330078125;20350.962890625;4122.55322265625;3846.5419921875;24048.60546875;12176.6015625;69551.9140625
11;2519.150634765625;0.2353329360485077;2911.716796875;19193.142578125;4431.48046875;4397.22998046875;22778.0625;12512.2431640625;68743.046875
12;2384.579833984375;0.0;2533.208740234375;20807.537109375;4308.47998046875;4065.56640625;23246.640625;12839.78125;70185.3515625
13;2532.346923828125;0.9413317441940308;2761.447998046875;20340.4453125;4187.56396484375;4122.26611328125;23355.041015625;12495.8642578125;69795.609375
14;2357.57177734375;0.0;2606.759521484375;21115.115234375;4672.1005859375;4287.66162109375;24236.826171875;12573.55859375;71849.2421875
15;2193.534423828125;0.2353329360485077;2588.591552734375;20512.353515625;4502.6083984375;3792.5478515625;23838.96484375;12690.927734375;70119.390625
16;2223.296142578125;0.2353329360485077;2747.632568359375;20275.853515625;4297.98779296875;4143.8291015625;24415.84765625;12466.953125;70571.03125
17;2253.735595703125;0.0;2806.823486328125;20199.42578125;4704.6953125;4086.56201171875;25119.080078125;12503.265625;71673.4921875
18;2129.12890625;0.7059987783432007;2468.688720703125;20220.36328125;4463.7216796875;4162.96484375;24881.271484375;12675.490234375;71002.0546875
19;1972.48095703125;0.2353329360485077;2665.494140625;20174.7265625;4359.67919921875;4235.91650390625;24328.24609375;12362.2080078125;70098.6640625
20;2170.0390625;0.0;2623.5830078125;20134.962890625;4498.0341796875;4185.50390625;24455.517578125;12873.0341796875;70939.96875
21;2093.6494140625;0.0;2819.561767578125;19495.08984375;4223.6357421875;3725.017578125;23445.056640625;12369.287109375;68170.8671875
22;1941.9188232421875;0.0;2275.345703125;20110.068359375;4426.375;4127.560546875;24258.77734375;12065.4111328125;69205.03125
23;2031.69921875;0.0;2260.55859375;19748.5078125;4569.71337890625;3344.131103515625;23957.55078125;11990.07421875;67901.921875
24;1974.863037109375;0.2353329360485077;2512.28759765625;19969.533203125;4671.439453125;3897.59912109375;24389.55078125;11648.857421875;69063.8984375
25;2029.11279296875;0.0;2565.906005859375;20017.123046875;4590.38720703125;4094.8017578125;24718.255859375;11144.326171875;69159.5703125
26;1979.98681640625;0.0;2562.188232421875;19780.134765625;4353.68310546875;4084.875;24928.37890625;10955.6396484375;68644.4453125
27;1867.0067138671875;0.4706658720970154;2503.13623046875;19722.5859375;4326.646484375;3875.66259765625;24678.423828125;11461.779296875;68435.296875
28;1923.6138916015625;0.0;2482.923583984375;19563.197265625;4752.2392578125;3977.097900390625;24894.26171875;11734.4267578125;69327.421875
29;2168.226318359375;0.0;2533.3271484375;19495.470703125;4340.1640625;4009.693115234375;24352.01953125;12024.5771484375;68923.2734375
30;2403.582275390625;0.0;2676.469482421875;20461.49609375;4353.05419921875;3951.120849609375;25678.359375;11465.673828125;70989.484375
31;2228.13232421875;0.0;2665.499267578125;20046.560546875;4480.580078125;3692.7041015625;25028.0625;11691.1787109375;69832.3359375
32;2066.349609375;0.2353329360485077;2460.995361328125;19730.951171875;4327.0458984375;3940.6025390625;24144.537109375;11253.1640625;67923.3515625
33;2289.822021484375;0.0;2507.039306640625;19946.3671875;4262.4169921875;3733.9453125;25179.5;11399.40625;69318.0625
34;2027.6287841796875;0.2353329360485077;2608.687255859375;19673.513671875;4315.1611328125;3802.1630859375;24679.244140625;11080.1767578125;68186.40625
35;1914.75390625;0.2353329360485077;2409.6396484375;19904.998046875;4617.861328125;3925.5458984375;24831.279296875;10805.373046875;68409.4609375
36;1972.234619140625;0.2353329360485077;2636.548583984375;19413.953125;4232.80419921875;3868.536865234375;24023.458984375;11243.541015625;67391.0078125
37;2097.99365234375;0.0;2467.78955078125;20416.6015625;4073.899658203125;3790.6708984375;24943.337890625;11045.576171875;68835.3515625
38;2065.168212890625;0.4706658720970154;2312.594482421875;20396.962890625;4357.1826171875;3827.7412109375;24184.712890625;10770.9912109375;67915.4140625
39;1860.329345703125;0.9413317441940308;2469.46240234375;19850.486328125;4557.73583984375;3714.47021484375;24237.26953125;10332.0146484375;67022.21875
40;1880.3951416015625;0.0;2472.64306640625;19919.40625;4627.060546875;4129.5927734375;24574.724609375;10994.0869140625;68597.4453125
41;1789.9979248046875;0.2353329360485077;2280.690673828125;21031.162109375;4494.33154296875;3707.843994140625;25118.06640625;10364.119140625;68785.9921875
