STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;1744.0548095703125;0.0;1892.0587158203125;22870.361328125;1556.2701416015625;7413.2177734375;9951.9296875;22600.4765625;68028.0625
1;1624.6866455078125;0.0;1893.43994140625;22403.80078125;1826.0450439453125;7454.96826171875;9298.001953125;22647.279296875;67147.96875
2;1614.2862548828125;0.4706658720970154;1831.7940673828125;23140.875;1690.064697265625;7462.64501953125;9749.1171875;22279.306640625;67768.203125
3;1719.1376953125;0.2353329360485077;2025.33154296875;22809.552734375;1582.8822021484375;7336.626953125;9185.0439453125;21767.591796875;66426.0546875
4;1693.428955078125;0.0;1768.877197265625;22459.736328125;1605.4647216796875;7492.1201171875;9332.19921875;22589.642578125;66940.859375
5;1719.8233642578125;0.0;1780.6024169921875;22254.67578125;1539.8570556640625;7693.484375;9232.322265625;23034.51171875;67254.890625
6;1450.134521484375;0.0;1928.1590576171875;22324.3515625;1724.391357421875;7384.1396484375;9418.689453125;22404.189453125;66633.6328125
7;1365.937255859375;0.4706658720970154;1791.0711669921875;21847.58984375;1616.985107421875;7457.9970703125;9695.6240234375;21443.1484375;65218.33984375
8;1394.9169921875;0.0;1844.0819091796875;23029.484375;1551.691650390625;7152.89892578125;9113.5712890625;21369.314453125;65455.4375
9;1541.770263671875;0.0;1755.1429443359375;23607.3046875;1581.659423828125;7000.3056640625;8978.2578125;21370.931640625;65834.8984375
10;1172.7911376953125;0.0;1879.2421875;22762.294921875;1494.110107421875;7092.51416015625;9059.7822265625;22094.25390625;65554.453125
11;1462.8734130859375;0.2353329360485077;1820.8238525390625;23570.447265625;1621.776611328125;7054.1708984375;9470.568359375;20947.775390625;65948.1953125
12;1581.1453857421875;0.0;1684.5933837890625;23974.87109375;1695.3369140625;7023.06494140625;9453.99609375;21283.87109375;66696.5859375
13;1609.989501953125;0.0;1766.4515380859375;24026.30078125;1617.5211181640625;6886.30517578125;8811.8779296875;20617.017578125;65335.14453125
14;1406.7950439453125;0.9413317441940308;1808.51904296875;23813.38671875;1705.9263916015625;6894.63525390625;9896.5859375;20460.529296875;65986.796875
15;1462.6685791015625;0.0;1762.5670166015625;23175.322265625;1468.12841796875;6423.55859375;10103.583984375;20721.828125;65117.24609375
16;1264.1607666015625;0.0;1801.354736328125;22975.529296875;1587.85888671875;7013.17724609375;9291.62890625;20894.318359375;64827.62890625
17;1186.029052734375;0.0;1765.714599609375;23069.080078125;1394.83154296875;6910.70068359375;9516.29296875;20977.126953125;64819.39453125
18;1350.6085205078125;0.0;1630.9305419921875;22420.177734375;1669.442626953125;6666.69384765625;9304.939453125;20842.4609375;63884.61328125
19;1287.8690185546875;0.0;1964.915283203125;23529.201171875;1725.7044677734375;6523.21923828125;9420.046875;19959.5234375;64410.09765625
20;1178.9410400390625;0.0;1710.662353515625;23418.693359375;1476.6241455078125;6703.279296875;9788.5849609375;20091.697265625;64367.96875
21;1288.2191162109375;0.4706658720970154;1770.8348388671875;23196.048828125;1415.98046875;6865.0263671875;9032.458984375;19208.6875;62777.28515625
22;1219.258056640625;0.0;1722.9542236328125;23758.255859375;1530.2769775390625;6702.75634765625;8936.8857421875;19242.3671875;63112.56640625
23;1350.2066650390625;0.0;1611.0506591796875;23207.0546875;1329.7586669921875;7041.259765625;9286.6474609375;19280.779296875;63106.328125
24;1178.893798828125;0.0;1937.677978515625;24235.62890625;1486.94384765625;6643.5146484375;9293.2099609375;19483.90625;64259.2421875
25;1172.197265625;0.0;1679.8846435546875;23417.322265625;1582.457275390625;7464.74267578125;9428.6865234375;20440.150390625;65185.0625
26;1204.2081298828125;0.0;1649.819091796875;24057.013671875;1657.595947265625;7155.494140625;9319.177734375;19811.138671875;64853.9375
27;1219.677734375;0.0;1657.9783935546875;24039.482421875;1780.4296875;6861.58544921875;9299.162109375;19180.73046875;64038.3515625
28;1104.134521484375;0.0;1514.1431884765625;24314.083984375;1627.800537109375;7647.72900390625;9317.30078125;19434.705078125;64959.546875
29;1063.87744140625;0.0;1554.4091796875;23689.462890625;1662.9100341796875;7020.61376953125;9482.0185546875;19590.8671875;64063.7890625
30;1150.2545166015625;0.2353329360485077;1617.0167236328125;23683.314453125;1768.0391845703125;6841.29443359375;9348.5263671875;19612.998046875;64021.5234375
31;888.6022338867188;0.0;1597.8087158203125;23033.46484375;1849.150634765625;7185.9541015625;9378.1953125;19286.36328125;63219.1953125
32;1073.1527099609375;0.0;1694.50390625;23487.15625;1546.2274169921875;6671.966796875;9516.8330078125;19264.896484375;63254.3125
33;1206.34521484375;0.0;1559.028076171875;22904.81640625;1735.88330078125;6537.68701171875;10157.064453125;19083.09765625;63183.62890625
34;1187.6512451171875;0.9413317441940308;1685.7227783203125;23172.30078125;1851.3055419921875;6360.6455078125;9932.275390625;19522.978515625;63713.32421875
35;1148.07861328125;0.7059987783432007;1674.085693359375;23370.80078125;1669.9774169921875;6838.65234375;10039.08203125;17535.259765625;62276.17578125
36;976.721435546875;1.8826634883880615;1731.810302734375;23776.63671875;1698.943115234375;6622.93896484375;9498.6904296875;18602.494140625;62909.87890625
37;907.45654296875;1.1766645908355713;1670.99365234375;24299.85546875;1706.6968994140625;6409.1962890625;9848.1669921875;17906.46484375;62749.5390625
38;938.1227416992188;0.0;1592.31396484375;23686.060546875;1771.978759765625;6885.03662109375;9779.8662109375;18399.443359375;63052.38671875
39;1029.6019287109375;0.0;1765.5028076171875;23254.7734375;1740.4637451171875;6602.96630859375;9576.546875;18900.947265625;62870.3671875
40;1116.29736328125;0.0;1839.3712158203125;23115.4921875;1551.7822265625;6573.29638671875;10014.2734375;17822.423828125;62032.328125
41;1052.178955078125;0.2353329360485077;1871.315673828125;24178.896484375;1548.054931640625;6614.185546875;9099.712890625;18397.296875;62761.4453125
42;1218.08984375;1.1766647100448608;1940.8470458984375;23830.42578125;1822.5206298828125;7259.61328125;9616.751953125;18218.99609375;63907.88671875
43;910.0999755859375;0.2353329360485077;1933.937744140625;23982.248046875;1541.049560546875;6844.3974609375;9683.841796875;18231.5625;63127.0703125
44;906.0645141601563;0.9413317441940308;1947.5443115234375;23221.287109375;1737.5999755859375;6569.3173828125;9602.8359375;18325.845703125;62311.1953125
45;846.2620849609375;0.2353329360485077;1994.489501953125;23169.322265625;1490.757568359375;6318.71728515625;9822.408203125;18067.3828125;61709.09375
46;936.5547485351563;0.0;1643.716552734375;23796.84375;1581.872314453125;6503.69921875;10072.7275390625;18238.330078125;62773.3515625
