STEP;C11;NP;OCB;OCC;OCN;OCZ;ONC;ZIL;TOTAL
0;2597.942138671875;0.4706658720970154;2256.380615234375;17417.087890625;1838.3992919921875;6435.43408203125;9798.26953125;38502.94140625;78846.75
1;2420.4208984375;0.0;2178.06005859375;17100.34375;1630.7724609375;6512.9169921875;8734.255859375;37857.09765625;76433.9375
2;2375.931396484375;0.0;2060.517333984375;16960.60546875;1734.6053466796875;6431.11376953125;9429.69921875;38459.9140625;77452.421875
3;2708.557861328125;0.0;2125.111083984375;16958.537109375;1714.153076171875;6349.38525390625;9555.7060546875;37687.7578125;77099.25
4;2789.254638671875;0.0;2333.609619140625;16749.142578125;1626.7099609375;6371.05126953125;9261.88671875;38032.015625;77163.640625
5;2265.0458984375;0.0;2174.22802734375;17170.501953125;1719.5257568359375;6573.11865234375;9692.3994140625;37590.66796875;77185.53125
6;2392.9287109375;0.0;2251.4248046875;17420.154296875;1582.7333984375;6328.27392578125;9965.6025390625;37916.15234375;77857.3984375
7;2483.8681640625;0.0;2075.27001953125;16746.73046875;1659.40576171875;6327.9912109375;9667.826171875;37821.44921875;76782.6015625
8;2442.1162109375;0.2353329360485077;1895.711181640625;16526.71875;1708.2298583984375;6363.7880859375;9648.7333984375;37460.53515625;76046.125
9;2427.756103515625;0.0;2133.296142578125;16670.861328125;1859.70654296875;6699.822265625;9799.9736328125;36906.9453125;76498.3828125
10;2541.53271484375;0.0;2314.3681640625;17015.38671875;1577.5806884765625;5951.49462890625;9902.5751953125;37614.203125;76917.3203125
11;2487.489990234375;0.4706658720970154;2309.6279296875;16415.716796875;1779.89990234375;5993.013671875;10039.9287109375;37047.640625;76073.5703125
12;2278.83642578125;0.0;2000.2890625;15847.0146484375;1763.0517578125;6077.697265625;9863.001953125;36545.859375;74375.5546875
13;2228.297607421875;0.0;2085.371337890625;16341.5654296875;2103.880126953125;6102.36767578125;10145.5966796875;36450.734375;75457.984375
14;2353.200927734375;0.2353329360485077;2164.002685546875;16214.759765625;1937.6163330078125;5860.943359375;10009.4052734375;36210.1171875;74750.203125
15;2377.207763671875;0.0;2208.692626953125;16597.220703125;1860.9796142578125;6015.90283203125;9493.416015625;36256.51953125;74810.03125
16;2399.437744140625;0.0;2246.156005859375;16013.685546875;1685.369873046875;5669.54296875;9544.77734375;35708.359375;73267.3359375
17;2538.281982421875;0.0;2403.75;15904.66015625;1731.48681640625;5603.59228515625;9749.8203125;36376.12890625;74307.6328125
18;2522.156005859375;0.0;2251.614501953125;16125.9638671875;1717.400146484375;5767.64013671875;10142.556640625;36221.87890625;74749.2421875
19;2443.426513671875;0.0;2329.853515625;16478.423828125;1813.3878173828125;5639.32421875;9901.8154296875;35395.78125;74001.84375
20;2501.471435546875;0.0;2369.862548828125;16432.203125;1898.2080078125;5836.2900390625;10496.5009765625;36077.1953125;75611.75
21;2271.55908203125;0.0;2197.753662109375;16643.923828125;2015.27734375;5970.263671875;10064.6669921875;36486.890625;75650.390625
22;2151.2216796875;0.0;1968.628173828125;16258.2255859375;1783.3861083984375;5949.56005859375;10068.43359375;35633.4453125;73812.8046875
23;2228.126220703125;0.0;2056.95361328125;16507.85546875;1923.234375;5990.2119140625;10282.126953125;36311.97265625;75300.4375
24;2127.59228515625;0.2353329360485077;1963.1337890625;16108.677734375;1854.9664306640625;6116.4765625;10167.2998046875;35707.51953125;74045.6796875
25;2206.5146484375;0.0;1813.6822509765625;15495.982421875;1930.5068359375;6176.49169921875;10033.1181640625;35206.06640625;72862.1796875
26;2376.125732421875;0.0;1886.649658203125;15101.1064453125;1714.6593017578125;6191.67822265625;10176.85546875;35531.01171875;72977.484375
27;2116.442138671875;0.4706658720970154;1879.1434326171875;15014.8388671875;1723.5255126953125;5974.7998046875;10582.6845703125;34728.34375;72019.9375
28;1900.4857177734375;0.0;1843.948486328125;14928.2763671875;1729.1324462890625;5799.94189453125;10364.2802734375;34358.578125;70924.3828125
29;1873.7186279296875;0.0;1816.8773193359375;14899.98828125;1683.4385986328125;5799.94677734375;10719.8876953125;34741.3046875;71534.9765625
30;1914.922119140625;0.0;1999.529052734375;15434.4697265625;1741.3795166015625;5890.78466796875;10369.95703125;34695.4609375;72046.2890625
31;1731.281005859375;0.2353329360485077;1979.454833984375;15523.197265625;1825.91015625;5924.38330078125;10632.1083984375;34483.30078125;72099.6015625
32;1919.0975341796875;0.0;2011.443603515625;15535.416015625;1798.1622314453125;5603.8193359375;10633.755859375;35586.5546875;73087.8515625
33;1650.5390625;0.0;1779.456787109375;15393.3642578125;1699.584228515625;5561.05224609375;11024.8564453125;34075.4921875;71184.1484375
34;1797.334228515625;0.0;1797.01318359375;15271.904296875;1690.4552001953125;5858.26611328125;11038.5439453125;33866.1953125;71319.375
35;1753.0234375;0.0;1730.7669677734375;14844.01171875;1865.0394287109375;5544.47509765625;11116.501953125;34083.46484375;70936.9453125
36;1676.764892578125;0.0;1702.106201171875;14976.3291015625;1639.7244873046875;5893.37939453125;10568.533203125;33851.50390625;70307.9765625
37;1761.0301513671875;0.0;1802.9517822265625;15115.748046875;1823.4991455078125;5584.67578125;10370.3681640625;33893.48046875;70351.359375
38;1829.268310546875;0.0;1814.498779296875;15423.771484375;1647.925537109375;5691.57177734375;10314.3037109375;33601.140625;70322.1171875
39;1852.641845703125;0.9413317441940308;1817.029541015625;15481.8349609375;1835.5347900390625;5567.81689453125;10150.7373046875;33129.34765625;69835.453125
40;1981.873779296875;0.0;1802.3369140625;15371.685546875;1915.65576171875;5785.74365234375;10172.0908203125;33797.1875;70826.0234375
41;1978.283935546875;0.0;1634.525146484375;15684.4716796875;1779.51318359375;5727.9677734375;9792.810546875;33999.23828125;70596.4296875
42;1887.031494140625;0.0;1572.1962890625;15278.048828125;1675.510498046875;5871.0693359375;10472.146484375;32800.421875;69556.0859375
43;1889.6302490234375;2.5886623859405518;1779.5936279296875;15780.4814453125;1586.7120361328125;5738.95947265625;10098.0107421875;33805.94140625;70681.4609375
44;1898.2105712890625;0.4706658720970154;1732.136962890625;15746.8212890625;1784.8565673828125;6001.22998046875;10304.275390625;33262.078125;70729.6640625
45;1917.6251220703125;0.0;1636.2066650390625;14954.0556640625;1570.750244140625;5878.76416015625;10618.9208984375;32771.703125;69347.546875
46;1944.0726318359375;0.0;1688.7408447265625;15530.42578125;1759.2896728515625;6212.53125;10537.4892578125;32532.767578125;70204.921875
47;1587.40673828125;1.4119975566864014;1647.142578125;15080.193359375;1679.0269775390625;5937.77099609375;10442.3173828125;32375.1484375;68750.09375
48;1796.8748779296875;0.0;1680.9959716796875;15107.8369140625;1708.7137451171875;5802.98681640625;10370.876953125;32391.841796875;68859.703125
49;1774.783203125;0.2353329360485077;1687.3294677734375;15375.61328125;1886.2327880859375;5745.3447265625;10658.3837890625;32189.171875;69316.5859375
50;1731.5103759765625;0.0;1714.351806640625;15176.0732421875;2050.427490234375;5573.7763671875;10650.0986328125;32839.96484375;69736.0078125
51;1816.773193359375;0.7059987783432007;1403.8785400390625;15619.57421875;1934.2164306640625;5865.79052734375;9800.951171875;33050.7890625;69492.3359375
52;1856.6197509765625;0.0;1630.4412841796875;15642.5068359375;1741.525390625;5674.76025390625;10218.0732421875;32443.515625;69207.125
53;1679.76318359375;0.0;1470.998779296875;15294.552734375;1856.9500732421875;5341.89501953125;10846.4921875;32296.685546875;68786.8984375
54;1823.722900390625;0.0;1580.9886474609375;14880.2822265625;1929.919921875;5419.2314453125;11137.1376953125;31847.544921875;68618.3828125
55;1764.226806640625;0.0;1511.607666015625;15101.7421875;2014.2955322265625;5576.86376953125;10198.771484375;32622.7578125;68789.953125
56;1596.1414794921875;0.0;1661.6990966796875;14778.1923828125;1860.9927978515625;5417.53515625;10575.0078125;32165.92578125;68055.0546875
57;1585.3326416015625;0.0;1654.291748046875;14958.89453125;1969.8076171875;5215.478515625;11202.5390625;31808.681640625;68394.5625
