STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;3729.312255859375;37162.3203125;0.4706658720970154;2776.935546875;17451.275390625;4595.00634765625;3754.38623046875;20627.904296875;90098.0546875
1;3326.7529296875;36346.45703125;0.9413317441940308;2812.754150390625;17632.041015625;4515.32080078125;3707.681396484375;20474.0;88816.4921875
2;3213.914794921875;35879.078125;0.0;2705.614013671875;17301.38671875;4584.9111328125;3459.212158203125;19357.751953125;86502.5625
3;3063.23974609375;36686.86328125;0.0;2916.005859375;17060.736328125;4643.19482421875;3686.482666015625;19539.08984375;87596.0234375
4;3071.38525390625;36534.53125;1.1766645908355713;2811.603271484375;17158.0390625;4849.13330078125;3596.743896484375;19669.388671875;87692.671875
5;2953.23828125;36584.89453125;0.7059987783432007;2754.576416015625;16983.8515625;4805.3017578125;3635.8974609375;19870.220703125;87588.9296875
6;2712.290283203125;35087.77734375;0.9413317441940308;2653.049560546875;16380.517578125;4440.01025390625;3624.514404296875;19679.591796875;84578.90625
7;2976.04052734375;35741.04296875;0.0;2806.501220703125;16666.03515625;4398.86962890625;3449.59765625;20059.982421875;86098.1796875
8;3106.733642578125;35490.26953125;0.9413317441940308;2948.8603515625;17093.640625;4729.2666015625;3637.19580078125;20622.6640625;87630.1171875
9;2789.88427734375;35533.07421875;0.7059987783432007;2844.431884765625;16623.767578125;4460.61328125;4003.13134765625;19974.111328125;86230.1953125
10;2829.24365234375;34830.4140625;1.1766645908355713;2584.06494140625;16950.69921875;4529.8115234375;3829.50634765625;20240.4140625;85795.71875
11;2650.80029296875;35481.73828125;0.0;2683.913330078125;16858.208984375;4479.71142578125;3756.338623046875;19598.5625;85510.03125
12;2872.7001953125;35222.71484375;0.2353329360485077;3107.630126953125;16215.5556640625;4452.06689453125;3769.43115234375;19804.462890625;85445.1015625
13;2718.025146484375;35543.26171875;0.2353329360485077;2933.947998046875;16318.0185546875;4051.67822265625;3659.51513671875;19728.123046875;84953.234375
14;2457.048828125;35024.21875;1.8826634883880615;2919.81494140625;16351.787109375;4419.7197265625;3541.4658203125;20188.9609375;84905.234375
15;2454.2412109375;34022.44921875;0.2353329360485077;2792.255859375;15803.240234375;4227.71240234375;3278.68115234375;20081.232421875;82660.4453125
16;2496.307373046875;35351.03515625;1.1766647100448608;2932.60546875;15722.0009765625;4743.30859375;3508.614501953125;19987.724609375;84742.890625
17;2574.15478515625;33787.1953125;1.8826634883880615;2492.46533203125;15123.2109375;4539.0126953125;3466.470703125;20503.28515625;82487.6484375
18;2418.802734375;33892.23046875;0.0;2390.880859375;16271.0634765625;4667.857421875;3533.603759765625;20157.2890625;83331.9140625
19;2719.3740234375;33774.1015625;0.0;2665.4560546875;17035.365234375;4560.6923828125;3878.998046875;20442.716796875;85076.7421875
