STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;4241.56591796875;19916.134765625;0.0;4194.20166015625;7165.658203125;3068.67236328125;4109.28759765625;26961.9375;69656.8203125
1;4338.64697265625;20185.603515625;0.2353329360485077;4382.6728515625;7233.71728515625;2886.364990234375;4601.6474609375;27948.951171875;71577.3671875
2;4691.41943359375;20665.53125;0.2353329360485077;4369.6708984375;7332.50537109375;2863.927978515625;4640.546875;27451.724609375;72015.015625
3;4385.73681640625;20505.435546875;0.0;4349.01806640625;6815.00146484375;2667.305908203125;4511.5234375;28048.513671875;71282.1015625
4;4632.1630859375;19891.5859375;0.0;4217.57568359375;7222.88037109375;2792.68212890625;4592.18701171875;27403.333984375;70751.84375
5;4039.0068359375;19508.1171875;0.0;4118.666015625;7338.64990234375;2965.6552734375;4440.19189453125;27275.396484375;69685.3046875
6;4381.0263671875;19267.568359375;0.0;4703.76611328125;6965.0361328125;3167.375;4516.49365234375;27154.83203125;70155.640625
7;4139.04248046875;18631.06640625;0.0;4138.39306640625;7096.24560546875;3018.229736328125;4525.5400390625;26576.955078125;68124.9140625
8;4255.73291015625;18815.173828125;0.0;4194.5205078125;7217.14404296875;3067.73681640625;4686.8447265625;26953.884765625;69190.6328125
9;3958.437255859375;18491.935546875;0.0;4412.1591796875;7426.3447265625;2904.160888671875;4160.50048828125;27086.783203125;68439.625
10;3904.9794921875;17759.7421875;0.0;4540.1142578125;6905.19677734375;2829.630615234375;4801.97998046875;28079.51953125;68820.640625
11;3872.01611328125;18372.625;0.0;4578.02685546875;6926.935546875;2801.289794921875;4160.5048828125;27088.638671875;67799.3984375
12;3829.2177734375;18705.03125;0.0;4089.291748046875;7147.7333984375;2743.974609375;4466.3525390625;26648.251953125;67629.1953125
13;3686.318115234375;18542.693359375;0.0;4423.43798828125;6711.4169921875;2646.84423828125;4169.3505859375;27178.521484375;67357.8984375
14;3998.869873046875;18534.576171875;0.0;4033.395263671875;6698.17431640625;2866.895263671875;4118.7734375;27132.697265625;67382.9140625
15;3908.073974609375;18331.62109375;0.0;4773.00830078125;6517.67626953125;2600.088134765625;4402.42431640625;27038.064453125;67570.3671875
16;3828.491455078125;18549.998046875;0.0;4323.3740234375;6702.2294921875;3071.207763671875;4165.51806640625;26738.849609375;67379.140625
17;3738.8740234375;18530.63671875;0.2353329360485077;4333.296875;6485.1455078125;2773.918701171875;4375.4833984375;27311.138671875;67548.3515625
18;3352.9755859375;18462.90234375;0.0;4323.166015625;6895.0537109375;2763.4501953125;3951.962646484375;27537.0234375;67285.9765625
19;3976.523193359375;18746.220703125;0.0;4381.07666015625;6383.00830078125;2744.133056640625;4449.990234375;27728.470703125;68408.96875
20;3813.071533203125;18440.765625;0.0;4534.45703125;6441.357421875;2685.736083984375;4175.30859375;27460.15625;67550.359375
21;3678.261474609375;18515.150390625;0.7059987783432007;4470.322265625;6485.76953125;2574.010986328125;4210.48779296875;27842.44140625;67776.78125
22;3722.955810546875;17874.90625;0.0;4351.89306640625;6537.580078125;2610.27587890625;4127.77001953125;28302.994140625;67527.734375
23;3500.703369140625;18375.42578125;0.4706658720970154;4370.513671875;6744.13671875;2422.636474609375;4276.85498046875;27942.31640625;67632.59375
24;3688.961669921875;18514.42578125;0.0;4244.64990234375;6785.31640625;2459.69140625;4104.08203125;27707.86328125;67504.46875
25;3766.257568359375;18405.453125;0.4706658720970154;3992.19775390625;6662.9990234375;2460.520263671875;4315.796875;29103.388671875;68706.671875
26;4313.45703125;18091.357421875;0.0;4649.6357421875;6206.1865234375;2559.26611328125;4774.68212890625;29228.91796875;69823.2265625
