STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;4219.50830078125;32994.03515625;0.0;4010.319091796875;9052.0419921875;3753.5244140625;3563.128662109375;22024.927734375;79617.40625
1;4436.85107421875;33609.1875;0.2353329360485077;4100.9833984375;9057.3515625;3980.622314453125;3853.074462890625;22228.509765625;81267.015625
2;3914.06640625;34518.79296875;0.0;4245.91259765625;9071.7900390625;3696.991455078125;3919.0185546875;22264.125;81630.5546875
3;4243.8623046875;32832.1640625;0.0;4142.83740234375;8809.859375;3552.820556640625;4199.96435546875;21882.53515625;79663.8984375
4;3866.918212890625;32949.4921875;0.0;3901.744873046875;8906.826171875;3602.84716796875;3787.322509765625;21655.556640625;78670.8203125
5;4474.8896484375;32568.296875;0.0;4234.13623046875;8798.8955078125;3858.002685546875;3655.217041015625;22616.833984375;80206.0703125
6;4344.7724609375;33061.85546875;0.0;4384.40478515625;9178.4912109375;3748.68701171875;3880.6201171875;22706.162109375;81305.0078125
7;3891.240478515625;32928.66015625;0.0;4157.65771484375;9163.330078125;3980.72021484375;3921.653564453125;21945.599609375;79988.609375
8;4299.74462890625;32592.2109375;0.0;3677.64208984375;8359.5439453125;4064.948974609375;3798.79638671875;21916.548828125;78709.1484375
9;4297.724609375;31758.779296875;0.0;3944.659423828125;8387.0498046875;3822.084716796875;3859.008056640625;22072.419921875;78141.5546875
10;4088.5537109375;31174.05078125;0.2353329360485077;4104.818359375;8531.658203125;3646.55517578125;3841.030029296875;22273.265625;77660.1796875
11;4160.90234375;32444.7109375;0.0;4253.76416015625;8388.98828125;3765.654541015625;3913.43994140625;21710.767578125;78638.1484375
12;3729.68359375;31076.1328125;0.0;3794.517822265625;8022.166015625;3706.77685546875;3919.815185546875;22157.28125;76406.375
13;3904.53125;31227.080078125;0.0;3878.766357421875;7704.9716796875;3535.785888671875;3838.618408203125;22272.724609375;76362.1875
14;4192.509765625;31555.833984375;0.0;3899.961181640625;7851.79541015625;3462.461669921875;4318.2548828125;22437.193359375;77717.984375
15;4176.3076171875;32101.2734375;0.0;4269.77392578125;8091.2998046875;3643.948974609375;4193.50830078125;21990.453125;78466.296875
16;4817.21484375;32524.244140625;0.0;4041.772705078125;8530.7236328125;3715.19677734375;4196.908203125;22683.583984375;80509.7109375
17;4502.314453125;31751.826171875;0.4706658720970154;4016.01416015625;8219.6376953125;3650.568603515625;4131.875;21763.189453125;78035.8125
18;3731.52685546875;31424.138671875;0.0;3892.910400390625;8097.56787109375;3727.0185546875;3858.05029296875;22093.255859375;76824.515625
19;4243.31005859375;31112.48828125;0.4706658720970154;3994.43310546875;8125.30126953125;3780.8134765625;3682.75390625;22131.884765625;77071.4609375
20;3878.464599609375;31253.75390625;0.0;4247.0966796875;8320.537109375;3858.82763671875;4138.662109375;22073.787109375;77771.2265625
21;4257.2919921875;31639.873046875;0.0;3847.94921875;7775.04931640625;3524.5810546875;3955.540283203125;22524.50390625;77524.5390625
22;4381.7001953125;30901.271484375;0.0;3857.124755859375;8070.14404296875;3935.71728515625;3596.84423828125;21555.990234375;76298.609375
23;4379.97802734375;30547.333984375;0.0;4155.267578125;8106.71533203125;3792.349609375;4066.79052734375;22371.51953125;77419.859375
24;3960.376953125;30973.470703125;0.0;4007.552001953125;7681.30810546875;3572.79345703125;3747.472412109375;22431.1015625;76374.078125
25;4074.363525390625;31243.76171875;0.0;3997.412353515625;7920.5830078125;3642.837158203125;3934.511962890625;21746.529296875;76559.640625
26;4065.85791015625;30816.71875;0.0;3704.5712890625;7589.4345703125;3736.962646484375;3770.01953125;22656.904296875;76340.328125
27;4208.55029296875;31053.490234375;0.0;3848.1640625;7495.1044921875;3807.568359375;4087.68701171875;21719.5546875;76219.953125
28;4387.7470703125;32295.40625;0.4706658720970154;3661.4140625;7404.09228515625;3634.797607421875;3882.84716796875;22118.546875;77385.15625
29;3946.85107421875;31338.9609375;0.0;3820.541015625;7400.64453125;3478.163818359375;4072.183349609375;22443.669921875;76500.8125
30;4131.11474609375;31538.556640625;0.0;4195.8583984375;7386.20947265625;3615.34375;3822.3896484375;21920.64453125;76609.890625
31;4379.17822265625;31804.14453125;0.0;4038.615234375;7502.10107421875;3490.077880859375;3827.800537109375;22647.359375;77689.1640625
32;4379.08935546875;31776.05859375;0.9413317441940308;4079.4873046875;7240.32470703125;3523.57861328125;3864.142333984375;22525.55859375;77388.8828125
33;4462.97021484375;31942.76171875;0.2353329360485077;3733.049560546875;7819.9248046875;3394.36865234375;3655.220703125;21577.791015625;76586.390625
34;4419.455078125;31177.033203125;0.0;3931.40380859375;7878.9326171875;3439.127197265625;3911.48876953125;22446.724609375;77204.0078125
35;4515.2890625;32094.4296875;0.0;3944.48193359375;7584.193359375;3381.4677734375;3896.912109375;22238.744140625;77655.3125
36;4233.859375;32662.203125;0.0;3765.3369140625;7429.26171875;3527.8642578125;4257.89208984375;21954.77734375;77830.96875
37;4054.7900390625;33510.046875;0.0;3945.99072265625;7754.17578125;3431.2255859375;3711.234130859375;22322.154296875;78729.296875
38;4059.215087890625;32828.55078125;0.0;3866.084716796875;7705.1982421875;3591.124267578125;4164.0693359375;21302.70703125;77516.6796875
39;4004.753662109375;33125.171875;0.0;4215.74462890625;8308.740234375;3618.18505859375;3898.5185546875;21925.263671875;79096.3984375
40;4055.528564453125;32902.046875;0.0;3789.297119140625;8118.27978515625;3644.657470703125;3534.473388671875;21921.638671875;77965.75
41;3704.562744140625;32990.35546875;0.0;3541.76953125;8597.53125;3770.683349609375;3649.73779296875;21082.80078125;77337.390625
42;3689.057373046875;32647.44140625;0.0;3654.618408203125;8047.77294921875;3567.75048828125;3481.953125;21468.28515625;76556.71875
43;3493.42919921875;32251.52734375;0.0;3841.349609375;8247.296875;3732.921142578125;3701.934326171875;21326.076171875;76594.3515625
44;4018.24560546875;31885.353515625;0.0;3819.806640625;8094.625;3533.435302734375;3500.291748046875;21688.951171875;76540.6171875
45;4143.7294921875;31891.78515625;0.0;3971.09228515625;8266.2255859375;3792.754638671875;3540.8447265625;22540.05078125;78146.2265625
46;4309.48486328125;31715.439453125;0.0;3937.56640625;7979.671875;3841.826416015625;3710.4951171875;22832.4296875;78326.8046875
47;4025.784423828125;31823.55859375;0.2353329360485077;3973.81005859375;7751.70751953125;3589.122314453125;3638.3232421875;22402.138671875;77204.5703125
48;4303.6494140625;32000.328125;0.0;4049.62646484375;7800.96875;3498.778076171875;3927.41650390625;22360.462890625;77941.328125
49;4255.5361328125;31948.677734375;0.0;3763.40283203125;8215.716796875;3595.35009765625;3826.40771484375;22199.935546875;77804.6640625
50;3848.589111328125;31286.287109375;0.4706658720970154;3538.183349609375;8407.7236328125;3640.509765625;3905.58447265625;22037.5390625;76664.8359375
51;3661.4072265625;31454.796875;0.0;3490.395751953125;8166.923828125;3761.770751953125;3465.865966796875;21554.1328125;75555.296875
52;3779.10791015625;31625.375;0.0;3585.196044921875;7792.8408203125;3322.85693359375;3546.4677734375;22079.017578125;75730.5234375
53;4046.613037109375;31201.845703125;0.2353329360485077;3757.5302734375;8209.1591796875;3714.220458984375;3850.269775390625;21884.8046875;76664.6484375
54;4158.55615234375;30790.853515625;0.4706658720970154;3602.202880859375;8056.515625;3754.1806640625;3858.14892578125;22442.685546875;76663.34375
