STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;2575.311279296875;34401.3046875;0.2353329360485077;2383.391845703125;22209.41796875;4189.0;4466.38134765625;21739.13671875;91964.453125
1;2400.51123046875;34893.3046875;0.2353329360485077;2310.525634765625;22821.98828125;3856.77197265625;4506.39892578125;23111.787109375;93902.3671875
2;2445.962158203125;34309.46875;0.0;2052.955078125;21857.40625;4059.94677734375;4578.48828125;22760.7109375;92065.1796875
3;2011.9130859375;33657.125;0.0;1970.246337890625;22255.4375;3724.450439453125;4659.15869140625;22478.62109375;90757.328125
4;1884.35595703125;33351.80078125;0.4706658720970154;2116.641357421875;21054.853515625;4072.948486328125;4467.4365234375;22938.982421875;89888.1796875
5;1745.437255859375;31961.791015625;0.0;1814.4918212890625;20008.94140625;3929.134521484375;4396.697265625;21362.173828125;85218.9609375
6;2034.0169677734375;32500.859375;0.9413317441940308;1714.11572265625;20411.0859375;3832.435546875;4216.0751953125;21921.083984375;86631.0390625
7;2058.389892578125;32483.2421875;0.0;1686.20703125;20537.353515625;3769.900390625;4424.2060546875;22177.400390625;87137.140625
8;1955.423828125;33101.9921875;0.0;1755.288330078125;21113.2421875;3901.024658203125;4399.953125;21588.859375;87816.125
9;1701.9259033203125;32602.49609375;0.0;1790.4696044921875;20152.357421875;3697.3193359375;4236.32177734375;21513.884765625;85694.90625
10;1973.962890625;33349.7578125;0.7059987783432007;1675.712158203125;20225.84765625;3868.872802734375;4385.77392578125;22157.82421875;87638.8984375
11;1800.6322021484375;33019.2109375;0.4706658720970154;1814.849609375;20534.75390625;3912.10986328125;4340.19482421875;22308.115234375;87730.53125
12;1972.7900390625;32699.998046875;0.2353329360485077;1925.62890625;20243.916015625;3608.5849609375;4346.0986328125;22085.486328125;86883.1171875
13;1776.5234375;32279.20703125;0.0;1844.333984375;19873.3359375;3541.38525390625;4598.85986328125;22044.96484375;85958.796875
14;1473.78515625;31158.8203125;0.0;1698.8330078125;19872.890625;3558.9541015625;4502.12744140625;21343.474609375;83609.078125
15;1538.06494140625;31402.875;0.0;1670.8631591796875;20550.580078125;3685.58544921875;4459.33056640625;22488.41796875;85795.6640625
16;1685.3092041015625;31231.990234375;0.2353329360485077;1800.397216796875;20368.068359375;3790.705078125;4248.55224609375;22537.689453125;85663.078125
17;1727.095458984375;31456.365234375;0.0;1563.2933349609375;19612.482421875;3544.966064453125;4656.89111328125;21858.09375;84419.2890625
18;1518.4007568359375;32671.13671875;0.0;1651.5362548828125;20511.19140625;4026.37744140625;4548.3115234375;23148.9375;88076.15625
19;1671.317626953125;32332.2265625;0.0;1631.0081787109375;19765.9375;3961.119384765625;4656.18115234375;22134.244140625;86152.0
20;1458.01904296875;31763.431640625;0.0;1640.0242919921875;19489.03125;3808.057861328125;4546.3203125;22473.376953125;85178.515625
21;1598.308837890625;31611.51171875;0.0;1452.158935546875;19302.21875;3832.39453125;4559.548828125;21521.99609375;83878.453125
22;1607.520263671875;31686.908203125;0.0;1649.943115234375;19483.041015625;3483.55712890625;4383.6201171875;23010.7109375;85305.578125
23;1772.3939208984375;31281.72265625;0.9413317441940308;1765.8541259765625;18827.080078125;3815.56689453125;4857.3408203125;23049.119140625;85370.1015625
24;1617.858642578125;31105.552734375;0.0;1979.5487060546875;19802.384765625;3779.421630859375;4661.56689453125;23086.19921875;86032.5859375
25;1600.5765380859375;30990.34765625;0.0;1774.0528564453125;19700.59375;3523.35546875;4686.5234375;22915.9921875;85191.8203125
26;1664.840576171875;31406.560546875;0.0;1765.912841796875;20198.18359375;3496.88916015625;4826.23583984375;23192.806640625;86551.828125
27;1477.9302978515625;30192.38671875;0.0;1534.38330078125;20313.173828125;3407.941650390625;4702.7177734375;22955.908203125;84584.6171875
28;1696.8468017578125;30828.98046875;0.0;1545.807861328125;19536.1640625;3439.028076171875;4815.72021484375;22997.5;84860.3046875
29;1661.5545654296875;30330.05078125;0.0;1624.765380859375;19792.1796875;3365.865966796875;4649.37841796875;23036.89453125;84460.9140625
30;1787.7847900390625;30065.462890625;0.4706658720970154;1614.6859130859375;20031.75390625;3498.388427734375;4878.8037109375;23110.33203125;84987.59375
31;1839.0604248046875;30035.6875;0.0;1630.7647705078125;19393.12890625;3492.30029296875;4750.40283203125;23541.087890625;84682.609375
32;1890.3970947265625;30214.396484375;0.0;1532.398681640625;19630.142578125;3436.760986328125;4727.09033203125;22431.15625;83862.59375
33;1633.5845947265625;29194.37890625;0.2353329360485077;1623.774169921875;19834.88671875;3385.95654296875;4733.97216796875;23225.91796875;83632.84375
34;1703.5496826171875;29463.244140625;0.0;1606.766845703125;19696.853515625;3521.29736328125;4623.36474609375;23255.466796875;83870.6328125
35;1552.8385009765625;28986.9453125;0.0;1842.5390625;20032.798828125;3614.435791015625;4701.16357421875;23553.03125;84284.15625
36;1583.649658203125;29609.017578125;0.2353329360485077;1583.0384521484375;20353.765625;3435.404052734375;5025.615234375;22548.208984375;84139.1796875
37;1398.077392578125;29137.9921875;0.0;1693.7220458984375;19521.189453125;3506.272216796875;4707.09326171875;22401.7265625;82366.296875
38;1476.0521240234375;29420.16796875;0.0;1716.0545654296875;19635.4609375;3547.688720703125;4629.98779296875;22780.703125;83206.03125
39;1608.7086181640625;29895.93359375;0.0;1721.1959228515625;19360.607421875;3377.16162109375;4704.30859375;21914.041015625;82581.8828125
40;1450.9986572265625;30024.689453125;0.0;1602.459716796875;19569.607421875;3823.842529296875;4554.33056640625;22515.83984375;83541.8984375
41;1524.053466796875;29855.591796875;0.0;1610.7430419921875;20412.7421875;3658.285400390625;4367.126953125;21837.44140625;83265.84375
42;1486.236572265625;29080.263671875;0.0;1415.919921875;20137.451171875;3420.193603515625;4426.15185546875;21405.220703125;81371.5859375
43;1614.610107421875;28600.177734375;0.2353329360485077;1575.6510009765625;19969.892578125;3634.379638671875;4196.30810546875;22128.158203125;81719.4765625
44;1583.69921875;28455.015625;1.1766647100448608;1681.78125;19563.43359375;3578.29833984375;4485.919921875;22010.669921875;81360.109375
45;1537.8404541015625;28661.150390625;0.4706658720970154;1651.78857421875;19946.4296875;3614.254638671875;4593.27197265625;22479.27734375;82484.6640625
46;1204.6893310546875;27813.28125;0.0;1787.099853515625;19901.501953125;3727.240966796875;4684.29833984375;21976.5;81095.0390625
47;1319.675048828125;27667.873046875;0.0;1601.0377197265625;20660.625;3831.0380859375;4669.96533203125;23242.478515625;82992.7734375
48;1298.626220703125;28698.9375;0.2353329360485077;1448.5645751953125;19475.44140625;3372.092041015625;4726.62158203125;22799.404296875;81819.9296875
49;1248.755859375;29002.765625;0.7059987783432007;1436.65966796875;20804.14453125;3557.6552734375;4692.72607421875;22759.08984375;83502.6484375
50;1364.600341796875;28390.00390625;0.0;1563.4818115234375;20212.87109375;3296.825439453125;4688.8232421875;22238.248046875;81754.875
51;1320.9830322265625;28382.6875;0.0;1430.038330078125;20248.201171875;3306.339599609375;4519.55078125;22271.236328125;81479.0546875
52;1375.8419189453125;28422.61328125;0.0;1694.710693359375;20658.20703125;3456.357421875;4833.47216796875;22274.376953125;82715.6953125
53;1399.2490234375;28920.0;0.2353329360485077;1588.6141357421875;19627.017578125;3515.455322265625;4538.953125;22545.2265625;82135.15625
