STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;3257.06982421875;33715.96875;0.7059987783432007;2815.6875;16161.40234375;3342.4375;4566.81884765625;22520.111328125;86380.1875
1;3159.900146484375;33767.6953125;0.2353329360485077;2889.0625;16099.4052734375;3887.372802734375;4528.38037109375;23456.9140625;87789.3046875
2;3149.34423828125;33694.76953125;0.7059987783432007;3374.7265625;16027.4765625;3874.2822265625;4519.7197265625;23809.134765625;88450.6875
3;3287.867431640625;33963.484375;0.0;3109.89892578125;16287.8740234375;3680.7724609375;4414.1162109375;23813.00390625;88556.9921875
4;3333.5068359375;33640.34765625;0.0;2890.930419921875;15861.828125;3636.757080078125;4925.9951171875;24007.626953125;88297.09375
5;3045.1474609375;33538.6328125;0.0;2999.20068359375;15155.0458984375;3612.432861328125;4549.541015625;23119.552734375;86019.703125
6;3255.0830078125;33848.40234375;0.2353329360485077;3073.597412109375;15175.59375;3484.149658203125;4312.14208984375;23530.478515625;86680.03125
7;3201.69677734375;33958.8125;0.2353329360485077;3065.991455078125;15639.0751953125;3417.9697265625;4862.740234375;23660.109375;87807.2421875
8;3108.544189453125;33827.82421875;0.4706658720970154;2972.21240234375;15282.767578125;3486.68701171875;4502.61962890625;23704.048828125;86885.40625
9;2911.16845703125;33665.41015625;0.4706658720970154;3237.8251953125;15898.3427734375;3653.341064453125;4584.380859375;22884.474609375;86835.640625
10;2863.74560546875;33324.52734375;0.0;3011.021484375;15843.857421875;3768.272705078125;4509.35888671875;23282.06640625;86603.1796875
11;3114.635009765625;33301.7421875;0.4706658720970154;3186.043212890625;15570.841796875;3766.813232421875;4594.2958984375;23513.912109375;87049.0703125
12;2791.90869140625;32444.880859375;0.2353329360485077;2881.306396484375;14743.419921875;3615.36865234375;4665.76220703125;23984.21875;85127.203125
13;3025.241943359375;33293.06640625;0.0;3053.436279296875;15656.0322265625;3610.574462890625;4818.845703125;23440.1875;86897.59375
