STEP;C11;GEM;NP;OCB;OCC;OCG;OCN;ONC;TOTAL
0;2513.82080078125;35063.45703125;0.0;2717.346923828125;15974.724609375;4133.61474609375;3218.02734375;18634.056640625;82255.4140625
1;2773.170654296875;34867.390625;0.0;2845.60205078125;15825.876953125;4054.1103515625;3605.339111328125;19431.931640625;83403.578125
2;2326.896484375;35054.90234375;0.0;2372.766845703125;16369.18359375;4152.814453125;3117.85400390625;19276.96875;82671.609375
3;2248.192138671875;34188.87890625;0.0;2301.178955078125;15203.9384765625;4195.31396484375;3274.123291015625;18700.658203125;80112.5859375
4;2456.107421875;34286.265625;0.0;2270.20166015625;15654.7138671875;4162.6826171875;3383.9306640625;19307.923828125;81522.0703125
5;2297.27490234375;34344.9765625;0.0;2447.14599609375;15709.1826171875;3969.325927734375;3449.6826171875;19062.609375;81280.4375
6;2481.706787109375;34031.09765625;0.0;2541.934326171875;15652.595703125;4220.689453125;3736.422119140625;19159.833984375;81824.484375
7;2407.860595703125;32977.84375;0.0;2228.840087890625;15923.703125;4271.42041015625;3699.975341796875;19273.8125;80783.9140625
8;2216.333740234375;33671.32421875;0.0;2412.0986328125;15662.638671875;3979.5537109375;3692.16796875;19816.45703125;81450.734375
9;2091.26318359375;33631.28515625;0.9413317441940308;2351.867919921875;15308.4208984375;4102.21875;3443.86279296875;20074.296875;81004.5390625
10;2000.550537109375;33473.05078125;0.0;2044.48583984375;14545.0625;4114.34716796875;3826.78125;20148.751953125;80153.2265625
11;1971.8876953125;33262.76171875;0.0;2199.486572265625;15008.0732421875;4444.32177734375;3833.23828125;20040.845703125;80760.5546875
12;2130.286376953125;32771.640625;0.0;2625.861328125;16206.935546875;4054.717529296875;3743.23681640625;20646.95703125;82179.984375
13;2202.892333984375;33088.30078125;0.0;2301.24560546875;15613.861328125;3979.9248046875;3709.239013671875;19600.287109375;80495.78125
14;2003.2547607421875;31535.5234375;0.0;2320.325439453125;15255.3720703125;3979.084716796875;3570.104248046875;19844.298828125;78508.015625
15;1921.1573486328125;32373.880859375;0.0;2362.24169921875;15088.3828125;3685.16796875;3555.79150390625;19811.650390625;78798.46875
16;2052.629638671875;32771.05078125;0.2353329360485077;2373.745849609375;15706.826171875;3804.162841796875;3242.582275390625;19293.287109375;79244.6875
17;2216.560791015625;32862.99609375;0.7059987783432007;2268.127685546875;15734.7001953125;4017.10888671875;3804.262451171875;19918.9921875;80823.4765625
18;2175.414306640625;32468.78515625;0.0;1962.373291015625;14979.3193359375;4103.18798828125;3330.674560546875;19198.95703125;78218.6484375
19;2131.94482421875;32413.263671875;0.0;2325.2431640625;15401.44921875;3870.1044921875;3579.471923828125;18701.23828125;78422.8125
20;2090.393310546875;33974.890625;0.0;2210.119140625;15019.9052734375;3771.328857421875;3357.735595703125;19076.197265625;79500.78125
21;1958.6378173828125;33633.296875;0.9413317441940308;2122.63134765625;14448.95703125;3709.923583984375;3529.18701171875;19263.123046875;78666.84375
22;1834.768310546875;33136.40234375;0.0;2006.1591796875;14373.1220703125;4048.409423828125;3484.04052734375;18602.740234375;77485.4921875
23;1986.472412109375;33681.984375;0.0;2331.591796875;14948.1376953125;4326.39013671875;3306.778564453125;19612.1953125;80193.734375
24;2073.01318359375;32891.046875;0.2353329360485077;2328.46630859375;14810.162109375;4063.4619140625;3450.519287109375;19235.896484375;78853.1875
25;1947.0035400390625;33160.55859375;0.0;2215.975830078125;15052.8056640625;4234.0673828125;3541.375244140625;19619.7734375;79771.8515625
26;1665.98681640625;32702.09375;0.0;2000.72314453125;15214.244140625;3996.582275390625;3628.896484375;19610.697265625;78819.296875
27;1905.6290283203125;31843.7890625;0.0;2198.286376953125;15300.0859375;3899.3623046875;3625.7255859375;19436.73046875;78209.6015625
28;1964.1214599609375;32035.4609375;0.0;2347.988037109375;15553.05078125;4044.9248046875;3239.13818359375;19633.1875;78817.96875
29;1773.2852783203125;31810.19921875;0.0;2222.578857421875;15371.1962890625;4349.98828125;3603.381103515625;19612.240234375;78742.9296875
30;2102.787109375;32685.203125;0.0;2604.549560546875;14970.5537109375;4064.277099609375;3248.626708984375;19739.8984375;79416.0625
31;2141.098876953125;32526.275390625;0.0;2230.2802734375;15053.2021484375;4066.67138671875;3424.85888671875;19631.740234375;79073.953125
32;2261.1689453125;32499.0859375;0.0;2340.553466796875;15184.92578125;4376.87353515625;3484.26708984375;20365.427734375;80512.6015625
33;2041.2999267578125;32856.36328125;0.0;1982.4844970703125;15279.796875;4016.750732421875;3692.667236328125;19916.56640625;79786.09375
34;1738.3876953125;32207.208984375;0.0;2241.58935546875;15179.7841796875;4057.2529296875;3900.3046875;20027.232421875;79351.7421875
35;1890.2498779296875;32027.509765625;0.4706658720970154;2134.010986328125;15340.0625;4152.890625;3537.527099609375;19673.89453125;78757.0234375
36;1825.39501953125;32563.66015625;0.2353329360485077;2414.166748046875;15486.33984375;3947.906982421875;3511.2216796875;20102.87890625;79851.9140625
37;1928.8719482421875;31947.41015625;0.0;2246.24658203125;15647.42578125;4206.77294921875;3268.153564453125;19383.888671875;78628.78125
38;1877.7703857421875;31561.7890625;0.0;2132.674072265625;14687.3447265625;3971.42529296875;3364.56103515625;19730.9921875;77326.6171875
39;1810.1304931640625;31338.681640625;0.2353329360485077;2118.454833984375;14169.279296875;3998.883056640625;3518.521728515625;19193.66796875;76147.7890625
40;2113.416015625;31974.2890625;0.0;2159.2587890625;14554.7783203125;3914.0869140625;3511.702392578125;20423.07421875;78650.8125
41;1971.8516845703125;31687.39453125;0.0;2244.770263671875;14720.0849609375;4052.0244140625;3304.068603515625;20343.818359375;78324.046875
42;1791.9034423828125;32249.146484375;0.0;2130.33349609375;14210.0888671875;3913.021240234375;3537.142578125;20014.037109375;77845.71875
43;2201.00927734375;31766.888671875;0.0;2081.513427734375;14581.7099609375;4145.10888671875;3614.89892578125;19626.35546875;78017.4921875
44;2032.0205078125;31953.271484375;0.4706658720970154;2129.990966796875;14403.255859375;4274.5322265625;3319.869140625;19062.896484375;77176.171875
45;2048.06103515625;31325.84765625;2.5886623859405518;1991.471435546875;14608.3994140625;4474.41357421875;3318.80615234375;19519.845703125;77289.546875
46;1994.202880859375;31276.41015625;0.0;2066.951171875;14256.6103515625;4291.97607421875;3390.9716796875;19191.05078125;76468.234375
47;2219.97509765625;31633.40625;0.0;2283.2919921875;14846.0263671875;4072.8955078125;3406.853271484375;19603.5;78066.0625
48;2107.208251953125;31292.505859375;0.0;2183.1875;14482.0966796875;4201.0166015625;3322.58154296875;19925.541015625;77513.6953125
49;2075.549072265625;30592.103515625;0.0;2154.047607421875;14523.9404296875;3939.49169921875;3537.9091796875;20243.609375;77066.8046875
50;1998.5650634765625;30530.3671875;0.0;2000.5718994140625;14805.990234375;3877.922119140625;3799.01513671875;19964.12109375;76976.3984375
51;1885.9000244140625;30604.828125;0.0;2103.2890625;14909.078125;3985.5888671875;3531.590576171875;19629.373046875;76649.7890625
52;1870.0589599609375;30928.041015625;2.1179962158203125;2137.614501953125;14379.1572265625;3832.438720703125;3390.442626953125;19915.173828125;76455.15625
53;1901.8590087890625;30550.169921875;0.2353329360485077;2039.3885498046875;15150.3818359375;4403.62060546875;3179.03173828125;18704.427734375;75929.0078125
54;2058.39111328125;31072.205078125;0.4706658720970154;1966.456787109375;15387.712890625;3921.4140625;3423.068603515625;20626.478515625;78456.3046875
55;2095.697021484375;30144.26171875;0.0;2266.5390625;14548.8583984375;4002.36181640625;3308.73974609375;19299.935546875;75666.40625
56;1829.2650146484375;30320.48828125;0.2353329360485077;2332.73974609375;14817.615234375;4309.8837890625;3391.107421875;19482.8515625;76484.2109375
57;1917.1124267578125;30646.1953125;0.2353329360485077;2061.64208984375;14693.4716796875;4085.4130859375;3384.780517578125;20410.021484375;77198.7890625
58;1702.8931884765625;30323.28125;0.0;1927.3018798828125;14622.880859375;4332.99072265625;3659.20458984375;19649.7109375;76218.1640625
59;1570.5098876953125;30059.48828125;0.0;1996.0137939453125;14762.64453125;3977.39111328125;3632.819580078125;20178.609375;76177.421875
60;1675.6767578125;29819.521484375;0.0;2036.5169677734375;14562.1796875;4105.21630859375;3412.145263671875;20558.169921875;76169.203125
61;1375.0594482421875;28994.15625;0.0;1811.4744873046875;14494.7421875;4036.68310546875;3423.18115234375;19537.03125;73672.2734375
62;1505.7369384765625;28570.375;0.0;1649.6910400390625;14242.61328125;3742.3681640625;3045.662353515625;19462.927734375;72219.1484375
63;1344.78466796875;29105.99609375;0.0;1966.3115234375;14509.7958984375;4042.591552734375;3237.52294921875;19860.908203125;74067.84375
64;1773.706787109375;28873.818359375;0.0;1813.7440185546875;14308.513671875;4195.85791015625;3328.733642578125;19474.412109375;73768.7578125
65;1441.43359375;29186.3828125;0.0;1866.578369140625;13972.513671875;4052.5615234375;3232.386474609375;19626.537109375;73378.359375
66;1575.0452880859375;28676.13671875;0.0;1914.12646484375;14452.58984375;3889.871337890625;3225.091552734375;20395.7421875;74128.5703125
67;1563.1795654296875;29084.234375;0.7059987783432007;1839.8385009765625;14251.271484375;3453.5302734375;3308.22607421875;19031.57421875;72532.2109375
68;1469.6993408203125;29489.6484375;0.9413317441940308;2096.17138671875;14477.2822265625;3625.96142578125;3383.095703125;19753.568359375;74296.171875
69;1491.3968505859375;28565.521484375;0.0;1947.5810546875;14748.8642578125;3851.731201171875;3384.17919921875;19633.470703125;73622.453125
70;1698.8890380859375;28656.140625;0.2353329360485077;1991.260986328125;14624.4609375;3923.27294921875;3393.21337890625;19144.82421875;73432.03125
71;1435.9306640625;28844.486328125;0.0;1743.9296875;14711.2900390625;3985.24658203125;3141.880615234375;19349.328125;73211.9765625
72;1373.05322265625;28777.158203125;0.0;1816.2908935546875;13887.5673828125;4176.42529296875;3276.0556640625;19206.435546875;72512.6171875
73;1566.3636474609375;29943.25390625;0.2353329360485077;1944.8687744140625;14102.6103515625;3762.024658203125;3478.744384765625;19875.708984375;74673.7109375
74;1778.608642578125;29512.3359375;0.2353329360485077;2136.58837890625;14341.8076171875;3992.45654296875;3350.355224609375;19982.8203125;75095.1640625
75;1528.426025390625;29107.376953125;0.0;1988.91650390625;14833.1884765625;3991.19482421875;3591.717041015625;20219.01171875;75259.6953125
76;1756.931640625;29009.1015625;0.0;2097.34716796875;14489.8515625;3746.437255859375;3733.5380859375;19874.017578125;74707.1796875
77;1561.783447265625;28655.876953125;0.2353329360485077;1980.690673828125;14452.86328125;3899.70166015625;3209.9873046875;20393.41796875;74154.3125
78;1565.5574951171875;29952.740234375;0.0;1939.364501953125;14561.96875;3962.349853515625;3654.76904296875;20417.02734375;76053.734375
79;1672.5955810546875;29181.603515625;0.0;2064.225830078125;14765.0791015625;3865.447265625;3379.68505859375;19410.4296875;74338.9296875
80;1650.8680419921875;29465.556640625;0.0;1963.0411376953125;14850.857421875;4028.80322265625;3273.54541015625;20162.0703125;75394.40625
81;1728.9678955078125;30065.34765625;1.1766645908355713;2067.01513671875;15238.3291015625;3824.616455078125;3655.724365234375;19882.25;76463.2109375
82;1587.2354736328125;30262.99609375;0.0;1873.1822509765625;15217.884765625;3934.191650390625;3510.07421875;20340.16796875;76725.71875
83;1610.732666015625;30738.26171875;0.0;1907.6053466796875;14744.017578125;3847.549072265625;3548.977294921875;19401.509765625;75798.5
84;1702.93408203125;30061.203125;0.0;1856.4654541015625;15145.8017578125;3552.36767578125;3378.000732421875;19632.619140625;75329.2890625
85;1538.3681640625;30122.328125;0.7059987783432007;1977.6959228515625;14566.6220703125;3833.173583984375;3423.956298828125;19964.80078125;75427.5078125
86;1469.9735107421875;29554.953125;0.0;1999.2391357421875;14535.6845703125;3834.408447265625;3200.54296875;20079.4765625;74674.2109375
87;1667.60302734375;29271.021484375;0.0;1899.026611328125;14071.8037109375;3726.692626953125;3409.21337890625;19982.38671875;74027.796875
88;1622.5986328125;28937.71484375;0.0;2034.4666748046875;14157.279296875;3849.482177734375;3262.090087890625;20224.41015625;74087.9375
89;1666.73388671875;28508.376953125;0.0;2079.0048828125;14622.3876953125;3703.36083984375;3133.9775390625;19908.5859375;73622.3671875
90;1587.015380859375;28250.02734375;0.0;2034.4766845703125;14583.5478515625;3733.737060546875;3177.744140625;19691.87890625;73058.2578125
91;1526.4537353515625;29159.06640625;0.2353329360485077;1744.08056640625;15308.62109375;3712.738037109375;3321.682373046875;20124.177734375;74896.8046875
92;1599.2003173828125;28838.67578125;0.0;1965.4681396484375;14888.390625;4092.88134765625;3267.031005859375;19313.130859375;73964.5859375
93;1570.6591796875;27747.466796875;0.0;2021.4024658203125;15339.41796875;3822.290771484375;3360.32421875;19586.705078125;73448.3359375
94;1515.5489501953125;27786.05859375;0.0;1746.55126953125;14660.115234375;3932.319580078125;3440.99951171875;20634.673828125;73716.15625
95;1657.9892578125;28205.64453125;0.0;1924.012451171875;15249.9111328125;3950.02490234375;3471.60986328125;19672.8671875;74132.0625
