STEP;C11;NHQ;NP;OCB;OCC;OCH;TOTAL
0;1728.698486328125;36555.828125;0.0;1559.491455078125;18727.150390625;8146.52587890625;66717.2265625
1;1633.6558837890625;36763.37109375;0.0;1489.236083984375;18941.75;7944.77734375;66772.296875
2;1486.531982421875;36262.85546875;1.1766647100448608;1521.40185546875;18122.849609375;8006.35400390625;65400.6015625
3;1649.02490234375;36614.75390625;0.0;1616.1026611328125;18423.19140625;8013.6103515625;66316.1328125
4;1638.156982421875;35182.8359375;0.0;1474.8040771484375;18938.79296875;7697.7197265625;64931.859375
5;1636.375732421875;34346.98046875;0.2353329360485077;1443.146240234375;19003.4375;7634.52197265625;64064.0703125
6;1757.70703125;35006.30859375;0.0;1324.1279296875;18478.962890625;7935.13134765625;64501.6484375
7;1667.2025146484375;34605.20703125;0.0;1411.9412841796875;18578.794921875;7816.22802734375;64078.89453125
8;1727.0888671875;35428.41796875;0.0;1398.8902587890625;17504.16015625;8019.41748046875;64077.46875
9;1600.8978271484375;35614.3671875;1.1766645908355713;1233.737548828125;18102.8515625;7704.2451171875;64256.69921875
10;1605.0384521484375;33907.17578125;0.2353329360485077;1364.1126708984375;18374.017578125;8181.958984375;63432.140625
11;1527.520751953125;34910.96484375;0.0;1337.011962890625;18787.2109375;8295.0771484375;64857.43359375
12;1474.4432373046875;34166.80078125;0.4706658720970154;1421.5533447265625;18797.017578125;7544.83349609375;63404.7734375
13;1543.674560546875;34160.859375;0.0;1442.2193603515625;18568.6875;8343.21484375;64058.41015625
14;1481.6888427734375;34052.9609375;0.0;1451.2806396484375;18999.359375;8021.77587890625;64006.56640625
15;1355.2020263671875;34563.4375;0.0;1417.283935546875;19077.48046875;7987.66552734375;64400.83984375
16;1427.0050048828125;33831.515625;0.0;1386.8795166015625;18671.1796875;8042.35986328125;63358.546875
17;1436.783447265625;34032.203125;0.0;1249.0343017578125;19490.52734375;7672.544921875;63880.5703125
18;1414.3443603515625;32624.017578125;0.0;1323.026123046875;19134.404296875;7817.87548828125;62313.41015625
19;1558.3878173828125;32280.5546875;0.0;1431.702392578125;19050.84765625;7747.02099609375;62068.17578125
20;1519.2767333984375;32110.6171875;0.0;1279.8199462890625;18920.35546875;7440.03759765625;61269.7734375
21;1420.6669921875;32613.291015625;0.4706658720970154;1273.3353271484375;18700.794921875;7753.16748046875;61761.4296875
22;1402.373291015625;32546.625;0.0;1359.546630859375;18464.564453125;7766.75927734375;61539.46484375
23;1114.6026611328125;32242.291015625;0.0;1179.169921875;18302.224609375;7931.212890625;60769.26171875
24;1192.541015625;32468.208984375;0.0;1204.24560546875;18801.587890625;8040.04931640625;61706.2109375
25;1369.39697265625;32632.38671875;0.4706658720970154;1296.6331787109375;18203.759765625;8147.47265625;61649.3828125
