STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;4025.635986328125;0.4706658720970154;4053.48046875;10437.61328125;3777.626220703125;4319.62255859375;22815.125;14087.4296875;63516.36328125
1;4308.1865234375;0.0;4023.470458984375;10476.771484375;4398.40576171875;4468.2490234375;23886.12890625;13957.27734375;65518.0078125
2;4173.134765625;0.0;3875.694580078125;10160.1875;4031.763916015625;4306.8623046875;22932.21875;15189.4765625;64668.890625
3;3943.9755859375;0.2353329360485077;4119.79638671875;10442.7470703125;4496.453125;4230.02880859375;23096.751953125;14492.8466796875;64822.35546875
4;4361.892578125;0.0;3789.832275390625;10914.7001953125;4080.375;3888.420166015625;24418.115234375;14352.3017578125;65805.0703125
5;3913.690185546875;1.4119975566864014;3984.571044921875;10474.2958984375;4182.95068359375;4099.609375;23152.671875;13679.6669921875;63488.2890625
6;4612.0693359375;0.0;4210.5146484375;10688.693359375;3909.678466796875;4015.081787109375;24385.65625;13400.296875;65221.46484375
7;4082.826171875;1.1766645908355713;4139.927734375;10432.037109375;3933.218994140625;3881.0478515625;23864.791015625;14099.05859375;64433.67578125
8;3868.361328125;0.7059987783432007;3763.093994140625;10438.8154296875;4337.65478515625;4240.3564453125;22411.1328125;13354.9580078125;62414.89453125
9;4129.4091796875;0.9413317441940308;3916.5703125;10449.6181640625;3979.220703125;4051.69384765625;23624.00390625;13418.6689453125;63569.55078125
10;4370.56201171875;2.8239951133728027;4128.259765625;10332.705078125;3849.07470703125;3848.272216796875;24008.078125;13489.3271484375;64028.53515625
11;4091.4599609375;0.9413317441940308;4115.8056640625;9878.0947265625;3867.00830078125;4520.21533203125;22597.923828125;13637.302734375;62708.31640625
12;3878.284423828125;0.4706658720970154;3741.60546875;10027.9365234375;3804.4482421875;3775.894775390625;22934.74609375;13201.3447265625;61364.3984375
13;4046.523193359375;2.1179964542388916;4036.77978515625;11042.673828125;3961.60595703125;3632.330078125;23198.1953125;13444.0830078125;63363.734375
14;4216.31005859375;2.1179964542388916;3918.0751953125;10336.19921875;3717.095703125;3663.964599609375;23666.3125;13644.998046875;63164.51171875
15;3676.18115234375;0.9413317441940308;3765.004150390625;10084.4404296875;3721.872802734375;4080.41796875;23222.349609375;13414.1728515625;61964.80859375
16;3784.486083984375;0.7059987783432007;3787.624267578125;10494.2451171875;3660.504150390625;4560.6669921875;23031.583984375;12790.3935546875;62109.78515625
