STEP;C11;NP;OCB;OCC;OCN;OCQ;ONC;OQL;TOTAL
0;1347.1734619140625;0.0;2023.078857421875;27104.482421875;5686.83447265625;3929.381591796875;27428.51953125;10817.41796875;78336.765625
1;1477.9886474609375;0.0;1858.65869140625;26791.91796875;5613.13525390625;3931.119140625;26569.98828125;10770.392578125;77013.0703125
2;1544.0677490234375;0.0;1935.6204833984375;27323.392578125;5667.4775390625;4039.33203125;27266.09765625;10375.6015625;78151.3125
3;1542.145751953125;0.0;1926.5299072265625;27326.490234375;5659.2744140625;3659.073486328125;27040.412109375;10508.162109375;77661.9765625
4;1476.099609375;0.0;1786.885009765625;25916.072265625;5781.87353515625;3688.7470703125;27757.751953125;10883.5771484375;77290.984375
5;1116.641845703125;0.0;1787.7470703125;28116.0078125;5859.89794921875;3763.48388671875;27015.78515625;11185.1630859375;78844.90625
6;1239.649658203125;0.0;1546.76318359375;26742.68359375;5878.21435546875;3819.81201171875;26864.162109375;10443.6123046875;76534.609375
7;1095.1280517578125;0.0;1898.701416015625;26964.76171875;5574.943359375;3705.84375;27717.953125;9831.1904296875;76788.65625
8;1285.84765625;0.0;1745.23486328125;27692.333984375;6034.04345703125;3698.897705078125;27363.333984375;9580.8095703125;77400.8125
9;1299.5740966796875;0.0;1709.8814697265625;27380.99609375;5595.89306640625;3615.819580078125;27429.138671875;9633.6123046875;76664.6640625
10;1175.257568359375;0.0;1767.726806640625;27793.130859375;5727.1220703125;3367.25830078125;27285.17578125;9908.923828125;77024.5390625
11;1204.60791015625;0.0;1989.9005126953125;27356.22265625;6074.8603515625;3186.252685546875;26653.3125;9168.9599609375;75634.109375
12;1265.52001953125;0.2353329360485077;1711.972900390625;27268.927734375;5803.44189453125;3650.943603515625;27377.310546875;9753.62109375;76831.9453125
13;1348.2412109375;0.0;1715.278564453125;28516.8984375;5754.49169921875;3350.41357421875;27657.2734375;8794.5947265625;77137.203125
14;1248.238525390625;0.0;1932.6124267578125;28778.197265625;6392.84521484375;3630.613037109375;28119.3046875;9388.9716796875;79490.8203125
15;1023.4063110351563;0.0;1723.1925048828125;26515.5234375;5531.45263671875;3749.020263671875;26894.228515625;8733.29296875;74169.7265625
16;1245.004638671875;0.2353329360485077;1508.16064453125;27609.2421875;5882.73486328125;3299.963623046875;26965.35546875;8834.9130859375;75345.375
17;1177.185546875;0.2353329360485077;1424.18994140625;27193.20703125;5962.63916015625;3257.337890625;27760.056640625;8940.82421875;75715.484375
18;1179.4271240234375;0.0;1606.8590087890625;27390.359375;5463.30419921875;3126.9951171875;27734.169921875;8730.7666015625;75231.671875
19;1113.413818359375;0.0;1678.49755859375;28004.396484375;6238.49462890625;3505.112060546875;27152.208984375;8643.8076171875;76335.859375
20;975.9215087890625;0.0;1501.222900390625;27321.837890625;5893.6064453125;3376.352294921875;27791.21484375;8225.1748046875;75085.09375
21;1049.8309326171875;0.4706658720970154;1674.47412109375;28088.880859375;5674.2265625;3300.089111328125;27969.4296875;9059.62890625;76816.7578125
22;1130.0665283203125;0.0;1650.0576171875;28052.2109375;5633.314453125;3437.830810546875;26933.681640625;8532.5078125;75369.2734375
23;1159.4129638671875;0.0;1510.893798828125;28450.228515625;5925.93212890625;3311.9375;27511.3359375;8410.720703125;76280.2890625
24;1172.7921142578125;0.0;1630.819580078125;28019.908203125;5946.228515625;3382.371337890625;27967.0546875;8777.8349609375;76896.640625
25;1224.26611328125;0.0;1726.9871826171875;28675.3515625;6183.89306640625;3333.27734375;28118.13671875;9029.8662109375;78291.8359375
26;1329.81884765625;0.0;2070.073486328125;29009.720703125;6083.314453125;3151.0107421875;28827.984375;9213.63671875;79685.3828125
27;1181.044189453125;0.0;1935.896240234375;29179.705078125;5821.5068359375;3361.688232421875;28843.22265625;9391.5234375;79714.734375
28;1205.9395751953125;0.0;1727.443359375;29079.685546875;5817.7236328125;3165.40478515625;28229.55078125;8960.7919921875;78186.40625
29;1280.5111083984375;0.0;1847.318115234375;29105.732421875;6259.0673828125;3073.519775390625;28314.908203125;8944.96484375;78826.0390625
30;1486.0281982421875;0.0;1664.86279296875;29170.31640625;6385.845703125;3206.500244140625;27613.216796875;8657.060546875;78183.734375
31;1129.3343505859375;0.0;1598.961669921875;28217.798828125;5891.92333984375;3198.776123046875;27885.3046875;8541.6845703125;76463.359375
32;1440.77783203125;0.2353329360485077;1437.923095703125;27770.572265625;5760.51904296875;3235.53125;27492.51171875;8566.2646484375;75704.265625
33;1241.8514404296875;0.0;1736.80908203125;28695.08203125;5474.05419921875;3215.150390625;26876.5703125;8022.62109375;75261.9765625
34;1270.3189697265625;0.0;1829.8985595703125;28092.4921875;6199.75390625;3009.700927734375;27171.033203125;7641.3623046875;75214.3984375
35;1174.173583984375;0.0;1688.5947265625;28685.830078125;6223.89501953125;3313.423095703125;28075.236328125;7288.56689453125;76449.40625
36;1077.41748046875;0.0;1710.8568115234375;28902.55078125;6281.466796875;2894.700927734375;28588.986328125;7906.20556640625;77361.9453125
37;1198.7725830078125;0.0;1560.5118408203125;29515.951171875;6249.54345703125;2770.964111328125;28461.572265625;7445.02001953125;77202.25
38;1113.2618408203125;0.0;1838.5836181640625;27908.041015625;6094.9013671875;2857.01904296875;27630.56640625;7188.42822265625;74630.2578125
39;1130.318359375;0.0;1831.35498046875;29534.916015625;6593.18212890625;2738.038818359375;27871.744140625;7453.00390625;77152.6640625
40;1182.1937255859375;0.0;1874.5716552734375;28166.447265625;6095.642578125;3268.72119140625;28209.197265625;7123.03125;75919.78125
41;978.4573364257813;0.0;1854.8359375;29815.720703125;6539.12451171875;3081.0166015625;28488.21875;6978.599609375;77735.75
42;1244.049560546875;0.0;1645.625732421875;28734.919921875;6418.74365234375;3331.645751953125;28719.8359375;8081.6123046875;78176.265625
43;1036.2935791015625;0.0;1717.436767578125;30439.93359375;6222.64697265625;2891.239501953125;28928.951171875;7697.61572265625;78934.09375
44;1098.1710205078125;0.0;1628.92724609375;29312.599609375;5980.0693359375;3190.729736328125;27823.3984375;8100.7978515625;77134.5546875
45;1121.0877685546875;0.0;1802.5660400390625;30005.189453125;6239.43505859375;2927.33447265625;29115.64453125;8635.08984375;79846.609375
46;945.5775756835938;0.0;1840.5906982421875;29350.146484375;5932.13671875;3103.08056640625;27959.453125;7730.35205078125;76861.3515625
47;1186.856201171875;0.0;1968.02978515625;29130.14453125;6248.72021484375;3046.09619140625;28118.1875;7540.74365234375;77238.6171875
48;1117.7711181640625;0.0;1990.8310546875;28839.052734375;6180.18505859375;3200.35107421875;27391.181640625;6980.97607421875;75700.2109375
49;909.3153076171875;0.0;1924.121826171875;29694.138671875;6529.2900390625;2873.170654296875;28246.05078125;6902.07763671875;77077.84375
50;999.23193359375;0.0;1766.80322265625;29205.140625;6054.21435546875;2778.4248046875;28008.41015625;7169.7529296875;75981.8671875
51;1240.212646484375;0.0;1736.6614990234375;28571.578125;6044.46533203125;2925.864501953125;28026.603515625;7520.95166015625;76066.15625
52;983.8291015625;0.0;1769.1533203125;29485.884765625;5940.3779296875;3038.55615234375;27616.896484375;7383.73486328125;76217.953125
53;908.9811401367188;0.0;1788.2567138671875;28653.05078125;6466.9013671875;2923.343994140625;26889.52734375;7357.21533203125;74987.015625
54;1010.9141845703125;0.0;1594.9312744140625;29357.91796875;6456.64892578125;2987.930419921875;28693.462890625;6725.7958984375;76827.4140625
55;1138.0296630859375;0.0;2030.9000244140625;30012.92578125;6068.06640625;3151.43115234375;27664.392578125;7214.35791015625;77279.78125
56;935.00048828125;0.0;1769.6195068359375;29916.240234375;6193.26171875;2392.9365234375;28797.86328125;7396.14892578125;77401.0234375
57;975.3700561523438;0.0;1756.8106689453125;28088.08984375;6265.7265625;2762.7314453125;28312.59765625;6611.6845703125;74772.7890625
58;1027.8746337890625;0.0;1783.442626953125;28488.6640625;6673.6572265625;2626.903076171875;27925.322265625;7639.4697265625;76165.2734375
59;1115.37548828125;0.0;1660.0592041015625;28423.0703125;5758.50048828125;2765.611328125;27988.61328125;8112.6240234375;75823.5546875
60;1023.8900756835938;0.0;1915.011474609375;30030.34765625;6346.478515625;2776.13818359375;28976.5;6999.27880859375;78067.5390625
61;1081.4061279296875;0.0;1940.5948486328125;28868.7578125;6416.16845703125;2793.142578125;29506.478515625;7956.6123046875;78563.0546875
62;932.1585693359375;0.0;1987.95849609375;28530.21875;6129.26611328125;2753.007080078125;29209.78515625;7685.18603515625;77227.5078125
63;1170.5301513671875;0.0;1991.935546875;30587.65234375;6391.9501953125;2892.67724609375;29973.1796875;7720.962890625;80728.8046875
64;1051.3887939453125;0.0;1811.4307861328125;29674.130859375;6049.23095703125;2960.457275390625;29351.7265625;7623.2265625;78521.390625
65;976.0292358398438;0.2353329360485077;1869.161865234375;30114.796875;6449.27197265625;2803.08740234375;29562.24609375;7706.96044921875;79481.5234375
66;992.6412353515625;0.0;2029.510498046875;29944.224609375;6642.5791015625;2877.668701171875;29476.11328125;7595.29443359375;79557.9765625
67;1222.8056640625;0.0;1965.37744140625;29830.53515625;5817.91064453125;3048.714111328125;28389.810546875;7993.14306640625;78268.0390625
68;1262.915771484375;0.0;1886.7027587890625;29440.14453125;6380.5263671875;3061.883056640625;29053.212890625;7941.21484375;79026.2890625
69;1280.837646484375;0.0;1953.9462890625;29401.9609375;6331.7197265625;2984.298583984375;28252.810546875;7986.14404296875;78191.8984375
70;1330.726318359375;0.0;1841.681396484375;29153.779296875;6304.93017578125;3223.755126953125;28234.294921875;7816.818359375;77905.84375
71;1012.1116943359375;0.0;1750.2357177734375;29624.923828125;6375.912109375;2888.489501953125;27668.62109375;7961.1708984375;77281.296875
72;982.0321655273438;0.0;1645.2852783203125;28903.556640625;5997.35498046875;3121.414794921875;28113.2265625;7637.5947265625;76400.46875
